sim_day_index,year,month,day_of_month,julian,precip,runoff_volume,peak_runoff,element_id,date,effective_duration_hr,time_to_peak_s,peak_discharge_m3s,total_area_m2,contrib_area_m2,contrib_area_fraction,sum_hillslope_runvol_m3,sum_sbrunv_m3,sum_drrunv_m3,sum_gwbfv_m3,sum_gwdsv_m3,dur_area_weighted,peakro_area_weighted,dur_mean,peakro_mean,hillslope_rows,subsurface_fraction_of_runvol,drain_fraction_of_runvol,peak_to_volume_1_per_s,approx_intensity_mm_per_hr
2861,1987,10,31,304,75.2,325486.12,159.65107,400,1987-10-31,0.5663150964857994,4200.0,160.0,9790564.899999997,9790564.899999997,1.0,309141.026,14631.582006000006,0.0,68.8497768,0.0,9000.000000000004,1.467910301370088,9000.0,0.8270521294964038,278,0.047329797003390954,0.0,0.0004905003936880627,30.07999999999999
16756,2025,11,15,319,86.6,524359.21,151.19134,400,2025-11-15,0.9633841204867363,3000.0,151.0,9790564.899999997,9790564.899999997,1.0,505775.23799999995,17105.819539000007,0.0,68.92087080000002,0.0,6120.000000000002,1.0215578718710199,6120.0,0.5726045683453237,278,0.03382099053848897,0.0,0.00028833543326148503,50.94117647058822
16106,2024,2,4,35,180.6,1321911.73,149.25292,400,2024-02-04,2.460237982464784,15600.0,149.0,9790564.899999997,9790564.899999997,1.0,1246957.561000001,70821.47630000004,0.0,68.92087080000002,0.0,39600.000000000015,0.9992207897477502,39600.0,0.5662082805755396,278,0.0567954183165661,0.0,0.00011290687313895005,16.41818181818181
4763,1993,1,14,14,79.2,758148.54,144.78128,400,1993-01-14,1.4545859566006507,9000.0,145.0,9790564.899999997,9790564.899999997,1.0,580508.5459999997,176109.2313999999,0.0,68.92087080000002,0.0,21240.000000000007,1.0815909332387352,21240.0,0.6186177014388489,278,0.303370609465584,0.0,0.0001909669047176428,13.423728813559318
8444,2003,2,12,43,131.3,690449.95,137.65446,400,2003-02-12,1.393283245437727,13800.0,138.0,9790564.899999997,9790564.899999997,1.0,677923.4719999997,9753.626816100004,0.0,68.91639080000002,0.0,34200.000000000015,1.00437007301741,34200.0,0.5652307086330933,278,0.014387504222748034,0.0,0.00019936920844153876,13.821052631578944
15339,2021,12,29,363,105.7,753236.81,132.90705,400,2021-12-29,1.5742765129631742,6600.0,133.0,9790564.899999997,9790564.899999997,1.0,671052.1299999998,79625.5483,0.0,68.63883080000002,0.0,15120.000000000005,0.9265204908614006,15120.0,0.5317105115107913,278,0.11865776851047329,0.0,0.00017644789558279817,25.166666666666657
12478,2014,2,28,59,79.8,408803.99,132.84166,400,2014-02-28,0.8548271971976931,11400.0,133.0,9790564.899999997,9790564.899999997,1.0,390175.1780000002,17427.724619999997,0.0,68.92087080000002,0.0,27720.00000000001,1.0769795275358838,27720.0,0.6113811906474825,278,0.04466641037836597,0.0,0.00032495196536609145,10.36363636363636
2237,1986,2,14,45,65.0,503763.64,131.92458,400,1986-02-14,1.0607147238554366,3600.0,132.0,9790564.899999997,9790564.899999997,1.0,425756.1759999998,77579.64959999998,0.0,68.92087080000002,0.0,8280.000000000004,42.15779653194442,8280.0,323.01895389928023,278,0.18221614617282736,0.0,0.0002618779314838998,28.260869565217376
5895,1996,2,20,51,103.9,826900.52,129.53085,400,1996-02-20,1.7732809511316332,10200.0,130.0,9790564.899999997,9790564.899999997,1.0,775315.4329999995,50173.96290000003,0.0,68.92087080000002,0.0,25200.000000000007,100687.99932925201,25200.0,46885.36510735609,278,0.06471425791933134,0.0,0.000156646231157286,14.84285714285714
10252,2008,1,25,25,87.1,571592.13,124.47849,400,2008-01-25,1.2755263312293288,13800.0,124.0,9790564.899999997,9765342.199999996,0.9974237748017991,497736.5395000004,72889.68530000003,0.0,68.3330368,0.0,35189.11077500749,0.8577130729118005,34645.467625899284,0.527817715107914,278,0.14644230333827032,0.0,0.00021777502429923238,8.910711100511838
9140,2005,1,8,8,58.4,514584.55,122.71776,400,2005-01-08,1.1647878251507995,6000.0,123.0,9790564.899999997,9790564.899999997,1.0,399656.9280000002,114093.01520000004,0.0,68.9184488804,0.0,14400.000000000005,0.8931467513972459,14400.0,0.5117332384892086,278,0.28547738624463426,0.0,0.0002384792936360021,14.599999999999993
15779,2023,3,14,73,86.1,420084.89,121.65645,400,2023-03-14,0.9591784670868023,16800.0,122.0,9790564.899999997,9790564.899999997,1.0,370989.223,47060.18859999997,0.0,68.92087080000002,0.0,42480.000000000015,0.9654967441379004,42480.0,0.5454153093525179,278,0.12685055436232975,0.0,0.00028959968067406564,7.296610169491522
4445,1992,3,2,62,73.9,257602.32,120.51982,400,1992-03-02,0.5937297284380278,4200.0,121.0,9790564.899999997,9790564.899999997,1.0,240947.06400000007,14925.549932499993,0.0,68.92087080000002,0.0,9360.000000000004,1.1203875468243303,9360.0,0.6152271974820142,278,0.06194534884434196,0.0,0.00046785223052338965,28.423076923076916
9130,2004,12,29,364,91.7,708869.01,120.36379,400,2004-12-29,1.635940994657391,4800.0,120.0,9790564.899999997,9790564.899999997,1.0,658913.1279999999,48828.592300000026,0.0,68.9184496771,0.0,10440.000000000004,115174.26607194755,10440.0,60622.3493446619,278,0.07410474951107672,0.0,0.0001697969417509167,31.620689655172406
9182,2005,2,19,50,71.6,517932.12,118.7345,400,2005-02-19,1.2116952809278965,6600.0,119.0,9790564.899999997,9790564.899999997,1.0,446540.9620000003,70551.65659999999,0.0,68.92042790000002,0.0,15840.000000000005,3193.8049320813675,15840.0,3232.27435229856,278,0.15799593453646016,0.0,0.00022924722258970925,16.272727272727266
9142,2005,1,10,10,87.1,864153.65,118.42395,400,2005-01-10,2.0269774868644017,4800.0,118.0,9790564.899999997,9790564.899999997,1.0,659429.6120000002,203395.34150000004,0.0,68.91860386000002,0.0,10800.000000000004,136669.50645185568,10800.0,77863.16941309064,278,0.3084413223165962,0.0,0.00013704038627852813,29.033333333333324
16463,2025,1,26,26,112.8,486783.88,117.75182,400,2025-01-26,1.148328275897939,10800.0,118.0,9790564.899999997,9790564.899999997,1.0,478297.5349999999,6123.601121000001,0.0,68.92087080000002,0.0,26280.000000000007,0.8706271259530143,26280.0,0.5016610564748204,278,0.012802911729411278,0.0,0.0002418975336652479,15.452054794520544
9184,2005,2,21,52,66.0,634281.11,117.44194,400,2005-02-21,1.5002238316415941,6600.0,117.0,9790564.899999997,9790564.899999997,1.0,455060.2088000002,178829.2525,0.0,68.9204627,0.0,16200.000000000005,0.8511838234873905,16200.0,0.48571488057553985,278,0.392979322388075,0.0,0.00018515755577207715,14.66666666666666
1156,1983,3,1,60,136.4,1228988.91,116.90556,400,1983-03-01,2.9201845347076163,13200.0,117.0,9790564.899999997,9790564.899999997,1.0,1043042.829,184183.93849999996,0.0,68.92087080000002,0.0,33480.000000000015,0.7525476762159152,33480.0,0.4340553672661875,278,0.1765832939732525,0.0,9.512336445737334e-05,14.66666666666666
1044,1982,11,9,313,97.5,298535.44,115.96301,400,1982-11-09,0.7151117508170158,4800.0,116.0,9790564.899999997,9790564.899999997,1.0,294283.43600000016,2034.3397199999995,0.0,68.92087080000002,0.0,11160.000000000004,0.9284565653134049,11160.0,0.5221202500000003,278,0.006912858391391075,0.0,0.0003884396773796773,31.451612903225797
