site,rank,year,julian,P,RM,Ep,Es,Er,soil_water,soil_water_total
Stevens Canyon,37,9,211,14.4,14.4,4.361141591052965,3.6248427938383627,0.0,289.284908911866,289.284908911866
Stevens Canyon,38,34,203,58.7,58.7,5.342976014630373,3.6217253991700082,0.0,344.52109165084056,344.52109165084056
Stevens Canyon,39,67,140,8.600000000000001,8.600000000000001,4.207872265597524,3.6214904691566434,0.0,292.02234156291763,292.02234156291763
Stevens Canyon,40,66,205,9.1,9.1,4.250330590138566,3.6187838503200394,0.0,290.2351382148133,290.2351382148133
Stevens Canyon,41,1,198,9.7,9.7,4.234215375958359,3.6131082506857983,0.0,274.62231975803616,274.62231975803616
Stevens Canyon,42,49,192,10.7,10.7,4.294940564113385,3.6109411268200033,0.0,292.1021586832665,292.1021586832665
Stevens Canyon,43,67,187,38.7,38.7,4.779417598649504,3.6095681226700433,0.0,320.6013955124148,320.6013955124148
Stevens Canyon,44,13,199,10.7,10.7,4.269306464092284,3.6011169726383914,0.0,292.29663290426953,292.29663290426953
Stevens Canyon,45,60,188,10.5,10.5,4.278458887247661,3.5966167264542452,0.0,293.9992558204966,293.9992558204966
Stevens Canyon,46,93,156,8.300000000000002,8.300000000000002,4.123583737778716,3.5695540550045717,0.0,291.5153836955757,291.5153836955757
Stevens Canyon,47,28,170,18.0,18.0,4.355817683055497,3.5613223605542657,0.0,299.091062108743,299.091062108743
Stevens Canyon,48,74,196,4.099999999999999,4.099999999999999,4.228747977773089,3.545656608285855,0.0,298.85136878385026,298.85136878385026
Stevens Canyon,49,4,213,10.5,10.5,4.197996764436942,3.539939509038475,0.0,273.54346908630515,273.54346908630515
Stevens Canyon,50,15,130,14.700000000000001,14.700000000000001,4.234794963775761,3.5328121263276357,0.0,298.26539635647464,298.26539635647464
Stevens Canyon,51,15,200,11.600000000000001,11.600000000000001,4.210059084194977,3.5237047197017657,0.0,294.2385411830907,294.2385411830907
Stevens Canyon,52,21,211,13.6,13.6,4.212248012942252,3.4974206935359082,0.0,295.262324681719,295.262324681719
Stevens Canyon,53,19,205,47.00000000000001,47.00000000000001,4.818725469508334,3.49447914468594,0.0,329.5097186466906,329.5097186466906
Stevens Canyon,54,40,200,20.200000000000003,20.200000000000003,4.321461630442428,3.48447914468594,0.0,303.3902750228599,303.3902750228599
Stevens Canyon,55,67,188,0.0,0.0,4.602912710135753,3.4838334388408243,0.0,312.4972223394528,312.4972223394528
Stevens Canyon,56,77,191,8.199999999999998,8.199999999999998,4.0351691636772875,3.458410353801787,0.0,289.80273405078424,289.80273405078424
Stevens Canyon,57,24,187,7.4,7.4,3.468646690581698,3.4468361820355904,0.0,289.488179644088,289.488179644088
Stevens Canyon,58,16,185,4.0,4.0,4.110241260462826,3.4406091299148907,0.0,297.4046725750862,297.4046725750862
Stevens Canyon,59,44,184,11.799999999999999,11.799999999999999,4.118781036786946,3.4399690511359635,0.0,295.2589526623057,295.2589526623057
Stevens Canyon,60,32,242,0.30000000000000004,0.30000000000000004,4.395224027572624,3.434390518393473,0.0,312.9521094464374,312.9521094464374
Stevens Canyon,61,92,187,14.5,14.5,4.1892037701343465,3.428410353801787,0.0,296.3346345923894,296.3346345923894
Stevens Canyon,62,24,129,9.799999999999999,9.799999999999999,4.027566293873531,3.4218913976225642,0.0,291.3526461278751,291.3526461278751
Stevens Canyon,63,45,233,37.6,37.6,4.6733199690511364,3.4215179011043113,0.0,322.2697369346557,322.2697369346557
Stevens Canyon,64,83,179,6.7,6.7,2.9122036997960192,3.416639234718998,0.0,295.99759372582116,295.99759372582116
Stevens Canyon,65,90,155,9.799999999999999,9.799999999999999,4.0590082295843,3.4139101076176406,0.0,291.3462368994866,291.3462368994866
Stevens Canyon,66,34,248,12.1,12.1,4.0874221003024545,3.4119406344517134,0.0,295.4212583526763,295.4212583526763
Stevens Canyon,67,55,239,20.099999999999998,20.099999999999998,4.33271576281916,3.403115987901808,0.0,320.2439424632482,320.2439424632482
Stevens Canyon,68,9,193,8.0,8.0,3.9849089118660763,3.4026496447914467,0.0,283.8687944010691,283.8687944010691
Stevens Canyon,69,55,189,28.0,28.0,4.4147035239502,3.4009587114018434,0.0,326.972643314342,326.972643314342
Stevens Canyon,70,49,261,11.300000000000002,11.300000000000002,4.09621509460505,3.3983906590701274,0.0,293.59822325385096,293.59822325385096
Stevens Canyon,71,25,173,6.4,6.4,2.671697967222339,3.397952451290708,0.0,289.9613800379827,289.9613800379827
Stevens Canyon,72,64,156,8.9,8.9,4.014626151790111,3.3963993810227193,0.0,290.80999085601746,290.80999085601746
Stevens Canyon,73,26,211,18.9,18.9,4.220545122036998,3.396243229935992,0.0,301.06838714215377,301.06838714215377
Stevens Canyon,74,37,223,6.200000000000001,6.200000000000001,2.586447914468594,3.3931525638320323,0.0,289.3023584441162,289.3023584441162
Stevens Canyon,75,73,202,11.600000000000001,11.600000000000001,4.062228318210593,3.3907828655834567,0.0,293.20596539354295,293.20596539354295
Stevens Canyon,76,19,203,7.7,7.7,3.7714735879580785,3.3844270943236974,0.0,290.9768572835338,290.9768572835338
Stevens Canyon,77,83,199,9.5,9.5,4.014644439755222,3.380958711401843,0.0,295.2837666174299,295.2837666174299
Stevens Canyon,78,63,201,7.099999999999999,7.099999999999999,3.8238102271927974,3.3766561159175636,0.0,290.33667651403243,290.33667651403243
Stevens Canyon,79,10,132,9.7,9.7,3.998423718083984,3.375449110220159,0.0,294.69805514524865,294.69805514524865
Stevens Canyon,80,4,219,12.699999999999996,12.699999999999996,4.064026165857776,3.3746746852359846,0.0,276.10037208975166,276.10037208975166
Stevens Canyon,81,10,186,0.9,0.9,4.5852606035028485,3.373694872335937,0.0,330.693995920377,330.693995920377
Stevens Canyon,82,83,209,24.000000000000004,24.000000000000004,4.271635366110995,3.3672328902018704,0.0,308.81699796018853,308.81699796018853
Stevens Canyon,83,14,158,6.599999999999999,6.599999999999999,2.8744622634873744,3.3647626081451785,0.0,289.35752338749387,289.35752338749387
Stevens Canyon,84,56,185,7.4,7.4,3.53880776535134,3.3563881268903426,0.0,289.97843989589927,289.97843989589927
Stevens Canyon,85,89,184,6.5,6.5,2.7991186607582472,3.35134486881902,0.0,289.3393704719702,289.3393704719702
Stevens Canyon,86,37,233,9.600000000000001,9.600000000000001,4.013747626081452,3.3507730182176267,0.0,292.5989941619188,292.5989941619188
Stevens Canyon,87,96,205,15.9,15.9,4.103889709502708,3.347232890201871,0.0,297.77285573609055,297.77285573609055
Stevens Canyon,88,39,243,9.7,9.7,4.004626855173384,3.3466146163044246,0.0,291.9873932615883,291.9873932615883
Stevens Canyon,89,100,156,23.4,23.4,4.228798621368783,3.3464486178518675,0.0,305.05998522895123,305.05998522895123
Stevens Canyon,90,64,159,0.0,0.0,4.139350073855244,3.3464043047056338,0.0,294.3913111064218,294.3913111064218
Stevens Canyon,91,69,193,17.599999999999998,17.599999999999998,4.121690933389604,3.321948371667722,0.0,300.1546472532884,300.1546472532884
Stevens Canyon,92,87,187,0.0,0.0,4.297687979179856,3.3191671942041214,0.0,308.36140535978063,308.36140535978063
Stevens Canyon,93,14,145,10.800000000000002,10.800000000000002,3.9616142646127877,3.3158303439544214,0.0,292.5255159316311,292.5255159316311
Stevens Canyon,94,84,137,12.9,12.9,4.002653161707815,3.314105648167687,0.0,297.09862980938317,297.09862980938317
Stevens Canyon,95,43,230,7.7,7.7,3.9880291200675253,3.3109544911022017,0.0,291.79794612084123,291.79794612084123
Stevens Canyon,96,15,176,17.3,17.3,4.075975944292045,3.310555672786102,0.0,300.3089800942534,300.3089800942534
Stevens Canyon,97,43,228,12.9,12.9,4.020486037842021,3.304281493986074,0.0,295.0230076668776,295.0230076668776
Stevens Canyon,98,64,148,8.0,8.0,3.835693887599353,3.3025371034676803,0.0,289.8785003868609,289.8785003868609
Stevens Canyon,99,29,181,6.4,6.4,2.7636582964057115,3.297868045297882,0.0,289.3241591052965,289.3241591052965
Stevens Canyon,100,36,242,7.6,7.6,3.775300696349441,3.2969677147077445,0.0,289.9840521910389,289.9840521910389
Palisades,1,2006,144,0.0,0.0,1.1860991420423563,3.8632569683491904,0.0,170.26803539650714,170.26803539650714
Palisades,2,2006,143,0.0,0.0,1.0615119277744647,3.5101579918029033,0.0,177.2716755563308,177.2716755563308
Palisades,3,1990,149,0.0,0.0,1.00726095416619,3.4937811219656987,0.0,152.07392359566512,152.07392359566512
Palisades,4,1983,122,0.0,0.0,1.0335971912100799,3.4303392516196913,0.0,190.22303750818295,190.22303750818295
Palisades,5,1993,157,0.0,0.0,0.9647067390360698,3.3428560929104303,0.0,148.41866573837828,148.41866573837828
Palisades,6,2024,107,0.0,0.0,0.9934993248448818,3.3247387308570913,0.0,188.363696516633,188.363696516633
Palisades,7,2015,200,4.266574890893169,4.266574890893169,0.9426649659408314,3.2808003046892598,0.0,156.0619723478877,156.0619723478877
Palisades,8,1988,115,0.0,0.0,0.9845905550352878,3.2667958556712082,0.0,182.82891566941143,182.82891566941143
Palisades,9,1996,109,7.569615425357123,7.569615425357123,0.9321197113968377,3.2545145221395755,0.0,154.90310271963972,154.90310271963972
Palisades,10,1999,154,10.268743896483441,10.268743896483441,0.9102634171803504,3.2446956538738627,0.0,141.73829105254185,141.73829105254185
Palisades,11,1998,134,0.0,0.0,0.9627859379186589,3.208904389163489,0.0,203.3464117943796,203.3464117943796
Palisades,12,2000,111,0.0,0.0,0.9640115433992983,3.1819549620676124,0.0,186.65115012229774,186.65115012229774
Palisades,13,2003,125,0.49450203634317347,0.49450203634317347,0.9564657815607762,3.179979666239688,0.0,168.07523631848855,168.07523631848855
Palisades,14,2022,252,9.634293083538008,9.634293083538008,0.8913271980863947,3.1602682017868027,0.0,137.87864276462741,137.87864276462741
Palisades,15,2000,110,0.0,0.0,0.9368044909237053,3.1184677117047648,0.0,194.59757385225038,194.59757385225038
Palisades,16,1998,128,0.0,0.0,0.9349345505079072,3.100771824105878,0.0,174.598976204325,174.598976204325
Palisades,17,2023,234,0.0,0.0,0.9971303884620593,3.0996954728322175,0.0,183.83338792892317,183.83338792892317
Palisades,18,1998,135,0.0,0.0,0.9278393917801413,3.089020251732359,0.0,194.7536884215946,194.7536884215946
Palisades,19,2010,96,0.0,0.0,0.9388206956270724,3.088556261242902,0.0,158.40389262196703,158.40389262196703
Palisades,20,1999,104,0.0,0.0,0.917669637938869,3.072027516614491,0.0,177.44813881352235,177.44813881352235
Palisades,21,2000,91,8.738246541831307,8.738246541831307,0.8930743302666836,3.0357731966007395,0.0,163.25964106994493,163.25964106994493
Palisades,22,2015,260,0.0,0.0,0.9150582876990069,3.019579719960796,0.0,157.45228961885545,157.45228961885545
Palisades,23,1983,113,0.9952655101647916,0.9952655101647916,0.90159148590088,3.0175767529001307,0.0,193.30543719065705,193.30543719065705
Palisades,24,1988,116,0.0,0.0,0.9840802825381411,3.00541800442996,0.0,176.72960274508773,176.72960274508773
Palisades,25,1998,102,0.9952655101647916,0.9952655101647916,0.8965089645644455,2.9937773996064303,0.0,197.1147478975397,197.1147478975397
Palisades,26,1982,103,0.0,0.0,0.8906806280401658,2.970428866367046,0.0,191.44288664722498,191.44288664722498
Palisades,27,2012,105,0.0,0.0,0.8923796246935662,2.969668684898867,0.0,172.74459132056825,172.74459132056825
Palisades,28,1982,270,0.0,0.0,0.8489487050946364,2.959636804000963,0.0,146.94863941211403,146.94863941211403
Palisades,29,2015,199,27.96514315941054,27.96514315941054,0.8341292930911469,2.9590636482068553,0.0,156.14298404742715,156.14298404742715
Palisades,30,1982,102,0.0,0.0,0.8844929193002948,2.955847550635204,0.0,198.39438966100917,198.39438966100917
Palisades,31,1990,150,0.0,0.0,1.0259756401798634,2.9527123721941706,0.0,147.73276132728557,147.73276132728557
Palisades,32,2023,235,0.0,0.0,1.0345691711823488,2.945273507456144,0.0,175.51592910823769,175.51592910823769
Palisades,33,2015,261,0.0,0.0,0.9922032850218881,2.9415995954431597,0.0,152.8488456059364,152.8488456059364
Palisades,34,2003,124,0.0,0.0,0.8767283006315598,2.9373739668484284,0.0,173.26679226272228,173.26679226272228
Palisades,35,2012,106,0.0,0.0,0.8991194052551555,2.9147705048153028,0.0,167.42046405759487,167.42046405759487
Palisades,36,2006,145,0.0,0.0,1.12223406485973,2.9052418259338624,0.0,164.4044030577847,164.4044030577847
Palisades,37,1996,107,8.368346769245152,8.368346769245152,0.8215099327925396,2.9007024723364006,0.0,149.86349113175277,149.86349113175277
Palisades,38,2003,122,9.57508657850784,9.57508657850784,0.8286573230314828,2.8982693593093902,0.0,151.13837520784932,151.13837520784932
Palisades,39,2019,137,0.0,0.0,0.8756118589234821,2.8971667054676273,0.0,148.62659146664765,148.62659146664765
Palisades,40,1992,93,0.0,0.0,0.9054055183271396,2.864510279789884,0.0,200.1213580803699,200.1213580803699
Palisades,41,1988,113,4.2799853305706606,4.2799853305706606,0.8498341957776103,2.856556007713098,0.0,189.6725233222242,189.6725233222242
Palisades,42,1982,260,6.764079545604158,6.764079545604158,0.7832841330738739,2.8382845631307774,0.0,136.82320270784373,136.82320270784373
Palisades,43,1999,105,0.0,0.0,1.0238576470699867,2.831122881581634,0.0,171.53239594836847,171.53239594836847
Palisades,44,2024,93,0.0,0.0,0.8453791909392269,2.829678290575447,0.0,202.0029783686944,202.0029783686944
Palisades,45,1983,120,4.083598522491791,4.083598522491791,0.8414945363367129,2.827194355557563,0.0,200.55227534746228,200.55227534746228
Palisades,46,2010,282,0.0,0.0,0.8246582180360194,2.8242417793481973,0.0,156.5479762532395,156.5479762532395
Palisades,47,1990,93,10.855660004868572,10.855660004868572,0.7848414373924425,2.7936094494404533,0.0,148.65129541922536,148.65129541922536
Palisades,48,2010,283,0.0,0.0,0.8681337180043616,2.7893825677004607,0.0,152.31105242579008,152.31105242579008
Palisades,49,1980,86,7.009042358730495,7.009042358730495,0.8283679536203272,2.788359360040604,0.0,180.09639614982777,180.09639614982777
Palisades,50,1983,112,0.0,0.0,0.8277650149686461,2.7686518523563435,0.0,199.90821052337859,199.90821052337859
Palisades,51,1988,107,0.0,0.0,0.8231221214824893,2.7664743459287005,0.0,155.26445624838257,155.26445624838257
Palisades,52,2003,78,0.0,0.0,0.8291668818823726,2.7647159745603647,0.0,207.89839643440808,207.89839643440808
Palisades,53,1985,88,0.0,0.0,0.8047475082872895,2.754144797610198,0.0,162.1674535282432,162.1674535282432
Palisades,54,2005,119,0.0,0.0,0.8055173436417337,2.752531911820532,0.0,164.8892594273085,164.8892594273085
Palisades,55,1992,92,6.27286092960785,6.27286092960785,0.8135970769163687,2.7379469900659172,0.0,206.93585589172687,206.93585589172687
Palisades,56,1999,103,0.0,0.0,0.8176491683334841,2.7355863316936913,0.0,184.07808282420962,184.07808282420962
Palisades,57,1994,86,0.0,0.0,0.8175388111670654,2.7340614246885813,0.0,183.29211436053095,183.29211436053095
Palisades,58,2015,201,0.0,0.0,0.8079651297750963,2.7321299181623333,0.0,152.12555047482505,152.12555047482505
Palisades,59,1988,106,0.7961299771374779,0.7961299771374779,0.7827573889020439,2.726640172417427,0.0,159.41326969825815,159.41326969825815
Palisades,60,1996,38,0.0,0.0,0.8099885478518198,2.714150528842315,0.0,186.71721196669654,186.71721196669654
Palisades,61,1994,85,0.0,0.0,0.8105202267746565,2.710919859792768,0.0,189.69860740119304,189.69860740119304
Palisades,62,2007,111,0.0,0.0,0.7759691947907928,2.7099060954082437,0.0,145.61229165928924,145.61229165928924
Palisades,63,1986,269,0.0,0.0,0.7822797623250527,2.701734783658907,0.0,152.77316911437865,152.77316911437865
Palisades,64,2011,88,0.0,0.0,0.8173292083483353,2.6965792177119448,0.0,195.11216506056778,195.11216506056778
Palisades,65,2007,264,5.42420253605591,5.42420253605591,0.6553481595326539,2.689272570472415,0.0,132.92678432130103,132.92678432130103
Palisades,66,1998,136,0.0,0.0,0.9822736763636594,2.685232986505201,0.0,187.5225648794791,187.5225648794791
Palisades,67,2020,102,0.0,0.0,0.8031991211252781,2.684481895523719,0.0,214.85366550350935,214.85366550350935
Palisades,68,2025,260,4.919330405541767,4.919330405541767,0.6625117217700076,2.683360974911672,0.0,134.25265587749695,134.25265587749695
Palisades,69,1999,100,0.0,0.0,0.8834063618739708,2.6819309012496295,0.0,161.7340025395265,161.7340025395265
Palisades,70,2024,108,0.0,0.0,0.9248997138050734,2.681304243946128,0.0,182.3260572681562,182.3260572681562
Palisades,71,2009,288,1.031466599031482,1.031466599031482,0.8016539766770753,2.6750727325243484,0.0,186.75338585743907,186.75338585743907
Palisades,72,2001,111,10.65874833330608,10.65874833330608,0.7755698449024119,2.672122578340701,0.0,156.27182708292963,156.27182708292963
Palisades,73,2006,96,0.0,0.0,0.7983802064373219,2.6678748969837236,0.0,226.7607585414195,226.7607585414195
Palisades,74,2009,289,0.0,0.0,0.8057289429744743,2.66413045788604,0.0,180.8055979989469,180.8055979989469
Palisades,75,1982,94,0.0,0.0,0.8318376041815524,2.658950831018952,0.0,196.2917795092701,196.2917795092701
Palisades,76,2012,118,0.0,0.0,0.984517173263414,2.6579509662409766,0.0,152.99727549009955,152.99727549009955
Palisades,77,1989,261,7.788549717902388,7.788549717902388,0.7450711019749229,2.656859900698886,0.0,136.9505195751269,136.9505195751269
Palisades,78,2023,91,0.0,0.0,0.7936991774601277,2.652115616740356,0.0,214.84714227817437,214.84714227817437
Palisades,79,2003,106,0.0,0.0,0.7931042142420196,2.643757456936934,0.0,169.35478489642614,169.35478489642614
Palisades,80,2003,105,1.9909899060063432,1.9909899060063432,0.7788085850899165,2.6396418393590326,0.0,173.94929197160013,173.94929197160013
Palisades,81,2001,98,0.0,0.0,0.7903229023077103,2.6372916406488436,0.0,168.71920718956676,168.71920718956676
Palisades,82,1999,99,0.5022153205889072,0.5022153205889072,0.7950268661208705,2.634936985198882,0.0,166.46451698941297,166.46451698941297
Palisades,83,1993,89,0.0,0.0,0.7866785076926457,2.634788579461846,0.0,218.50446249439594,218.50446249439594
Palisades,84,1990,147,7.799713372003694,7.799713372003694,0.7236873080735102,2.62896313061568,0.0,138.2981497933791,138.2981497933791
Palisades,85,1986,97,0.9952655101647916,0.9952655101647916,0.8201349677994579,2.6251978641191576,0.0,171.099646540722,171.099646540722
Palisades,86,1983,226,5.205423533835113,5.205423533835113,0.7909474191831359,2.624548966423786,0.0,135.5210852254297,135.5210852254297
Palisades,87,1983,121,4.045971858069191,4.045971858069191,0.7847939947775634,2.62250283096535,0.0,197.719707811344,197.719707811344
Palisades,88,2011,280,0.0,0.0,0.8019336087542805,2.6208370775418657,0.0,165.23093834646846,165.23093834646846
Palisades,89,2013,69,0.0,0.0,0.7858665936630481,2.6204813085912964,0.0,158.73558634967017,158.73558634967017
Palisades,90,1982,92,0.0,0.0,0.7832811510191815,2.6160726972965587,0.0,210.87924885110556,210.87924885110556
Palisades,91,1990,148,22.11067956865287,22.11067956865287,0.7365145499418518,2.613957313637745,0.0,156.76842892895797,156.76842892895797
Palisades,92,2011,279,0.0,0.0,0.7920091589403583,2.608157516018302,0.0,169.87642460426358,169.87642460426358
Palisades,93,2012,89,0.5004962277508623,0.5004962277508623,0.8212978544271743,2.6045549088796687,0.0,171.58158770613946,171.58158770613946
Palisades,94,2024,94,0.0,0.0,0.877847331873567,2.601513152218623,0.0,194.64775339163518,194.64775339163518
Palisades,95,1993,158,0.0,0.0,1.0496649837845413,2.597298596222982,0.0,144.61384208647655,144.61384208647655
Palisades,96,2011,281,0.0,0.0,0.8109810920103288,2.5927990019248024,0.0,160.58145400108626,160.58145400108626
Palisades,97,2000,71,0.0,0.0,0.7754054394757136,2.59227411362137,0.0,209.38475363541076,209.38475363541076
Palisades,98,2024,106,0.0,0.0,0.775150942618234,2.590571101980032,0.0,195.53385063623855,195.53385063623855
Palisades,99,1986,266,17.416500567806864,17.416500567806864,0.7289810694171489,2.5869223384648645,0.0,146.61925947756092,146.61925947756092
Palisades,100,1986,78,0.0,0.0,0.8102884059325315,2.5847073700517535,0.0,213.43462622876842,213.43462622876842
