"SR- LS GR-L"|"Yes"|"Yes"|"Stratified loamy sand to gravelly loam"|"7933867"|"15149498"
"L"|"No "|"No "|"Loam"|"8068018"|"15505574"
"CL"|"No "|"No "|"Clay loam"|"8068018"|"15653745"
"SICL"|"No "|"No "|"Silty clay loam"|"8068019"|"15357403"
"SIL"|"No "|"No "|"Silt loam"|"8068019"|"15505575"
"SIL"|"No "|"No "|"Silt loam"|"8068020"|"15209232"
"SICL"|"No "|"No "|"Silty clay loam"|"8068020"|"15653746"
"SIC"|"No "|"No "|"Silty clay"|"8068021"|"15357404"
"C"|"No "|"No "|"Clay"|"8068021"|"15505576"
"SICL"|"No "|"No "|"Silty clay loam"|"8068021"|"15653747"
"L"|"No "|"No "|"Loam"|"8068022"|"15209233"
"SIL"|"No "|"No "|"Silt loam"|"8068022"|"15357405"
"CL"|"No "|"No "|"Clay loam"|"8068022"|"15505577"
"CL"|"No "|"No "|"Clay loam"|"8068023"|"15209234"
"L"|"No "|"No "|"Loam"|"8068023"|"15357406"
"SICL"|"No "|"No "|"Silty clay loam"|"8068023"|"15653748"
"SICL"|"No "|"No "|"Silty clay loam"|"8068024"|"15505578"
"SIC"|"No "|"No "|"Silty clay"|"8068024"|"15653749"
"CL"|"No "|"No "|"Clay loam"|"8068025"|"15209235"
"L"|"No "|"No "|"Loam"|"8068025"|"15357407"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"8068026"|"15505579"
"SIC"|"No "|"Yes"|"Silty clay"|"8068027"|"15653750"
"SIC"|"No "|"No "|"Silty clay"|"8068028"|"15209236"
"C"|"No "|"No "|"Clay"|"8068028"|"15357408"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8068029"|"15505580"
"SIL"|"No "|"No "|"Silt loam"|"8068030"|"15209237"
"SICL"|"No "|"No "|"Silty clay loam"|"8068030"|"15653751"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8068031"|"15357409"
"CL"|"No "|"No "|"Clay loam"|"8068032"|"15209238"
"L"|"No "|"No "|"Loam"|"8068032"|"15505581"
"SIL"|"No "|"No "|"Silt loam"|"8068032"|"15653752"
"SICL"|"No "|"No "|"Silty clay loam"|"8068033"|"15357410"
"SIC"|"No "|"No "|"Silty clay"|"8068033"|"15505582"
"GRV-LS"|"No "|"No "|"Very gravelly loamy sand"|"8068034"|"15209239"
"GR-S"|"No "|"No "|"Gravelly sand"|"8068034"|"15357411"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"8068034"|"15653753"
"L"|"No "|"Yes"|"Loam"|"8068035"|"15505583"
"SIL"|"No "|"No "|"Silt loam"|"8068036"|"15209240"
"SICL"|"No "|"No "|"Silty clay loam"|"8068036"|"15653754"
"SIL"|"No "|"No "|"Silt loam"|"8068037"|"15357412"
"SICL"|"No "|"No "|"Silty clay loam"|"8068037"|"15505584"
"SIL"|"No "|"No "|"Silt loam"|"8068038"|"15209241"
"SICL"|"No "|"No "|"Silty clay loam"|"8068038"|"15653755"
"SR- FSL SIL"|"Yes"|"Yes"|"Stratified fine sandy loam to silt loam"|"8068039"|"15357413"
"SICL"|"No "|"No "|"Silty clay loam"|"8068040"|"15505585"
"SIL"|"No "|"No "|"Silt loam"|"8068040"|"15653756"
"GR-S"|"No "|"No "|"Gravelly sand"|"8068041"|"15209242"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"8068041"|"15357414"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"8068041"|"15505586"
"L"|"No "|"No "|"Loam"|"8068042"|"15209243"
"CL"|"No "|"No "|"Clay loam"|"8068042"|"15653757"
"SIL"|"No "|"No "|"Silt loam"|"8068043"|"15357415"
"SICL"|"No "|"No "|"Silty clay loam"|"8068043"|"15505587"
"SIC"|"No "|"Yes"|"Silty clay"|"8068044"|"15653758"
"SIL"|"No "|"Yes"|"Silt loam"|"8068045"|"15209244"
"SIC"|"No "|"Yes"|"Silty clay"|"8068046"|"15357416"
"SIL"|"No "|"No "|"Silt loam"|"8068047"|"15505588"
"SICL"|"No "|"No "|"Silty clay loam"|"8068047"|"15653759"
"CL"|"No "|"No "|"Clay loam"|"8068048"|"15209245"
"L"|"No "|"No "|"Loam"|"8068048"|"15357417"
"SICL"|"No "|"No "|"Silty clay loam"|"8068049"|"15505589"
"SIL"|"No "|"No "|"Silt loam"|"8068049"|"15653760"
"SICL"|"No "|"No "|"Silty clay loam"|"8068050"|"15209246"
"SIL"|"No "|"No "|"Silt loam"|"8068050"|"15357418"
"L"|"No "|"No "|"Loam"|"8068051"|"15505590"
"SIL"|"No "|"No "|"Silt loam"|"8068051"|"15653761"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8068052"|"15209247"
"L"|"No "|"Yes"|"Loam"|"8068053"|"15357419"
"SR- SL SIL"|"Yes"|"Yes"|"Stratified sandy loam to silt loam"|"8068054"|"15505591"
"LFS"|"No "|"No "|"Loamy fine sand"|"8068055"|"15209248"
"FS"|"No "|"No "|"Fine sand"|"8068055"|"15357420"
"LS"|"No "|"No "|"Loamy sand"|"8068055"|"15653762"
"FS"|"No "|"No "|"Fine sand"|"8068056"|"15209249"
"LS"|"No "|"No "|"Loamy sand"|"8068056"|"15505592"
"LFS"|"No "|"No "|"Loamy fine sand"|"8068056"|"15653763"
"CL"|"No "|"Yes"|"Clay loam"|"8068057"|"15357421"
"SCL"|"No "|"No "|"Sandy clay loam"|"8068058"|"15209250"
"CL"|"No "|"No "|"Clay loam"|"8068058"|"15505593"
"L"|"No "|"No "|"Loam"|"8068058"|"15653764"
"SICL"|"No "|"No "|"Silty clay loam"|"8068059"|"15357422"
"SIC"|"No "|"No "|"Silty clay"|"8068059"|"15505594"
"FSL"|"No "|"No "|"Fine sandy loam"|"8068060"|"15209251"
"SL"|"No "|"No "|"Sandy loam"|"8068060"|"15357423"
"L"|"No "|"No "|"Loam"|"8068060"|"15653765"
"SIL"|"No "|"No "|"Silt loam"|"8068061"|"15209252"
"L"|"No "|"No "|"Loam"|"8068061"|"15505595"
"CL"|"No "|"No "|"Clay loam"|"8068061"|"15653766"
"L"|"No "|"No "|"Loam"|"8068062"|"15357424"
"CL"|"No "|"No "|"Clay loam"|"8068062"|"15505596"
"SICL"|"No "|"No "|"Silty clay loam"|"8068063"|"15209253"
"C"|"No "|"No "|"Clay"|"8068063"|"15357425"
"CL"|"No "|"No "|"Clay loam"|"8068063"|"15653767"
"CL"|"No "|"No "|"Clay loam"|"8068064"|"15505597"
"L"|"No "|"No "|"Loam"|"8068064"|"15653768"
"L"|"No "|"No "|"Loam"|"8068065"|"15209254"
"CL"|"No "|"No "|"Clay loam"|"8068065"|"15357426"
"SICL"|"No "|"No "|"Silty clay loam"|"8068066"|"15505598"
"SIC"|"No "|"No "|"Silty clay"|"8068066"|"15653769"
"SICL"|"No "|"No "|"Silty clay loam"|"8068067"|"15209255"
"SIL"|"No "|"No "|"Silt loam"|"8068067"|"15357427"
"SICL"|"No "|"No "|"Silty clay loam"|"8068068"|"15505599"
"SIL"|"No "|"No "|"Silt loam"|"8068068"|"15653770"
"SICL"|"No "|"No "|"Silty clay loam"|"8068069"|"15209256"
"SIL"|"No "|"No "|"Silt loam"|"8068069"|"15357428"
"SIL"|"No "|"Yes"|"Silt loam"|"8068070"|"15505600"
"CL"|"No "|"Yes"|"Clay loam"|"8068071"|"15653771"
"SICL"|"No "|"No "|"Silty clay loam"|"8068072"|"15209257"
"SIL"|"No "|"No "|"Silt loam"|"8068072"|"15357429"
"SIC"|"No "|"Yes"|"Silty clay"|"8068073"|"15505601"
"C"|"No "|"No "|"Clay"|"8068074"|"15209258"
"SIC"|"No "|"No "|"Silty clay"|"8068074"|"15653772"
"CL"|"No "|"No "|"Clay loam"|"8068075"|"15357430"
"L"|"No "|"No "|"Loam"|"8068075"|"15505602"
"C"|"No "|"No "|"Clay"|"8068076"|"15209259"
"CL"|"No "|"No "|"Clay loam"|"8068076"|"15357431"
"SIC"|"No "|"No "|"Silty clay"|"8068076"|"15653773"
"CL"|"No "|"No "|"Clay loam"|"8068077"|"15209260"
"SIC"|"No "|"No "|"Silty clay"|"8068077"|"15505603"
"C"|"No "|"No "|"Clay"|"8068077"|"15653774"
"FSL"|"No "|"No "|"Fine sandy loam"|"8068078"|"15357432"
"LFS"|"No "|"No "|"Loamy fine sand"|"8068078"|"15505604"
"LS"|"No "|"No "|"Loamy sand"|"8068078"|"15653775"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"8068079"|"15209261"
"GR-S"|"No "|"No "|"Gravelly sand"|"8068079"|"15357433"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"8068079"|"15505605"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"8068080"|"15653776"
"LS"|"No "|"No "|"Loamy sand"|"8068081"|"15209262"
"FSL"|"No "|"No "|"Fine sandy loam"|"8068081"|"15357434"
"S"|"No "|"No "|"Sand"|"8068081"|"15505606"
"CL"|"No "|"No "|"Clay loam"|"8068082"|"15209263"
"L"|"No "|"No "|"Loam"|"8068082"|"15653777"
"L"|"No "|"No "|"Loam"|"8068083"|"15357435"
"CL"|"No "|"No "|"Clay loam"|"8068083"|"15505607"
"SR- SL CL"|"Yes"|"Yes"|"Stratified sandy loam to clay loam"|"8068084"|"15653778"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8068085"|"15209264"
"SIL"|"No "|"Yes"|"Silt loam"|"8068086"|"15357436"
"C"|"No "|"No "|"Clay"|"8068087"|"15209265"
"CL"|"No "|"No "|"Clay loam"|"8068087"|"15505608"
"SIC"|"No "|"No "|"Silty clay"|"8068087"|"15653779"
"SICL"|"No "|"No "|"Silty clay loam"|"8068088"|"15357437"
"SIL"|"No "|"No "|"Silt loam"|"8068088"|"15505609"
"SICL"|"No "|"No "|"Silty clay loam"|"8068089"|"15209266"
"CL"|"No "|"No "|"Clay loam"|"8068089"|"15357438"
"SIL"|"No "|"No "|"Silt loam"|"8068089"|"15653780"
"SIC"|"No "|"No "|"Silty clay"|"8068090"|"15209267"
"CL"|"No "|"No "|"Clay loam"|"8068090"|"15505610"
"SICL"|"No "|"No "|"Silty clay loam"|"8068090"|"15653781"
"SG"|"No "|"No "|"Sand and gravel"|"8068091"|"15357439"
"LS"|"No "|"No "|"Loamy sand"|"8068091"|"15505611"
"S"|"No "|"No "|"Sand"|"8068091"|"15653782"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8068092"|"15209268"
"SICL"|"No "|"No "|"Silty clay loam"|"8068093"|"15357440"
"SIL"|"No "|"No "|"Silt loam"|"8068093"|"15505612"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"8068094"|"15209269"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"8068094"|"15357441"
"GR-L"|"No "|"No "|"Gravelly loam"|"8068094"|"15653783"
"GR-S"|"No "|"No "|"Gravelly sand"|"8068095"|"15209270"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"8068095"|"15505613"
"GRV-LS"|"No "|"No "|"Very gravelly loamy sand"|"8068095"|"15653784"
"SIL"|"No "|"Yes"|"Silt loam"|"8068096"|"15357442"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8068097"|"15505614"
"SIL"|"No "|"No "|"Silt loam"|"8068098"|"15209271"
"SICL"|"No "|"No "|"Silty clay loam"|"8068098"|"15653785"
"SIL"|"No "|"Yes"|"Silt loam"|"8068099"|"15357443"
"SICL"|"No "|"No "|"Silty clay loam"|"8068100"|"15505615"
"SIL"|"No "|"No "|"Silt loam"|"8068100"|"15653786"
"GRX-S"|"No "|"No "|"Extremely gravelly sand"|"8068101"|"15209272"
"GRV-LS"|"No "|"No "|"Very gravelly loamy sand"|"8068101"|"15357444"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"8068101"|"15505616"
"CL"|"No "|"No "|"Clay loam"|"8068102"|"15209273"
"L"|"No "|"No "|"Loam"|"8068102"|"15653787"
"SIL"|"No "|"No "|"Silt loam"|"8068103"|"15357445"
"SICL"|"No "|"No "|"Silty clay loam"|"8068103"|"15505617"
"CL"|"No "|"No "|"Clay loam"|"8068103"|"15653788"
"CL"|"No "|"No "|"Clay loam"|"8068104"|"15209274"
"SICL"|"No "|"No "|"Silty clay loam"|"8068104"|"15357446"
"SIC"|"No "|"No "|"Silty clay"|"8068104"|"15505618"
"COS"|"No "|"No "|"Coarse sand"|"8068105"|"15209275"
"GRV-COS"|"No "|"No "|"Very gravelly coarse sand"|"8068105"|"15357447"
"GR-COS"|"No "|"No "|"Gravelly coarse sand"|"8068105"|"15653789"
"CL"|"No "|"No "|"Clay loam"|"8068106"|"15209276"
"SIL"|"No "|"No "|"Silt loam"|"8068106"|"15505619"
"SICL"|"No "|"No "|"Silty clay loam"|"8068106"|"15653790"
"SIC"|"No "|"No "|"Silty clay"|"8068107"|"15357448"
"C"|"No "|"No "|"Clay"|"8068107"|"15505620"
"SICL"|"No "|"No "|"Silty clay loam"|"8068107"|"15653791"
"CL"|"No "|"No "|"Clay loam"|"8068108"|"15209277"
"L"|"No "|"No "|"Loam"|"8068108"|"15357449"
"CL"|"No "|"No "|"Clay loam"|"8068109"|"15505621"
"L"|"No "|"No "|"Loam"|"8068109"|"15653792"
"CL"|"No "|"No "|"Clay loam"|"8068110"|"15209278"
"SICL"|"No "|"No "|"Silty clay loam"|"8068110"|"15357450"
"SIC"|"No "|"No "|"Silty clay"|"8068110"|"15505622"
"CL"|"No "|"No "|"Clay loam"|"8068111"|"15209279"
"L"|"No "|"No "|"Loam"|"8068111"|"15357451"
"SICL"|"No "|"No "|"Silty clay loam"|"8068111"|"15653793"
"SIC"|"No "|"No "|"Silty clay"|"8068112"|"15209280"
"C"|"No "|"No "|"Clay"|"8068112"|"15505623"
"CL"|"No "|"No "|"Clay loam"|"8068112"|"15653794"
"SIC"|"No "|"No "|"Silty clay"|"8068113"|"15357452"
"C"|"No "|"No "|"Clay"|"8068113"|"15505624"
"CL"|"No "|"No "|"Clay loam"|"8068114"|"15209281"
"L"|"No "|"No "|"Loam"|"8068114"|"15653795"
"L"|"No "|"Yes"|"Loam"|"8068115"|"15357453"
"CL"|"No "|"Yes"|"Clay loam"|"8068116"|"15505625"
"SR- SIL CL"|"Yes"|"Yes"|"Stratified silt loam to clay loam"|"8068117"|"15653796"
"CL"|"No "|"Yes"|"Clay loam"|"8068118"|"15209282"
"SIC"|"No "|"Yes"|"Silty clay"|"8068119"|"15357454"
"SIL"|"No "|"Yes"|"Silt loam"|"8068120"|"15505626"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8068121"|"15653797"
"L"|"No "|"No "|"Loam"|"8068122"|"15209283"
"SIL"|"No "|"No "|"Silt loam"|"8068122"|"15357455"
"L"|"No "|"No "|"Loam"|"8068123"|"15209284"
"SICL"|"No "|"No "|"Silty clay loam"|"8068123"|"15505627"
"SIL"|"No "|"No "|"Silt loam"|"8068123"|"15653798"
"SIL"|"No "|"No "|"Silt loam"|"8068124"|"15357456"
"SICL"|"No "|"No "|"Silty clay loam"|"8068124"|"15505628"
"L"|"No "|"No "|"Loam"|"8068124"|"15653799"
"FSL"|"No "|"No "|"Fine sandy loam"|"8068125"|"15209285"
"SL"|"No "|"No "|"Sandy loam"|"8068125"|"15357457"
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|"8068126"|"15505629"
"CL"|"No "|"No "|"Clay loam"|"8068127"|"15209286"
"SICL"|"No "|"No "|"Silty clay loam"|"8068127"|"15357458"
"L"|"No "|"No "|"Loam"|"8068127"|"15653800"
"SIL"|"No "|"No "|"Silt loam"|"8068128"|"15505630"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"8068128"|"15653801"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8068129"|"15209287"
"SICL"|"No "|"No "|"Silty clay loam"|"8068130"|"15357459"
"CL"|"No "|"No "|"Clay loam"|"8068130"|"15505631"
"C"|"No "|"No "|"Clay"|"8068130"|"15653802"
"SR- SIL SIC"|"Yes"|"Yes"|"Stratified silt loam to silty clay"|"8068131"|"15209288"
"SIL"|"No "|"Yes"|"Silt loam"|"8068132"|"15357460"
"SR- VFS C"|"Yes"|"Yes"|"Stratified very fine sand to clay"|"8068133"|"15505632"
"SIL"|"No "|"Yes"|"Silt loam"|"8068134"|"15653803"
"SIL"|"No "|"Yes"|"Silt loam"|"8068135"|"15209289"
"SIC"|"No "|"No "|"Silty clay"|"8068136"|"15357461"
"SICL"|"No "|"No "|"Silty clay loam"|"8068136"|"15505633"
"CL"|"No "|"No "|"Clay loam"|"8068136"|"15653804"
"SIL"|"No "|"No "|"Silt loam"|"8068137"|"15209290"
"SICL"|"No "|"No "|"Silty clay loam"|"8068137"|"15357462"
"SICL"|"No "|"No "|"Silty clay loam"|"8068138"|"15209291"
"C"|"No "|"No "|"Clay"|"8068138"|"15505634"
"SIC"|"No "|"No "|"Silty clay"|"8068138"|"15653805"
"SIL"|"No "|"No "|"Silt loam"|"8068139"|"15357463"
"SICL"|"No "|"No "|"Silty clay loam"|"8068139"|"15505635"
"SICL"|"No "|"No "|"Silty clay loam"|"8068140"|"15209292"
"L"|"No "|"No "|"Loam"|"8068140"|"15357464"
"SIL"|"No "|"No "|"Silt loam"|"8068140"|"15653806"
"SIL"|"No "|"No "|"Silt loam"|"8068141"|"15505636"
"SICL"|"No "|"No "|"Silty clay loam"|"8068141"|"15653807"
"L"|"No "|"Yes"|"Loam"|"8068142"|"15209293"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8068143"|"15357465"
"L"|"No "|"Yes"|"Loam"|"8068144"|"15505637"
"L"|"No "|"Yes"|"Loam"|"8068145"|"15653808"
"C"|"No "|"No "|"Clay"|"8068146"|"15209294"
"SIC"|"No "|"No "|"Silty clay"|"8068146"|"15357466"
"FSL"|"No "|"No "|"Fine sandy loam"|"8068147"|"15209295"
"L"|"No "|"No "|"Loam"|"8068147"|"15505638"
"SL"|"No "|"No "|"Sandy loam"|"8068147"|"15653809"
"L"|"No "|"No "|"Loam"|"8068148"|"15357467"
"CL"|"No "|"No "|"Clay loam"|"8068148"|"15505639"
"GR-S"|"No "|"No "|"Gravelly sand"|"8068149"|"15209296"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"8068149"|"15357468"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"8068149"|"15653810"
"SIL"|"No "|"Yes"|"Silt loam"|"8068150"|"15505640"
"L"|"No "|"Yes"|"Loam"|"8068151"|"15653811"
"L"|"No "|"Yes"|"Loam"|"8068152"|"15209297"
"CL"|"No "|"No "|"Clay loam"|"8068153"|"15357469"
"C"|"No "|"No "|"Clay"|"8068153"|"15505641"
"C"|"No "|"No "|"Clay"|"8068154"|"15209298"
"CL"|"No "|"No "|"Clay loam"|"8068154"|"15357470"
"SIC"|"No "|"No "|"Silty clay"|"8068154"|"15653812"
"L"|"No "|"No "|"Loam"|"8068155"|"15505642"
"CL"|"No "|"No "|"Clay loam"|"8068155"|"15653813"
"L"|"No "|"Yes"|"Loam"|"8068156"|"15209299"
"SIL"|"No "|"Yes"|"Silt loam"|"8068157"|"15357471"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8068158"|"15505643"
"L"|"No "|"No "|"Loam"|"8068159"|"15209300"
"CL"|"No "|"No "|"Clay loam"|"8068159"|"15653814"
"L"|"No "|"Yes"|"Loam"|"8068160"|"15357472"
"CL"|"No "|"No "|"Clay loam"|"8068161"|"15505644"
"L"|"No "|"No "|"Loam"|"8068161"|"15653815"
"SR- LS SICL"|"Yes"|"Yes"|"Stratified loamy sand to silty clay loam"|"8068162"|"15209301"
"FSL"|"No "|"No "|"Fine sandy loam"|"8068163"|"15357473"
"LFS"|"No "|"No "|"Loamy fine sand"|"8068163"|"15505645"
"LS"|"No "|"No "|"Loamy sand"|"8068163"|"15653816"
"SIL"|"No "|"Yes"|"Silt loam"|"8068164"|"15209302"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"8068165"|"15357474"
"LS"|"No "|"No "|"Loamy sand"|"8068166"|"15505646"
"LFS"|"No "|"No "|"Loamy fine sand"|"8068166"|"15653817"
"FS"|"No "|"No "|"Fine sand"|"8068167"|"15209303"
"LS"|"No "|"No "|"Loamy sand"|"8068167"|"15357475"
"S"|"No "|"No "|"Sand"|"8068167"|"15505647"
"C"|"No "|"No "|"Clay"|"8068168"|"15209304"
"CL"|"No "|"No "|"Clay loam"|"8068168"|"15357476"
"SIC"|"No "|"No "|"Silty clay"|"8068168"|"15653818"
"SIL"|"No "|"No "|"Silt loam"|"8068169"|"15209305"
"L"|"No "|"No "|"Loam"|"8068169"|"15505648"
"CL"|"No "|"No "|"Clay loam"|"8068169"|"15653819"
"L"|"No "|"No "|"Loam"|"8068170"|"15357477"
"CL"|"No "|"No "|"Clay loam"|"8068170"|"15505649"
"SIL"|"No "|"No "|"Silt loam"|"8068170"|"15653820"
"L"|"No "|"No "|"Loam"|"8068171"|"15209306"
"CL"|"No "|"No "|"Clay loam"|"8068171"|"15357478"
"SIL"|"No "|"No "|"Silt loam"|"8068171"|"15505650"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8068172"|"15653821"
"SIC"|"No "|"No "|"Silty clay"|"8068173"|"15209307"
"C"|"No "|"No "|"Clay"|"8068173"|"15357479"
"SICL"|"No "|"No "|"Silty clay loam"|"8068173"|"15505651"
"L"|"No "|"No "|"Loam"|"8068174"|"15209308"
"CL"|"No "|"No "|"Clay loam"|"8068174"|"15653822"
"SR- LFS SICL"|"Yes"|"Yes"|"Stratified loamy fine sand to silty clay loam"|"8068175"|"15357480"
"SIL"|"No "|"Yes"|"Silt loam"|"8068176"|"15505652"
"CL"|"No "|"No "|"Clay loam"|"8068177"|"15209309"
"L"|"No "|"No "|"Loam"|"8068177"|"15653823"
"SIC"|"No "|"No "|"Silty clay"|"8068178"|"15357481"
"SICL"|"No "|"No "|"Silty clay loam"|"8068178"|"15505653"
"SICL"|"No "|"No "|"Silty clay loam"|"8068179"|"15209310"
"L"|"No "|"No "|"Loam"|"8068179"|"15357482"
"SIC"|"No "|"No "|"Silty clay"|"8068179"|"15653824"
"L"|"No "|"Yes"|"Loam"|"8068180"|"15505654"
"CL"|"No "|"No "|"Clay loam"|"8068181"|"15209311"
"L"|"No "|"No "|"Loam"|"8068181"|"15653825"
"CL"|"No "|"No "|"Clay loam"|"8068182"|"15357483"
"L"|"No "|"No "|"Loam"|"8068182"|"15505655"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8068183"|"15653826"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8068184"|"15209312"
"L"|"No "|"Yes"|"Loam"|"8068185"|"15357484"
"SIL"|"No "|"No "|"Silt loam"|"8068186"|"15505656"
"SICL"|"No "|"No "|"Silty clay loam"|"8068186"|"15653827"
"L"|"No "|"Yes"|"Loam"|"8068187"|"15209313"
"C"|"No "|"No "|"Clay"|"8068188"|"15357485"
"SIC"|"No "|"No "|"Silty clay"|"8068188"|"15505657"
"L"|"No "|"Yes"|"Loam"|"8068189"|"15653828"
"CL"|"No "|"No "|"Clay loam"|"8068190"|"15209314"
"SICL"|"No "|"No "|"Silty clay loam"|"8068190"|"15357486"
"SIC"|"No "|"No "|"Silty clay"|"8068190"|"15505658"
"SR- GR-COS FS"|"Yes"|"Yes"|"Stratified gravelly coarse sand to fine sand"|"8068191"|"15653829"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"8068192"|"15209315"
"GR-S"|"No "|"No "|"Gravelly sand"|"8068192"|"15357487"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"8068192"|"15505659"
"SR- FSL SICL"|"Yes"|"Yes"|"Stratified fine sandy loam to silty clay loam"|"8068193"|"15653830"
"L"|"No "|"Yes"|"Loam"|"8068194"|"15209316"
"SIL"|"No "|"Yes"|"Silt loam"|"8068195"|"15357488"
"CL"|"No "|"Yes"|"Clay loam"|"8068196"|"15505660"
"CL"|"No "|"No "|"Clay loam"|"8068197"|"15209317"
"L"|"No "|"No "|"Loam"|"8068197"|"15357489"
"SICL"|"No "|"No "|"Silty clay loam"|"8068197"|"15653831"
"SCL"|"No "|"No "|"Sandy clay loam"|"8068198"|"15209318"
"CL"|"No "|"No "|"Clay loam"|"8068198"|"15505661"
"SICL"|"No "|"No "|"Silty clay loam"|"8068198"|"15653832"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"8068199"|"15357490"
"GR-S"|"No "|"No "|"Gravelly sand"|"8068199"|"15505662"
"GRV-COS"|"No "|"No "|"Very gravelly coarse sand"|"8068199"|"15653833"
"LFS"|"No "|"No "|"Loamy fine sand"|"8068200"|"15209319"
"FS"|"No "|"No "|"Fine sand"|"8068200"|"15357491"
"SL"|"No "|"No "|"Sandy loam"|"8068200"|"15505663"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"8068201"|"15209320"
"SIL"|"No "|"No "|"Silt loam"|"8068201"|"15653834"
"SIL"|"No "|"Yes"|"Silt loam"|"8068202"|"15357492"
"SL"|"No "|"No "|"Sandy loam"|"8068203"|"15209321"
"LFS"|"No "|"No "|"Loamy fine sand"|"8068203"|"15505664"
"FS"|"No "|"No "|"Fine sand"|"8068203"|"15653835"
"LS"|"No "|"Yes"|"Loamy sand"|"8068204"|"15357493"
"L"|"No "|"No "|"Loam"|"8068205"|"15209322"
"GR-L"|"No "|"No "|"Gravelly loam"|"8068205"|"15505665"
"SL"|"No "|"No "|"Sandy loam"|"8068205"|"15653836"
"L"|"No "|"Yes"|"Loam"|"8068206"|"15357494"
"L"|"No "|"Yes"|"Loam"|"8068207"|"15505666"
"SIL"|"No "|"Yes"|"Silt loam"|"8068208"|"15653837"
"SICL"|"No "|"No "|"Silty clay loam"|"8068209"|"15209323"
"SIC"|"No "|"No "|"Silty clay"|"8068209"|"15357495"
"CL"|"No "|"No "|"Clay loam"|"8068210"|"15209324"
"C"|"No "|"No "|"Clay"|"8068210"|"15505667"
"SIC"|"No "|"No "|"Silty clay"|"8068210"|"15653838"
"CL"|"No "|"No "|"Clay loam"|"8068211"|"15357496"
"L"|"No "|"No "|"Loam"|"8068211"|"15505668"
"C"|"No "|"No "|"Clay"|"8068211"|"15653839"
"L"|"No "|"No "|"Loam"|"8068212"|"15209325"
"CL"|"No "|"No "|"Clay loam"|"8068212"|"15357497"
"SIL"|"No "|"Yes"|"Silt loam"|"8068213"|"15505669"
"SICL"|"No "|"No "|"Silty clay loam"|"8068214"|"15209326"
"CL"|"No "|"No "|"Clay loam"|"8068214"|"15357498"
"SIC"|"No "|"No "|"Silty clay"|"8068214"|"15653840"
"L"|"No "|"No "|"Loam"|"8068215"|"15505670"
"CL"|"No "|"No "|"Clay loam"|"8068215"|"15653841"
"CL"|"No "|"No "|"Clay loam"|"8068216"|"15209327"
"SICL"|"No "|"No "|"Silty clay loam"|"8068216"|"15357499"
"SICL"|"No "|"No "|"Silty clay loam"|"8068217"|"15505671"
"SIL"|"No "|"No "|"Silt loam"|"8068217"|"15653842"
"SIC"|"No "|"No "|"Silty clay"|"8068218"|"15209328"
"SICL"|"No "|"No "|"Silty clay loam"|"8068218"|"15357500"
"SICL"|"No "|"No "|"Silty clay loam"|"8068219"|"15505672"
"SIL"|"No "|"No "|"Silt loam"|"8068219"|"15653843"
"SIL"|"No "|"No "|"Silt loam"|"8068220"|"15209329"
"SICL"|"No "|"No "|"Silty clay loam"|"8068220"|"15357501"
"CNV-C"|"No "|"No "|"Very channery clay"|"8068221"|"15209330"
"C"|"No "|"No "|"Clay"|"8068221"|"15505673"
"CN-C"|"No "|"No "|"Channery clay"|"8068221"|"15653844"
"C"|"No "|"No "|"Clay"|"8068222"|"15357502"
"CN-C"|"No "|"No "|"Channery clay"|"8068222"|"15505674"
"CNV-C"|"No "|"No "|"Very channery clay"|"8068222"|"15653845"
