"SR- LS GR-L"|"Yes"|"Yes"|"Stratified loamy sand to gravelly loam"|"7933867"|"15149498"
"CL"|"No "|"No "|"Clay loam"|"7939389"|"15152069"
"L"|"No "|"No "|"Loam"|"7939389"|"15596583"
"L"|"No "|"No "|"Loam"|"7939390"|"15300241"
"CL"|"No "|"No "|"Clay loam"|"7939390"|"15448413"
"FSL"|"No "|"No "|"Fine sandy loam"|"7939390"|"15596584"
"SICL"|"No "|"No "|"Silty clay loam"|"7939395"|"15152073"
"L"|"No "|"No "|"Loam"|"7939395"|"15448416"
"CL"|"No "|"No "|"Clay loam"|"7939395"|"15596587"
"L"|"No "|"Yes"|"Loam"|"7939626"|"15152191"
"SL"|"No "|"No "|"Sandy loam"|"7939627"|"15300363"
"L"|"No "|"No "|"Loam"|"7939627"|"15448535"
"COSL"|"No "|"No "|"Coarse sandy loam"|"7939627"|"15596706"
"L"|"No "|"No "|"Loam"|"7939628"|"15152192"
"CL"|"No "|"No "|"Clay loam"|"7939628"|"15300364"
"SIC"|"No "|"No "|"Silty clay"|"7939629"|"15152193"
"CL"|"No "|"No "|"Clay loam"|"7939629"|"15448536"
"SICL"|"No "|"No "|"Silty clay loam"|"7939629"|"15596707"
"L"|"No "|"No "|"Loam"|"7939630"|"15300365"
"CL"|"No "|"No "|"Clay loam"|"7939630"|"15448537"
"L"|"No "|"No "|"Loam"|"7939633"|"15152195"
"CL"|"No "|"No "|"Clay loam"|"7939633"|"15596709"
"SICL"|"No "|"No "|"Silty clay loam"|"7939634"|"15300367"
"SIL"|"No "|"No "|"Silt loam"|"7939634"|"15448539"
"SIL"|"No "|"No "|"Silt loam"|"7939635"|"15152196"
"SICL"|"No "|"No "|"Silty clay loam"|"7939635"|"15596710"
"SICL"|"No "|"No "|"Silty clay loam"|"7939636"|"15300368"
"SIL"|"No "|"No "|"Silt loam"|"7939636"|"15448540"
"SR- GR-S CL"|"Yes"|"Yes"|"Stratified gravelly sand to clay loam"|"7939637"|"15596711"
"SIL"|"No "|"No "|"Silt loam"|"7940039"|"15448725"
"SICL"|"No "|"No "|"Silty clay loam"|"7940039"|"15596896"
"SICL"|"No "|"No "|"Silty clay loam"|"7940040"|"15152382"
"L"|"No "|"No "|"Loam"|"7940040"|"15300554"
"CL"|"No "|"No "|"Clay loam"|"7940040"|"15448726"
"LVFS"|"No "|"No "|"Loamy very fine sand"|"7942241"|"15153313"
"L"|"No "|"No "|"Loam"|"7942241"|"15449656"
"SIL"|"No "|"No "|"Silt loam"|"7942241"|"15597827"
"SIL"|"No "|"No "|"Silt loam"|"7942242"|"15301485"
"L"|"No "|"No "|"Loam"|"7942242"|"15449657"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"7942327"|"15449692"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"7942328"|"15597863"
"SIC"|"No "|"Yes"|"Silty clay"|"7942360"|"15449707"
"C"|"No "|"No "|"Clay"|"7942361"|"15153364"
"SIC"|"No "|"No "|"Silty clay"|"7942361"|"15597878"
"SIC"|"No "|"No "|"Silty clay"|"7942431"|"15301565"
"C"|"No "|"No "|"Clay"|"7942431"|"15449737"
"FS"|"No "|"Yes"|"Fine sand"|"7942474"|"15597927"
"FS"|"No "|"No "|"Fine sand"|"7942478"|"15301586"
"LFS"|"No "|"No "|"Loamy fine sand"|"7942478"|"15449758"
"LS"|"No "|"No "|"Loamy sand"|"7942478"|"15597929"
"FS"|"No "|"Yes"|"Fine sand"|"7942479"|"15153415"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"7942483"|"15597931"
"LFS"|"No "|"No "|"Loamy fine sand"|"7942484"|"15153417"
"LS"|"No "|"No "|"Loamy sand"|"7942484"|"15301589"
"FS"|"No "|"No "|"Fine sand"|"7942484"|"15449761"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7942485"|"15597932"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7942486"|"15153418"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"7942487"|"15301590"
"SL"|"No "|"No "|"Sandy loam"|"7942488"|"15153419"
"FSL"|"No "|"No "|"Fine sandy loam"|"7942488"|"15449762"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7942488"|"15597933"
"SCL"|"No "|"No "|"Sandy clay loam"|"7942820"|"15153583"
"L"|"No "|"No "|"Loam"|"7942820"|"15449926"
"CL"|"No "|"No "|"Clay loam"|"7942820"|"15598097"
"SR- FSL SICL"|"Yes"|"Yes"|"Stratified fine sandy loam to silty clay loam"|"7942821"|"15301755"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942822"|"15449927"
"SCL"|"No "|"No "|"Sandy clay loam"|"7942823"|"15153584"
"FSL"|"No "|"No "|"Fine sandy loam"|"7942823"|"15301756"
"L"|"No "|"No "|"Loam"|"7942823"|"15598098"
"CL"|"No "|"No "|"Clay loam"|"7942824"|"15153585"
"L"|"No "|"No "|"Loam"|"7942824"|"15449928"
"FSL"|"No "|"No "|"Fine sandy loam"|"7942824"|"15598099"
"L"|"No "|"No "|"Loam"|"7942825"|"15301757"
"CL"|"No "|"No "|"Clay loam"|"7942825"|"15449929"
"SICL"|"No "|"No "|"Silty clay loam"|"7942825"|"15598100"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942826"|"15153586"
"CL"|"No "|"No "|"Clay loam"|"7942827"|"15301758"
"L"|"No "|"No "|"Loam"|"7942827"|"15449930"
"SIL"|"No "|"No "|"Silt loam"|"7942828"|"15153587"
"CL"|"No "|"No "|"Clay loam"|"7942828"|"15301759"
"L"|"No "|"No "|"Loam"|"7942828"|"15598101"
"SR- FSL SICL"|"Yes"|"Yes"|"Stratified fine sandy loam to silty clay loam"|"7942829"|"15449931"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"7942830"|"15598102"
"SL"|"No "|"No "|"Sandy loam"|"7942831"|"15153588"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"7942831"|"15301760"
"CL"|"No "|"No "|"Clay loam"|"7942831"|"15449932"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942832"|"15598103"
"CL"|"No "|"No "|"Clay loam"|"7942833"|"15153589"
"C"|"No "|"No "|"Clay"|"7942833"|"15301761"
"SIC"|"No "|"No "|"Silty clay"|"7942833"|"15449933"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7942834"|"15598104"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7942835"|"15153590"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942836"|"15301762"
"CNV-L"|"No "|"No "|"Very channery loam"|"7942837"|"15153591"
"GRV-SIL"|"No "|"No "|"Very gravelly silt loam"|"7942837"|"15449934"
"GRV-L"|"No "|"No "|"Very gravelly loam"|"7942837"|"15598105"
"GR-VFSL"|"No "|"Yes"|"Gravelly very fine sandy loam"|"7942838"|"15301763"
"FSL"|"No "|"No "|"Fine sandy loam"|"7942839"|"15449935"
"SL"|"No "|"No "|"Sandy loam"|"7942839"|"15598106"
"L"|"No "|"No "|"Loam"|"7942840"|"15153592"
"CL"|"No "|"No "|"Clay loam"|"7942840"|"15301764"
"SICL"|"No "|"No "|"Silty clay loam"|"7942840"|"15449936"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7942841"|"15598107"
"C"|"No "|"Yes"|"Clay"|"7942842"|"15153593"
"C"|"No "|"Yes"|"Clay"|"7942843"|"15301765"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7942844"|"15449937"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7942845"|"15153594"
"GR-L"|"No "|"No "|"Gravelly loam"|"7942845"|"15598108"
"CL"|"No "|"No "|"Clay loam"|"7942846"|"15301766"
"C"|"No "|"No "|"Clay"|"7942846"|"15449938"
"SIC"|"No "|"No "|"Silty clay"|"7942846"|"15598109"
"FSL"|"No "|"No "|"Fine sandy loam"|"7942847"|"15153595"
"LFS"|"No "|"No "|"Loamy fine sand"|"7942847"|"15301767"
"SL"|"No "|"No "|"Sandy loam"|"7942847"|"15449939"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7942848"|"15598110"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942849"|"15153596"
"L"|"No "|"Yes"|"Loam"|"7942850"|"15301768"
"L"|"No "|"Yes"|"Loam"|"7942851"|"15449940"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7942852"|"15598111"
"SIL"|"No "|"Yes"|"Silt loam"|"7942853"|"15153597"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942854"|"15301769"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942855"|"15449941"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942856"|"15598112"
"L"|"No "|"Yes"|"Loam"|"7942857"|"15153598"
"L"|"No "|"No "|"Loam"|"7942858"|"15301770"
"CL"|"No "|"No "|"Clay loam"|"7942858"|"15449942"
"SL"|"No "|"No "|"Sandy loam"|"7942858"|"15598113"
"SIC"|"No "|"No "|"Silty clay"|"7942859"|"15153599"
"CL"|"No "|"No "|"Clay loam"|"7942859"|"15301771"
"L"|"No "|"No "|"Loam"|"7942859"|"15449943"
"SR- LFS L"|"Yes"|"Yes"|"Stratified loamy fine sand to loam"|"7942860"|"15598114"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942861"|"15153600"
