julian,precip_mm,unb_swe,brn_swe,unb_melt,brn_melt,unb_soil_evap,brn_soil_evap,unb_saturation,brn_saturation,unb_suction,brn_suction,unb_runoff,brn_runoff
137,0.00,280.3,188.0,15.2,18.3,0.010,0.650,0.950,0.970,0.97,0.97,0.0000,2.2689
138,0.00,257.8,160.8,22.8,27.6,0.020,0.950,0.980,0.960,0.97,0.97,4.0710,9.7023
139,0.00,218.2,114.0,39.6,47.0,0.020,0.950,0.980,0.970,0.97,0.97,21.6786,27.8248
140,0.00,182.3,71.8,35.8,42.3,0.020,1.010,0.980,0.970,0.97,0.97,18.0628,23.8463
141,3.60,152.4,36.0,29.9,35.6,0.010,0.530,0.990,0.980,0.97,0.97,15.5438,21.3793
142,3.60,135.8,16.0,16.5,20.2,0.000,0.360,1.000,0.990,0.97,0.97,3.3540,6.9199
143,0.00,114.6,0.0,21.3,16.1,0.010,0.650,0.990,0.970,0.97,0.97,4.6937,0.0000
144,0.00,83.7,0.0,31.0,0.0,0.010,0.820,0.990,0.740,0.97,0.97,13.6875,0.0000
145,0.00,51.6,0.0,32.2,0.0,0.010,0.780,0.990,0.650,0.97,12.87,14.5791,0.0000
146,0.00,22.3,0.0,29.6,0.0,0.010,0.860,0.990,0.610,0.97,23.64,11.9494,0.0000
147,7.90,0.0,0.0,22.4,0.0,0.010,0.620,0.990,0.690,0.97,29.45,12.7387,0.0000
148,5.80,0.0,0.0,0.0,0.0,0.000,0.320,0.860,0.730,0.97,24.26,0.0000,0.0000
149,0.00,0.0,0.0,0.0,0.0,0.010,0.790,0.730,0.650,3.99,21.38,0.0000,0.0000
150,4.60,0.0,0.0,0.0,0.0,0.010,0.500,0.760,0.690,16.64,26.76,0.0000,0.0000
151,0.00,0.0,0.0,0.0,0.0,0.010,0.700,0.690,0.640,18.44,24.73,0.0000,0.0000
152,0.00,0.0,0.0,0.0,0.0,0.010,0.650,0.670,0.610,23.63,28.33,0.0000,0.0000
153,0.00,0.0,0.0,0.0,0.0,0.010,0.910,0.650,0.560,26.75,30.83,0.0000,0.0000
154,0.00,0.0,0.0,0.0,0.0,0.010,0.920,0.630,0.520,28.83,33.75,0.0000,0.0000
155,0.00,0.0,0.0,0.0,0.0,0.010,0.690,0.620,0.480,30.39,36.69,0.0000,0.0000
156,0.00,0.0,0.0,0.0,0.0,0.010,0.760,0.610,0.440,31.58,38.91,0.0000,0.0000
157,0.00,0.0,0.0,0.0,0.0,0.010,0.400,0.600,0.420,32.86,41.34,0.0000,0.0000
158,0.00,0.0,0.0,0.0,0.0,0.010,0.560,0.590,0.380,33.53,42.79,0.0000,0.0000
159,0.00,0.0,0.0,0.0,0.0,0.010,0.490,0.570,0.360,34.73,45.01,0.0000,0.0000
160,0.00,0.0,0.0,0.0,0.0,0.010,0.420,0.560,0.350,36.04,47.29,0.0000,0.0000
161,0.00,0.0,0.0,0.0,0.0,0.010,0.310,0.540,0.340,37.33,49.51,0.0000,0.0000
162,0.00,0.0,0.0,0.0,0.0,0.020,0.000,0.520,0.340,38.86,51.79,0.0000,0.0000
163,0.00,0.0,0.0,0.0,0.0,0.010,0.000,0.510,0.340,40.47,53.85,0.0000,0.0000
164,4.60,0.0,0.0,0.0,0.0,0.020,0.920,0.580,0.370,41.70,55.50,0.0000,0.0000
165,0.00,0.0,0.0,0.0,0.0,0.010,0.240,0.570,0.360,37.84,52.95,0.0000,0.0000
166,13.20,0.0,0.0,0.0,0.0,0.010,0.490,0.740,0.500,38.54,54.19,0.0000,0.0000
167,32.80,0.0,0.0,0.0,0.0,0.000,0.170,0.980,0.840,23.49,39.95,0.0000,0.0000
168,24.60,0.0,0.0,0.0,0.0,0.000,0.210,1.000,0.990,0.97,6.55,7.4450,0.0559
169,0.00,0.0,0.0,0.0,0.0,0.010,0.610,0.780,0.750,0.97,0.97,0.0000,0.0000
170,5.80,0.0,0.0,0.0,0.0,0.010,0.770,0.780,0.730,9.96,11.35,0.0000,0.0000
171,0.00,0.0,0.0,0.0,0.0,0.010,0.960,0.700,0.640,14.24,16.85,0.0000,0.0000
172,0.00,0.0,0.0,0.0,0.0,0.010,0.940,0.670,0.590,22.05,25.65,0.0000,0.0000
173,0.00,0.0,0.0,0.0,0.0,0.010,1.040,0.650,0.540,26.47,30.81,0.0000,0.0000
174,0.00,0.0,0.0,0.0,0.0,0.010,1.000,0.630,0.490,28.93,34.61,0.0000,0.0000
175,0.00,0.0,0.0,0.0,0.0,0.020,1.070,0.610,0.430,30.49,37.82,0.0000,0.0000
176,0.00,0.0,0.0,0.0,0.0,0.020,0.850,0.590,0.380,32.19,41.24,0.0000,0.0000
