         27492 function calls (26972 primitive calls) in 53.950 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:553(<listcomp>)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/dtypes/cast.py:1157(maybe_infer_to_datetimelike)
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.10/dist-packages/pyarrow/pandas_compat.py:348(_get_columns_to_convert)
      8/6    0.000    0.000    0.002    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/indexes/base.py:6956(insert)
     1164    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      234    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       21    0.000    0.000    0.003    0.000 /usr/lib/python3.10/re.py:288(_compile)
     20/8    0.000    0.000    0.023    0.003 <frozen importlib._bootstrap>:1022(_find_and_load)
      186    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:22(_is_dunder)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.10/concurrent/futures/process.py:271(__init__)
       50    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/generic.py:6301(__setattr__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/lib/function_base.py:5250(insert)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pyarrow/fs.py:135(_resolve_filesystem_and_path)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        9    0.000    0.000    0.191    0.021 /usr/lib/python3.10/concurrent/futures/process.py:717(submit)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.10/ssl.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.003    0.002 /usr/local/lib/python3.10/dist-packages/pandas/core/frame.py:694(__init__)
       34    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/_dtype.py:344(_name_get)
       20    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/dtypes/common.py:1596(pandas_dtype)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:292(_optimize_charset)
     18/6    0.000    0.000    0.023    0.004 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       17    0.000    0.000   53.497    3.147 /usr/lib/python3.10/concurrent/futures/_base.py:430(result)
     17/6    0.000    0.000    0.022    0.004 <frozen importlib._bootstrap>:664(_load_unlocked)
       67    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.10/dist-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      185    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:33(_is_sunder)
        6    0.000    0.000    0.003    0.001 /usr/local/lib/python3.10/dist-packages/pandas/core/internals/managers.py:1347(insert)
       10    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        8    0.000    0.000    0.003    0.000 /usr/lib/python3.10/enum.py:483(_create_)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:590(_find_data_type)
     30/8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:175(getwidth)
       26    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/generic.py:278(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/json/encoder.py:204(iterencode)
        9    0.000    0.000    0.190    0.021 /usr/lib/python3.10/concurrent/futures/process.py:674(_start_executor_manager_thread)
        6    0.000    0.000    0.004    0.001 /usr/lib/python3.10/threading.py:916(start)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/numeric.py:2359(within_tol)
       10    0.000    0.000    0.000    0.000 {built-in method posix.write}
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/indexes/base.py:2313(is_unique)
      149    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:12(_is_descriptor)
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/internals/managers.py:1863(from_array)
     10/6    0.000    0.000    0.020    0.003 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/arrays/arrow/extension_types.py:1(<module>)
       14    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/generic.py:6236(__finalize__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        6    0.000    0.000    0.003    0.001 /usr/lib/python3.10/threading.py:589(wait)
        4    0.000    0.000    0.005    0.001 /usr/local/lib/python3.10/dist-packages/pandas/core/tools/datetimes.py:314(_convert_listlike_datetimes)
        6    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/reshape/concat.py:405(__init__)
        4    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/arrays/datetimes.py:329(_from_sequence_not_strict)
       14    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/indexes/base.py:649(_simple_new)
        1    0.000    0.000    0.017    0.017 /usr/local/lib/python3.10/dist-packages/pyarrow/parquet/core.py:1(<module>)
       15    0.000    0.000    0.000    0.000 /usr/lib/python3.10/abc.py:7(abstractmethod)
       38    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_weakrefset.py:86(add)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/arrays/datetimes.py:545(_box_func)
        4    0.000    0.000    0.005    0.001 /usr/local/lib/python3.10/dist-packages/pandas/core/tools/datetimes.py:673(to_datetime)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/indexes/base.py:842(_engine)
        6    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/indexes/base.py:674(_with_infer)
      178    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      348    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/util/version/__init__.py:339(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      182    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/dtypes/generic.py:37(_check)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/indexes/base.py:5323(__contains__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        2    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/numeric.py:2278(isclose)
        8    0.000    0.000    0.003    0.000 /usr/lib/python3.10/concurrent/futures/thread.py:180(_adjust_thread_count)
       32    0.000    0.000    0.001    0.000 /usr/lib/python3.10/multiprocessing/util.py:205(__call__)
      236    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:165(__getitem__)
      182    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
       49    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/arrays/_ranges.py:24(generate_regular_range)
     15/4    0.000    0.000    0.002    0.000 /usr/lib/python3.10/sre_parse.py:436(_parse_sub)
        6    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/reshape/concat.py:622(get_result)
        6    0.000    0.000    0.004    0.001 /usr/local/lib/python3.10/dist-packages/pandas/core/frame.py:4481(_set_item_mgr)
        6    0.000    0.000    0.004    0.001 /usr/local/lib/python3.10/dist-packages/pandas/core/frame.py:4271(__setitem__)
        2    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/pandas/io/common.py:664(get_handle)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pyarrow/pandas_compat.py:120(get_extension_dtype_info)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.10/warnings.py:458(__enter__)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/dtypes/missing.py:184(_isna)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/dtypes/cast.py:1240(_ensure_nanosecond_dtype)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/connection.py:181(send_bytes)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      148    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:626(_find_new_)
        8    0.000    0.000    0.003    0.000 /usr/lib/python3.10/concurrent/futures/thread.py:161(submit)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:456(urlsplit)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/internals/managers.py:1012(iget)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/_ufunc_config.py:33(seterr)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:579(_get_mixins_)
       52    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/internals/managers.py:2004(internal_values)
        4    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/dtypes/cast.py:1200(maybe_cast_to_datetime)
       10    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.10/concurrent/futures/_base.py:330(__init__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/dtypes/missing.py:305(_isna_string_dtype)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/dtypes/concat.py:52(concat_compat)
       14    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/_config/config.py:127(_get_single_key)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/series.py:6459(any)
        6    0.000    0.000    0.003    0.000 /usr/lib/python3.10/enum.py:536(_convert_)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/common.py:231(asarray_tuplesafe)
       20    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/connection.py:390(_send_bytes)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:165(__prepare__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:545(__init__)
       20    0.000    0.000    0.003    0.000 /usr/lib/python3.10/enum.py:359(__call__)
       14    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/generic.py:807(_set_axis)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/indexes/base.py:2744(inferred_type)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/arrays/datetimes.py:304(_simple_new)
       22    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/_dtype.py:34(__str__)
       64    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:94(<genexpr>)
        2    0.000    0.000    0.005    0.003 /usr/local/lib/python3.10/dist-packages/pyarrow/parquet/core.py:1843(write_table)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/dtypes/cast.py:1519(construct_1d_arraylike_from_scalar)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/numeric.py:1348(normalize_axis_tuple)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/compat/_optional.py:85(import_optional_dependency)
        2    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/pyarrow/pandas_compat.py:184(construct_metadata)
       22    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/internals/blocks.py:2645(maybe_coerce_values)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/internals/managers.py:1402(_insert_update_mgr_locs)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/io/common.py:304(_get_filepath_or_buffer)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        6    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/frame.py:4062(__getitem__)
        3    0.000    0.000    0.208    0.069 /usr/lib/python3.10/concurrent/futures/_base.py:648(__exit__)
       68    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pyarrow/vendored/version.py:306(__init__)
        1    0.000    0.000    0.014    0.014 /usr/local/lib/python3.10/dist-packages/pyarrow/fs.py:1(<module>)
        4    0.000    0.000    0.003    0.001 /usr/lib/python3.10/sre_compile.py:783(compile)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/numeric.py:1411(moveaxis)
       64    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/_config/__init__.py:34(using_copy_on_write)
        4    0.000    0.000    0.002    0.001 /usr/lib/python3.10/sre_parse.py:944(parse)
       17    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        2    0.000    0.000    0.036    0.018 /usr/local/lib/python3.10/dist-packages/pandas/io/parquet.py:409(to_parquet)
      119    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:173(append)
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/internals/blocks.py:2716(new_block)
       14    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/_config/config.py:635(_get_root)
       74    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       79    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      133    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       40    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:264(__enter__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1028(_stop)
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/indexes/base.py:5373(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/arrays/arrow/extension_types.py:63(__init__)
        9    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       20    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       26    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/numerictypes.py:356(issubdtype)
       22    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/arrays/datetimes.py:2184(_sequence_to_dt64)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1301(_make_invoke_excepthook)
       67    0.000    0.000    0.001    0.000 /usr/lib/python3.10/abc.py:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        6    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/reshape/concat.py:157(concat)
       39    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_weakrefset.py:39(_remove)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/numeric.py:290(full)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/indexes/base.py:3777(get_loc)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/internals/blocks.py:2827(external_values)
      232    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        2    0.000    0.000    0.036    0.018 /usr/local/lib/python3.10/dist-packages/pandas/core/frame.py:3018(to_parquet)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pyarrow/pandas_compat.py:105(get_logical_type_from_numpy)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:428(acquire)
   115/14    0.000    0.000    0.001    0.000 /usr/lib/python3.10/abc.py:121(__subclasscheck__)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/reshape/concat.py:494(_clean_keys_and_objs)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/arrays/arrow/extension_types.py:22(__init__)
       34    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/_dtype.py:330(_name_includes_bit_suffix)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.10/concurrent/futures/process.py:589(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/concurrent/futures/thread.py:1(<module>)
        6    0.000    0.000    0.207    0.035 /usr/lib/python3.10/threading.py:1102(_wait_for_tstate_lock)
      346    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/random.py:519(<listcomp>)
        4    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/io/common.py:605(check_parent_directory)
        2    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.020    0.010 /usr/local/lib/python3.10/dist-packages/pandas/io/parquet.py:162(__init__)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        6    0.000    0.000    0.001    0.000 /usr/lib/python3.10/warnings.py:130(filterwarnings)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1430(current_thread)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_strptime.py:238(pattern)
       52    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/numpy/core/numerictypes.py:282(issubclass_)
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:90(RLock)
       18    0.000    0.000    0.000    0.000 /home/roger/.local/lib/python3.10/site-packages/_distutils_hack/__init__.py:103(find_spec)
     10/6    0.000    0.000    0.022    0.004 <frozen importlib._bootstrap_external>:877(exec_module)
       14    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/_config/config.py:145(_get_option)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/concurrent/futures/thread.py:123(__init__)
       36    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/construction.py:481(ensure_wrapped_if_datetimelike)
       40    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:267(__exit__)
       32    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/series.py:734(name)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:560(_compile_info)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/pandas/core/reshape/concat.py:480(_get_ndims)
       32    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:461(close_fds)
