site,policy,mukey,cokey,compname,comppct_r,thickness_cm,status,reason_codes,horizon_count,interval_sum_cm,interval_union_cm,deepest_bottom_cm
moscow_mountain,strict_soil,1689277,26387420,Taney,70.0,152.0,valid,,4,152.0,152.0,152.0
moscow_mountain,strict_soil,1689277,26387421,Joel,20.0,152.0,valid,,4,152.0,152.0,152.0
moscow_mountain,strict_soil,1689280,26387422,Aldermand,50.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,strict_soil,1689280,26387423,Keeler,25.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,strict_soil,2375734,26387427,Sinkler,50.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,strict_soil,2375734,26387428,Santa,30.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,strict_soil,2437917,26387434,Crumarine,85.0,152.0,valid,,4,152.0,152.0,152.0
moscow_mountain,strict_soil,2437917,26387435,Porrett,10.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,strict_soil,2437917,26387436,Aquandic Endoaquepts,5.0,152.0,valid,,3,152.0,152.0,152.0
moscow_mountain,strict_soil,2487253,26387450,Larkin,30.0,162.0,valid,,4,162.0,162.0,162.0
moscow_mountain,strict_soil,2487253,26387451,Driscoll,40.0,173.0,valid,,2,173.0,173.0,173.0
moscow_mountain,strict_soil,2487255,26387452,Garfield,90.0,152.0,valid,,3,152.0,152.0,152.0
moscow_mountain,strict_soil,2487260,26387453,Joel,90.0,152.0,valid,,4,152.0,152.0,152.0
moscow_mountain,strict_soil,2487269,26387462,Larkin,85.0,162.0,valid,,4,162.0,162.0,162.0
moscow_mountain,strict_soil,2487272,26387467,Latahco,55.0,152.0,valid,,4,152.0,152.0,152.0
moscow_mountain,strict_soil,2487272,26387468,Lovell,35.0,,unavailable,thickness_conflict,3,152.0,152.0,152.0
moscow_mountain,strict_soil,2487272,26387469,Aquolls,5.0,150.0,valid,,5,150.0,150.0,150.0
moscow_mountain,strict_soil,2487290,26387486,Southwick,85.0,152.0,valid,,3,152.0,152.0,152.0
moscow_mountain,strict_soil,2487291,26387487,Southwick,85.0,152.0,valid,,3,152.0,152.0,152.0
moscow_mountain,strict_soil,2501171,26387531,Brodeer,60.0,170.0,valid,,6,170.0,170.0,170.0
moscow_mountain,strict_soil,2501171,26387532,Mushel,35.0,173.0,valid,,7,173.0,173.0,173.0
moscow_mountain,strict_soil,2501175,26387535,Carlinton,50.0,157.0,valid,,5,157.0,157.0,157.0
moscow_mountain,strict_soil,2501175,26387536,Kruse,35.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,all_layers,644246,26387167,Mannering,25.0,160.0,valid,,6,160.0,160.0,160.0
moscow_mountain,all_layers,644246,26387168,Aquandic Endoaquepts,50.0,152.0,valid,,3,152.0,152.0,152.0
moscow_mountain,all_layers,644246,26387169,Porrett,20.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,644262,26387176,Bouldercreek,40.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,644262,26387177,Jacot,45.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,all_layers,644802,26387213,Carrico,20.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,644802,26387214,Kruse,15.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,644802,26387215,Carlinton,45.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,all_layers,644804,26387216,Kruse,20.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,644804,26387217,Carrico,25.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,644804,26387218,Carrico,40.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,644904,26387237,Jacot,20.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,all_layers,644904,26387238,Brequito,15.0,163.0,valid,,8,163.0,163.0,163.0
moscow_mountain,all_layers,644904,26387239,Brequito,20.0,163.0,valid,,8,163.0,163.0,163.0
moscow_mountain,all_layers,644904,26387240,Jacot,35.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,all_layers,644910,26387243,Mushel,20.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,644910,26387244,Jacot,50.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,all_layers,644912,26387245,Joel,80.0,155.0,valid,,5,155.0,155.0,155.0
moscow_mountain,all_layers,645296,26387270,Hildebrand,25.0,152.0,valid,,4,152.0,152.0,152.0
moscow_mountain,all_layers,645296,26387271,Porrett,10.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,645296,26387272,Spacecreek,50.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,645304,26387275,Taney,75.0,152.0,valid,,4,152.0,152.0,152.0
moscow_mountain,all_layers,678582,26387292,Lado,30.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,678582,26387293,Brequito,55.0,163.0,valid,,7,163.0,163.0,163.0
moscow_mountain,all_layers,682651,26387298,Kruse,75.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,814010,26387341,Vassar,45.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,all_layers,814010,26387342,Jacot,55.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,all_layers,1387521,26387359,Santa,40.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,1387521,26387360,Sinkler,30.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,all_layers,1387525,26387361,Micapeak,25.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,1387525,26387362,Quinnamose,20.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,1387525,26387363,Carrico,30.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,1487706,26387370,Taney,80.0,152.0,valid,,4,152.0,152.0,152.0
moscow_mountain,all_layers,1487712,26387373,Santa,75.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,1487714,26387374,Santa,80.0,150.0,valid,,5,150.0,150.0,150.0
moscow_mountain,all_layers,1487716,26387376,Santa,35.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,1487716,26387377,Reggear,45.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,all_layers,1689249,26387385,Aldermand,25.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,all_layers,1689249,26387386,Quinnamose,45.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,1689255,26387391,Lado,25.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,1689255,26387392,Vassar,20.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,all_layers,1689255,26387393,Jacot,50.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,all_layers,1689256,26387394,Lado,15.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,1689256,26387395,Vassar,20.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,all_layers,1689256,26387396,Jacot,50.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,all_layers,1689257,26387397,Aldermand,15.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,all_layers,1689257,26387398,Vassar,40.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,all_layers,1689257,26387399,Jacot,25.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,all_layers,1689258,26387400,Vassar,60.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,all_layers,1689258,26387401,Jacot,30.0,155.0,valid,,6,155.0,155.0,155.0
moscow_mountain,all_layers,1689263,26387402,Joel,90.0,155.0,valid,,5,155.0,155.0,155.0
moscow_mountain,all_layers,1689264,26387403,Carrico,45.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,1689264,26387404,Micapeak,35.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,1689265,26387405,Micapeak,35.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,1689265,26387406,Micapeak,15.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,1689265,26387407,Carrico,25.0,152.0,valid,,7,152.0,152.0,152.0
