site,policy,mukey,mean_cm,known_percentage,valid_percentage,nonsoil_percentage,omitted_percentage,valid_fraction,status,reason_codes
az_ponderosa,strict_soil,2942503,143.87,100.0,100.0,0,0,1.0,complete,bedrock_excluded
az_ponderosa,strict_soil,2942512,153.3684210526316,100.0,95.0,0,5.0,0.95,partial,incomplete_components;missing_horizons
az_ponderosa,strict_soil,2942517,147.6315789473684,100.0,95.0,0,5.0,0.95,partial,bedrock_excluded;incomplete_components;missing_horizons
az_ponderosa,strict_soil,2942518,149.35,100.0,100.0,0,0,1.0,complete,bedrock_excluded
az_ponderosa,strict_soil,56390,152.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,strict_soil,56449,58.666666666666664,100.0,48.0,50.0,2.0,0.48,partial,ambiguous_material;bedrock_excluded;incomplete_components;nonsoil
az_ponderosa,strict_soil,56462,153.52941176470588,100.0,85.0,0,15.0,0.85,partial,ambiguous_material;incomplete_components
az_ponderosa,strict_soil,56475,122.70588235294117,100.0,85.0,15.0,0,0.85,partial,bedrock_excluded;incomplete_components;nonsoil
az_ponderosa,all_layers,2721103,152.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2721109,152.64646464646464,100.0,99.0,0,1.0,0.99,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2721113,152.0,100.0,98.0,0,2.0,0.98,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2721150,,100.0,0,0,100,0.0,unavailable,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934232,203.0,100.0,50.0,0,50.0,0.5,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934242,203.0,100.0,70.0,0,30.0,0.7,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934247,203.0,100.0,80.0,0,20.0,0.8,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934254,203.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934256,203.0,100.0,70.0,0,30.0,0.7,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934269,203.0,100.0,85.0,0,15.0,0.85,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934312,203.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934319,110.0,100.0,85.0,0,15.0,0.85,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934354,203.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934358,122.3157894736842,100.0,95.0,0,5.0,0.95,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934373,102.0,100.0,80.0,0,20.0,0.8,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934380,195.35,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934382,203.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934384,203.0,100.0,85.0,0,15.0,0.85,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934385,203.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934386,203.0,100.0,85.0,0,15.0,0.85,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934390,203.0,100.0,90.0,0,10.0,0.9,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934391,203.0,100.0,80.0,0,20.0,0.8,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934392,203.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934394,135.5,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934395,121.33333333333333,100.0,90.0,0,10.0,0.9,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934397,113.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934398,114.0,100.0,90.0,0,10.0,0.9,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934401,203.0,100.0,75.0,0,25.0,0.75,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934404,127.8,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934408,124.47058823529412,100.0,85.0,0,15.0,0.85,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934410,203.0,100.0,95.0,0,5.0,0.95,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934430,122.77777777777777,100.0,90.0,0,10.0,0.9,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934443,152.0,100.0,10.0,0,90.0,0.1,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934483,149.47368421052633,100.0,95.0,0,5.0,0.95,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934511,158.9,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934513,153.53,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934520,128.29896907216494,100.0,97.0,0,3.0,0.97,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934522,218.01020408163265,100.0,98.0,0,2.0,0.98,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934581,241.23469387755102,100.0,98.0,0,2.0,0.98,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934582,230.3,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2934586,152.12121212121212,100.0,99.0,0,1.0,0.99,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2934600,152.0,100.0,85.0,0,15.0,0.85,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2942447,152.0,100.0,50.0,0,50.0,0.5,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2942453,152.8,100.0,65.0,0,35.0,0.65,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2942481,152.0,100.0,85.0,0,15.0,0.85,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2942502,152.65,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2942503,152.39,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,2942512,153.3684210526316,100.0,95.0,0,5.0,0.95,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2942517,152.0,100.0,95.0,0,5.0,0.95,partial,incomplete_components;missing_horizons
az_ponderosa,all_layers,2942518,152.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,56390,152.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,56449,152.0,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,56462,153.3,100.0,100.0,0,0,1.0,complete,
az_ponderosa,all_layers,56475,152.0,100.0,100.0,0,0,1.0,complete,
