site,outlet,policy,support_mode,outside_area_range,duration_min,scenario,F,T,reference_S,ssurgo_S,rainfall_mm,reference_probability,ssurgo_probability,delta_probability_pp,reference_threshold_mm,ssurgo_threshold_mm,delta_threshold_mm,delta_threshold_mm_hour,delta_threshold_pct
moscow_mountain,nested_1000000,all_layers,common_support,False,15,reference_p0.5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,6.640628658494722,0.5,0.5154673797035809,1.546737970358092,,,,,
moscow_mountain,nested_1000000,all_layers,common_support,False,15,reference_p0.75,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,8.607064305045645,0.75,0.7647370675399255,1.4737067539925541,,,,,
moscow_mountain,nested_1000000,all_layers,common_support,False,30,inverse_p0.5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,,0.5,,,9.883527148431106,9.702899160241355,-0.18062798818975168,-0.36125597637950335,-1.8275660649996195
moscow_mountain,nested_1000000,all_layers,common_support,False,30,inverse_p0.75,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,,0.75,,,12.748478172349655,12.515491311467906,-0.23298686088174847,-0.46597372176349694,-1.8275660649996417
moscow_mountain,nested_1000000,all_layers,common_support,False,30,fixed_5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,5.0,0.13323328083608504,0.1374093903518084,0.4176109515723364,,,,,
moscow_mountain,nested_1000000,all_layers,common_support,False,30,fixed_10,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,10.0,0.5111639987919372,0.5289797451452248,1.7815746353287643,,,,,
moscow_mountain,nested_1000000,all_layers,common_support,False,30,fixed_20,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,20.0,0.9797536540566926,0.9823999729397414,0.26463188830487816,,,,,
moscow_mountain,nested_1000000,all_layers,common_support,False,30,reference_p0.5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,9.883527148431106,0.5,0.5176312312627787,1.7631231262778657,,,,,
moscow_mountain,nested_1000000,all_layers,common_support,False,30,reference_p0.75,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,12.748478172349655,0.75,0.7666727546192852,1.667275461928519,,,,,
moscow_mountain,nested_1000000,all_layers,common_support,False,60,inverse_p0.5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,,0.5,,,16.693130029976743,16.410534565438798,-0.2825954645379447,-0.2825954645379447,-1.6928848216629988
moscow_mountain,nested_1000000,all_layers,common_support,False,60,inverse_p0.75,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,,0.75,,,21.993499332655098,21.621174720700026,-0.37232461195507227,-0.37232461195507227,-1.6928848216629988
moscow_mountain,nested_1000000,all_layers,common_support,False,60,fixed_5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,5.0,0.08138728732788995,0.08273155227981903,0.1344264951929075,,,,,
moscow_mountain,nested_1000000,all_layers,common_support,False,60,fixed_10,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,10.0,0.19984057730132326,0.20560920234437854,0.5768625043055281,,,,,
moscow_mountain,nested_1000000,all_layers,common_support,False,60,fixed_20,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,20.0,0.6649468413807698,0.6806593424925675,1.5712501111797783,,,,,
moscow_mountain,nested_1000000,all_layers,common_support,False,60,reference_p0.5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,16.693130029976743,0.5,0.5148912142412824,1.489121424128237,,,,,
moscow_mountain,nested_1000000,all_layers,common_support,False,60,reference_p0.75,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,21.993499332655098,0.75,0.7644283660897367,1.4428366089736744,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,15,inverse_p0.5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,,0.5,,,6.640628658494722,6.531669035755084,-0.1089596227396381,-0.4358384909585524,-1.6408028267061225
moscow_mountain,nested_1000000,all_layers,known_support,False,15,inverse_p0.75,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,,0.75,,,8.607064305045645,8.465839350632043,-0.14122495441360172,-0.5648998176544069,-1.6408028267061114
moscow_mountain,nested_1000000,all_layers,known_support,False,15,fixed_5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,5.0,0.28565326056750345,0.29525621146321146,0.9602950895708007,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,15,fixed_10,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,10.0,0.8672454899049985,0.8776130844757726,1.0367594570774075,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,15,fixed_20,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,20.0,0.9994267647130717,0.9995241998380661,0.009743512499438278,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,15,reference_p0.5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,6.640628658494722,0.5,0.5154673797035809,1.546737970358092,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,15,reference_p0.75,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,8.607064305045645,0.75,0.7647370675399255,1.4737067539925541,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,30,inverse_p0.5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,,0.5,,,9.883527148431106,9.702899160241355,-0.18062798818975168,-0.36125597637950335,-1.8275660649996195
moscow_mountain,nested_1000000,all_layers,known_support,False,30,inverse_p0.75,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,,0.75,,,12.748478172349655,12.515491311467906,-0.23298686088174847,-0.46597372176349694,-1.8275660649996417
moscow_mountain,nested_1000000,all_layers,known_support,False,30,fixed_5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,5.0,0.13323328083608504,0.1374093903518084,0.4176109515723364,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,30,fixed_10,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,10.0,0.5111639987919372,0.5289797451452248,1.7815746353287643,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,30,fixed_20,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,20.0,0.9797536540566926,0.9823999729397414,0.26463188830487816,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,30,reference_p0.5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,9.883527148431106,0.5,0.5176312312627787,1.7631231262778657,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,30,reference_p0.75,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,12.748478172349655,0.75,0.7666727546192852,1.667275461928519,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,60,inverse_p0.5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,,0.5,,,16.693130029976743,16.410534565438798,-0.2825954645379447,-0.2825954645379447,-1.6928848216629988
