 EVENT OUTPUT
  day   mo  year Precp  Runoff  IR-det Av-det Mx-det  Point  Av-dep Max-dep  Point Sed.Del    ER  Det-Len Dep-Len
    2    3     2  20.2    16.9   0.000   0.02   0.04  111.4    0.00    0.00    0.0     1.7  1.00  85.778   0.000
    4    3     2  25.4    19.6   0.000   0.03   0.05  111.4    0.00    0.00    0.0     2.5  1.00  93.576   0.000
    5    3     2  33.8    30.6   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.6  1.00 110.286   0.000
   19    3     2  48.4    14.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   20    3     2   4.7     1.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   27   11     2  59.1     9.7   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.3  1.00 104.716   0.000
   28   11     2  17.0     0.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   20    1     3  53.3     7.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   21    1     3   3.6     0.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   14    3     3  32.2     6.2   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.0  1.00  14.482   0.000
   15    3     3   9.5     6.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   16    3     3  52.8    49.7   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.7  1.00 108.058   0.000
   17    3     3  36.6    33.1   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.0  1.00 108.058   0.000
   18    3     3   4.7     0.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    1    4     3  23.4    17.5   0.000   0.02   0.03  111.4    0.00    0.00    0.0     1.9  1.00 109.172   0.000
   10    4     3  24.9     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   11    4     3  10.0     2.5   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.1  1.00  62.384   0.000
    9   11     3  98.9    20.4   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.5  1.00 106.944   0.000
   29   11     3  30.6     0.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   30   11     3  79.2    69.6   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.8  1.00 110.286   0.000
   22   12     3  67.2    55.1   0.000   0.07   0.10  111.4    0.00    0.00    0.0     7.0  1.00 106.944   0.000
   23   12     3   4.3     1.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   22    1     4  81.8    77.1   0.000   0.08   0.14  111.4    0.00    0.00    0.0     9.1  1.00 108.058   0.000
   23    1     4  38.6    36.1   0.000   0.04   0.06  111.4    0.00    0.00    0.0     3.9  1.00 109.172   0.000
   24    1     4  40.6    38.3   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.5  1.00 108.058   0.000
   26    1     4  11.7     6.5   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   27    1     4  87.4    84.3   0.000   0.11   0.18  111.4    0.00    0.00    0.0    11.7  1.00 103.602   0.000
   28    1     4  14.1    10.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   29    1     4  49.0    45.9   0.000   0.06   0.11  111.4    0.00    0.00    0.0     5.5  1.00  91.348   0.000
    1    2     4  17.2     8.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    2    2     4  13.6    10.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    4    2     4   6.3     1.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    7    2     4   7.6     5.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    8    2     4  16.4    13.8   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.1  1.00  16.710   0.000
   26    2     4  47.3    30.0   0.000   0.03   0.06  111.4    0.00    0.00    0.0     3.7  1.00 106.944   0.000
   27    2     4  25.8    23.2   0.000   0.02   0.04  111.4    0.00    0.00    0.0     1.5  1.00  72.410   0.000
   28    2     4  61.4    58.5   0.000   0.06   0.10  111.4    0.00    0.00    0.0     6.7  1.00 108.058   0.000
    1    3     4 133.8   130.4   0.000   0.15   0.23  111.4    0.00    0.00    0.0    15.7  1.00 108.058   0.000
    2    3     4  46.6    43.0   0.000   0.05   0.07  111.4    0.00    0.00    0.0     4.9  1.00 108.058   0.000
    3    3     4   8.2     4.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   18    3     4   8.9     0.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   21    3     4  32.4    26.3   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.1  1.00 108.058   0.000
   22    3     4   7.3     4.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   23    3     4  10.2     6.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   24    3     4  48.9    44.5   0.000   0.05   0.10  111.4    0.00    0.00    0.0     3.9  1.00  81.322   0.000
   20    4     4  19.0     1.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   21    4     4   3.8     0.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   29    4     4  22.7     5.1   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.7  1.00  96.918   0.000
    9   12     4  19.7     6.6   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.4  1.00  73.524   0.000
   24   12     4  52.0    36.1   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.2  1.00 108.058   0.000
   25   12     4  58.0    56.0   0.000   0.07   0.12  111.4    0.00    0.00    0.0     7.6  1.00 104.716   0.000
   23   11     5  26.8     0.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   17   12     5  17.2    10.3   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.2  1.00  90.234   0.000
   18   12     5  24.4    22.2   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.4  1.00 109.172   0.000
   19   12     5  19.2    16.9   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.2  1.00  20.052   0.000
    9    2     6  30.6     8.1   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.1  1.00  20.052   0.000
   24   11     6  56.7    19.2   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.1  1.00 109.172   0.000
   25   11     6  46.4     9.1   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.3  1.00 103.602   0.000
   29   11     6  40.5    11.3   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.6  1.00  66.840   0.000
    2   12     6  12.6     7.5   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.0  1.00  94.690   0.000
   30    1     7  67.4    29.8   0.000   0.03   0.06  111.4    0.00    0.00    0.0     3.7  1.00 106.944   0.000
   31    1     7  16.6    13.8   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.1  1.00  13.368   0.000
   12    2     7  27.3     5.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   13    2     7  57.1    54.8   0.000   0.06   0.09  111.4    0.00    0.00    0.0     6.1  1.00 108.058   0.000
   14    2     7  64.7    62.2   0.000   0.06   0.10  111.4    0.00    0.00    0.0     6.6  1.00 109.172   0.000
   15    2     7  64.7    62.0   0.000   0.07   0.11  111.4    0.00    0.00    0.0     7.2  1.00 108.058   0.000
   16    2     7  11.6     9.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   17    2     7   3.0     0.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   18    2     7  10.8     8.5   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   19    2     7  27.3    24.3   0.000   0.03   0.06  111.4    0.00    0.00    0.0     3.3  1.00  96.918   0.000
   10    3     7  27.9    18.4   0.000   0.02   0.04  111.4    0.00    0.00    0.0     1.4  1.00  77.980   0.000
   12    3     7  11.0     6.1   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.9  1.00 100.260   0.000
   13    3     7   2.9     0.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   14    3     7   7.0     3.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   15    3     7  36.9    33.4   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.2  1.00 106.944   0.000
   16    3     7  18.9    15.7   0.000   0.02   0.03  111.4    0.00    0.00    0.0     1.8  1.00 108.058   0.000
   31   10     8  75.7    26.2   0.000   0.03   0.04  111.4    0.00    0.00    0.0     2.7  1.00 109.172   0.000
    4   11     8  25.8     0.4   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.0  1.00  14.482   0.000
    5   11     8   7.5     4.6   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.1  1.00  51.244   0.000
   15   12     8  34.1    13.1   0.000   0.02   0.03  111.4    0.00    0.00    0.0     1.7  1.00 105.830   0.000
   16   12     8   8.8     6.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   17    1     9  70.7    44.5   0.000   0.06   0.11  111.4    0.00    0.00    0.0     6.2  1.00  99.146   0.000
   20    4     9  20.1     0.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   23   12     9  16.9     6.5   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   24   12     9   9.6     7.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    8    2    10  48.6    29.3   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.5  1.00 106.944   0.000
    9    2    10   9.7     7.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   16    2    11  79.4     6.4   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.9  1.00 100.260   0.000
   17    2    11  63.2    52.1   0.000   0.07   0.13  111.4    0.00    0.00    0.0     6.7  1.00  94.690   0.000
   27    2    12  68.3     5.7   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.8  1.00  95.804   0.000
   28    2    12  68.0    29.5   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.1  1.00 104.716   0.000
    1    3    12  22.7    19.2   0.000   0.01   0.03  111.4    0.00    0.00    0.0     0.9  1.00  64.612   0.000
   18    3    12  43.9    18.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   19    3    12  40.1    36.3   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.2  1.00 108.058   0.000
   20    3    12  20.7    16.6   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.0  1.00  92.462   0.000
   24    3    12  10.5     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   25    3    12  45.3    37.0   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.3  1.00 108.058   0.000
   26    3    12  28.6    24.9   0.000   0.03   0.04  111.4    0.00    0.00    0.0     2.7  1.00 108.058   0.000
   27    3    12  23.6    19.4   0.000   0.03   0.05  111.4    0.00    0.00    0.0     2.4  1.00  92.462   0.000
   28   12    12 117.4    35.8   0.000   0.05   0.08  111.4    0.00    0.00    0.0     4.9  1.00 104.716   0.000
   29   12    12  37.6    29.6   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.6  1.00 106.944   0.000
   30   12    12   2.8     0.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    3    1    13  17.1     7.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    5    1    13  42.4    39.5   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.4  1.00 108.058   0.000
    6    1    13  18.9    16.4   0.000   0.02   0.03  111.4    0.00    0.00    0.0     1.2  1.00  74.638   0.000
    7    1    13   2.5     0.5   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    6    2    13  53.3    14.7   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.2  1.00  20.052   0.000
    7    2    13   9.4     7.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    8    2    13   4.1     1.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    9    2    13  32.3    29.4   0.000   0.03   0.04  111.4    0.00    0.00    0.0     3.0  1.00 109.172   0.000
   10    2    13  90.0    87.1   0.000   0.09   0.14  111.4    0.00    0.00    0.0     9.7  1.00 108.058   0.000
   11    2    13  68.0    65.5   0.000   0.07   0.11  111.4    0.00    0.00    0.0     7.2  1.00 108.058   0.000
   12    2    13  45.5    43.2   0.000   0.06   0.10  111.4    0.00    0.00    0.0     5.6  1.00  94.690   0.000
   13    2    13   6.6     4.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   14    2    13   6.3     3.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   15    2    13  19.7    16.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    2    3    13  72.5    38.0   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.1  1.00 109.172   0.000
    3    3    13   6.0     2.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    5    3    13  19.7    12.5   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.4  1.00  57.928   0.000
    6    3    13  11.5     8.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   20    3    13  61.8    28.6   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.6  1.00 106.944   0.000
   21    3    13  30.1    26.9   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.3  1.00 110.286   0.000
   22    3    13  14.7    11.5   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.3  1.00  31.192   0.000
   23    3    13  12.9     9.4   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.5  1.00  65.726   0.000
   27    3    13  12.9     8.1   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.0  1.00  15.596   0.000
    7   12    13  90.3    46.4   0.000   0.07   0.11  111.4    0.00    0.00    0.0     6.5  1.00  99.146   0.000
   28   12    13  41.4    19.6   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.3  1.00 108.058   0.000
   29   12    13  26.0    23.9   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.7  1.00 108.058   0.000
    2    1    14  16.6    14.0   0.000   0.01   0.03  111.4    0.00    0.00    0.0     0.8  1.00  70.182   0.000
    6    1    14  84.1    74.4   0.000   0.09   0.14  111.4    0.00    0.00    0.0     9.5  1.00 106.944   0.000
    7    1    14  58.4    56.4   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.3  1.00 109.172   0.000
    8    1    14   7.6     5.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    9    1    14   2.5     0.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   10    1    14   7.6     5.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   11    1    14  37.2    35.0   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.1  1.00 108.058   0.000
   12    1    14  47.7    45.4   0.000   0.05   0.10  111.4    0.00    0.00    0.0     4.7  1.00  86.892   0.000
   13    1    14  44.1    41.7   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.7  1.00 108.058   0.000
   14    1    14  79.5    77.1   0.000   0.08   0.13  111.4    0.00    0.00    0.0     8.7  1.00 108.058   0.000
   15    1    14  22.7    20.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   16    1    14  47.4    45.7   0.000   0.06   0.11  111.4    0.00    0.00    0.0     5.4  1.00  91.348   0.000
   17    1    14  59.9    58.0   0.000   0.06   0.09  111.4    0.00    0.00    0.0     6.4  1.00 108.058   0.000
   18    1    14  15.8    13.4   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.4  1.00  52.358   0.000
    7    2    14  32.8    13.3   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.2  1.00  22.280   0.000
    8    2    14  64.2    61.5   0.000   0.06   0.10  111.4    0.00    0.00    0.0     7.0  1.00 108.058   0.000
   17    2    14  68.8    45.6   0.000   0.06   0.11  111.4    0.00    0.00    0.0     5.4  1.00  91.348   0.000
   18    2    14  45.3    42.6   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.9  1.00 108.058   0.000
   19    2    14  24.5    21.6   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.1  1.00 109.172   0.000
   20    2    14   6.1     2.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   23    2    14  35.1    31.2   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.3  1.00 109.172   0.000
   26    2    14  17.4     9.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   25    3    14  71.2    13.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   26    3    14  25.7    22.2   0.000   0.02   0.04  111.4    0.00    0.00    0.0     1.5  1.00  73.524   0.000
   27    3    14   8.4     4.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   28    3    14  20.4    16.5   0.000   0.01   0.03  111.4    0.00    0.00    0.0     0.6  1.00  60.156   0.000
    3    1    16 160.9    72.7   0.000   0.06   0.10  111.4    0.00    0.00    0.0     6.9  1.00 109.172   0.000
    4    1    16  38.8    23.0   0.000   0.01   0.04  111.4    0.00    0.00    0.0     0.8  1.00  60.156   0.000
    5    1    16   3.8     1.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    6    1    16  11.4     9.0   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.2  1.00  32.306   0.000
    7    1    16  74.7    72.9   0.000   0.07   0.12  111.4    0.00    0.00    0.0     7.9  1.00 108.058   0.000
    8    1    16  28.8    26.8   0.000   0.03   0.04  111.4    0.00    0.00    0.0     2.8  1.00 109.172   0.000
    9    1    16  92.1    90.0   0.000   0.10   0.16  111.4    0.00    0.00    0.0    10.5  1.00 108.058   0.000
   10    1    16 136.4   134.0   0.000   0.15   0.25  111.4    0.00    0.00    0.0    16.4  1.00 106.944   0.000
   11    1    16  21.9    19.7   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.0  1.00  85.778   0.000
   12    1    16   8.4     6.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   13    1    16   7.6     5.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   14    1    16   5.3     3.5   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   15    1    16   3.0     1.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   22    1    16   6.3     3.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   23    1    16  65.1    62.9   0.000   0.07   0.10  111.4    0.00    0.00    0.0     7.1  1.00 108.058   0.000
   24    1    16  94.1    91.8   0.000   0.10   0.16  111.4    0.00    0.00    0.0    10.8  1.00 108.058   0.000
   25    1    16  21.9    19.7   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.4  1.00  28.964   0.000
   13    2    16  34.6    18.4   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.2  1.00 108.058   0.000
   14    2    16  28.3    25.5   0.000   0.03   0.04  111.4    0.00    0.00    0.0     2.9  1.00 108.058   0.000
    4    3    16  20.2     8.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    5    3    16  48.4    45.8   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.9  1.00 109.172   0.000
   10    3    16  74.3    70.4   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.9  1.00 110.286   0.000
   11    3    16  48.9    45.5   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.1  1.00 108.058   0.000
   23    3    16  16.7     2.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   19    2    17  99.3    50.9   0.000   0.04   0.10  111.4    0.00    0.00    0.0     3.0  1.00  71.296   0.000
   20    2    17 103.4   101.4   0.000   0.10   0.16  111.4    0.00    0.00    0.0    10.7  1.00 109.172   0.000
   21    2    17  10.8     8.7   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.1  1.00  18.938   0.000
   27    2    17   9.9     2.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    5    3    17   4.0     0.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   12    3    17  20.2     1.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   13    3    17  12.0     9.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   29   10    17  42.2     1.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   30   10    17  26.9     0.3   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.0  1.00  50.130   0.000
    9   12    17  39.4    33.4   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.3  1.00 105.830   0.000
   10   12    17  32.8    31.1   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.2  1.00 109.172   0.000
   11   12    17  29.0    27.2   0.000   0.04   0.07  111.4    0.00    0.00    0.0     3.6  1.00  95.804   0.000
   27   12    17  26.5    13.5   0.000   0.02   0.03  111.4    0.00    0.00    0.0     1.4  1.00  88.006   0.000
    1    1    18   7.4     2.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
    2    1    18  19.9    18.4   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.1  1.00  14.482   0.000
    3    1    18   7.1     4.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   12    1    18  34.1    15.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   13    1    18  10.9     8.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   14    1    18   8.4     6.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   15    1    18  29.6    27.8   0.000   0.02   0.03  111.4    0.00    0.00    0.0     0.6  1.00  28.964   0.000
   20    1    18  17.1     3.5   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   21    1    18  14.3    12.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
   22    1    18  12.8    11.0   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.5  1.00  64.612   0.000
   23    1    18  28.8    26.7   0.000   0.04   0.06  111.4    0.00    0.00    0.0     3.3  1.00  92.462   0.000
   24    1    18   8.6     6.2   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.1  1.00  31.192   0.000
   25    1    18  34.1    32.3   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.3  1.00 109.172   0.000
   26    1    18   8.9     7.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00   0.000   0.000
