"SR- LS SCL"|"Yes"|"Yes"|"Stratified loamy sand to sandy clay loam"|"7928968"|"15147400"
"C"|"No "|"No "|"Clay"|"7930066"|"15147919"
"CL"|"No "|"No "|"Clay loam"|"7930066"|"15296091"
"SC"|"No "|"No "|"Sandy clay"|"7930066"|"15444263"
"CL"|"No "|"No "|"Clay loam"|"7930067"|"15147920"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930067"|"15592434"
"SC"|"No "|"No "|"Sandy clay"|"7930068"|"15296092"
"CL"|"No "|"No "|"Clay loam"|"7930068"|"15444264"
"C"|"No "|"No "|"Clay"|"7930068"|"15592435"
"C"|"No "|"No "|"Clay"|"7930069"|"15147921"
"CL"|"No "|"No "|"Clay loam"|"7930069"|"15296093"
"SC"|"No "|"No "|"Sandy clay"|"7930069"|"15444265"
"CL"|"No "|"No "|"Clay loam"|"7930070"|"15147922"
"C"|"No "|"No "|"Clay"|"7930070"|"15296094"
"SC"|"No "|"No "|"Sandy clay"|"7930070"|"15592436"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930071"|"15444266"
"CL"|"No "|"No "|"Clay loam"|"7930071"|"15592437"
"CL"|"No "|"Yes"|"Clay loam"|"7930072"|"15147923"
"SC"|"No "|"No "|"Sandy clay"|"7930073"|"15296095"
"CL"|"No "|"No "|"Clay loam"|"7930073"|"15444267"
"C"|"No "|"No "|"Clay"|"7930073"|"15592438"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930074"|"15147924"
"CL"|"No "|"No "|"Clay loam"|"7930074"|"15296096"
"SC"|"No "|"No "|"Sandy clay"|"7930075"|"15147925"
"C"|"No "|"No "|"Clay"|"7930075"|"15444268"
"CL"|"No "|"No "|"Clay loam"|"7930075"|"15592439"
"GR-L"|"No "|"No "|"Gravelly loam"|"7930076"|"15296097"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"7930076"|"15444269"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7930076"|"15592440"
"C"|"No "|"Yes"|"Clay"|"7930077"|"15147926"
"C"|"No "|"Yes"|"Clay"|"7930078"|"15296098"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930079"|"15147927"
"CL"|"No "|"No "|"Clay loam"|"7930079"|"15444270"
"C"|"No "|"No "|"Clay"|"7930079"|"15592441"
"L"|"No "|"Yes"|"Loam"|"7930080"|"15296099"
"SL"|"No "|"Yes"|"Sandy loam"|"7930081"|"15444271"
"SL"|"No "|"Yes"|"Sandy loam"|"7930082"|"15592442"
"CL"|"No "|"Yes"|"Clay loam"|"7930083"|"15147928"
"SL"|"No "|"Yes"|"Sandy loam"|"7930084"|"15296100"
"SL"|"No "|"Yes"|"Sandy loam"|"7930085"|"15444272"
"CL"|"No "|"No "|"Clay loam"|"7930086"|"15147929"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930086"|"15592443"
"SC"|"No "|"No "|"Sandy clay"|"7930087"|"15296101"
"CL"|"No "|"No "|"Clay loam"|"7930087"|"15444273"
"C"|"No "|"No "|"Clay"|"7930087"|"15592444"
"SC"|"No "|"No "|"Sandy clay"|"7930088"|"15147930"
"CL"|"No "|"No "|"Clay loam"|"7930088"|"15296102"
"C"|"No "|"No "|"Clay"|"7930088"|"15444274"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930089"|"15147931"
"L"|"No "|"No "|"Loam"|"7930089"|"15592445"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930090"|"15296103"
"SL"|"No "|"No "|"Sandy loam"|"7930090"|"15444275"
"SL"|"No "|"No "|"Sandy loam"|"7930091"|"15147932"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930091"|"15592446"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930092"|"15296104"
"SL"|"No "|"No "|"Sandy loam"|"7930092"|"15444276"
"SL"|"No "|"No "|"Sandy loam"|"7930093"|"15147933"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930093"|"15592447"
"S"|"No "|"No "|"Sand"|"7930094"|"15296105"
"FS"|"No "|"No "|"Fine sand"|"7930094"|"15444277"
"S"|"No "|"Yes"|"Sand"|"7930095"|"15592448"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930096"|"15147934"
"SL"|"No "|"No "|"Sandy loam"|"7930096"|"15296106"
"SC"|"No "|"No "|"Sandy clay"|"7930096"|"15444278"
"SL"|"No "|"No "|"Sandy loam"|"7930097"|"15147935"
"SC"|"No "|"No "|"Sandy clay"|"7930097"|"15296107"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930097"|"15592449"
"SC"|"No "|"No "|"Sandy clay"|"7930098"|"15147936"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930098"|"15444279"
"CL"|"No "|"No "|"Clay loam"|"7930098"|"15592450"
"COSL"|"No "|"No "|"Coarse sandy loam"|"7930099"|"15296108"
"SL"|"No "|"No "|"Sandy loam"|"7930099"|"15444280"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930099"|"15592451"
"SL"|"No "|"Yes"|"Sandy loam"|"7930100"|"15147937"
"VAR"|"No "|"Yes"|"Variable"|"7930101"|"15296109"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930102"|"15444281"
"SL"|"No "|"No "|"Sandy loam"|"7930102"|"15592452"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930103"|"15147938"
"CL"|"No "|"No "|"Clay loam"|"7930103"|"15296110"
"SC"|"No "|"No "|"Sandy clay"|"7930103"|"15444282"
"SC"|"No "|"No "|"Sandy clay"|"7930104"|"15147939"
"CL"|"No "|"No "|"Clay loam"|"7930104"|"15296111"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930104"|"15592453"
"SC"|"No "|"No "|"Sandy clay"|"7930105"|"15147940"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930105"|"15444283"
"CL"|"No "|"No "|"Clay loam"|"7930105"|"15592454"
"SL"|"No "|"Yes"|"Sandy loam"|"7930106"|"15296112"
"SL"|"No "|"Yes"|"Sandy loam"|"7930107"|"15444284"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7930108"|"15592455"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930109"|"15147941"
"GR-SCL"|"No "|"No "|"Gravelly sandy clay loam"|"7930109"|"15296113"
"CL"|"No "|"No "|"Clay loam"|"7930110"|"15147942"
"SIL"|"No "|"No "|"Silt loam"|"7930110"|"15444285"
"SICL"|"No "|"No "|"Silty clay loam"|"7930110"|"15592456"
"SL"|"No "|"Yes"|"Sandy loam"|"7930111"|"15296114"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930112"|"15147943"
"SC"|"No "|"No "|"Sandy clay"|"7930112"|"15444286"
"C"|"No "|"No "|"Clay"|"7930112"|"15592457"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930113"|"15296115"
"CL"|"No "|"No "|"Clay loam"|"7930113"|"15444287"
"SC"|"No "|"No "|"Sandy clay"|"7930113"|"15592458"
"SL"|"No "|"No "|"Sandy loam"|"7930114"|"15147944"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930114"|"15296116"
"CL"|"No "|"No "|"Clay loam"|"7930114"|"15444288"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930115"|"15147945"
"CL"|"No "|"No "|"Clay loam"|"7930115"|"15296117"
"SL"|"No "|"No "|"Sandy loam"|"7930115"|"15592459"
"VAR"|"No "|"Yes"|"Variable"|"7930116"|"15444289"
"SC"|"No "|"No "|"Sandy clay"|"7930117"|"15147946"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930117"|"15592460"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"7930118"|"15296118"
"S"|"No "|"Yes"|"Sand"|"7930119"|"15444290"
"SC"|"No "|"No "|"Sandy clay"|"7930120"|"15147947"
"C"|"No "|"No "|"Clay"|"7930120"|"15296119"
"CL"|"No "|"No "|"Clay loam"|"7930120"|"15592461"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930121"|"15147948"
"SL"|"No "|"No "|"Sandy loam"|"7930121"|"15444291"
"FSL"|"No "|"No "|"Fine sandy loam"|"7930121"|"15592462"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930122"|"15296120"
"SL"|"No "|"No "|"Sandy loam"|"7930122"|"15444292"
"FSL"|"No "|"No "|"Fine sandy loam"|"7930122"|"15592463"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930123"|"15147949"
"SC"|"No "|"No "|"Sandy clay"|"7930123"|"15296121"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930124"|"15444293"
"SC"|"No "|"No "|"Sandy clay"|"7930124"|"15592464"
"L"|"No "|"Yes"|"Loam"|"7930125"|"15147950"
"L"|"No "|"No "|"Loam"|"7930126"|"15296122"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930126"|"15444294"
"CL"|"No "|"No "|"Clay loam"|"7930126"|"15592465"
"SL"|"No "|"No "|"Sandy loam"|"7930127"|"15147951"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7930127"|"15296123"
"FSL"|"No "|"No "|"Fine sandy loam"|"7930127"|"15444295"
"LS"|"No "|"Yes"|"Loamy sand"|"7930128"|"15592466"
"S"|"No "|"Yes"|"Sand"|"7930129"|"15147952"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7930130"|"15296124"
"SL"|"No "|"No "|"Sandy loam"|"7930131"|"15444296"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930131"|"15592467"
"LS"|"No "|"Yes"|"Loamy sand"|"7930132"|"15147953"
"SL"|"No "|"Yes"|"Sandy loam"|"7930133"|"15296125"
"LS"|"No "|"Yes"|"Loamy sand"|"7930134"|"15444297"
"LS"|"No "|"Yes"|"Loamy sand"|"7930135"|"15592468"
"SL"|"No "|"No "|"Sandy loam"|"7930136"|"15147954"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7930136"|"15296126"
"FSL"|"No "|"No "|"Fine sandy loam"|"7930136"|"15444298"
"LS"|"No "|"Yes"|"Loamy sand"|"7930137"|"15592469"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930138"|"15147955"
"SL"|"No "|"No "|"Sandy loam"|"7930138"|"15296127"
"SC"|"No "|"No "|"Sandy clay"|"7930139"|"15444299"
"C"|"No "|"No "|"Clay"|"7930139"|"15592470"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930140"|"15147956"
"CL"|"No "|"No "|"Clay loam"|"7930140"|"15296128"
"SC"|"No "|"No "|"Sandy clay"|"7930140"|"15444300"
"LS"|"No "|"Yes"|"Loamy sand"|"7930141"|"15592471"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930142"|"15147957"
"SL"|"No "|"No "|"Sandy loam"|"7930142"|"15296129"
"FSL"|"No "|"No "|"Fine sandy loam"|"7930142"|"15444301"
"SC"|"No "|"No "|"Sandy clay"|"7930143"|"15147958"
"CL"|"No "|"No "|"Clay loam"|"7930143"|"15296130"
"C"|"No "|"No "|"Clay"|"7930143"|"15592472"
"L"|"No "|"No "|"Loam"|"7930144"|"15147959"
"CL"|"No "|"No "|"Clay loam"|"7930144"|"15444302"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930144"|"15592473"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930145"|"15296131"
"SL"|"No "|"No "|"Sandy loam"|"7930145"|"15444303"
"SC"|"No "|"No "|"Sandy clay"|"7930145"|"15592474"
"LS"|"No "|"Yes"|"Loamy sand"|"7930146"|"15147960"
"S"|"No "|"Yes"|"Sand"|"7930147"|"15296132"
"SL"|"No "|"No "|"Sandy loam"|"7930148"|"15444304"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930148"|"15592475"
"S"|"No "|"Yes"|"Sand"|"7930149"|"15147961"
"SL"|"No "|"Yes"|"Sandy loam"|"7930150"|"15296133"
"LS"|"No "|"No "|"Loamy sand"|"7930151"|"15147962"
"S"|"No "|"No "|"Sand"|"7930151"|"15444305"
"FS"|"No "|"No "|"Fine sand"|"7930151"|"15592476"
"FSL"|"No "|"No "|"Fine sandy loam"|"7930152"|"15296134"
"S"|"No "|"No "|"Sand"|"7930152"|"15444306"
"LFS"|"No "|"No "|"Loamy fine sand"|"7930152"|"15592477"
"L"|"No "|"No "|"Loam"|"7930153"|"15147963"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930153"|"15296135"
"SIL"|"No "|"No "|"Silt loam"|"7930153"|"15444307"
"SC"|"No "|"No "|"Sandy clay"|"7930154"|"15147964"
"SL"|"No "|"No "|"Sandy loam"|"7930154"|"15296136"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930154"|"15592478"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7930155"|"15444308"
"CL"|"No "|"Yes"|"Clay loam"|"7930156"|"15592479"
"CL"|"No "|"No "|"Clay loam"|"7930157"|"15147965"
"C"|"No "|"No "|"Clay"|"7930157"|"15296137"
"SIC"|"No "|"No "|"Silty clay"|"7930157"|"15444309"
"VAR"|"No "|"Yes"|"Variable"|"7930158"|"15592480"
"FS"|"No "|"Yes"|"Fine sand"|"7930159"|"15147966"
"LS"|"No "|"Yes"|"Loamy sand"|"7930160"|"15296138"
"SL"|"No "|"No "|"Sandy loam"|"7930161"|"15444310"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930161"|"15592481"
"S"|"No "|"No "|"Sand"|"7930162"|"15147967"
"FS"|"No "|"No "|"Fine sand"|"7930162"|"15296139"
"LS"|"No "|"No "|"Loamy sand"|"7930162"|"15444311"
"FS"|"No "|"Yes"|"Fine sand"|"7930163"|"15592482"
"C"|"No "|"No "|"Clay"|"7930164"|"15147968"
"SC"|"No "|"No "|"Sandy clay"|"7930164"|"15296140"
"CL"|"No "|"No "|"Clay loam"|"7930164"|"15444312"
"MK-L"|"No "|"Yes"|"Mucky loam"|"7930165"|"15592483"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7930166"|"15147969"
"FS"|"No "|"No "|"Fine sand"|"7930167"|"15296141"
"S"|"No "|"No "|"Sand"|"7930167"|"15444313"
"FS"|"No "|"Yes"|"Fine sand"|"7930168"|"15592484"
"CL"|"No "|"No "|"Clay loam"|"7930169"|"15147970"
"SICL"|"No "|"No "|"Silty clay loam"|"7930169"|"15296142"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930169"|"15444314"
"SL"|"No "|"No "|"Sandy loam"|"7930170"|"15147971"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930170"|"15592485"
"SL"|"No "|"Yes"|"Sandy loam"|"7930171"|"15296143"
"SC"|"No "|"No "|"Sandy clay"|"7930172"|"15147972"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930172"|"15444315"
"SL"|"No "|"No "|"Sandy loam"|"7930172"|"15592486"
"LS"|"No "|"Yes"|"Loamy sand"|"7930173"|"15296144"
"FSL"|"No "|"No "|"Fine sandy loam"|"7930174"|"15147973"
"SL"|"No "|"No "|"Sandy loam"|"7930174"|"15444316"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7930174"|"15592487"
"S"|"No "|"Yes"|"Sand"|"7930175"|"15296145"
"SC"|"No "|"No "|"Sandy clay"|"7930176"|"15147974"
"SCL"|"No "|"No "|"Sandy clay loam"|"7930176"|"15444317"
"SL"|"No "|"No "|"Sandy loam"|"7930176"|"15592488"
"CL"|"No "|"No "|"Clay loam"|"7930177"|"15296146"
"SC"|"No "|"No "|"Sandy clay"|"7930177"|"15444318"
"C"|"No "|"No "|"Clay"|"7930177"|"15592489"
"SIL"|"No "|"No "|"Silt loam"|"7930178"|"15147975"
"SICL"|"No "|"No "|"Silty clay loam"|"7930178"|"15296147"
"CL"|"No "|"No "|"Clay loam"|"7930178"|"15444319"
"SL"|"No "|"Yes"|"Sandy loam"|"7930179"|"15592490"
"LS"|"No "|"Yes"|"Loamy sand"|"7930180"|"15147976"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"7930181"|"15296148"
"L"|"No "|"Yes"|"Loam"|"7930182"|"15444320"
"S"|"No "|"No "|"Sand"|"7930183"|"15147977"
"LFS"|"No "|"No "|"Loamy fine sand"|"7930183"|"15296149"
"FS"|"No "|"No "|"Fine sand"|"7930183"|"15592491"
"FS"|"No "|"No "|"Fine sand"|"7930184"|"15444321"
"LFS"|"No "|"No "|"Loamy fine sand"|"7930184"|"15592492"
"S"|"No "|"No "|"Sand"|"7930185"|"15147978"
"FS"|"No "|"No "|"Fine sand"|"7930185"|"15296150"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"7930186"|"15444322"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7930187"|"15592493"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7930188"|"15147979"
"CB-L"|"No "|"Yes"|"Cobbly loam"|"7930189"|"15296151"
