road_surface,soil_texture,tauc,slid,texid,nsl,salb,sat,ki,kr,shcrit,avke,solthk,sand,clay,orgmat,cec,rfg
g,silt,10,Fill,silt loam,1,0.12,0.45,2000000.0,0.0003,2,11.4,300,30,15,4,13,ufr
g,silt,10,Forest,silt loam,1,0.02,0.4,120000.0,0.0003,2,25,300,30,15,8,14,ubr
p,sand,10,Road,sandy loam,1,0.6,0.5,5,0.0004,10.0,0.08,200,70,5,0.01,4,urr
p,sand,10,Fill,sandy loam,1,0.18,0.45,1600000.0,0.0004,2.0,26,400,60,5,3,4,ufr
p,sand,10,Forest,sandy loam,1,0.05,0.4,130000.0,0.0004,2.0,30,400,60,5,6,5,ubr
g,clay,2,Road,clay loam,1,0.6,0.5,1500000.0,0.0002,2,8.4,200,35,30,0.01,24,urr
g,clay,2,Fill,clay loam,1,0.12,0.45,1500000.0,0.0002,2,7.1,300,30,30,4,26,ufr
g,clay,2,Forest,clay loam,1,0.02,0.4,10000.0,0.0002,2,20,300,30,30,8,27,ubr
n,loam,10,Road,loam,1,0.6,0.5,2000000.0,0.0003,10,0.3,200,40,20,0.01,16,urr
n,loam,10,Fill,loam,1,0.12,0.45,2000000.0,0.0003,2,10,300,40,20,4,17,ufr
n,loam,10,Forest,loam,1,0.02,0.4,120000.0,0.0003,2,26,300,40,20,8,18,ubr
g,sand,10,Road,sandy loam,1,0.6,0.5,2000000.0,0.0004,10,10.2,200,70,5,0.01,4,urr
g,sand,10,Fill,sandy loam,1,0.12,0.45,2000000.0,0.0004,2,14.3,300,60,5,4,4,ufr
g,sand,10,Forest,sandy loam,1,0.02,0.4,130000.0,0.0004,2,30,300,60,5,8,5,ubr
