site,resolution_m,terrain,method,duration_minutes,rainfall_mm,F,S,T,probability,delta_from_Horn
moscow_mountain,10,raw,FVSlope,15,10,0.5,0.25,0.10567820970096468,0.8702623811992838,0.00034873108326205493
moscow_mountain,10,raw,FVSlope,15,20,0.5,0.25,0.10567820970096468,0.9994110389197288,3.643159571353749e-06
moscow_mountain,10,raw,FVSlope,30,5,0.5,0.25,0.10567820970096468,0.13323905083013407,0.00011293096135178704
moscow_mountain,10,raw,FVSlope,30,10,0.5,0.25,0.10567820970096468,0.466242270090573,0.00048684977765639514
moscow_mountain,10,raw,FVSlope,30,20,0.5,0.25,0.10567820970096468,0.9657601946215747,0.00012962543129424464
moscow_mountain,10,raw,FVSlope,60,5,0.5,0.25,0.10567820970096468,0.0874501719950633,5.10289004918979e-05
moscow_mountain,10,raw,FVSlope,60,10,0.5,0.25,0.10567820970096468,0.1853750061440514,0.00019309794021646343
moscow_mountain,10,raw,FVSlope,60,20,0.5,0.25,0.10567820970096468,0.5620056550484502,0.0006298706848976154
moscow_mountain,10,raw,GDAL_Horn,15,5,0.5,0.25,0.1049257302812768,0.29631614311952237,0.0
moscow_mountain,10,raw,GDAL_Horn,15,10,0.5,0.25,0.1049257302812768,0.8699136501160217,0.0
moscow_mountain,10,raw,GDAL_Horn,15,20,0.5,0.25,0.1049257302812768,0.9994073957601575,0.0
moscow_mountain,10,raw,GDAL_Horn,30,5,0.5,0.25,0.1049257302812768,0.13312611986878228,0.0
moscow_mountain,10,raw,GDAL_Horn,30,10,0.5,0.25,0.1049257302812768,0.4657554203129166,0.0
moscow_mountain,10,raw,GDAL_Horn,30,20,0.5,0.25,0.1049257302812768,0.9656305691902805,0.0
moscow_mountain,10,raw,GDAL_Horn,60,5,0.5,0.25,0.1049257302812768,0.0873991430945714,0.0
moscow_mountain,10,raw,GDAL_Horn,60,10,0.5,0.25,0.1049257302812768,0.18518190820383493,0.0
moscow_mountain,10,raw,GDAL_Horn,60,20,0.5,0.25,0.1049257302812768,0.5613757843635526,0.0
moscow_mountain,10,conditioned,Horn,15,5,0.5,0.25,0.10491068069288305,0.29630971019206004,0.0
moscow_mountain,10,conditioned,Horn,15,10,0.5,0.25,0.10491068069288305,0.8699066673696951,0.0
moscow_mountain,10,conditioned,Horn,15,20,0.5,0.25,0.10491068069288305,0.9994073226677016,0.0
moscow_mountain,10,conditioned,Horn,30,5,0.5,0.25,0.10491068069288305,0.13312386207616445,0.0
moscow_mountain,10,conditioned,Horn,30,10,0.5,0.25,0.10491068069288305,0.4657456839796612,0.0
moscow_mountain,10,conditioned,Horn,30,20,0.5,0.25,0.10491068069288305,0.9656279718602496,0.0
moscow_mountain,10,conditioned,Horn,60,5,0.5,0.25,0.10491068069288305,0.08739812279124519,0.0
moscow_mountain,10,conditioned,Horn,60,10,0.5,0.25,0.10491068069288305,0.18517804783088532,0.0
moscow_mountain,10,conditioned,Horn,60,20,0.5,0.25,0.10491068069288305,0.5613631849253002,0.0
moscow_mountain,10,conditioned,Florinsky,15,5,0.5,0.25,0.11317290472105587,0.2998535066109157,0.0035437964188556603
moscow_mountain,10,conditioned,Florinsky,15,10,0.5,0.25,0.11317290472105587,0.8736924819336856,0.0037858145639905194
moscow_mountain,10,conditioned,Florinsky,15,20,0.5,0.25,0.11317290472105587,0.9994461251764296,3.880250872800861e-05
moscow_mountain,10,conditioned,Florinsky,30,5,0.5,0.25,0.11317290472105587,0.13436827305966328,0.0012444109834988393
moscow_mountain,10,conditioned,Florinsky,30,10,0.5,0.25,0.11317290472105587,0.4710946540832166,0.005348970103555395
moscow_mountain,10,conditioned,Florinsky,30,20,0.5,0.25,0.11317290472105587,0.9670257797997224,0.0013978079394727505
moscow_mountain,10,conditioned,Florinsky,60,5,0.5,0.25,0.11317290472105587,0.0879598918664627,0.0005617690752175164
moscow_mountain,10,conditioned,Florinsky,60,10,0.5,0.25,0.11317290472105587,0.1873067534799599,0.0021287056490745804
moscow_mountain,10,conditioned,Florinsky,60,20,0.5,0.25,0.11317290472105587,0.5682679418511519,0.006904756925851685
moscow_mountain,10,conditioned,FVSlope,15,5,0.5,0.25,0.10566316011257092,0.2966314555754642,0.0003217453834041817
moscow_mountain,10,conditioned,FVSlope,15,10,0.5,0.25,0.10566316011257092,0.8702554143801768,0.0003487470104817092
moscow_mountain,10,conditioned,FVSlope,15,20,0.5,0.25,0.10566316011257092,0.9994109662763594,3.6436086577884552e-06
moscow_mountain,10,conditioned,FVSlope,30,5,0.5,0.25,0.10566316011257092,0.13323679141660533,0.00011292934044088154
moscow_mountain,10,conditioned,FVSlope,30,10,0.5,0.25,0.10566316011257092,0.4662325324616961,0.00048684848203489617
moscow_mountain,10,conditioned,FVSlope,30,20,0.5,0.25,0.10566316011257092,0.9657576067400843,0.00012963487983463917
moscow_mountain,10,conditioned,FVSlope,60,5,0.5,0.25,0.10566316011257092,0.08744915115310622,5.1028361861035765e-05
moscow_mountain,10,conditioned,FVSlope,60,10,0.5,0.25,0.10566316011257092,0.1853711426614854,0.00019309483060009347
moscow_mountain,10,conditioned,FVSlope,60,20,0.5,0.25,0.10566316011257092,0.5619930595863392,0.0006298746610389205
moscow_mountain,10,conditioned,GDAL_Horn,15,5,0.5,0.25,0.10491068069288305,0.29630971019206004,0.0
moscow_mountain,10,conditioned,GDAL_Horn,15,10,0.5,0.25,0.10491068069288305,0.8699066673696951,0.0
moscow_mountain,10,conditioned,GDAL_Horn,15,20,0.5,0.25,0.10491068069288305,0.9994073226677016,0.0
moscow_mountain,10,conditioned,GDAL_Horn,30,5,0.5,0.25,0.10491068069288305,0.13312386207616445,0.0
moscow_mountain,10,conditioned,GDAL_Horn,30,10,0.5,0.25,0.10491068069288305,0.4657456839796612,0.0
moscow_mountain,10,conditioned,GDAL_Horn,30,20,0.5,0.25,0.10491068069288305,0.9656279718602496,0.0
moscow_mountain,10,conditioned,GDAL_Horn,60,5,0.5,0.25,0.10491068069288305,0.08739812279124519,0.0
moscow_mountain,10,conditioned,GDAL_Horn,60,10,0.5,0.25,0.10491068069288305,0.18517804783088532,0.0
moscow_mountain,10,conditioned,GDAL_Horn,60,20,0.5,0.25,0.10491068069288305,0.5613631849253002,0.0
moscow_mountain,30,raw,Horn,15,5,0.5,0.25,0.04326396495071194,0.2706536284850489,0.0
moscow_mountain,30,raw,Horn,15,10,0.5,0.25,0.04326396495071194,0.8385369409470568,0.0
moscow_mountain,30,raw,Horn,15,20,0.5,0.25,0.04326396495071194,0.9990178309976281,0.0
moscow_mountain,30,raw,Horn,30,5,0.5,0.25,0.04326396495071194,0.12414428989645752,0.0
moscow_mountain,30,raw,Horn,30,10,0.5,0.25,0.04326396495071194,0.42616539426082506,0.0
moscow_mountain,30,raw,Horn,30,20,0.5,0.25,0.04326396495071194,0.953245974540829,0.0
moscow_mountain,30,raw,Horn,60,5,0.5,0.25,0.04326396495071194,0.08330810120306191,0.0
moscow_mountain,30,raw,Horn,60,10,0.5,0.25,0.04326396495071194,0.16988376579931616,0.0
moscow_mountain,30,raw,Horn,60,20,0.5,0.25,0.04326396495071194,0.5092733067209334,0.0
moscow_mountain,30,raw,Florinsky,15,5,0.5,0.25,0.058187294633077764,0.27673485344372617,0.006081224958677245
moscow_mountain,30,raw,Florinsky,15,10,0.5,0.25,0.058187294633077764,0.8466504430500398,0.008113502102983006
moscow_mountain,30,raw,Florinsky,15,20,0.5,0.25,0.058187294633077764,0.9991308591254978,0.00011302812786972982
moscow_mountain,30,raw,Florinsky,30,5,0.5,0.25,0.058187294633077764,0.12626916318226425,0.002124873285806725
moscow_mountain,30,raw,Florinsky,30,10,0.5,0.25,0.058187294633077764,0.4356800992323236,0.009514704971498533
moscow_mountain,30,raw,Florinsky,30,20,0.5,0.25,0.058187294633077764,0.9565853856063834,0.003339411065554354
moscow_mountain,30,raw,Florinsky,60,5,0.5,0.25,0.058187294633077764,0.08428194893673724,0.0009738477336753287
moscow_mountain,30,raw,Florinsky,60,10,0.5,0.25,0.058187294633077764,0.1734914993667248,0.0036077335674086497
moscow_mountain,30,raw,Florinsky,60,20,0.5,0.25,0.058187294633077764,0.5219450928306877,0.01267178610975428
moscow_mountain,30,raw,FVSlope,15,5,0.5,0.25,0.059967141292442495,0.2774657422236478,0.006812113738598857
moscow_mountain,30,raw,FVSlope,15,10,0.5,0.25,0.059967141292442495,0.8475954912679591,0.009058550320902303
moscow_mountain,30,raw,FVSlope,15,20,0.5,0.25,0.059967141292442495,0.9991434411087573,0.00012561011112921516
moscow_mountain,30,raw,FVSlope,30,5,0.5,0.25,0.059967141292442495,0.12652465466445997,0.0023803647680024492
moscow_mountain,30,raw,FVSlope,30,10,0.5,0.25,0.059967141292442495,0.4368181916632278,0.010652797402402714
moscow_mountain,30,raw,FVSlope,30,20,0.5,0.25,0.059967141292442495,0.9569681320493866,0.003722157508557533
moscow_mountain,30,raw,FVSlope,60,5,0.5,0.25,0.059967141292442495,0.08439878340897994,0.0010906822059180282
moscow_mountain,30,raw,FVSlope,60,10,0.5,0.25,0.059967141292442495,0.1739257955042734,0.004042029704957234
moscow_mountain,30,raw,FVSlope,60,20,0.5,0.25,0.059967141292442495,0.5234548430745749,0.0141815363536415
moscow_mountain,30,raw,GDAL_Horn,15,5,0.5,0.25,0.04326396495071194,0.2706536284850489,0.0
moscow_mountain,30,raw,GDAL_Horn,15,10,0.5,0.25,0.04326396495071194,0.8385369409470568,0.0
moscow_mountain,30,raw,GDAL_Horn,15,20,0.5,0.25,0.04326396495071194,0.9990178309976281,0.0
moscow_mountain,30,raw,GDAL_Horn,30,5,0.5,0.25,0.04326396495071194,0.12414428989645752,0.0
moscow_mountain,30,raw,GDAL_Horn,30,10,0.5,0.25,0.04326396495071194,0.42616539426082506,0.0
moscow_mountain,30,raw,GDAL_Horn,30,20,0.5,0.25,0.04326396495071194,0.953245974540829,0.0
moscow_mountain,30,raw,GDAL_Horn,60,5,0.5,0.25,0.04326396495071194,0.08330810120306191,0.0
moscow_mountain,30,raw,GDAL_Horn,60,10,0.5,0.25,0.04326396495071194,0.16988376579931616,0.0
moscow_mountain,30,raw,GDAL_Horn,60,20,0.5,0.25,0.04326396495071194,0.5092733067209334,0.0
moscow_mountain,30,conditioned,Horn,15,5,0.5,0.25,0.04326396495071194,0.2706536284850489,0.0
moscow_mountain,30,conditioned,Horn,15,10,0.5,0.25,0.04326396495071194,0.8385369409470568,0.0
moscow_mountain,30,conditioned,Horn,15,20,0.5,0.25,0.04326396495071194,0.9990178309976281,0.0
moscow_mountain,30,conditioned,Horn,30,5,0.5,0.25,0.04326396495071194,0.12414428989645752,0.0
moscow_mountain,30,conditioned,Horn,30,10,0.5,0.25,0.04326396495071194,0.42616539426082506,0.0
moscow_mountain,30,conditioned,Horn,30,20,0.5,0.25,0.04326396495071194,0.953245974540829,0.0
moscow_mountain,30,conditioned,Horn,60,5,0.5,0.25,0.04326396495071194,0.08330810120306191,0.0
moscow_mountain,30,conditioned,Horn,60,10,0.5,0.25,0.04326396495071194,0.16988376579931616,0.0
moscow_mountain,30,conditioned,Horn,60,20,0.5,0.25,0.04326396495071194,0.5092733067209334,0.0
moscow_mountain,30,conditioned,Florinsky,15,5,0.5,0.25,0.058187294633077764,0.27673485344372617,0.006081224958677245
moscow_mountain,30,conditioned,Florinsky,15,10,0.5,0.25,0.058187294633077764,0.8466504430500398,0.008113502102983006
moscow_mountain,30,conditioned,Florinsky,15,20,0.5,0.25,0.058187294633077764,0.9991308591254978,0.00011302812786972982
moscow_mountain,30,conditioned,Florinsky,30,5,0.5,0.25,0.058187294633077764,0.12626916318226425,0.002124873285806725
moscow_mountain,30,conditioned,Florinsky,30,10,0.5,0.25,0.058187294633077764,0.4356800992323236,0.009514704971498533
moscow_mountain,30,conditioned,Florinsky,30,20,0.5,0.25,0.058187294633077764,0.9565853856063834,0.003339411065554354
moscow_mountain,30,conditioned,Florinsky,60,5,0.5,0.25,0.058187294633077764,0.08428194893673724,0.0009738477336753287
moscow_mountain,30,conditioned,Florinsky,60,10,0.5,0.25,0.058187294633077764,0.1734914993667248,0.0036077335674086497
moscow_mountain,30,conditioned,Florinsky,60,20,0.5,0.25,0.058187294633077764,0.5219450928306877,0.01267178610975428
moscow_mountain,30,conditioned,FVSlope,15,5,0.5,0.25,0.059967141292442495,0.2774657422236478,0.006812113738598857
moscow_mountain,30,conditioned,FVSlope,15,10,0.5,0.25,0.059967141292442495,0.8475954912679591,0.009058550320902303
moscow_mountain,30,conditioned,FVSlope,15,20,0.5,0.25,0.059967141292442495,0.9991434411087573,0.00012561011112921516
moscow_mountain,30,conditioned,FVSlope,30,5,0.5,0.25,0.059967141292442495,0.12652465466445997,0.0023803647680024492
moscow_mountain,30,conditioned,FVSlope,30,10,0.5,0.25,0.059967141292442495,0.4368181916632278,0.010652797402402714
moscow_mountain,30,conditioned,FVSlope,30,20,0.5,0.25,0.059967141292442495,0.9569681320493866,0.003722157508557533
moscow_mountain,30,conditioned,FVSlope,60,5,0.5,0.25,0.059967141292442495,0.08439878340897994,0.0010906822059180282
moscow_mountain,30,conditioned,FVSlope,60,10,0.5,0.25,0.059967141292442495,0.1739257955042734,0.004042029704957234
moscow_mountain,30,conditioned,FVSlope,60,20,0.5,0.25,0.059967141292442495,0.5234548430745749,0.0141815363536415
moscow_mountain,30,conditioned,GDAL_Horn,15,5,0.5,0.25,0.04326396495071194,0.2706536284850489,0.0
moscow_mountain,30,conditioned,GDAL_Horn,15,10,0.5,0.25,0.04326396495071194,0.8385369409470568,0.0
moscow_mountain,30,conditioned,GDAL_Horn,15,20,0.5,0.25,0.04326396495071194,0.9990178309976281,0.0
moscow_mountain,30,conditioned,GDAL_Horn,30,5,0.5,0.25,0.04326396495071194,0.12414428989645752,0.0
moscow_mountain,30,conditioned,GDAL_Horn,30,10,0.5,0.25,0.04326396495071194,0.42616539426082506,0.0
moscow_mountain,30,conditioned,GDAL_Horn,30,20,0.5,0.25,0.04326396495071194,0.953245974540829,0.0
moscow_mountain,30,conditioned,GDAL_Horn,60,5,0.5,0.25,0.04326396495071194,0.08330810120306191,0.0
moscow_mountain,30,conditioned,GDAL_Horn,60,10,0.5,0.25,0.04326396495071194,0.16988376579931616,0.0
moscow_mountain,30,conditioned,GDAL_Horn,60,20,0.5,0.25,0.04326396495071194,0.5092733067209334,0.0
topanga,10,raw,Horn,15,5,0.5,0.25,0.2719514393893864,0.37226794147236214,0.0
topanga,10,raw,Horn,15,10,0.5,0.25,0.2719514393893864,0.9298900025512944,0.0
topanga,10,raw,Horn,15,20,0.5,0.25,0.2719514393893864,0.9998492899136288,0.0
topanga,10,raw,Horn,30,5,0.5,0.25,0.2719514393893864,0.16023735135435116,0.0
topanga,10,raw,Horn,30,10,0.5,0.25,0.2719514393893864,0.5737270134689909,0.0
topanga,10,raw,Horn,30,20,0.5,0.25,0.2719514393893864,0.9852862167646984,0.0
topanga,10,raw,Horn,60,5,0.5,0.25,0.2719514393893864,0.09940607117976737,0.0
topanga,10,raw,Horn,60,10,0.5,0.25,0.2719514393893864,0.231887733953675,0.0
topanga,10,raw,Horn,60,20,0.5,0.25,0.2719514393893864,0.6930962916927961,0.0
topanga,10,raw,Florinsky,15,5,0.5,0.25,0.2834505278762746,0.37779299773738223,0.00552505626502009
topanga,10,raw,Florinsky,15,10,0.5,0.25,0.2834505278762746,0.9329020778535391,0.0030120753022446767
topanga,10,raw,Florinsky,15,20,0.5,0.25,0.2834505278762746,0.9998628494716889,1.3559558060149968e-05
topanga,10,raw,Florinsky,30,5,0.5,0.25,0.2834505278762746,0.16225911496199447,0.0020217636076433065
topanga,10,raw,Florinsky,30,10,0.5,0.25,0.2834505278762746,0.5810222831571699,0.007295269688178951
topanga,10,raw,Florinsky,30,20,0.5,0.25,0.2834505278762746,0.9861283967206568,0.0008421799559583665
topanga,10,raw,Florinsky,60,5,0.5,0.25,0.2834505278762746,0.10028453647892868,0.0008784652991613157
topanga,10,raw,Florinsky,60,10,0.5,0.25,0.2834505278762746,0.23538785539346774,0.003500121439792725
topanga,10,raw,Florinsky,60,20,0.5,0.25,0.2834505278762746,0.7013493851963117,0.008253093503515663
topanga,10,raw,FVSlope,15,5,0.5,0.25,0.28731694613057673,0.3796579601857882,0.007390018713426039
topanga,10,raw,FVSlope,15,10,0.5,0.25,0.28731694613057673,0.9338875823776247,0.003997579826330311
topanga,10,raw,FVSlope,15,20,0.5,0.25,0.28731694613057673,0.9998671290017089,1.783908808017376e-05
topanga,10,raw,FVSlope,30,5,0.5,0.25,0.28731694613057673,0.162943511759329,0.002706160404977842
topanga,10,raw,FVSlope,30,10,0.5,0.25,0.28731694613057673,0.5834674508856919,0.009740437416700942
topanga,10,raw,FVSlope,30,20,0.5,0.25,0.28731694613057673,0.9864007506955461,0.0011145339308477054
topanga,10,raw,FVSlope,60,5,0.5,0.25,0.28731694613057673,0.10058145508150462,0.0011753839017372564
topanga,10,raw,FVSlope,60,10,0.5,0.25,0.28731694613057673,0.23657290749673965,0.004685173543064636
topanga,10,raw,FVSlope,60,20,0.5,0.25,0.28731694613057673,0.7040955799227985,0.010999288230002402
topanga,10,raw,GDAL_Horn,15,5,0.5,0.25,0.2719514393893864,0.37226794147236214,0.0
topanga,10,raw,GDAL_Horn,15,10,0.5,0.25,0.2719514393893864,0.9298900025512944,0.0
topanga,10,raw,GDAL_Horn,15,20,0.5,0.25,0.2719514393893864,0.9998492899136288,0.0
topanga,10,raw,GDAL_Horn,30,5,0.5,0.25,0.2719514393893864,0.16023735135435116,0.0
topanga,10,raw,GDAL_Horn,30,10,0.5,0.25,0.2719514393893864,0.5737270134689909,0.0
topanga,10,raw,GDAL_Horn,30,20,0.5,0.25,0.2719514393893864,0.9852862167646984,0.0
topanga,10,raw,GDAL_Horn,60,5,0.5,0.25,0.2719514393893864,0.09940607117976737,0.0
topanga,10,raw,GDAL_Horn,60,10,0.5,0.25,0.2719514393893864,0.231887733953675,0.0
topanga,10,raw,GDAL_Horn,60,20,0.5,0.25,0.2719514393893864,0.6930962916927961,0.0
topanga,10,conditioned,Horn,15,5,0.5,0.25,0.2719113728789791,0.37224874768097527,0.0
topanga,10,conditioned,Horn,15,10,0.5,0.25,0.2719113728789791,0.929879292104814,0.0
topanga,10,conditioned,Horn,15,20,0.5,0.25,0.2719113728789791,0.9998492403978566,0.0
topanga,10,conditioned,Horn,30,5,0.5,0.25,0.2719113728789791,0.16023034265392289,0.0
topanga,10,conditioned,Horn,30,10,0.5,0.25,0.2719113728789791,0.5737015362914917,0.0
topanga,10,conditioned,Horn,30,20,0.5,0.25,0.2719113728789791,0.9852831960094759,0.0
topanga,10,conditioned,Horn,60,5,0.5,0.25,0.2719113728789791,0.09940302232705557,0.0
topanga,10,conditioned,Horn,60,10,0.5,0.25,0.2719113728789791,0.2318756021608158,0.0
topanga,10,conditioned,Horn,60,20,0.5,0.25,0.2719113728789791,0.6930673137486506,0.0
topanga,10,conditioned,Florinsky,15,5,0.5,0.25,0.2834705611314782,0.3778026514943801,0.005553903813404815
topanga,10,conditioned,Florinsky,15,10,0.5,0.25,0.2834705611314782,0.9329072190602979,0.0030279269554839283
topanga,10,conditioned,Florinsky,15,20,0.5,0.25,0.2834705611314782,0.9998628719968359,1.3631598979269022e-05
topanga,10,conditioned,Florinsky,30,5,0.5,0.25,0.2834705611314782,0.16226265507813267,0.0020323124242097867
topanga,10,conditioned,Florinsky,30,10,0.5,0.25,0.2834705611314782,0.5810349627922007,0.007333426500709006
topanga,10,conditioned,Florinsky,30,20,0.5,0.25,0.2834705611314782,0.9861298216489136,0.0008466256394377147
topanga,10,conditioned,Florinsky,60,5,0.5,0.25,0.2834705611314782,0.10028607290816127,0.0008830505811057016
topanga,10,conditioned,Florinsky,60,10,0.5,0.25,0.2834705611314782,0.23539398495772992,0.0035183827969141324
topanga,10,conditioned,Florinsky,60,20,0.5,0.25,0.2834705611314782,0.701363651856532,0.00829633810788144
topanga,10,conditioned,FVSlope,15,5,0.5,0.25,0.2872368131097622,0.3796192718086,0.0073705241276247335
topanga,10,conditioned,FVSlope,15,10,0.5,0.25,0.2872368131097622,0.9338672945791994,0.003988002474385355
topanga,10,conditioned,FVSlope,15,20,0.5,0.25,0.2872368131097622,0.9998670416763233,1.7801278466733628e-05
topanga,10,conditioned,FVSlope,30,5,0.5,0.25,0.2872368131097622,0.16292930380811813,0.0026989611541952396
topanga,10,conditioned,FVSlope,30,10,0.5,0.25,0.2872368131097622,0.5834168150488795,0.009715278757387869
topanga,10,conditioned,FVSlope,30,20,0.5,0.25,0.2872368131097622,0.9863951599308621,0.0011119639213862387
topanga,10,conditioned,FVSlope,60,5,0.5,0.25,0.2872368131097622,0.10057529341232364,0.0011722710852680729
topanga,10,conditioned,FVSlope,60,10,0.5,0.25,0.2872368131097622,0.23654830509950267,0.004672702938686879
topanga,10,conditioned,FVSlope,60,20,0.5,0.25,0.2872368131097622,0.7040388126997458,0.010971498951095171
topanga,10,conditioned,GDAL_Horn,15,5,0.5,0.25,0.2719113728789791,0.37224874768097527,0.0
topanga,10,conditioned,GDAL_Horn,15,10,0.5,0.25,0.2719113728789791,0.929879292104814,0.0
topanga,10,conditioned,GDAL_Horn,15,20,0.5,0.25,0.2719113728789791,0.9998492403978566,0.0
topanga,10,conditioned,GDAL_Horn,30,5,0.5,0.25,0.2719113728789791,0.16023034265392289,0.0
topanga,10,conditioned,GDAL_Horn,30,10,0.5,0.25,0.2719113728789791,0.5737015362914917,0.0
topanga,10,conditioned,GDAL_Horn,30,20,0.5,0.25,0.2719113728789791,0.9852831960094759,0.0
topanga,10,conditioned,GDAL_Horn,60,5,0.5,0.25,0.2719113728789791,0.09940302232705557,0.0
topanga,10,conditioned,GDAL_Horn,60,10,0.5,0.25,0.2719113728789791,0.2318756021608158,0.0
topanga,10,conditioned,GDAL_Horn,60,20,0.5,0.25,0.2719113728789791,0.6930673137486506,0.0
topanga,30,raw,Horn,15,5,0.5,0.25,0.10267051605918441,0.2953530572276989,0.0
topanga,30,raw,Horn,15,10,0.5,0.25,0.10267051605918441,0.8688637102710467,0.0
topanga,30,raw,Horn,15,20,0.5,0.25,0.10267051605918441,0.9993963415936208,0.0
topanga,30,raw,Horn,30,5,0.5,0.25,0.10267051605918441,0.13278814596997826,0.0
topanga,30,raw,Horn,30,10,0.5,0.25,0.10267051605918441,0.46429670429277203,0.0
topanga,30,raw,Horn,30,20,0.5,0.25,0.10267051605918441,0.9652392353082466,0.0
topanga,30,raw,Horn,60,5,0.5,0.25,0.10267051605918441,0.08724636845017324,0.0
topanga,30,raw,Horn,60,10,0.5,0.25,0.10267051605918441,0.1846041161754356,0.0
topanga,30,raw,Horn,60,20,0.5,0.25,0.10267051605918441,0.5594868568083239,0.0
topanga,30,raw,Florinsky,15,5,0.5,0.25,0.12089498376037532,0.3031874271624636,0.007834369934764718
topanga,30,raw,Florinsky,15,10,0.5,0.25,0.12089498376037532,0.8771452065269443,0.00828149625589758
topanga,30,raw,Florinsky,15,20,0.5,0.25,0.12089498376037532,0.9994800921168746,8.37505232538227e-05
topanga,30,raw,Florinsky,30,5,0.5,0.25,0.12089498376037532,0.13554020079405912,0.002752054824080863
topanga,30,raw,Florinsky,30,10,0.5,0.25,0.12089498376037532,0.4760999670730744,0.01180326278030236
topanga,30,raw,Florinsky,30,20,0.5,0.25,0.12089498376037532,0.9682824573430403,0.00304322203479368
topanga,30,raw,Florinsky,60,5,0.5,0.25,0.12089498376037532,0.08848788270262127,0.0012415142524480338
topanga,30,raw,Florinsky,60,10,0.5,0.25,0.12089498376037532,0.18931327300099784,0.00470915682556225
topanga,30,raw,Florinsky,60,20,0.5,0.25,0.12089498376037532,0.5746974535168041,0.01521059670848024
topanga,30,raw,FVSlope,15,5,0.5,0.25,0.13911945146156623,0.3111378483627844,0.01578479113508552
topanga,30,raw,FVSlope,15,10,0.5,0.25,0.13911945146156623,0.8849729489330416,0.016109238661994874
topanga,30,raw,FVSlope,15,20,0.5,0.25,0.13911945146156623,0.9995522284433622,0.00015588684974143785
topanga,30,raw,FVSlope,30,5,0.5,0.25,0.13911945146156623,0.1383401937067951,0.005552047736816834
topanga,30,raw,FVSlope,30,10,0.5,0.25,0.13911945146156623,0.48792998883228766,0.02363328453951563
topanga,30,raw,FVSlope,30,20,0.5,0.25,0.13911945146156623,0.9710672386132627,0.005828003305016094
topanga,30,raw,FVSlope,60,5,0.5,0.25,0.13911945146156623,0.08974532662247801,0.002498958172304777
topanga,30,raw,FVSlope,60,10,0.5,0.25,0.13911945146156623,0.19411396017803786,0.009509844002602269
topanga,30,raw,FVSlope,60,20,0.5,0.25,0.13911945146156623,0.5897679392876333,0.030281082479309385
topanga,30,raw,GDAL_Horn,15,5,0.5,0.25,0.10267051605918441,0.2953530572276989,0.0
topanga,30,raw,GDAL_Horn,15,10,0.5,0.25,0.10267051605918441,0.8688637102710467,0.0
topanga,30,raw,GDAL_Horn,15,20,0.5,0.25,0.10267051605918441,0.9993963415936208,0.0
topanga,30,raw,GDAL_Horn,30,5,0.5,0.25,0.10267051605918441,0.13278814596997826,0.0
topanga,30,raw,GDAL_Horn,30,10,0.5,0.25,0.10267051605918441,0.46429670429277203,0.0
topanga,30,raw,GDAL_Horn,30,20,0.5,0.25,0.10267051605918441,0.9652392353082466,0.0
topanga,30,raw,GDAL_Horn,60,5,0.5,0.25,0.10267051605918441,0.08724636845017324,0.0
topanga,30,raw,GDAL_Horn,60,10,0.5,0.25,0.10267051605918441,0.1846041161754356,0.0
topanga,30,raw,GDAL_Horn,60,20,0.5,0.25,0.10267051605918441,0.5594868568083239,0.0
