rule_id,threshold_name,perturbation,jaccard_with_baseline,stability
D2b2,persistence_split_29,-25%,1.0,stable
D2b3,persistence_split_29,-25%,1.0,stable
D2b4,persistence_split_29,-25%,1.0,stable
D2b5,persistence_split_29,-25%,0.826087,stable
D2b1,persistence_split_29,-10%,1.0,stable
D2b2,persistence_split_29,-10%,1.0,stable
D2b3,persistence_split_29,-10%,1.0,stable
D2b4,persistence_split_29,-10%,1.0,stable
D2b5,persistence_split_29,-10%,0.956522,stable
D2b1,persistence_split_29,+10%,1.0,stable
D2b2,persistence_split_29,+10%,1.0,stable
D2b3,persistence_split_29,+10%,1.0,stable
D2b4,persistence_split_29,+10%,1.0,stable
D2b5,persistence_split_29,+10%,1.0,stable
D2b1,persistence_split_29,+25%,1.0,stable
D2b2,persistence_split_29,+25%,1.0,stable
D2b3,persistence_split_29,+25%,1.0,stable
D2b4,persistence_split_29,+25%,1.0,stable
D2b5,persistence_split_29,+25%,1.0,stable
