runid,config,wepp_id,family_primary,family_secondary,family_tertiary,family_rationale,cluster_label,rule_cluster_agreement
cochlear-beriberi,disturbed9002-mofe,295,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",1,agree
cochlear-beriberi,disturbed9002-mofe,305,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,312,D6b,,,"D6b: requires_scientific_review_days in [4,29] and late_max_abs_ofe_closure_residual_mm_max_abs>=100.000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,317,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,333,D6b,,,"D6b: requires_scientific_review_days in [4,29] and late_max_abs_ofe_closure_residual_mm_max_abs>=100.000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,339,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",1,agree
cochlear-beriberi,disturbed9002-mofe,346,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,349,D6c,,,D6c: requires_scientific_review_days=47>=30 and late_max_abs_ofe_closure_residual_mm_max_abs=949.839>500.000.,-1,noise
cochlear-beriberi,disturbed9002-mofe,351,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",1,agree
cochlear-beriberi,disturbed9002-mofe,354,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,360,D6b,,,"D6b: requires_scientific_review_days in [4,29] and late_max_abs_ofe_closure_residual_mm_max_abs>=100.000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,378,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",1,agree
cochlear-beriberi,disturbed9002-mofe,399,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,400,D2b,D3,D6b,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,403,D2b,D3,D6b,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,409,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,412,D2b,D3,D6b,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,422,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,428,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,431,D1,D3,D6b,"D1: outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=1153.171>1000.000, late_max_qofe_to_q_ratio_max_abs>=n_ofe_max-0.01.",2,disagree
cochlear-beriberi,disturbed9002-mofe,434,D1,D6c,D3,"D1: outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=2423.214>1000.000, late_max_qofe_to_q_ratio_max_abs>=n_ofe_max-0.01.",-1,noise
