wctl/install.sh:145:chmod +x "${WCTL_SCRIPT}"
scripts/install-memory-watchdog.sh:55:chmod +x "$SCRIPT_DIR/memory-watchdog.sh"
scripts/install-memory-watchdog.sh:60:chmod 644 "$LOGFILE"
scripts/run_migrations_container.sh:532:chmod +x "${INNER_SCRIPT}"
scripts/deploy-production.sh:499:    chmod 0600 "${PRE_PULL_CAP_CONFIG}"
services/cap/migrate-data.js:44:  fs.chmodSync(LEDGER, 0o600);
services/cap/migrate-data.js:49:fs.chownSync(DATA_DIR, CAP_UID, CAP_GID);
services/cap/migrate-data.js:50:fs.chmodSync(DATA_DIR, 0o700);
services/cao/scripts/weppcloud_deploy.sh:114:  chown -R "$OWNER_USER":"$OWNER_GROUP" "$WC_ROOT"
services/cao/scripts/weppcloud_deploy.sh:115:  chmod 775 "$WC_ROOT" "$WC_ROOT/geodata"
services/cao/scripts/weppcloud_deploy.sh:119:  chown -R "$OWNER_USER":"$OWNER_GROUP" "$WORKDIR"
services/cao/scripts/weppcloud_deploy.sh:188:  chmod 777 "$p1" "$p2" || true
wepppy/all_your_base/geo/geo.py:925:    shutil.copyfile(dst_final, dst)
wepppy/all_your_base/all_your_base.py:53:    'cp_chmod',
wepppy/all_your_base/all_your_base.py:216:def cp_chmod(src: str, dst: str, mode: int) -> None:
wepppy/all_your_base/all_your_base.py:222:        mode: Permission bits passed to :func:`os.chmod`.
wepppy/all_your_base/all_your_base.py:224:    shutil.copyfile(src, dst)
wepppy/all_your_base/all_your_base.py:225:    os.chmod(dst, mode)
tools/peakflow_phase1_1986_fixture.py:27:    shutil.copytree(fixture / lane / "runs", runs)
wepppy/wepp/peakflow_census/execution.py:37:        shutil.copy2(source / copied.name, copied)
wepppy/wepp/peakflow_census/execution.py:38:        copied.chmod(0o644)
wepppy/wepp/peakflow_census/execution.py:47:            shutil.copy2(candidate, destination / name)
wepppy/wepp/peakflow_census/execution.py:105:            shutil.copy2(terminal_path, archive)
tools/ssurgo_empirical_study.py:771:    os.replace(temporary_path, destination)
tools/peakflow_phase2a_pilot.py:320:        shutil.copy2(source / f"p{hillslope_id}.{suffix}", destination)
tools/peakflow_phase2a_pilot.py:326:            shutil.copy2(candidate, destination / optional)
tools/peakflow_phase2a_pilot.py:891:    shutil.copy2(replay_binary, retained_replay)
tools/peakflow_phase2a_pilot.py:1012:        shutil.copy2(path, runs / path.name)
tools/peakflow_phase2a_pilot.py:1016:            shutil.copy2(candidate, runs / name)
tools/peakflow_phase2a_pilot.py:1054:        os.link(source_hbp, destination)
tools/run_profile_coverage_batch.py:202:        shutil.move(str(combined), target)
tools/perf/benchmark_nodb_setters.py:67:    shutil.copytree(src, dest)
wepppy/wepp/peakflow_census/common.py:71:            os.replace(temporary, path)
wepppy/wepp/peakflow_census/common.py:74:                os.link(temporary, path)
tools/ssurgo_padded_shadow_evaluator.py:79:    os.replace(temporary, output_raster)
wepppy/wepp/peakflow_census/census.py:154:                shutil.copy2(source, destination / name)
wepppy/wepp/peakflow_census/census.py:159:                (destination / name).chmod(0o444)
wepppy/wepp/peakflow_census/census.py:160:            destination.chmod(0o555)
wepppy/wepp/peakflow_census/census.py:531:            os.link(temporary_path, path)
wepppy/nodb/core/landuse.py:567:                shutil.copyfile(_landuse_map, self.lc_fn)
wepppy/nodb/core/landuse.py:570:                    shutil.copyfile(_landuse_map[:-4] + '.prj', self.lc_fn[:-4] + '.prj')
wepppy/nodb/core/landuse.py:1211:            shutil.copyfile(_join(man.man_dir, man.man_fn), _join(self.lc_dir, _split(man.man_fn)[-1]))
wepppy/nodb/AGENTS.md:114:* `NoDbBase.dump()` persists via temp-file write + `os.replace()` in the same
wepppy/nodb/core/wepp_prep_service.py:170:                shutil.copyfile(build_d[meoization_key], dst_fn)
wepppy/nodb/core/wepp_run_service.py:283:                        shutil.move(fn, dst_path)
wepppy/nodb/core/wepp_run_service.py:294:                    shutil.move(fn, dst_path)
wepppy/nodb/project_config_update.py:1385:        os.replace(temporary, destination)
wepppy/nodb/project_config_update.py:1684:            os.replace(journal_temp, root / JOURNAL_NAME)
wepppy/nodb/project_config_update.py:1689:            os.replace(config_temp, config_path)
wepppy/nodb/project_config_update.py:1693:            os.replace(manifest_temp, root / MANIFEST_NAME)
wepppy/nodb/mods/disturbed/disturbed.py:219:            shutil.copyfile(fname, backup_fn)
wepppy/nodb/mods/disturbed/disturbed.py:220:        os.replace(tmp_path, fname)
wepppy/nodb/mods/disturbed/disturbed.py:707:        shutil.copy2(path, backup_path)
wepppy/nodb/mods/disturbed/disturbed.py:723:                    shutil.copy2(backup_path, target_path)
wepppy/nodb/mods/disturbed/disturbed.py:818:        os.replace(temporary_path, target)
wepppy/nodb/mods/disturbed/disturbed.py:865:        shutil.copyfile(source_path, output_path)
wepppy/nodb/mods/disturbed/disturbed.py:869:        lambda temporary_path: shutil.copyfile(source_path, temporary_path),
wepppy/nodb/mods/disturbed/disturbed.py:995:        shutil.copyfile(self.default_land_soil_lookup_fn, _lookup)
wepppy/nodb/mods/disturbed/disturbed.py:1855:            os.replace(extended_landsoil_lookup, self.extended_lookup_fn)
wepppy/topo/topaz/topaz.py:148:def _cp_chmod(src, dst, mode):
wepppy/topo/topaz/topaz.py:150:    helper function to copy a file and set chmod
wepppy/topo/topaz/topaz.py:152:    shutil.copyfile(src, dst)
wepppy/topo/topaz/topaz.py:155:        os.chmod(dst, mode)
wepppy/topo/topaz/topaz.py:343:        shutil.copyfile(_join(topaz_templates, 'RASFOR.INP'), _join(wd, 'RASFOR.INP'))
wepppy/topo/topaz/topaz.py:344:        shutil.copyfile(_join(topaz_templates, 'RASPRO.INP'), _join(wd, 'RASPRO.INP'))
wepppy/nodb/core/wepp.py:211:    os.link(src_fn, dst_fn)
wepppy/nodb/core/wepp.py:274:                os.replace(path, stale_dir)
wepppy/nodb/core/wepp.py:2061:                    shutil.copyfile(src_fn, dst_fn)
wepppy/nodb/core/wepp.py:2075:                    shutil.copyfile(projected_src_fn, dst_fn)
wepppy/nodb/core/wepp.py:2096:                    shutil.copyfile(src_fn, dst_fn)
wepppy/nodb/core/wepp.py:2110:                    shutil.copyfile(projected_src_fn, dst_fn)
wepppy/nodb/mods/skid_trails/skid_trails.py:209:                shutil.copyfile(_skid_trails_map, _join(skid_trails_dir , _fn))
wepppy/nodb/mods/disturbed/README.md:257:shutil.copyfile(src, dst)
wepppy/nodb/core/soils.py:765:                    shutil.copyfile(src_sol_fn, sol_fn)
wepppy/nodb/core/soils.py:1055:                    shutil.copyfile(src_sol_fn, sol_fn)
wepppy/nodb/core/soils.py:1534:            shutil.copyfile(sol, _join(soils_dir, fn))
wepppy/nodb/core/soils.py:1666:            os.replace(source, destination)
wepppy/nodb/core/soils.py:2255:                os.fchmod(handle.fileno(), 0o644)
wepppy/nodb/core/soils.py:2257:            os.replace(temporary_path, parquet_path)
wepppy/nodb/mods/ag_fields/corpus_execution.py:95:        os.replace(temporary, path)
wepppy/nodb/mods/ag_fields/corpus_execution.py:152:        os.replace(temporary, path)
wepppy/nodb/mods/ag_fields/corpus_execution.py:508:        shutil.copy2(source, destination)
wepppy/topo/osm_roads/cache.py:625:        os.replace(tmp_path, path)
wepppy/topo/osm_roads/cache.py:663:        os.replace(tmp_path, path)
wepppy/microservices/rq_engine/culvert_routes.py:458:            os.replace(run_dir, tombstone)
wepppy/nodb/mods/ag_fields/concept1_integration.py:379:            os.replace(temporary, target)
wepppy/nodb/core/kslast_map.py:98:            os.replace(mapped, soil_dir / "kslast.tif")
wepppy/nodb/core/kslast_map.py:99:            os.replace(summary_path, soil_dir / "kslast_summary.json")
wepppy/nodb/mods/ag_fields/hybrid_integration.py:126:        os.replace(temporary, path)
wepppy/nodb/mods/ag_fields/hybrid_integration.py:405:                os.replace(
wepppy/nodb/core/ron.py:233:                shutil.copyfile(self.dem_map, self.dem_fn)
wepppy/nodb/core/ron.py:339:                shutil.copyfile(sbs_map, sbs_path)
wepppy/nodb/core/wepp_bootstrap_service.py:86:        os.chmod(hook_path, 0o755)
wepppy/nodb/mods/ag_fields/ag_fields.py:264:                shutil.copy2(source_path, staged_geojson)
wepppy/nodb/mods/ag_fields/ag_fields.py:285:                os.replace(staged_geojson, canonical_path)
wepppy/nodb/mods/ag_fields/ag_fields.py:286:                os.replace(staged_parquet, self.rotation_schedule_parquet)
wepppy/nodb/mods/ag_fields/ag_fields.py:942:                os.replace(attempt, quarantined)
wepppy/nodb/mods/ag_fields/ag_fields.py:1305:                                shutil.copyfileobj(source, destination, length=64 * 1024)
wepppy/nodb/mods/ag_fields/ag_fields.py:1356:                    os.replace(final_staging / filename, final_target)
wepppy/nodb/mods/ag_fields/ag_fields.py:1359:                        os.replace(source_staging / filename, source_target)
wepppy/nodb/mods/ag_fields/ag_fields.py:1586:                os.replace(temporary, self.rotation_lookup_path)
wepppy/nodb/mods/ag_fields/ag_fields.py:2048:        shutil.copyfile(slp_path, _join(ag_field_wepp_runs_dir, slp_relpath))
wepppy/microservices/rq_engine/fork_archive_routes.py:1211:                os.replace(new_wd, tombstone_wd)
wepppy/nodb/mods/ag_fields/concept1_planner.py:636:        os.replace(temporary, path)
wepppy/nodb/mods/ag_fields/concept1_planner.py:654:        os.replace(temporary, path)
wepppy/nodb/core/watershed.py:1093:        os.replace(tmp_path, path)
wepppy/topo/wbt/terrain_processor.py:330:        shutil.copy2(self.dem_path, raw_dem_path)
wepppy/topo/wbt/terrain_processor.py:408:            shutil.copy2(fill_artifacts.relief_path, filled_dem_path)
wepppy/topo/wbt/terrain_processor.py:1013:        shutil.copy2(boundary_source, boundary_out)
wepppy/topo/wbt/terrain_processor.py:1069:        shutil.copy2(source, bound_out)
wepppy/nodb/mods/ag_fields/management_corpus.py:98:        os.replace(temporary, path)
wepppy/nodb/mods/ag_fields/management_corpus.py:118:        os.replace(temporary, path)
wepppy/nodb/mods/ag_fields/management_corpus.py:282:        os.replace(temporary, destination)
wepppy/nodb/mods/ag_fields/watershed_integration.py:144:        os.replace(temporary, path)
wepppy/nodb/mods/ag_fields/watershed_integration.py:159:        os.replace(temporary, path)
wepppy/nodb/mods/ag_fields/watershed_integration.py:183:        os.replace(self.temporary, self.path)
wepppy/nodb/mods/ag_fields/watershed_integration.py:682:                os.replace(self.root, backup)
wepppy/nodb/mods/ag_fields/watershed_integration.py:684:            os.replace(attempt, self.root)
wepppy/nodb/mods/ag_fields/watershed_integration.py:687:                os.replace(backup, self.root)
wepppy/nodb/mods/ag_fields/watershed_integration.py:721:            os.replace(attempt, self.root)
wepppy/nodb/mods/ag_fields/watershed_integration.py:728:        shutil.copy2(source, target)
wepppy/nodb/mods/ag_fields/watershed_integration.py:782:            os.link(
wepppy/nodb/mods/ag_fields/watershed_integration.py:897:            os.replace(temporary, target)
wepppy/nodb/mods/ag_fields/concept1_inputs.py:153:    shutil.copy2(source_prefix.with_suffix(".cli"), target_prefix.with_suffix(".cli"))
wepppy/nodb/culverts_runner.py:450:        shutil.copytree(self.base_wd, run_wd, symlinks=True)
wepppy/nodb/culverts_runner.py:552:        shutil.copytree(src, dest, symlinks=True)
wepppy/topo/watershed_abstraction/slope_file.py:135:            os.fchmod(fp.fileno(), source_mode)
wepppy/topo/watershed_abstraction/slope_file.py:139:        os.replace(tmp_fn, dst_fn)
wepppy/nodb/_derived_build.py:115:                    shutil.copy2(target, previous)
wepppy/nodb/_derived_build.py:117:                        os.chmod(source, target.stat().st_mode & 0o777)
wepppy/nodb/_derived_build.py:121:                    os.replace(source, target)
wepppy/nodb/_derived_build.py:142:                        os.replace(previous, target)
wepppy/wepp/soils/utils/utils.py:238:        shutil.copyfile(src, dst)
wepppy/microservices/shape_converter/archive_validation.py:214:                    shutil.copyfileobj(source, target, length=1024 * 64)
wepppy/nodb/mods/path_ce/report_service.py:113:    shutil.copy(resolved, staging / "static" / Path(relpath).name)
wepppy/nodb/mods/path_ce/report_service.py:119:    shutil.copy(_ASSETS_ROOT / _QMD_NAME, staging / _QMD_NAME)
wepppy/nodb/mods/path_ce/report_service.py:120:    shutil.copytree(_ASSETS_ROOT / "static", staging / "static")
wepppy/nodb/mods/path_ce/report_service.py:121:    shutil.copy(_plotly_bundle_path(), staging / "static" / "js" / "vendor" / "plotly.min.js")
wepppy/nodb/mods/path_ce/report_service.py:231:        shutil.copy(html_path, incoming_dir / REPORT_HTML)
wepppy/nodb/mods/path_ce/report_service.py:234:        shutil.copytree(staging / "static", incoming_dir / "static")
wepppy/nodb/batch_runner.py:129:        os.replace(run_dir, stale_dir)
wepppy/nodb/batch_runner.py:553:            shutil.copytree(base_wd, runid_wd)
wepppy/nodb/batch_runner.py:968:            os.replace(crop_target, dest_path)
wepppy/nodb/project_config_snapshot.py:451:        os.replace(config_temp, config_path)
wepppy/nodb/project_config_snapshot.py:454:        os.replace(manifest_temp, manifest_path)
wepppy/microservices/weppcloudr_control_plane.py:271:            os.fchmod(descriptor, mode)
wepppy/microservices/weppcloudr_control_plane.py:277:        os.replace(temporary, path)
wepppy/microservices/browse/listing.py:271:    os.replace(tmp_path, manifest_path)
wepppy/export/export.py:72:    shutil.copytree(soils.soils_dir, _join(export_winwepp_dir, 'wepppy.nodb.Soils'))
wepppy/export/export.py:74:    shutil.copytree(_management_dir, _join(export_winwepp_dir, 'managements'))
wepppy/export/export.py:77:    shutil.copytree(ron.cli_dir, cligen_dir)
wepppy/tools/migrations/interchange.py:112:        shutil.move(str(interchange_dir), str(backup_dir))
wepppy/nodb/mods/features_export/exporters/geodatabase.py:57:        os.chmod(path, desired_mode)
wepppy/tools/migrations/unroll_root_resources_batch.py:456:    os.link(str(source_path), str(target_path))
wepppy/soils/ssurgo/ssurgo.py:245:    os.replace(tmp_path, path)
wepppy/tools/migrations/migrate_run_paths.py:86:        shutil.copy2(nodb_path, backup_path)
wepppy/soils/ssurgo/fallback.py:83:        os.replace(temporary, path)
wepppy/soils/ssurgo/fallback.py:190:        os.replace(temporary_raster, raster_path)
wepppy/tools/migrations/migrate_observed_nodb.py:36:    shutil.copy2(observed_nodb, backup_path)
wepppy/tools/migrations/watershed.py:57:            os.chmod(tmp_path, original_mode)
wepppy/tools/migrations/migrate_interchange.py:128:        shutil.move(str(interchange_dir), str(backup_dir))
wepppy/climates/cligen/cligen.py:1754:        shutil.copyfile(self.parpath, self.par)
wepppy/climates/cligen/cligen.py:2151:                shutil.copyfileobj(source, destination)
wepppy/climates/cligen/cligen.py:2156:                os.chmod(
wepppy/climates/cligen/cligen.py:2167:            os.replace(temp_path, destination_path)
wepppy/climates/cligen/cligen.py:2217:            shutil.copyfile(station_meta.parpath, par_fn)
wepppy/climates/cligen/_scripts/build_tenerife_station_db.py:69:        shutil.copyfile(src, dst)
wepppy/climates/cligen/_scripts/build_tenerife_station_db.py:102:        shutil.copyfile(stations_csv, target_csv)
wepppy/climates/cligen/_scripts/build_tenerife_station_db.py:160:    target_db.chmod(0o755)
wepppy/climates/cligen/_scripts/stations_sqlitedb_builder.py:130:    os.chmod(db_fn, 0o755)
wepppy/climates/cligen/README.md:108:- CLIGEN binaries (`bin/cligen43`, `bin/cligen52`, `bin/cligen53`, `bin/cligen532`) are Linux ELF executables; ensure they remain executable (`chmod +x`) after cloning.
wepppy/climates/cligen/README.md:112:  3. Run `python wepppy/climates/cligen/_scripts/stations_sqlitedb_builder.py` from the repo root after editing `build_db(...)` at the bottom with your config. The script parses each `.par` using `Station`, computes annual precipitation, and writes both `stations` and `states` tables before chmodding the DB to `0755`.
wepppy/profile_recorder/playback.py:830:                        shutil.copy2(item, target / item.name)
wepppy/profile_recorder/assembler.py:138:        shutil.copytree(draft_root, capture_target, dirs_exist_ok=True)
wepppy/profile_recorder/assembler.py:145:                shutil.copytree(run_src, profile_root / "run", dirs_exist_ok=True)
wepppy/profile_recorder/assembler.py:166:                        shutil.copy2(candidate, target)
wepppy/profile_recorder/assembler.py:432:                shutil.copytree(limbo_src, limbo_dest, dirs_exist_ok=True)
wepppy/profile_recorder/assembler.py:442:                shutil.copy2(source, target)
wepppy/profile_recorder/assembler.py:502:                        shutil.copy2(candidate, target_cfg)
wepppy/profile_recorder/assembler.py:523:                    shutil.copy2(defaults_source, defaults_target)
wepppy/nodb/mods/baer/README.md:102:shutil.copyfile(src_path, os.path.join(baer.baer_dir, dst_name))
wepppy/nodb/mods/baer/baer.py:730:            shutil.copyfile(_join(baer_soils_dir, fn),
wepppy/nodb/mods/swat/swat_txtinout_mixin.py:31:        shutil.copytree(self.template_dir, self.swat_txtinout_dir)
wepppy/nodb/mods/swat/swat_txtinout_mixin.py:382:                    shutil.copy2(src, dest)
wepppy/nodb/tests/profile.txt:13514:       78    0.000    0.000    0.000    0.000 cloudpickle.py:195(_whichmodule)
wepppy/nodb/tests/profile.txt:17442:       92    0.000    0.000    0.000    0.000 pickle.py:275(whichmodule)
wepppy/climates/cligen/single_storm.py:120:        shutil.copyfile(tmp_par_path, target_par_path)
wepppy/climates/cligen/single_storm.py:121:        shutil.copyfile(tmp_cli_path, target_cli_path)
wepppy/climates/daymet/scripts/process_daymet.py:65:            shutil.move(npy, npytmp)
wepppy/nodb/tests/prep_out.txt:2029:       78    0.000    0.000    0.000    0.000 cloudpickle.py:195(_whichmodule)
wepppy/nodb/tests/prep_out.txt:2789:       92    0.000    0.000    0.000    0.000 pickle.py:275(whichmodule)
wepppy/nodb/base.py:1845:                os.fchmod(fp.fileno(), target_mode)
wepppy/nodb/base.py:1857:                os.replace(temp_path, self._nodb)
wepppy/climates/gridmet/client.py:306:            os.chmod(stage_path, 0o644)
wepppy/climates/gridmet/client.py:307:            os.replace(stage_path, destination)
wepppy/weppcloud/usersum_docs/vendor_sync.py:68:                shutil.copy2(source_file, target_path)
wepppy/rq/culvert_rq.py:802:    shutil.copy2(streams_path, netful_path)
wepppy/rq/culvert_rq.py:840:    os.replace(output, netful_path)
wepppy/rq/culvert_rq.py:1025:    os.replace(masked_chnjnt, chnjnt_path)
wepppy/rq/culvert_rq.py:1086:    os.replace(seeded_mask, watershed_mask_path)
wepppy/rq/culvert_rq.py:1202:        os.replace(seeded_tif, netful_path)
wepppy/rq/culvert_rq.py:1241:    os.replace(seeded_chnjnt, chnjnt_path)
wepppy/rq/batch_rq.py:164:    shutil.copytree(base_omni_dir, target_omni_dir)
wepppy/rq/batch_rq.py:787:                os.replace(temporary, path)
wepppy/rq/wepp_rq_stage_post.py:104:                    shutil.move(fn, dst_path)
wepppy/rq/wepp_rq_stage_post.py:110:                shutil.move(fn, dst_path)
wepppy/rq/wepp_rq_stage_post.py:116:            shutil.move(tc_src, tc_dst)
wepppy/weppcloud/README.md:72:chmod 600 docker/secrets/*
wepppy/rq/wepp_rq_dss.py:54:        shutil.copy2(source, dest_dir / "README.dss_export.md")
wepppy/rq/wepp_rq_dss.py:228:        os.replace(tmp_path, dest_path)
wepppy/rq/weppcloudr_rq.py:117:                    os.fchmod(next_fd, 0o770)
wepppy/rq/weppcloudr_rq.py:179:                os.fchmod(descriptor, 0o660)
wepppy/rq/weppcloudr_rq.py:204:            os.fchmod(next_fd, 0o770)
wepppy/rq/weppcloudr_rq.py:214:        os.fchmod(lock_fd, 0o660)
wepppy/rq/weppcloudr_rq.py:231:                os.fchmod(fence_fd, 0o660)
wepppy/rq/weppcloudr_rq.py:256:        os.fchmod(lock_directory_fd, 0o770)
wepppy/rq/project_rq.py:958:            shutil.copytree(base_wd, runid_wd)
wepppy/rq/project_rq.py:2842:            os.replace(temp_path, claim_path)
wepppy/rq/topo_utils.py:89:        shutil.copy2(current, netful_path)
wepppy/rq/project_rq_fork.py:192:    os.link(
wepppy/rq/project_rq_fork.py:630:        os.replace(temp_name, ".redisprep-run-id", src_dir_fd=root_fd, dst_dir_fd=root_fd)
wepppy/rq/project_rq_fork.py:696:        os.fchmod(fd, source_stat.st_mode & 0o7777)
wepppy/rq/project_rq_fork.py:701:        os.replace(temp_path, path)
wepppy/rq/project_rq_fork.py:972:        os.replace(temp_name, "redisprep.dump", src_dir_fd=root_fd, dst_dir_fd=root_fd)
wepppy/rq/project_rq_archive.py:171:        os.chmod(path, desired_mode)
wepppy/rq/project_rq_archive.py:323:            os.replace(archive_path_tmp, archive_path)
wepppy/rq/project_rq_archive.py:419:                    shutil.copyfileobj(src, dst)
wepppy/rq/project_rq_archive.py:424:                        os.chmod(target_path, perm)
wepppy/weppcloud/_baremetal/bare-metal-24.04-with-conda-env.md:24:chown -R roger:webgroup /workdir
wepppy/weppcloud/_baremetal/bare-metal-24.04-with-conda-env.md:35:sudo chown -R roger:webgroup /workdir/miniconda3/
wepppy/weppcloud/_baremetal/bare-metal-24.04-with-conda-env.md:107:sudo chown -R roger:webgroup /workdir/miniconda3/
wepppy/weppcloud/_baremetal/bare-metal-24.04-with-conda-env.md:196:sudo chown www-data:www-data /var/run/apache2/wsgi
wepppy/weppcloud/_baremetal/bare-metal-24.04-with-conda-env.md:207:sudo chown www-data:www-data /var/www/weppcloud/weppcloud.wsgi
wepppy/weppcloud/_baremetal/bare-metal-24.04-with-conda-env.md:289:create `/wc` folder and chown to www-data:webgroup
wepppy/weppcloud/_baremetal/bare-metal-24.04-with-conda-env.md:292:sudo chown www-data:webgroup /wc
wepppy/nodb/mods/swat/swat.py:732:                    shutil.copy2(source_manifest, manifest_path)
wepppy/nodb/mods/swat/swat.py:948:                shutil.copy2(src, dest)
wepppy/nodb/mods/rusle/c_integration.py:793:    shutil.copyfile(lookup_path, lookup_copy_path)
wepppy/nodb/mods/revegetation/revegetation.py:94:        shutil.copyfile(src_fn, self.cover_transform_path)
wepppy/nodb/mods/roads/roads.py:1096:        shutil.copy2(source_path, target_path)
wepppy/nodb/mods/roads/roads.py:1694:            shutil.copy2(src_path, dst_path)
wepppy/nodb/mods/roads/roads.py:3164:            shutil.copy2(source_path, output_path)
wepppy/nodb/mods/roads/roads.py:3576:                shutil.copytree(entry, dst)
wepppy/nodb/mods/roads/roads.py:3613:            shutil.copy2(single_ofe_management_path, segment_man_path)
wepppy/nodb/mods/roads/roads.py:3615:            shutil.copy2(single_ofe_soil_path, segment_sol_path)
wepppy/nodb/mods/roads/roads.py:3617:            shutil.copy2(single_ofe_slope_path, segment_slp_path)
wepppy/nodb/mods/omni/omni_clone_contrast_service.py:50:        os.replace(target, stale_dir)
wepppy/nodb/mods/omni/omni_clone_contrast_service.py:178:                shutil.copytree(str(src_root), str(dst_root))
wepppy/nodb/mods/omni/omni_clone_contrast_service.py:207:                shutil.copy(src, dst)
wepppy/nodb/mods/omni/omni_clone_contrast_service.py:369:                    shutil.copytree(src, dst)
wepppy/nodb/mods/omni/omni_clone_contrast_service.py:377:                    shutil.copy(src, dst)
wepppy/nodb/mods/omni/omni_clone_contrast_service.py:405:                    shutil.copytree(str(src_root), str(dst_root))
wepppy/nodb/mods/omni/omni_clone_contrast_service.py:423:                    shutil.copytree(str(src_root), str(dst_root))
wepppy/nodb/mods/omni/omni_state_contrast_mixin.py:742:            os.replace(tmp_path, path)
wepppy/nodb/mods/omni/omni.py:244:                shutil.move(fn, dst_path)
wepppy/nodb/mods/omni/omni.py:249:            shutil.move(fn, dst_path)
wepppy/nodb/mods/omni/omni.py:255:        shutil.move(tc_src, tc_dst)
wepppy/nodb/mods/omni/omni.py:409:        shutil.copyfile(control_parquet_fn, output_parquet_fn)
wepppy/nodb/mods/omni/omni.py:532:    shutil.copyfile(_join(sibling_wd, 'disturbed.nodb'), _join(new_wd, 'disturbed.nodb'))
wepppy/nodb/mods/omni/omni.py:533:    shutil.copyfile(_join(sibling_wd, 'landuse.nodb'), _join(new_wd, 'landuse.nodb'))
