wepp_id,topaz_id,soil_key,area_ha,slope,sbs_map_sediment_t,undisturbed_sediment_t,sediment_delta_t,sbs_map_runoff_mm,undisturbed_runoff_mm,runoff_delta_mm,sbs_map_baseflow_mm,undisturbed_baseflow_mm,sbs_map_lateral_flow_mm,undisturbed_lateral_flow_mm,sbs_map_soil_layers,undisturbed_soil_layers,sbs_map_kslast_mm_hr,undisturbed_kslast_mm_hr,sbs_map_res_lyr_i,undisturbed_res_lyr_i,sbs_map_pmet_entry,sbs_map_pmet_station,sbs_map_pmet_description,undisturbed_pmet_entry,undisturbed_pmet_station,undisturbed_pmet_description,inversion
49,233,3120805-silt loam-tall grass,13.1,0.6079879701137543,6.7463,7.8512,-1.1049000000000009,42.94732824427481,60.98702290076336,-18.03969465648855,89.5587786259542,0.0,432.32900763358776,499.2809160305344,5,4,0.01,0.0,,3,317,Tah_7670,silt_loam-tall_grass,317,Tah_7670,silt_loam-tall_grass,True
968,4401,3114489-silt loam-tall grass,3.9,0.579055905342102,0.9493,1.9425,-0.9932,10.325641025641026,53.07179487179488,-42.74615384615385,66.41794871794872,0.0,736.8564102564103,741.0948717948718,4,3,0.01,0.0,,2,827,Tah_7670,silt_loam-tall_grass,827,Tah_7670,silt_loam-tall_grass,True
104,472,3114518-silt loam-tall grass,22.0,0.6107269525527954,4.3195,5.2651,-0.9456000000000008,19.518636363636364,25.59409090909091,-6.075454545454544,87.86454545454545,0.0,504.7790909090909,585.2477272727273,5,4,0.01,0.0,,3,902,Tah_7670,silt_loam-tall_grass,902,Tah_7670,silt_loam-tall_grass,True
39,183,3120805-silt loam-tall grass,13.8,0.6388776898384094,2.506,3.4225,-0.9165,22.35434782608696,31.160144927536237,-8.805797101449276,89.01014492753623,0.0,452.3391304347826,529.8094202898551,5,4,0.01,0.0,,3,201,Tah_7670,silt_loam-tall_grass,201,Tah_7670,silt_loam-tall_grass,True
93,423,3120805-silt loam-tall grass,8.6,0.6377238035202026,2.7015,3.6091,-0.9076,32.193023255813955,42.67093023255814,-10.477906976744189,89.63837209302325,0.0,485.1639534883721,561.2023255813954,5,4,0.01,0.0,,3,789,Tah_7670,silt_loam-tall_grass,789,Tah_7670,silt_loam-tall_grass,True
234,1041,3114505-silt loam-tall grass,4.0,0.5528221428394318,3.8663,4.7621,-0.8957999999999999,100.195,128.815,-28.620000000000005,88.395,0.0,459.27,513.215,5,4,0.01,0.0,,3,12,Tah_7670,silt_loam-tall_grass,12,Tah_7670,silt_loam-tall_grass,True
282,1273,3120797-silt loam-tall grass,3.8,0.6417110562324524,1.6195,2.4989,-0.8794,77.6921052631579,113.46315789473684,-35.77105263157894,88.37368421052632,0.0,492.3315789473684,532.5131578947369,5,4,0.01,0.0,,3,64,Tah_7670,silt_loam-tall_grass,64,Tah_7670,silt_loam-tall_grass,True
217,953,3114518-silt loam-tall grass,12.8,0.614128589630127,5.0325,5.8821,-0.8496000000000006,45.22421875,58.509375,-13.28515625,89.1015625,0.0,524.66875,597.9203125,5,4,0.01,0.0,,3,1901,Tah_7670,silt_loam-tall_grass,1901,Tah_7670,silt_loam-tall_grass,True
346,1572,3114660-silt loam-tall grass,10.7,0.590346097946167,1.3075,2.1529000000000003,-0.8454000000000002,6.34018691588785,20.24205607476636,-13.901869158878506,65.39532710280373,0.0,665.2831775700935,701.696261682243,4,3,0.01,0.0,,2,136,Tah_7670,silt_loam-tall_grass,136,Tah_7670,silt_loam-tall_grass,True
236,1051,3114505-silt loam-tall grass,4.0,0.5831559300422668,3.4538,4.2811,-0.8273000000000001,92.67,119.905,-27.235,88.3875,0.0,471.77,527.59,5,4,0.01,0.0,,3,14,Tah_7670,silt_loam-tall_grass,14,Tah_7670,silt_loam-tall_grass,True
