0|2|3||5|40|75||||"7942868"|"13497406"
0|2|3||2|4|5||||"7942869"|"13643811"
0|10|19||2|4|5||||"7942880"|"13351005"
0|4|8||5|40|75||||"7942880"|"13497410"
3|13|23||75|162|250||||"7942880"|"13643815"
0|2|3||2|4|5||||"7942881"|"13204600"
0|2|3||5|40|75||||"7942881"|"13351006"
0|2|3||75|162|250||||"7942881"|"13497411"
0|2|3||5|40|75||||"7942882"|"13204601"
0|2|3||75|162|250||||"7942882"|"13351007"
0|2|3||2|4|5||||"7942882"|"13643816"
0|14|28||75|162|250||||"7942884"|"13204602"
0|13|26||2|4|5||||"7942884"|"13497412"
1|12|23||5|40|75||||"7942884"|"13643817"
0|4|7||5|40|75||||"7942887"|"13204604"
11|20|28||75|162|250||||"7942887"|"13351010"
0|6|11||2|4|5||||"7942887"|"13643819"
0|2|3||2|4|5||||"7942894"|"13351014"
0|2|3||5|40|75||||"7942894"|"13497419"
9|25|40||5|40|75||||"7942895"|"13204609"
0|5|9||75|162|250||||"7942895"|"13351015"
0|2|3||250|625|1000||||"7942895"|"13497420"
0|16|31||2|4|5||||"7942895"|"13643824"
23|30|37||5|40|75||||"7942896"|"13204610"
0|3|6||75|162|250||||"7942896"|"13351016"
0|7|14||2|4|5||||"7942896"|"13643825"
0|5|9||2|4|5||||"7944411"|"13205237"
0|5|9||5|40|75||||"7944411"|"13351643"
0|5|9||75|162|250||||"7944411"|"13498048"
0|5|9||5|40|75||||"7944412"|"13205238"
0|7|14||2|4|5||||"7944412"|"13644453"
0|3|6||2|4|5||||"7944413"|"13351644"
20|25|30||5|40|75||||"7944413"|"13498049"
14|17|20||75|162|250||||"7944413"|"13644454"
0|6|11||2|4|5||||"7944415"|"13205239"
13|20|26||5|40|75||||"7944415"|"13351645"
0|3|6||75|162|250||||"7944415"|"13498050"
4|15|26||5|40|75||||"7944416"|"13205240"
6|13|20||75|162|250||||"7944416"|"13351646"
0|10|20||2|4|5||||"7944416"|"13644455"
0|3|6||2|4|5||||"7944417"|"13498051"
0|2|3||5|40|75||||"7944417"|"13644456"
0|5|9||2|4|5||||"7944418"|"13205241"
23|27|31||5|40|75||||"7944418"|"13351647"
0|3|6||75|162|250||||"7944418"|"13498052"
8|18|28||5|40|75||||"7944419"|"13205242"
0|3|6||75|162|250||||"7944419"|"13351648"
0|10|20||2|4|5||||"7944419"|"13644457"
0|2|3||75|162|250||||"7944420"|"13205243"
0|9|17||2|4|5||||"7944420"|"13498053"
27|32|37||5|40|75||||"7944420"|"13644458"
0|5|9||2|4|5||||"7944466"|"13205256"
30|34|37||5|40|75||||"7944466"|"13351662"
0|2|3||75|162|250||||"7944466"|"13498067"
0|3|6||5|40|75||||"7944467"|"13205257"
0|5|9||2|4|5||||"7944467"|"13644472"
0|7|14||2|4|5||||"7944468"|"13351663"
0|5|9||5|40|75||||"7944468"|"13498068"
0|6|11||5|40|75||||"7944469"|"13205258"
0|7|14||2|4|5||||"7944469"|"13644473"
0|9|17||2|4|5||||"7944470"|"13351664"
0|6|11||5|40|75||||"7944470"|"13498069"
0|3|6||75|162|250||||"7944470"|"13644474"
11|25|38||5|40|75||||"7944472"|"13205260"
3|14|25||75|162|250||||"7944472"|"13351666"
0|12|24||2|4|5||||"7944472"|"13644475"
28|33|37||5|40|75||||"7944494"|"13205274"
0|6|11||2|4|5||||"7944494"|"13644489"
0|7|14||2|4|5||||"7944648"|"13205347"
13|20|26||5|40|75||||"7944648"|"13351753"
0|2|3||75|162|250||||"7944648"|"13498158"
18|28|37||5|40|75||||"7944649"|"13205348"
0|3|6||75|162|250||||"7944649"|"13351754"
0|10|20||2|4|5||||"7944649"|"13644563"
0|3|6||75|162|250||||"7944650"|"13205349"
0|13|26||2|4|5||||"7944650"|"13498159"
0|13|26||5|40|75||||"7944650"|"13644564"
0|3|6||5|40|75||||"7947136"|"13206690"
0|3|6||2|4|5||||"7947136"|"13645905"
0|6|11||2|4|5||||"7947137"|"13353096"
0|6|11||5|40|75||||"7947137"|"13499501"
0|5|9||5|40|75||||"7947139"|"13206691"
0|5|9||75|162|250||||"7947139"|"13353097"
0|6|11||2|4|5||||"7947139"|"13645906"
0|7|14||2|4|5||||"7947140"|"13499502"
0|7|14||5|40|75||||"7947140"|"13645907"
0|7|14||2|4|5||||"7947141"|"13206692"
0|7|14||5|40|75||||"7947141"|"13353098"
0|2|3||75|162|250||||"7947141"|"13499503"
0|3|6||5|40|75||||"7947143"|"13206693"
0|3|6||2|4|5||||"7947143"|"13645908"
0|6|11||2|4|5||||"7947144"|"13353099"
0|6|11||5|40|75||||"7947144"|"13499504"
0|2|3||75|162|250||||"7947144"|"13645909"
0|2|3||5|40|75||||"7947145"|"13353100"
0|2|3||75|162|250||||"7947145"|"13499505"
0|3|6||2|4|5||||"7947145"|"13206694"
0|2|3||2|4|5||||"7947146"|"13645910"
0|2|3||2|4|5||||"7947147"|"13206695"
0|2|3||2|4|5||||"7947148"|"13353101"
0|2|3||5|40|75||||"7947148"|"13499506"
0|2|3||2|4|5||||"7947149"|"13645911"
0|6|11||2|4|5||||"7947152"|"13206696"
0|3|6||5|40|75||||"7947152"|"13353102"
0|2|3||2|4|5||||"7947153"|"13499507"
0|2|3||5|40|75||||"7947154"|"13206697"
0|6|11||2|4|5||||"7947154"|"13645912"
0|2|3||2|4|5||||"7947156"|"13353103"
0|2|3||5|40|75||||"7947156"|"13499508"
0|2|3||5|40|75||||"7947157"|"13206698"
0|2|3||2|4|5||||"7947157"|"13645913"
0|2|3||2|4|5||||"7947158"|"13353104"
0|6|11||2|4|5||||"7947159"|"13499509"
0|3|6||5|40|75||||"7947159"|"13645914"
0|5|9||2|4|5||||"7947160"|"13206699"
0|3|6||5|40|75||||"7947160"|"13353105"
0|2|3||2|4|5||||"7947161"|"13499510"
0|2|3||5|40|75||||"7947162"|"13206700"
0|2|3||2|4|5||||"7947162"|"13645915"
0|7|14||2|4|5||||"7947163"|"13353106"
0|5|9||5|40|75||||"7947163"|"13499511"
0|3|6||5|40|75||||"7947164"|"13206701"
