cell,calendar_year,P_mm,Q_mm,Ep_mm,Es_mm,Er_mm,Dp_mm,latqcc_mm,mean_soil_water_mm,mean_soil_water_total_mm,mean_porosity_capacity_mm,mean_field_capacity_mm,mean_wilting_point_mm,ET_mm,Es_fraction
burned_pmet,1993,1121.8587115172486,377.4863589592759,105.77157716251901,150.93088397657212,0.0,2.569423464067926,552.9715843160392,157.64244330203624,157.64244330203624,275.9051059787162,160.0758131144192,76.73597383854681,256.70246113909116,0.5879604087426027
burned_pmet,1994,357.68054556892815,1.7333707135187517,105.91842827107962,135.199024794984,0.0,2.569423464067926,104.27451141292161,143.94098999114848,143.94098999114848,275.9051059787162,160.0758131144192,76.73597383854681,241.11745306606363,0.5607185339583896
burned_pmet,1995,1320.8220918100444,530.6143148515378,98.2803652279553,157.03264565398064,0.0,2.569423464067926,524.2060628661991,157.19068323758134,157.19068323758134,275.9051059787162,160.0758131144192,76.73597383854681,255.31301088193595,0.6150593152755425
burned_pmet,1996,804.8272825830506,157.3998876384049,102.17866939598134,162.8735318065252,0.0,2.576462980407838,339.06837068492337,155.63679086670516,155.63679086670516,275.9051059787162,160.0758131144192,76.7359738385468,265.0522012025065,0.6144960542398429
burned_pmet,1997,491.0863461984711,51.20705039193546,62.3908195828414,103.92699418038686,0.0,2.569423464067926,301.4500717554105,151.00862849808166,151.00862849808166,275.9051059787162,160.0758131144192,76.73597383854681,166.31781376322826,0.6248698911370876
burned_pmet,1998,936.0756209848523,165.4163447724689,126.43914885299414,206.35723753233066,0.0,2.569423464067926,464.4953585557662,160.56096960881214,160.56096960881214,275.9051059787162,160.0758131144192,76.73597383854681,332.7963863853248,0.6200705475611809
burned_pmet,1999,273.49494722209545,1.2585758593638117,88.85821836562258,110.55447617460769,0.0,2.568896654095529,65.65415152776337,140.11274644533296,140.11274644533296,275.9051059787162,160.0758131144192,76.73597383854681,199.41269454023026,0.5544003927608732
burned_pmet,2000,506.0183594993584,54.846696939574436,96.86745136095263,118.6726506870916,0.0,2.5547259681761716,242.72789925073687,148.58415027008706,148.58415027008706,275.9051059787162,160.0758131144192,76.7359738385468,215.54010204804422,0.5505826969527893
burned_pmet,2001,664.3468328145191,137.98353600742655,86.60179919934951,139.58405108023948,0.0,2.569423464067926,269.8456391871731,151.35469829828304,151.35469829828304,275.9051059787162,160.0758131144192,76.73597383854681,226.18585027958898,0.6171210573415589
burned_pmet,2002,366.12971508722643,38.57428998529509,77.61676422368635,92.26933104973335,0.0,2.568665551877125,132.430906225748,144.65995087439615,144.65995087439615,275.9051059787162,160.0758131144192,76.73597383854681,169.8860952734197,0.5431246795167808
burned_pmet,2003,514.5075186662621,101.83623752144499,110.26404202213091,122.91919295800797,0.0,2.569423464067926,188.34845242841897,148.83695579070468,148.83695579070468,275.9051059787162,160.0758131144192,76.73597383854681,233.18323498013888,0.5271356363525769
burned_pmet,2004,855.8631514398112,274.6476363773112,86.07100930039279,117.16956565437809,0.0,2.576421971702464,285.55468482947316,152.4939208506085,152.4939208506085,275.9051059787162,160.0758131144192,76.7359738385468,203.24057495477086,0.5765067614104762
burned_pmet,2005,1252.4413274958217,564.9683937358841,110.44900423794763,154.07668812869,0.0,2.569421406725662,513.7228921276034,157.08963343868731,157.08963343868731,275.9051059787162,160.0758131144192,76.73597383854681,264.5256923666376,0.5824639820435166
burned_pmet,2006,547.5628714794586,82.58443230671169,108.72237137562924,137.25811441881146,0.0,2.569423464067926,247.5399331593216,150.15467299716545,150.15467299716545,275.9051059787162,160.0758131144192,76.73597383854681,245.9804857944407,0.5580040789638671
burned_pmet,2007,299.0350730211696,1.0275419988972676,79.46184531813886,111.21652012949731,0.0,2.561083437413693,63.70838193973872,139.54986726326453,139.54986726326453,275.9051059787162,160.0758131144192,76.73597383854681,190.67836544763617,0.5832676395584031
burned_pmet,2008,655.4849392612676,150.57157447302353,75.91697415110337,115.16834914857671,0.0,2.576462980407838,316.03805242626987,151.09578301047893,151.09578301047893,275.9051059787162,160.0758131144192,76.7359738385468,191.08532329968008,0.6027064096804421
burned_pmet,2009,462.51021633389104,54.34842435554165,89.2934468820078,92.37930202944672,0.0,2.569423464067926,226.17444649542125,149.6225361682371,149.6225361682371,275.9051059787162,160.0758131144192,76.73597383854681,181.6727489114545,0.5084928949606607
burned_pmet,2010,895.4966575830575,186.6468315360071,107.88877420280423,153.84138802756934,0.0,2.569423464067926,392.2003289149329,155.87542750426158,155.87542750426158,275.9051059787162,160.0758131144192,76.73597383854681,261.7301622303736,0.5877862402888013
burned_pmet,2011,401.81862488138955,30.80947091442833,114.05978915853979,133.66483669639942,0.0,2.569423464067926,195.12998973573022,150.7601646770343,150.7601646770343,275.9051059787162,160.0758131144192,76.73597383854681,247.7246258549392,0.5395702435117206
burned_pmet,2012,358.0194374340954,3.660284591656126,97.79246158656284,123.04152574056269,0.0,2.560367807446504,92.25815016639137,142.0805727473346,142.0805727473346,275.9051059787162,160.0758131144192,76.7359738385468,220.83398732712553,0.5571675231235986
burned_pmet,2013,152.12396281750813,1.3161020106194208,76.28675509530602,70.62316410271686,0.0,2.569423464067926,47.8876528266515,140.0496458719736,140.0496458719736,275.9051059787162,160.0758131144192,76.73597383854681,146.90991919802286,0.4807242729983566
burned_pmet,2014,336.0856321538709,45.9726195743051,54.53796806259872,62.24443580145204,0.0,2.561695566390514,136.7085356681513,141.53799230147524,141.53799230147524,275.9051059787162,160.0758131144192,76.73597383854681,116.78240386405076,0.5329949867611246
burned_pmet,2015,231.98197879062124,2.2207946340509013,107.77376265490047,98.34564355689017,0.0,2.5692560010016576,55.660708922526005,141.56936039848955,141.56936039848955,275.9051059787162,160.0758131144192,76.73597383854681,206.11940621179065,0.4771294724953681
burned_pmet,2016,438.2347784099771,19.382943882702367,83.35941497543216,109.62344859375783,0.0,2.576373071477918,161.83677889117507,146.34196359680072,146.34196359680072,275.9051059787162,160.0758131144192,76.7359738385468,192.98286356919,0.5680475798021031
burned_pmet,2017,495.5494506379299,126.16350541435472,52.43508686735734,81.80831877535486,0.0,2.5694211406017415,297.416855938925,148.68143550194793,148.68143550194793,275.9051059787162,160.0758131144192,76.73597383854681,134.24340564271222,0.6094028856291613
burned_pmet,2018,406.9292874775795,13.218106437614034,79.40704474539561,101.86996436068767,0.0,2.569423464067926,181.41428248557946,147.00931619983731,147.00931619983731,275.9051059787162,160.0758131144192,76.73597383854681,181.27700910608328,0.5619574421656162
burned_pmet,2019,838.5322600915501,118.81610901128458,81.59982517188571,134.092643164543,0.0,2.569423464067926,459.01522630211053,158.01268581050186,158.01268581050186,275.9051059787162,160.0758131144192,76.73597383854681,215.6924683364287,0.6216844018651153
burned_pmet,2020,347.8140726609146,17.65573139766225,77.82626454077233,80.08770790375945,0.0,2.576462980407838,198.8369922570046,147.5556950520129,147.5556950520129,275.9051059787162,160.0758131144192,76.7359738385468,157.9139724445318,0.507160365001208
burned_pmet,2021,571.7963981700382,172.98349476658507,71.6507982057297,82.00145315404627,0.0,2.56823929215238,167.51965065754283,145.0676557170773,145.0676557170773,275.9051059787162,160.0758131144192,76.73597383854681,153.65225135977596,0.5336820803363322
burned_pmet,2022,255.73876973227573,4.335020943200222,79.1151244518077,83.53703560414577,0.0,2.569423464067926,127.05259835415633,145.3809358000366,145.3809358000366,275.9051059787162,160.0758131144192,76.73597383854681,162.65216005595346,0.5135931522545317
burned_pmet,2023,1125.2993254638454,346.40601281700657,112.23818989729588,159.66585805472783,0.0,2.569423464067926,516.7233122212383,160.9741656950204,160.9741656950204,275.9051059787162,160.0758131144192,76.73597383854681,271.9040479520237,0.5872139795539204
burned_pmet,2024,777.2063735944386,257.36515543756343,80.17664471137924,125.34887088129105,0.0,2.576462980407838,370.8540327349235,154.0849478412604,154.0849478412604,275.9051059787162,160.0758131144192,76.7359738385468,205.52551559267027,0.6098944479950567
burned_pmet,2025,960.59641575125,257.80396422996097,94.68887072471159,113.15868195858648,0.0,2.569423464067926,371.9359650098434,155.55867716691438,155.55867716691438,275.9051059787162,160.0758131144192,76.73597383854681,207.8475526832981,0.5444311491654119
