|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965218"|"15790151"
|2||"COST4"|"Cornus stolonifera"|"redosier dogwood"|"2965218"|"15686916"
|7||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965218"|"15996618"
|9||"QURU"|"Quercus rubra"|"northern red oak"|"2965218"|"15686918"
|2||"PRAM"|"Prunus americana"|"American plum"|"2965218"|"15893386"
|6||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965220"|"15893407"
|6||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965220"|"15790174"
|7||"PIBA2"|"Pinus banksiana"|"jack pine"|"2965220"|"15893406"
|5||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965220"|"15996641"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965220"|"15996639"
|7||"PINI"|"Pinus nigra"|"Austrian pine"|"2965220"|"15996640"
|5||"UNKNOWN"|"unknown scientific name"|"Manchurian crabapple"|"2965220"|"15790172"
|3||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965220"|"15686939"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965220"|"15893405"
|3||"ACGI"|"Acer ginnala"|"Amur maple"|"2965220"|"15790173"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965220"|"15686938"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965220"|"15686937"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965221"|"15686950"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965221"|"15686951"
|6||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2965221"|"15893419"
|2||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"2965221"|"15996653"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965221"|"15893418"
|7||"PINI"|"Pinus nigra"|"Austrian pine"|"2965221"|"15790185"
|2||"UNKNOWN"|"unknown scientific name"|"Peking cotoneaster"|"2965221"|"15996651"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965221"|"15996652"
|5||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965221"|"15686949"
|9||"ULPU"|"Ulmus pumila"|"Siberian elm"|"2965221"|"15790186"
|6||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965221"|"15790184"
|5||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965221"|"15893417"
|9||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965222"|"15893429"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965222"|"15686961"
|2||"PRAM"|"Prunus americana"|"American plum"|"2965222"|"15996665"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965222"|"15893430"
