site,comparison,outlet,duration_min,F,S,reference_probability,rain_mm,probability30,probability_change_pp,threshold10_mm_h,threshold30_mm_h,threshold_change_mm_h,threshold_change_pct
topanga,native,nested_20000,30,0.25,0.25,0.5,14.557510572815078,0.46440467528346663,-3.559532471653337,29.115021145630156,30.253499174848454,1.138478029218298,3.9102771848378737
topanga,native,nested_20000,30,0.25,0.25,0.75,18.7773153241899,0.7139502488538769,-3.6049751146123077,37.5546306483798,39.02312080247353,1.468490154093729,3.9102771848378737
topanga,native,nested_20000,30,0.25,0.75,0.25,6.111974140494597,0.23894133071520904,-1.105866928479096,12.223948280989195,12.502104978020782,0.2781566970315872,2.275506167382746
topanga,native,nested_20000,30,0.25,0.75,0.5,8.60685433575497,0.47893175439910646,-2.106824560089354,17.21370867150994,17.60540767396545,0.39169900245550693,2.275506167382746
topanga,native,nested_20000,30,0.25,0.75,0.75,11.101734531015342,0.7290576189174525,-2.0942381082547534,22.203469062030685,22.708710369910115,0.5052413078794302,2.275506167382746
topanga,native,nested_20000,30,0.75,0.25,0.25,7.573976702097557,0.23634637249278118,-1.3653627507218824,15.147953404195114,15.577435229639612,0.42948182544449764,2.835246544431258
topanga,native,nested_20000,30,0.75,0.25,0.5,10.665639729306887,0.4739004427121576,-2.609955728784241,21.331279458613775,21.936073822347094,0.6047943637333191,2.835246544431236
topanga,native,nested_20000,30,0.75,0.25,0.75,13.757302756516216,0.7238878797164544,-2.6112120283545592,27.514605513032432,28.294712415054573,0.7801069020221405,2.835246544431236
topanga,native,nested_20000,30,0.75,0.75,0.25,5.027373205687514,0.24087901422443186,-0.9120985775568136,10.054746411375028,10.242184827686394,0.18743841631136604,1.8641784550559537
topanga,native,nested_20000,30,0.75,0.75,0.5,7.079524205795876,0.4826671028879472,-1.7332897112052825,14.159048411591751,14.422998341521588,0.26394992992983646,1.8641784550559537
topanga,native,nested_20000,30,0.75,0.75,0.75,9.131675205904237,0.7328533025703305,-1.7146697429669455,18.263350411808474,18.60381185535678,0.3404614435483069,1.8641784550559537
topanga,native,nested_20000,60,0.25,0.25,0.25,15.545897280214971,0.23144860406778614,-1.855139593221386,15.545897280214971,16.2443898252013,0.698492544986328,4.493098934053097
topanga,native,nested_20000,60,0.25,0.25,0.5,22.778472307372763,0.46287431806381124,-3.7125681936188757,22.778472307372763,23.801931603808907,1.023459296436144,4.493098934053097
topanga,native,nested_20000,60,0.25,0.25,0.75,30.011047334530552,0.711482794098637,-3.8517205901362983,30.011047334530552,31.359473382416514,1.3484260478859618,4.493098934053097
topanga,native,nested_20000,60,0.25,0.75,0.25,9.761922757633481,0.2382365768522348,-1.1763423147765213,9.761922757633481,10.032817680578429,0.2708949229449473,2.775016046230405
topanga,native,nested_20000,60,0.25,0.75,0.5,14.303560816940593,0.47666120971258624,-2.333879028741376,14.303560816940593,14.70048692479302,0.396926107852428,2.7750160462304274
topanga,native,nested_20000,60,0.25,0.75,0.75,18.845198876247704,0.7262195233489662,-2.3780476651033777,18.845198876247704,19.368156169007612,0.5229572927599087,2.7750160462304274
topanga,native,nested_20000,60,0.75,0.25,0.25,11.695955203472591,0.23595170019500356,-1.4048299804996445,11.695955203472591,12.086972351205358,0.3910171477327662,3.3431826723880675
topanga,native,nested_20000,60,0.75,0.25,0.5,17.13738273889384,0.4720461724455232,-2.7953827554476787,17.13738273889384,17.710316749121365,0.5729340102275238,3.3431826723880675
topanga,native,nested_20000,60,0.75,0.25,0.75,22.578810274315092,0.7213443485239157,-2.8655651476084287,22.578810274315092,23.333661147037372,0.7548508727222796,3.3431826723880675
topanga,native,nested_20000,60,0.75,0.75,0.25,8.08977543256085,0.2402242822139022,-0.9775717786097787,8.08977543256085,8.274933900185347,0.18515846762449684,2.2887961373964094
topanga,native,nested_20000,60,0.75,0.75,0.5,11.853463479266194,0.4806545738515243,-1.9345426148475675,11.853463479266194,12.124765093527335,0.27130161426114086,2.2887961373964316
topanga,native,nested_20000,60,0.75,0.75,0.75,15.61715152597154,0.7303914597697971,-1.9608540230202864,15.61715152597154,15.974596286869323,0.3574447608977831,2.2887961373964316
topanga,native,nested_100000,15,0.25,0.25,0.25,8.085905460617203,0.23261790038289162,-1.7382099617108375,32.343621842468814,33.56434681352467,1.2207249710558585,3.774237087613308
topanga,native,nested_100000,15,0.25,0.25,0.5,11.487650465962227,0.46631819713212264,-3.3681802867877364,45.95060186384891,47.68488652137584,1.7342846575269277,3.77423708761333
topanga,native,nested_100000,15,0.25,0.25,0.75,14.889395471307253,0.7158003978945028,-3.4199602105497218,59.55758188522901,61.805426229227,2.24784434399799,3.77423708761333
topanga,native,nested_100000,15,0.25,0.75,0.25,4.680279467833057,0.23983471701273315,-1.0165282987266848,18.72111787133223,19.1237001760746,0.40258230474237067,2.150418086725736
topanga,native,nested_100000,15,0.25,0.75,0.5,6.649275689822612,0.480484665731037,-1.9515334268963014,26.597102759290447,27.169051667571253,0.571948908280806,2.150418086725714
topanga,native,nested_100000,15,0.25,0.75,0.75,8.618271911812165,0.7305439024535058,-1.9456097546494244,34.47308764724866,35.214403159067906,0.7413155118192449,2.150418086725714
topanga,native,nested_100000,15,0.75,0.25,0.25,5.351692244012804,0.23839988976181833,-1.1600110238181665,21.406768976051215,21.934770523581726,0.5280015475305113,2.46651677383547
topanga,native,nested_100000,15,0.75,0.25,0.5,7.6031522010804515,0.47768856448750446,-2.231143551249554,30.412608804321806,31.162740901841367,0.7501320975195611,2.46651677383547
topanga,native,nested_100000,15,0.75,0.25,0.75,9.854612158148099,0.7276757420915292,-2.2324257908470813,39.418448632592394,40.39071128010101,0.9722626475086145,2.466516773835492
topanga,native,nested_100000,15,0.75,0.75,0.25,3.6121001637133174,0.2421296012829753,-0.787039871702469,14.44840065485327,14.687019324697902,0.23861866984463198,1.6515230685029358
topanga,native,nested_100000,15,0.75,0.75,0.5,5.131712747679865,0.4849355524247488,-1.5064447575251216,20.52685099071946,20.865856670068418,0.33900567934895776,1.651523068502958
topanga,native,nested_100000,15,0.75,0.75,0.75,6.651325331646413,0.7350674895062008,-1.4932510493799178,26.605301326585653,27.04469401543893,0.4393926888532782,1.6515230685029358
topanga,native,nested_100000,30,0.25,0.25,0.25,12.335089739427213,0.23259903649090377,-1.740096350909623,24.670179478854426,25.573642280752022,0.9034628018975965,3.662165500952197
topanga,native,nested_100000,30,0.25,0.25,0.5,17.370217570508977,0.4665767423069909,-3.342325769300908,34.740435141017954,36.012687371632985,1.272252230615031,3.662165500952197
topanga,native,nested_100000,30,0.25,0.25,0.75,22.40534540159074,0.7162443573184538,-3.3755642681546183,44.81069080318148,46.45173246251395,1.6410416593324726,3.662165500952197
topanga,native,nested_100000,30,0.25,0.75,0.25,6.759061592311885,0.24035899760238613,-0.9641002397613868,13.51812318462377,13.784973497396308,0.26685031277253835,1.9740189457369883
topanga,native,nested_100000,30,0.25,0.75,0.5,9.518079958158465,0.48166646325780005,-1.8333536742199952,19.03615991631693,19.41193731960582,0.37577740328888964,1.9740189457370105
topanga,native,nested_100000,30,0.25,0.75,0.75,12.277098324005046,0.7318400306587125,-1.8159969341287496,24.55419664801009,25.03890114181533,0.48470449380523917,1.9740189457370105
topanga,native,nested_100000,30,0.75,0.25,0.25,8.593478579104591,0.23778670860001552,-1.2213291399984478,17.186957158209182,17.620633666633204,0.4336765084240213,2.5232884706230863
topanga,native,nested_100000,30,0.75,0.25,0.5,12.101297660562182,0.4766971598762254,-2.3302840123774593,24.202595321124363,24.813296618453855,0.6107012973294914,2.5232884706230863
topanga,native,nested_100000,30,0.75,0.25,0.75,15.60911674201977,0.7267696697091668,-2.323033029083321,31.21823348403954,32.005959570274506,0.7877260862349651,2.5232884706230863
topanga,native,nested_100000,30,0.75,0.75,0.25,5.4571060908113305,0.24219615353698046,-0.7803846463019543,10.914212181622661,11.087501366948587,0.17328918532592574,1.5877388348534138
topanga,native,nested_100000,30,0.75,0.75,0.5,7.684672110633888,0.48519562655089243,-1.4804373449107566,15.369344221267776,15.613369268131143,0.24402504686336712,1.5877388348534138
topanga,native,nested_100000,30,0.75,0.75,0.75,9.912238130456444,0.7354022750998928,-1.4597724900107245,19.82447626091289,20.1392371693137,0.3147609084008103,1.5877388348534138
topanga,native,nested_100000,60,0.25,0.25,0.25,19.075287315322793,0.23207418065508859,-1.7925819344911416,19.075287315322793,19.90141688907332,0.8261295737505279,4.330889281478423
topanga,native,nested_100000,60,0.25,0.25,0.5,27.949876165735915,0.4641545048279545,-3.5845495172045494,27.949876165735915,29.160354356784257,1.2104781910483418,4.330889281478401
topanga,native,nested_100000,60,0.25,0.25,0.75,36.824465016149034,0.7128731332885415,-3.7126866711458484,36.824465016149034,38.4192918244952,1.5948268083461627,4.330889281478401
