artifact_id,case_id,artifact_type,relative_path,description,produced_by,created_utc
A0022,C000,repro_input,artifacts/repro/C000_baseline_output/H2637.ebe.dat,Auto-indexed artifact: artifacts/repro/C000_baseline_output/H2637.ebe.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:07Z
A0023,C000,repro_input,artifacts/repro/C000_baseline_output/H2637.element.dat,Auto-indexed artifact: artifacts/repro/C000_baseline_output/H2637.element.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:07Z
A0024,C000,repro_input,artifacts/repro/C000_baseline_output/H2637.loss.dat,Auto-indexed artifact: artifacts/repro/C000_baseline_output/H2637.loss.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:07Z
A0025,C000,repro_input,artifacts/repro/C000_baseline_output/H2637.pass.dat,Auto-indexed artifact: artifacts/repro/C000_baseline_output/H2637.pass.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:07Z
A0026,C000,repro_input,artifacts/repro/C000_baseline_output/H2637.plot.dat,Auto-indexed artifact: artifacts/repro/C000_baseline_output/H2637.plot.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:07Z
A0027,C000,repro_input,artifacts/repro/C000_baseline_output/H2637.soil.dat,Auto-indexed artifact: artifacts/repro/C000_baseline_output/H2637.soil.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:07Z
A0028,C000,repro_input,artifacts/repro/C000_baseline_output/H2637.wat.dat,Auto-indexed artifact: artifacts/repro/C000_baseline_output/H2637.wat.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:08Z
A0029,C000,repro_input,artifacts/repro/C000_baseline_output/interchange/H.pass.parquet,Auto-indexed artifact: artifacts/repro/C000_baseline_output/interchange/H.pass.parquet,tools/ablation_protocol.py finalize,2026-04-30T19:34:27Z
A0030,C000,repro_input,artifacts/repro/C000_baseline_output/interchange/H.wat.parquet,Auto-indexed artifact: artifacts/repro/C000_baseline_output/interchange/H.wat.parquet,tools/ablation_protocol.py finalize,2026-04-30T19:34:27Z
A0031,C010,repro_input,artifacts/repro/C010_dcc52a6_output/H2637.ebe.dat,Auto-indexed artifact: artifacts/repro/C010_dcc52a6_output/H2637.ebe.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:27Z
A0032,C010,repro_input,artifacts/repro/C010_dcc52a6_output/H2637.element.dat,Auto-indexed artifact: artifacts/repro/C010_dcc52a6_output/H2637.element.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:27Z
A0033,C010,repro_input,artifacts/repro/C010_dcc52a6_output/H2637.loss.dat,Auto-indexed artifact: artifacts/repro/C010_dcc52a6_output/H2637.loss.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:27Z
A0034,C010,repro_input,artifacts/repro/C010_dcc52a6_output/H2637.pass.dat,Auto-indexed artifact: artifacts/repro/C010_dcc52a6_output/H2637.pass.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:27Z
A0035,C010,repro_input,artifacts/repro/C010_dcc52a6_output/H2637.plot.dat,Auto-indexed artifact: artifacts/repro/C010_dcc52a6_output/H2637.plot.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:27Z
A0036,C010,repro_input,artifacts/repro/C010_dcc52a6_output/H2637.soil.dat,Auto-indexed artifact: artifacts/repro/C010_dcc52a6_output/H2637.soil.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:27Z
A0037,C010,repro_input,artifacts/repro/C010_dcc52a6_output/H2637.wat.dat,Auto-indexed artifact: artifacts/repro/C010_dcc52a6_output/H2637.wat.dat,tools/ablation_protocol.py finalize,2026-04-30T19:29:27Z
A0038,C010,repro_input,artifacts/repro/C010_dcc52a6_output/interchange/H.pass.parquet,Auto-indexed artifact: artifacts/repro/C010_dcc52a6_output/interchange/H.pass.parquet,tools/ablation_protocol.py finalize,2026-04-30T19:34:31Z
A0039,C010,repro_input,artifacts/repro/C010_dcc52a6_output/interchange/H.wat.parquet,Auto-indexed artifact: artifacts/repro/C010_dcc52a6_output/interchange/H.wat.parquet,tools/ablation_protocol.py finalize,2026-04-30T19:34:30Z
A0040,C020,repro_input,artifacts/repro/C020_winbootstrap_output/C020_win_exit_code.txt,Auto-indexed artifact: artifacts/repro/C020_winbootstrap_output/C020_win_exit_code.txt,tools/ablation_protocol.py finalize,2026-04-30T19:30:41Z
A0041,C020,repro_input,artifacts/repro/C020_winbootstrap_output/C020_win_stderr.txt,Auto-indexed artifact: artifacts/repro/C020_winbootstrap_output/C020_win_stderr.txt,tools/ablation_protocol.py finalize,2026-04-30T19:30:32Z
A0042,C020,repro_input,artifacts/repro/C020_winbootstrap_output/C020_win_stdout.txt,Auto-indexed artifact: artifacts/repro/C020_winbootstrap_output/C020_win_stdout.txt,tools/ablation_protocol.py finalize,2026-04-30T19:30:41Z
A0043,C020,repro_input,artifacts/repro/C020_winbootstrap_output/H2637.ebe.dat,Auto-indexed artifact: artifacts/repro/C020_winbootstrap_output/H2637.ebe.dat,tools/ablation_protocol.py finalize,2026-04-30T19:31:28Z
A0044,C020,repro_input,artifacts/repro/C020_winbootstrap_output/H2637.element.dat,Auto-indexed artifact: artifacts/repro/C020_winbootstrap_output/H2637.element.dat,tools/ablation_protocol.py finalize,2026-04-30T19:31:28Z
A0045,C020,repro_input,artifacts/repro/C020_winbootstrap_output/H2637.loss.dat,Auto-indexed artifact: artifacts/repro/C020_winbootstrap_output/H2637.loss.dat,tools/ablation_protocol.py finalize,2026-04-30T19:31:28Z
A0046,C020,repro_input,artifacts/repro/C020_winbootstrap_output/H2637.pass.dat,Auto-indexed artifact: artifacts/repro/C020_winbootstrap_output/H2637.pass.dat,tools/ablation_protocol.py finalize,2026-04-30T19:31:28Z
A0047,C020,repro_input,artifacts/repro/C020_winbootstrap_output/H2637.plot.dat,Auto-indexed artifact: artifacts/repro/C020_winbootstrap_output/H2637.plot.dat,tools/ablation_protocol.py finalize,2026-04-30T19:31:28Z
A0048,C020,repro_input,artifacts/repro/C020_winbootstrap_output/H2637.soil.dat,Auto-indexed artifact: artifacts/repro/C020_winbootstrap_output/H2637.soil.dat,tools/ablation_protocol.py finalize,2026-04-30T19:31:28Z
A0049,C020,repro_input,artifacts/repro/C020_winbootstrap_output/H2637.wat.dat,Auto-indexed artifact: artifacts/repro/C020_winbootstrap_output/H2637.wat.dat,tools/ablation_protocol.py finalize,2026-04-30T19:31:28Z
A0050,C020,repro_input,artifacts/repro/C020_winbootstrap_output/interchange/H.pass.parquet,Auto-indexed artifact: artifacts/repro/C020_winbootstrap_output/interchange/H.pass.parquet,tools/ablation_protocol.py finalize,2026-04-30T19:34:34Z
A0051,C020,repro_input,artifacts/repro/C020_winbootstrap_output/interchange/H.wat.parquet,Auto-indexed artifact: artifacts/repro/C020_winbootstrap_output/interchange/H.wat.parquet,tools/ablation_protocol.py finalize,2026-04-30T19:34:33Z
A0052,GLOBAL,repro_input,artifacts/repro/source_wepp1/bin/wepp_260429_hill,Auto-indexed artifact: artifacts/repro/source_wepp1/bin/wepp_260429_hill,tools/ablation_protocol.py finalize,2026-04-30T07:24:13Z
A0053,GLOBAL,repro_input,artifacts/repro/source_wepp1/bin/wepp_dcc52a6_hill,Auto-indexed artifact: artifacts/repro/source_wepp1/bin/wepp_dcc52a6_hill,tools/ablation_protocol.py finalize,2026-01-20T07:09:21Z
A0054,GLOBAL,repro_input,artifacts/repro/source_wepp1/output/H2637.ebe.dat,Auto-indexed artifact: artifacts/repro/source_wepp1/output/H2637.ebe.dat,tools/ablation_protocol.py finalize,2026-04-30T15:57:15Z
A0055,GLOBAL,repro_input,artifacts/repro/source_wepp1/output/H2637.element.dat,Auto-indexed artifact: artifacts/repro/source_wepp1/output/H2637.element.dat,tools/ablation_protocol.py finalize,2026-04-30T15:57:20Z
A0056,GLOBAL,repro_input,artifacts/repro/source_wepp1/output/H2637.loss.dat,Auto-indexed artifact: artifacts/repro/source_wepp1/output/H2637.loss.dat,tools/ablation_protocol.py finalize,2026-04-30T15:57:16Z
A0057,GLOBAL,repro_input,artifacts/repro/source_wepp1/output/H2637.pass.dat,Auto-indexed artifact: artifacts/repro/source_wepp1/output/H2637.pass.dat,tools/ablation_protocol.py finalize,2026-04-30T15:57:36Z
A0058,GLOBAL,repro_input,artifacts/repro/source_wepp1/output/H2637.plot.dat,Auto-indexed artifact: artifacts/repro/source_wepp1/output/H2637.plot.dat,tools/ablation_protocol.py finalize,2026-04-30T15:57:36Z
A0059,GLOBAL,repro_input,artifacts/repro/source_wepp1/output/H2637.soil.dat,Auto-indexed artifact: artifacts/repro/source_wepp1/output/H2637.soil.dat,tools/ablation_protocol.py finalize,2026-04-30T15:57:35Z
A0060,GLOBAL,repro_input,artifacts/repro/source_wepp1/output/H2637.wat.dat,Auto-indexed artifact: artifacts/repro/source_wepp1/output/H2637.wat.dat,tools/ablation_protocol.py finalize,2026-04-30T15:57:30Z
A0061,GLOBAL,repro_input,artifacts/repro/source_wepp1/output/interchange/H.pass.parquet,Auto-indexed artifact: artifacts/repro/source_wepp1/output/interchange/H.pass.parquet,tools/ablation_protocol.py finalize,2026-04-30T19:34:13Z
A0062,GLOBAL,repro_input,artifacts/repro/source_wepp1/output/interchange/H.wat.parquet,Auto-indexed artifact: artifacts/repro/source_wepp1/output/interchange/H.wat.parquet,tools/ablation_protocol.py finalize,2026-04-30T19:34:13Z
A0063,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/chan.inp,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/chan.inp,tools/ablation_protocol.py finalize,2026-04-30T16:03:05Z
A0064,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/chntyp.txt,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/chntyp.txt,tools/ablation_protocol.py finalize,2026-04-30T17:22:42Z
A0065,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/gwcoeff.txt,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/gwcoeff.txt,tools/ablation_protocol.py finalize,2026-04-30T15:34:04Z
A0066,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/p2637.cli,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/p2637.cli,tools/ablation_protocol.py finalize,2026-04-30T08:55:17Z
A0067,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/p2637.err,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/p2637.err,tools/ablation_protocol.py finalize,2026-04-30T15:57:37Z
A0068,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/p2637.man,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/p2637.man,tools/ablation_protocol.py finalize,2026-04-30T15:23:44Z
A0069,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/p2637.run,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/p2637.run,tools/ablation_protocol.py finalize,2026-04-30T15:33:59Z
A0070,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/p2637.slp,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/p2637.slp,tools/ablation_protocol.py finalize,2026-04-27T18:57:13Z
A0071,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/p2637.sol,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/p2637.sol,tools/ablation_protocol.py finalize,2026-04-30T15:23:31Z
A0072,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/pmetpara.txt,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/pmetpara.txt,tools/ablation_protocol.py finalize,2026-04-30T15:35:01Z
A0073,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/snow.txt,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/snow.txt,tools/ablation_protocol.py finalize,2026-04-30T15:35:01Z
A0074,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/tc.txt,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/tc.txt,tools/ablation_protocol.py finalize,2026-04-30T16:03:05Z
A0075,GLOBAL,repro_input,artifacts/repro/source_wepp1/runs/wepp_ui.txt,Auto-indexed artifact: artifacts/repro/source_wepp1/runs/wepp_ui.txt,tools/ablation_protocol.py finalize,2026-04-30T15:34:29Z
A0076,GLOBAL,repro_input,artifacts/repro/staged/runs/chan.inp,Auto-indexed artifact: artifacts/repro/staged/runs/chan.inp,tools/ablation_protocol.py finalize,2026-04-30T16:03:05Z
A0077,GLOBAL,repro_input,artifacts/repro/staged/runs/chntyp.txt,Auto-indexed artifact: artifacts/repro/staged/runs/chntyp.txt,tools/ablation_protocol.py finalize,2026-04-30T17:22:42Z
A0078,GLOBAL,repro_input,artifacts/repro/staged/runs/gwcoeff.txt,Auto-indexed artifact: artifacts/repro/staged/runs/gwcoeff.txt,tools/ablation_protocol.py finalize,2026-04-30T15:34:04Z
A0079,GLOBAL,repro_input,artifacts/repro/staged/runs/p2637.cli,Auto-indexed artifact: artifacts/repro/staged/runs/p2637.cli,tools/ablation_protocol.py finalize,2026-04-30T08:55:17Z
A0080,GLOBAL,repro_input,artifacts/repro/staged/runs/p2637.err,Auto-indexed artifact: artifacts/repro/staged/runs/p2637.err,tools/ablation_protocol.py finalize,2026-04-30T15:57:37Z
A0081,GLOBAL,repro_input,artifacts/repro/staged/runs/p2637.man,Auto-indexed artifact: artifacts/repro/staged/runs/p2637.man,tools/ablation_protocol.py finalize,2026-04-30T15:23:44Z
A0082,GLOBAL,repro_input,artifacts/repro/staged/runs/p2637.run,Auto-indexed artifact: artifacts/repro/staged/runs/p2637.run,tools/ablation_protocol.py finalize,2026-04-30T15:33:59Z
A0083,GLOBAL,repro_input,artifacts/repro/staged/runs/p2637.slp,Auto-indexed artifact: artifacts/repro/staged/runs/p2637.slp,tools/ablation_protocol.py finalize,2026-04-27T18:57:13Z
A0084,GLOBAL,repro_input,artifacts/repro/staged/runs/p2637.sol,Auto-indexed artifact: artifacts/repro/staged/runs/p2637.sol,tools/ablation_protocol.py finalize,2026-04-30T15:23:31Z
A0085,GLOBAL,repro_input,artifacts/repro/staged/runs/pmetpara.txt,Auto-indexed artifact: artifacts/repro/staged/runs/pmetpara.txt,tools/ablation_protocol.py finalize,2026-04-30T15:35:01Z
A0086,GLOBAL,repro_input,artifacts/repro/staged/runs/snow.txt,Auto-indexed artifact: artifacts/repro/staged/runs/snow.txt,tools/ablation_protocol.py finalize,2026-04-30T15:35:01Z
A0087,GLOBAL,repro_input,artifacts/repro/staged/runs/tc.txt,Auto-indexed artifact: artifacts/repro/staged/runs/tc.txt,tools/ablation_protocol.py finalize,2026-04-30T16:03:05Z
A0088,GLOBAL,repro_input,artifacts/repro/staged/runs/wepp_ui.txt,Auto-indexed artifact: artifacts/repro/staged/runs/wepp_ui.txt,tools/ablation_protocol.py finalize,2026-04-30T15:34:29Z
