case,initial_canopy_cover,initial_ground_cover,event_date,runoff_mm,peak_ro_mm_h,eff_int_mm_h,eff_dur_h,keff_mm_h,event_soil_water_mm,event_lai,event_canopy_height_m,event_canopy_cover_pct,event_interrill_cover_pct,event_rill_cover_pct,live_biomass_kg_m2,dead_biomass_kg_m2,rill_width_m,pre_event_soil_water_mm
c70_g30,0.700000,0.300000,1980-02-14,61.222000,96.649000,46.731000,0.633000,35.000000,205.403000,2.506000,0.455000,70.000000,30.002000,30.002000,0.086000,0.071000,0.240000,190.890000
c70_g55,0.700000,0.550000,1980-02-14,61.230000,96.274000,46.731000,0.636000,35.000000,205.387000,2.506000,0.455000,70.000000,55.001000,55.001000,0.086000,0.160000,0.239000,190.880000
c70_g70,0.700000,0.700000,1980-02-14,61.237000,96.388000,46.731000,0.635000,35.000000,205.338000,2.506000,0.455000,70.000000,70.001000,70.001000,0.086000,0.241000,0.239000,190.820000
c70_g80,0.700000,0.800000,1980-02-14,61.245000,96.245000,46.731000,0.636000,35.000000,205.289000,2.506000,0.455000,70.000000,80.000000,80.000000,0.086000,0.322000,0.239000,190.750000
c70_g90,0.700000,0.900000,1980-02-14,61.256000,96.109000,46.731000,0.637000,35.000000,205.219000,2.506000,0.455000,70.000000,90.000000,90.000000,0.086000,0.461000,0.239000,190.670000
c70_g95,0.700000,0.950000,1980-02-14,61.264000,96.049000,46.731000,0.638000,35.000000,205.167000,2.506000,0.455000,70.000000,95.000000,95.000000,0.086000,0.599000,0.239000,190.600000
c80_g30,0.800000,0.300000,1980-02-14,61.205000,96.489000,46.731000,0.634000,35.000000,204.530000,3.329000,0.583000,80.000000,30.002000,30.002000,0.115000,0.071000,0.239000,189.640000
c80_g55,0.800000,0.550000,1980-02-14,61.212000,96.471000,46.731000,0.635000,35.000000,204.525000,3.329000,0.583000,80.000000,55.001000,55.001000,0.115000,0.160000,0.239000,189.650000
c80_g70,0.800000,0.700000,1980-02-14,61.220000,96.263000,46.731000,0.636000,35.000000,204.475000,3.329000,0.583000,80.000000,70.001000,70.001000,0.115000,0.241000,0.239000,189.590000
c80_g80,0.800000,0.800000,1980-02-14,61.227000,96.124000,46.731000,0.637000,35.000000,204.423000,3.329000,0.583000,80.000000,80.000000,80.000000,0.115000,0.322000,0.239000,189.520000
c80_g90,0.800000,0.900000,1980-02-14,61.238000,95.993000,46.731000,0.638000,35.000000,204.345000,3.329000,0.583000,80.000000,90.000000,90.000000,0.115000,0.461000,0.239000,189.430000
c80_g95,0.800000,0.950000,1980-02-14,61.246000,95.934000,46.731000,0.638000,35.000000,204.290000,3.329000,0.583000,80.000000,95.000000,95.000000,0.115000,0.599000,0.239000,189.360000
c90_g30,0.900000,0.300000,1980-02-14,61.187000,96.271000,46.731000,0.636000,35.000000,203.948000,4.241000,0.779000,90.000000,30.002000,30.002000,0.164000,0.071000,0.239000,188.830000
c90_g55,0.900000,0.550000,1980-02-14,61.195000,96.291000,46.731000,0.636000,35.000000,203.943000,4.241000,0.779000,90.000000,55.001000,55.001000,0.164000,0.160000,0.239000,188.840000
c90_g70,0.900000,0.700000,1980-02-14,61.202000,96.093000,46.731000,0.637000,35.000000,203.893000,4.241000,0.779000,90.000000,70.001000,70.001000,0.164000,0.241000,0.239000,188.780000
c90_g80,0.900000,0.800000,1980-02-14,61.210000,95.961000,46.731000,0.638000,35.000000,203.838000,4.241000,0.779000,90.000000,80.000000,80.000000,0.164000,0.322000,0.239000,188.710000
c90_g90,0.900000,0.900000,1980-02-14,61.221000,95.836000,46.731000,0.639000,35.000000,203.759000,4.241000,0.779000,90.000000,90.000000,90.000000,0.164000,0.461000,0.239000,188.610000
c90_g95,0.900000,0.950000,1980-02-14,61.229000,95.660000,46.731000,0.640000,35.000000,203.702000,4.241000,0.779000,90.000000,95.000000,95.000000,0.164000,0.599000,0.239000,188.540000
c95_g30,0.950000,0.300000,1980-02-14,61.178000,96.101000,46.731000,0.637000,35.000000,203.765000,4.672000,0.947000,95.000000,30.002000,30.002000,0.214000,0.071000,0.239000,188.580000
c95_g55,0.950000,0.550000,1980-02-14,61.185000,96.150000,46.731000,0.636000,35.000000,203.766000,4.672000,0.947000,95.000000,55.001000,55.001000,0.214000,0.160000,0.239000,188.590000
c95_g70,0.950000,0.700000,1980-02-14,61.193000,95.960000,46.731000,0.638000,35.000000,203.715000,4.672000,0.947000,95.000000,70.001000,70.001000,0.214000,0.241000,0.239000,188.530000
c95_g80,0.950000,0.800000,1980-02-14,61.201000,95.833000,46.731000,0.639000,35.000000,203.660000,4.672000,0.947000,95.000000,80.000000,80.000000,0.214000,0.322000,0.239000,188.460000
c95_g90,0.950000,0.900000,1980-02-14,61.212000,95.612000,46.731000,0.640000,35.000000,203.579000,4.672000,0.947000,95.000000,90.000000,90.000000,0.214000,0.461000,0.239000,188.360000
c95_g95,0.950000,0.950000,1980-02-14,61.220000,95.570000,46.731000,0.641000,35.000000,203.523000,4.672000,0.947000,95.000000,95.000000,95.000000,0.214000,0.599000,0.239000,188.300000
c30_g30,0.300000,0.300000,1982-11-30,40.404000,103.275000,114.916000,0.391000,35.000000,205.204000,0.578000,0.147000,30.000000,30.036000,30.036000,0.025000,0.071000,0.320000,173.260000
c30_g55,0.300000,0.550000,1982-11-30,40.388000,103.143000,114.916000,0.392000,35.000000,205.389000,0.578000,0.147000,30.000000,55.025000,55.025000,0.025000,0.160000,0.312000,173.320000
c30_g70,0.300000,0.700000,1982-11-30,40.479000,102.958000,114.916000,0.393000,35.000000,205.311000,0.578000,0.147000,30.000000,70.017000,70.017000,0.025000,0.241000,0.244000,173.140000
c30_g80,0.300000,0.800000,1982-11-30,40.633000,102.899000,114.916000,0.395000,35.000000,205.094000,0.578000,0.147000,30.000000,80.010000,80.010000,0.025000,0.322000,0.244000,172.910000
c30_g90,0.300000,0.900000,1982-11-30,41.195000,103.429000,114.916000,0.398000,35.000000,204.871000,0.578000,0.147000,30.000000,90.005000,90.005000,0.025000,0.461000,0.245000,173.110000
c30_g95,0.300000,0.950000,1982-11-30,41.776000,104.168000,114.916000,0.401000,35.000000,204.963000,0.578000,0.147000,30.000000,95.003000,95.003000,0.025000,0.599000,0.245000,173.980000
c55_g30,0.550000,0.300000,1982-11-30,41.971000,105.332000,114.916000,0.398000,35.000000,203.125000,1.551000,0.315000,55.000000,30.036000,30.036000,0.057000,0.071000,0.317000,170.960000
c55_g55,0.550000,0.550000,1982-11-30,42.326000,105.503000,114.916000,0.401000,35.000000,202.929000,1.551000,0.315000,55.000000,55.025000,55.025000,0.057000,0.160000,0.310000,171.040000
c55_g70,0.550000,0.700000,1982-11-30,42.593000,105.565000,114.916000,0.403000,35.000000,202.677000,1.551000,0.315000,55.000000,70.017000,70.017000,0.057000,0.241000,0.246000,170.950000
c55_g80,0.550000,0.800000,1982-11-30,42.936000,105.856000,114.916000,0.406000,35.000000,202.408000,1.551000,0.315000,55.000000,80.010000,80.010000,0.057000,0.322000,0.246000,170.920000
c55_g90,0.550000,0.900000,1982-11-30,43.503000,106.406000,114.916000,0.409000,35.000000,202.018000,1.551000,0.315000,55.000000,90.005000,90.005000,0.057000,0.461000,0.247000,170.920000
c55_g95,0.550000,0.950000,1982-11-30,43.764000,106.640000,114.916000,0.410000,35.000000,201.894000,1.551000,0.315000,55.000000,95.003000,95.003000,0.057000,0.599000,0.247000,171.030000
c70_g30,0.700000,0.300000,1982-11-30,43.775000,107.650000,114.916000,0.407000,35.000000,201.194000,2.506000,0.455000,70.000000,30.036000,30.036000,0.086000,0.071000,0.315000,170.230000
c70_g55,0.700000,0.550000,1982-11-30,44.262000,108.104000,114.916000,0.409000,35.000000,200.943000,2.506000,0.455000,70.000000,55.025000,55.025000,0.086000,0.160000,0.308000,170.420000
c70_g70,0.700000,0.700000,1982-11-30,44.637000,108.408000,114.916000,0.412000,35.000000,200.638000,2.506000,0.455000,70.000000,70.017000,70.017000,0.086000,0.241000,0.248000,170.430000
c70_g80,0.700000,0.800000,1982-11-30,45.002000,108.786000,114.916000,0.414000,35.000000,200.330000,2.506000,0.455000,70.000000,80.010000,80.010000,0.086000,0.322000,0.248000,170.440000
c70_g90,0.700000,0.900000,1982-11-30,45.505000,109.352000,114.916000,0.416000,35.000000,199.895000,2.506000,0.455000,70.000000,90.005000,90.005000,0.086000,0.461000,0.249000,170.440000
c70_g95,0.700000,0.950000,1982-11-30,45.726000,109.556000,114.916000,0.417000,35.000000,199.848000,2.506000,0.455000,70.000000,95.003000,95.003000,0.086000,0.599000,0.249000,170.620000
c80_g30,0.800000,0.300000,1982-11-30,44.996000,109.312000,114.916000,0.412000,35.000000,200.011000,3.329000,0.583000,80.000000,30.036000,30.036000,0.115000,0.071000,0.313000,170.090000
c80_g55,0.800000,0.550000,1982-11-30,45.494000,109.840000,114.916000,0.414000,35.000000,199.751000,3.329000,0.583000,80.000000,55.025000,55.025000,0.115000,0.160000,0.306000,170.300000
c80_g70,0.800000,0.700000,1982-11-30,45.872000,110.195000,114.916000,0.416000,35.000000,199.430000,3.329000,0.583000,80.000000,70.017000,70.017000,0.115000,0.241000,0.249000,170.330000
c80_g80,0.800000,0.800000,1982-11-30,46.199000,110.541000,114.916000,0.418000,35.000000,199.214000,3.329000,0.583000,80.000000,80.010000,80.010000,0.115000,0.322000,0.250000,170.420000
c80_g90,0.800000,0.900000,1982-11-30,46.608000,110.981000,114.916000,0.420000,35.000000,198.850000,3.329000,0.583000,80.000000,90.005000,90.005000,0.115000,0.461000,0.250000,170.450000
c80_g95,0.800000,0.950000,1982-11-30,46.808000,111.166000,114.916000,0.421000,35.000000,198.825000,3.329000,0.583000,80.000000,95.003000,95.003000,0.115000,0.599000,0.250000,170.620000
c90_g30,0.900000,0.300000,1982-11-30,45.864000,110.526000,114.916000,0.415000,35.000000,199.217000,4.241000,0.779000,90.000000,30.036000,30.036000,0.164000,0.071000,0.309000,170.170000
c90_g55,0.900000,0.550000,1982-11-30,46.348000,111.079000,114.916000,0.417000,35.000000,198.956000,4.241000,0.779000,90.000000,55.025000,55.025000,0.164000,0.160000,0.303000,170.380000
c90_g70,0.900000,0.700000,1982-11-30,46.649000,111.339000,114.916000,0.419000,35.000000,198.692000,4.241000,0.779000,90.000000,70.017000,70.017000,0.164000,0.241000,0.250000,170.400000
c90_g80,0.900000,0.800000,1982-11-30,47.006000,111.696000,114.916000,0.421000,35.000000,198.421000,4.241000,0.779000,90.000000,80.010000,80.010000,0.164000,0.322000,0.250000,170.420000
c90_g90,0.900000,0.900000,1982-11-30,47.411000,112.162000,114.916000,0.423000,35.000000,198.109000,4.241000,0.779000,90.000000,90.005000,90.005000,0.164000,0.461000,0.251000,170.510000
c90_g95,0.900000,0.950000,1982-11-30,47.611000,112.365000,114.916000,0.424000,35.000000,198.070000,4.241000,0.779000,90.000000,95.003000,95.003000,0.164000,0.599000,0.251000,170.670000
c95_g30,0.950000,0.300000,1982-11-30,46.162000,110.887000,114.916000,0.416000,35.000000,198.972000,4.672000,0.947000,95.000000,30.036000,30.036000,0.214000,0.071000,0.307000,170.220000
c95_g55,0.950000,0.550000,1982-11-30,46.639000,111.449000,114.916000,0.418000,35.000000,198.712000,4.672000,0.947000,95.000000,55.025000,55.025000,0.214000,0.160000,0.301000,170.430000
c95_g70,0.950000,0.700000,1982-11-30,46.939000,111.723000,114.916000,0.420000,35.000000,198.446000,4.672000,0.947000,95.000000,70.017000,70.017000,0.214000,0.241000,0.250000,170.450000
c95_g80,0.950000,0.800000,1982-11-30,47.294000,112.090000,114.916000,0.422000,35.000000,198.174000,4.672000,0.947000,95.000000,80.010000,80.010000,0.214000,0.322000,0.251000,170.470000
c95_g90,0.950000,0.900000,1982-11-30,47.698000,112.565000,114.916000,0.424000,35.000000,197.862000,4.672000,0.947000,95.000000,90.005000,90.005000,0.214000,0.461000,0.251000,170.560000
c95_g95,0.950000,0.950000,1982-11-30,47.898000,112.778000,114.916000,0.425000,35.000000,197.821000,4.672000,0.947000,95.000000,95.003000,95.003000,0.214000,0.599000,0.251000,170.710000
c30_g30,0.300000,0.300000,1983-03-01,109.828000,113.286000,41.404000,0.969000,35.000000,220.451000,0.578000,0.147000,30.000000,30.039000,30.039000,0.025000,0.071000,0.320000,216.440000
c30_g55,0.300000,0.550000,1983-03-01,109.844000,113.302000,41.404000,0.969000,35.000000,220.412000,0.578000,0.147000,30.000000,55.027000,55.027000,0.025000,0.160000,0.312000,216.370000
c30_g70,0.300000,0.700000,1983-03-01,109.862000,113.321000,41.404000,0.969000,35.000000,220.365000,0.578000,0.147000,30.000000,70.018000,70.018000,0.025000,0.241000,0.291000,216.280000
c30_g80,0.300000,0.800000,1983-03-01,109.884000,113.343000,41.404000,0.969000,35.000000,220.304000,0.578000,0.147000,30.000000,80.010000,80.010000,0.025000,0.322000,0.296000,216.170000
c30_g90,0.300000,0.900000,1983-03-01,109.909000,113.369000,41.404000,0.969000,35.000000,220.246000,0.578000,0.147000,30.000000,90.005000,90.005000,0.025000,0.461000,0.303000,216.070000
c30_g95,0.300000,0.950000,1983-03-01,109.924000,113.384000,41.404000,0.969000,35.000000,220.208000,0.578000,0.147000,30.000000,95.003000,95.003000,0.025000,0.599000,0.308000,216.010000
c55_g30,0.550000,0.300000,1983-03-01,110.261000,113.732000,41.404000,0.969000,35.000000,218.846000,1.551000,0.315000,55.000000,30.039000,30.039000,0.057000,0.071000,0.317000,214.110000
c55_g55,0.550000,0.550000,1983-03-01,110.278000,113.750000,41.404000,0.969000,35.000000,218.799000,1.551000,0.315000,55.000000,55.027000,55.027000,0.057000,0.160000,0.310000,214.030000
c55_g70,0.550000,0.700000,1983-03-01,110.300000,113.772000,41.404000,0.969000,35.000000,218.737000,1.551000,0.315000,55.000000,70.018000,70.018000,0.057000,0.241000,0.293000,213.910000
c55_g80,0.550000,0.800000,1983-03-01,110.328000,113.801000,41.404000,0.969000,35.000000,218.651000,1.551000,0.315000,55.000000,80.010000,80.010000,0.057000,0.322000,0.298000,213.750000
c55_g90,0.550000,0.900000,1983-03-01,110.352000,113.826000,41.404000,0.969000,35.000000,218.589000,1.551000,0.315000,55.000000,90.005000,90.005000,0.057000,0.461000,0.304000,213.640000
c55_g95,0.550000,0.950000,1983-03-01,110.370000,113.844000,41.404000,0.969000,35.000000,218.542000,1.551000,0.315000,55.000000,95.003000,95.003000,0.057000,0.599000,0.309000,213.560000
c70_g30,0.700000,0.300000,1983-03-01,110.551000,114.031000,41.404000,0.969000,35.000000,217.783000,2.506000,0.455000,70.000000,30.039000,30.039000,0.086000,0.071000,0.315000,212.570000
c70_g55,0.700000,0.550000,1983-03-01,110.568000,114.049000,41.404000,0.969000,35.000000,217.736000,2.506000,0.455000,70.000000,55.027000,55.027000,0.086000,0.160000,0.308000,212.490000
c70_g70,0.700000,0.700000,1983-03-01,110.591000,114.072000,41.404000,0.969000,35.000000,217.671000,2.506000,0.455000,70.000000,70.018000,70.018000,0.086000,0.241000,0.294000,212.370000
c70_g80,0.700000,0.800000,1983-03-01,110.617000,114.099000,41.404000,0.969000,35.000000,217.589000,2.506000,0.455000,70.000000,80.010000,80.010000,0.086000,0.322000,0.298000,212.220000
c70_g90,0.700000,0.900000,1983-03-01,110.639000,114.122000,41.404000,0.969000,35.000000,217.532000,2.506000,0.455000,70.000000,90.005000,90.005000,0.086000,0.461000,0.305000,212.120000
c70_g95,0.700000,0.950000,1983-03-01,110.657000,114.140000,41.404000,0.969000,35.000000,217.486000,2.506000,0.455000,70.000000,95.003000,95.003000,0.086000,0.599000,0.310000,212.040000
c80_g30,0.800000,0.300000,1983-03-01,110.718000,114.203000,41.404000,0.969000,35.000000,217.174000,3.329000,0.583000,80.000000,30.039000,30.039000,0.115000,0.071000,0.313000,211.710000
c80_g55,0.800000,0.550000,1983-03-01,110.732000,114.217000,41.404000,0.969000,35.000000,217.140000,3.329000,0.583000,80.000000,55.027000,55.027000,0.115000,0.160000,0.306000,211.650000
c80_g70,0.800000,0.700000,1983-03-01,110.753000,114.239000,41.404000,0.969000,35.000000,217.077000,3.329000,0.583000,80.000000,70.018000,70.018000,0.115000,0.241000,0.293000,211.540000
c80_g80,0.800000,0.800000,1983-03-01,110.780000,114.267000,41.404000,0.969000,35.000000,216.993000,3.329000,0.583000,80.000000,80.010000,80.010000,0.115000,0.322000,0.297000,211.380000
c80_g90,0.800000,0.900000,1983-03-01,110.801000,114.289000,41.404000,0.969000,35.000000,216.940000,3.329000,0.583000,80.000000,90.005000,90.005000,0.115000,0.461000,0.304000,211.300000
c80_g95,0.800000,0.950000,1983-03-01,110.819000,114.307000,41.404000,0.969000,35.000000,216.893000,3.329000,0.583000,80.000000,95.003000,95.003000,0.115000,0.599000,0.310000,211.220000
c90_g30,0.900000,0.300000,1983-03-01,110.839000,114.328000,41.404000,0.969000,35.000000,216.725000,4.241000,0.779000,90.000000,30.039000,30.039000,0.164000,0.071000,0.309000,211.100000
c90_g55,0.900000,0.550000,1983-03-01,110.850000,114.340000,41.404000,0.969000,35.000000,216.702000,4.241000,0.779000,90.000000,55.027000,55.027000,0.164000,0.160000,0.303000,211.060000
c90_g70,0.900000,0.700000,1983-03-01,110.870000,114.360000,41.404000,0.969000,35.000000,216.646000,4.241000,0.779000,90.000000,70.018000,70.018000,0.164000,0.241000,0.291000,210.970000
c90_g80,0.900000,0.800000,1983-03-01,110.897000,114.388000,41.404000,0.969000,35.000000,216.560000,4.241000,0.779000,90.000000,80.010000,80.010000,0.164000,0.322000,0.295000,210.800000
c90_g90,0.900000,0.900000,1983-03-01,110.915000,114.407000,41.404000,0.969000,35.000000,216.518000,4.241000,0.779000,90.000000,90.005000,90.005000,0.164000,0.461000,0.302000,210.740000
c90_g95,0.900000,0.950000,1983-03-01,110.933000,114.425000,41.404000,0.969000,35.000000,216.471000,4.241000,0.779000,90.000000,95.003000,95.003000,0.164000,0.599000,0.308000,210.660000
c95_g30,0.950000,0.300000,1983-03-01,110.878000,114.369000,41.404000,0.969000,35.000000,216.572000,4.672000,0.947000,95.000000,30.039000,30.039000,0.214000,0.071000,0.307000,210.900000
c95_g55,0.950000,0.550000,1983-03-01,110.888000,114.379000,41.404000,0.969000,35.000000,216.556000,4.672000,0.947000,95.000000,55.027000,55.027000,0.214000,0.160000,0.301000,210.890000
c95_g70,0.950000,0.700000,1983-03-01,110.907000,114.398000,41.404000,0.969000,35.000000,216.503000,4.672000,0.947000,95.000000,70.018000,70.018000,0.214000,0.241000,0.289000,210.790000
c95_g80,0.950000,0.800000,1983-03-01,110.933000,114.425000,41.404000,0.969000,35.000000,216.421000,4.672000,0.947000,95.000000,80.010000,80.010000,0.214000,0.322000,0.293000,210.640000
c95_g90,0.950000,0.900000,1983-03-01,110.951000,114.444000,41.404000,0.969000,35.000000,216.380000,4.672000,0.947000,95.000000,90.005000,90.005000,0.214000,0.461000,0.300000,210.580000
c95_g95,0.950000,0.950000,1983-03-01,110.969000,114.462000,41.404000,0.969000,35.000000,216.332000,4.672000,0.947000,95.000000,95.003000,95.003000,0.214000,0.599000,0.307000,210.500000
c30_g30,0.300000,0.300000,1986-02-15,42.834000,275.624000,39.115000,0.155000,35.000000,218.050000,0.578000,0.147000,30.000000,30.076000,30.076000,0.025000,0.072000,0.329000,213.760000
c30_g55,0.300000,0.550000,1986-02-15,42.845000,293.582000,39.115000,0.146000,35.000000,218.027000,0.578000,0.147000,30.000000,55.053000,55.053000,0.025000,0.160000,0.335000,213.730000
c30_g70,0.300000,0.700000,1986-02-15,42.860000,316.229000,39.115000,0.136000,35.000000,217.993000,0.578000,0.147000,30.000000,70.035000,70.035000,0.025000,0.241000,0.343000,213.680000
c30_g80,0.300000,0.800000,1986-02-15,42.875000,323.029000,39.115000,0.133000,35.000000,217.957000,0.578000,0.147000,30.000000,80.020000,80.020000,0.025000,0.322000,0.345000,213.620000
c30_g90,0.300000,0.900000,1986-02-15,42.894000,3.516000,39.115000,12.200000,35.000000,217.915000,0.578000,0.147000,30.000000,90.010000,90.010000,0.025000,0.461000,0.303000,213.560000
c30_g95,0.300000,0.950000,1986-02-15,42.906000,3.517000,39.115000,12.200000,35.000000,217.892000,0.578000,0.147000,30.000000,95.007000,95.007000,0.025000,0.599000,0.308000,213.530000
c55_g30,0.550000,0.300000,1986-02-15,43.082000,277.217000,39.115000,0.155000,35.000000,217.285000,1.551000,0.315000,55.000000,30.076000,30.076000,0.057000,0.072000,0.330000,213.040000
c55_g55,0.550000,0.550000,1986-02-15,43.093000,295.280000,39.115000,0.146000,35.000000,217.261000,1.551000,0.315000,55.000000,55.053000,55.053000,0.057000,0.160000,0.336000,213.010000
c55_g70,0.550000,0.700000,1986-02-15,43.110000,318.075000,39.115000,0.136000,35.000000,217.219000,1.551000,0.315000,55.000000,70.035000,70.035000,0.057000,0.241000,0.344000,212.940000
c55_g80,0.550000,0.800000,1986-02-15,43.134000,316.632000,39.115000,0.136000,35.000000,217.150000,1.551000,0.315000,55.000000,80.020000,80.020000,0.057000,0.322000,0.343000,212.800000
c55_g90,0.550000,0.900000,1986-02-15,43.162000,3.538000,39.115000,12.200000,35.000000,217.072000,1.551000,0.315000,55.000000,90.010000,90.010000,0.057000,0.461000,0.304000,212.670000
c55_g95,0.550000,0.950000,1986-02-15,43.183000,3.540000,39.115000,12.200000,35.000000,217.013000,1.551000,0.315000,55.000000,95.007000,95.007000,0.057000,0.599000,0.309000,212.560000
c70_g30,0.700000,0.300000,1986-02-15,43.266000,278.406000,39.115000,0.155000,35.000000,216.712000,2.506000,0.455000,70.000000,30.076000,30.076000,0.086000,0.072000,0.330000,212.360000
c70_g55,0.700000,0.550000,1986-02-15,43.305000,296.732000,39.115000,0.146000,35.000000,216.607000,2.506000,0.455000,70.000000,55.053000,55.053000,0.086000,0.160000,0.337000,212.120000
c70_g70,0.700000,0.700000,1986-02-15,43.364000,319.946000,39.115000,0.136000,35.000000,216.443000,2.506000,0.455000,70.000000,70.035000,70.035000,0.086000,0.241000,0.344000,211.740000
c70_g80,0.700000,0.800000,1986-02-15,43.408000,312.292000,39.115000,0.139000,35.000000,216.313000,2.506000,0.455000,70.000000,80.020000,80.020000,0.086000,0.322000,0.342000,211.450000
c70_g90,0.700000,0.900000,1986-02-15,43.466000,3.563000,39.115000,12.200000,35.000000,216.156000,2.506000,0.455000,70.000000,90.010000,90.010000,0.086000,0.461000,0.305000,211.100000
c70_g95,0.700000,0.950000,1986-02-15,43.506000,3.566000,39.115000,12.200000,35.000000,216.045000,2.506000,0.455000,70.000000,95.007000,95.007000,0.086000,0.599000,0.310000,210.850000
c80_g30,0.800000,0.300000,1986-02-15,43.750000,281.517000,39.115000,0.155000,35.000000,215.317000,3.329000,0.583000,80.000000,30.076000,30.076000,0.115000,0.072000,0.331000,209.050000
c80_g55,0.800000,0.550000,1986-02-15,43.788000,300.037000,39.115000,0.146000,35.000000,215.183000,3.329000,0.583000,80.000000,55.053000,55.053000,0.115000,0.160000,0.338000,208.730000
c80_g70,0.800000,0.700000,1986-02-15,43.840000,320.541000,39.115000,0.137000,35.000000,214.973000,3.329000,0.583000,80.000000,70.035000,70.035000,0.115000,0.241000,0.345000,208.220000
c80_g80,0.800000,0.800000,1986-02-15,43.878000,310.862000,39.115000,0.141000,35.000000,214.806000,3.329000,0.583000,80.000000,80.020000,80.020000,0.115000,0.322000,0.341000,207.840000
c80_g90,0.800000,0.900000,1986-02-15,43.922000,3.600000,39.115000,12.200000,35.000000,214.622000,3.329000,0.583000,80.000000,90.010000,90.010000,0.115000,0.461000,0.304000,207.400000
c80_g95,0.800000,0.950000,1986-02-15,43.947000,3.602000,39.115000,12.200000,35.000000,214.510000,3.329000,0.583000,80.000000,95.007000,95.007000,0.115000,0.599000,0.310000,207.150000
c90_g30,0.900000,0.300000,1986-02-15,43.933000,282.697000,39.115000,0.155000,35.000000,214.589000,4.241000,0.779000,90.000000,30.076000,30.076000,0.164000,0.072000,0.332000,207.450000
c90_g55,0.900000,0.550000,1986-02-15,43.961000,301.228000,39.115000,0.146000,35.000000,214.461000,4.241000,0.779000,90.000000,55.053000,55.053000,0.164000,0.160000,0.338000,207.150000
c90_g70,0.900000,0.700000,1986-02-15,43.998000,312.152000,39.115000,0.141000,35.000000,214.274000,4.241000,0.779000,90.000000,70.035000,70.035000,0.164000,0.241000,0.342000,206.700000
c90_g80,0.900000,0.800000,1986-02-15,44.029000,303.239000,39.115000,0.145000,35.000000,214.102000,4.241000,0.779000,90.000000,80.020000,80.020000,0.164000,0.322000,0.339000,206.310000
c90_g90,0.900000,0.900000,1986-02-15,44.061000,3.612000,39.115000,12.200000,35.000000,213.946000,4.241000,0.779000,90.000000,90.010000,90.010000,0.164000,0.461000,0.302000,205.950000
c90_g95,0.900000,0.950000,1986-02-15,44.081000,3.613000,39.115000,12.200000,35.000000,213.847000,4.241000,0.779000,90.000000,95.007000,95.007000,0.164000,0.599000,0.308000,205.730000
c95_g30,0.950000,0.300000,1986-02-15,43.975000,282.966000,39.115000,0.155000,35.000000,214.407000,4.672000,0.947000,95.000000,30.076000,30.076000,0.214000,0.072000,0.332000,207.090000
