anisotropy,kcb,month,precip_mm,surface_runoff_mm,lateral_flow_mm,total_runoff_mm,total_et_mm,deep_percolation_printed_mm
2,1.05,6,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.05,7,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.05,8,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.05,9,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.05,10,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.05,11,5.40,0.00000,0.00,0.00000,5.37,0.00
2,1.05,12,51.50,0.00000,0.00,0.00000,6.55,0.00
2,1.1,1,8.90,0.00000,0.00,0.00000,54.05,1.15
2,1.1,2,6.40,0.00000,0.00,0.00000,44.40,0.00
2,1.1,3,162.90,9.52387,0.23,9.75387,54.81,31.63
2,1.1,4,101.80,0.06512,0.12,0.18512,93.18,51.42
2,1.1,5,6.00,0.00000,0.00,0.00000,29.61,0.00
2,1.1,6,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.1,7,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.1,8,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.1,9,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.1,10,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.1,11,5.40,0.00000,0.00,0.00000,5.38,0.00
2,1.1,12,51.50,0.00000,0.00,0.00000,6.88,0.00
2,1.15,1,8.90,0.00000,0.00,0.00000,56.09,1.10
2,1.15,2,6.40,0.00000,0.00,0.00000,42.24,0.00
2,1.15,3,162.90,9.31745,0.23,9.54745,57.07,30.42
2,1.15,4,101.80,0.02248,0.11,0.13248,97.00,49.55
2,1.15,5,6.00,0.00000,0.00,0.00000,26.73,0.00
2,1.15,6,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.15,7,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.15,8,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.15,9,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.15,10,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.15,11,5.40,0.00000,0.00,0.00000,5.38,0.00
2,1.15,12,51.50,0.00000,0.00,0.00000,7.20,0.00
2,1.2,1,8.90,0.00000,0.00,0.00000,58.15,1.06
2,1.2,2,6.40,0.00000,0.00,0.00000,40.01,0.00
2,1.2,3,162.90,9.11729,0.21,9.32729,59.39,29.21
2,1.2,4,101.80,0.00758,0.09,0.09758,100.90,47.68
2,1.2,5,6.00,0.00000,0.00,0.00000,23.85,0.00
2,1.2,6,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.2,7,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.2,8,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.2,9,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.2,10,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1.2,11,5.40,0.00000,0.00,0.00000,5.40,0.00
2,1.2,12,51.50,0.00000,0.00,0.00000,7.52,0.00
3,0.85,1,8.90,0.00000,0.00,0.00000,43.75,1.37
3,0.85,2,6.40,0.00000,0.00,0.00000,46.51,0.00
3,0.85,3,162.90,10.48542,0.41,10.89542,51.16,38.46
3,0.85,4,101.80,0.21956,0.40,0.61956,74.36,60.92
3,0.85,5,6.00,0.00000,0.00,0.00000,43.57,0.00
3,0.85,6,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.85,7,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.85,8,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.85,9,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.85,10,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.85,11,5.40,0.00000,0.00,0.00000,5.41,0.00
3,0.85,12,51.50,0.00000,0.00,0.00000,5.27,0.00
3,0.9,1,8.90,0.00000,0.00,0.00000,45.89,1.32
3,0.9,2,6.40,0.00000,0.00,0.00000,49.12,0.00
3,0.9,3,162.90,10.27199,0.38,10.65199,49.27,36.70
3,0.9,4,101.80,0.21956,0.34,0.55956,78.28,58.83
3,0.9,5,6.00,0.00000,0.00,0.00000,40.73,0.00
3,0.9,6,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.9,7,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.9,8,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.9,9,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.9,10,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.9,11,5.40,0.00000,0.00,0.00000,5.40,0.00
3,0.9,12,51.50,0.00000,0.00,0.00000,5.59,0.00
3,0.95,1,8.90,0.00000,0.00,0.00000,47.91,1.28
3,0.95,2,6.40,0.00000,0.00,0.00000,49.82,0.00
3,0.95,3,162.90,10.06018,0.38,10.44018,48.94,35.30
3,0.95,4,101.80,0.55076,0.26,0.81076,82.02,56.62
3,0.95,5,6.00,0.00000,0.00,0.00000,37.96,0.00
3,0.95,6,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.95,7,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.95,8,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.95,9,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.95,10,0.00,0.00000,0.00,0.00000,0.00,0.00
3,0.95,11,5.40,0.00000,0.00,0.00000,5.42,0.00
3,0.95,12,51.50,0.00000,0.00,0.00000,5.91,0.00
3,1,1,8.90,0.00000,0.00,0.00000,49.94,1.22
3,1,2,6.40,0.00000,0.00,0.00000,48.49,0.00
3,1,3,162.90,9.84832,0.38,10.22832,50.43,34.04
3,1,4,101.80,0.27325,0.25,0.52325,85.77,54.97
3,1,5,6.00,0.00000,0.00,0.00000,35.13,0.00
3,1,6,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1,7,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1,8,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1,9,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1,10,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1,11,5.40,0.00000,0.00,0.00000,5.41,0.00
3,1,12,51.50,0.00000,0.00,0.00000,6.24,0.00
3,1.05,1,8.90,0.00000,0.00,0.00000,52.02,1.19
3,1.05,2,6.40,0.00000,0.00,0.00000,46.57,0.00
3,1.05,3,162.90,9.66504,0.35,10.01504,52.56,32.80
3,1.05,4,101.80,0.14875,0.22,0.36875,89.49,53.20
3,1.05,5,6.00,0.00000,0.00,0.00000,32.36,0.00
3,1.05,6,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.05,7,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.05,8,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.05,9,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.05,10,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.05,11,5.40,0.00000,0.00,0.00000,5.37,0.00
3,1.05,12,51.50,0.00000,0.00,0.00000,6.55,0.00
3,1.1,1,8.90,0.00000,0.00,0.00000,54.04,1.13
3,1.1,2,6.40,0.00000,0.00,0.00000,44.39,0.00
3,1.1,3,162.90,9.45764,0.35,9.80764,54.81,31.59
3,1.1,4,101.80,0.06512,0.19,0.25512,93.18,51.39
3,1.1,5,6.00,0.00000,0.00,0.00000,29.60,0.00
3,1.1,6,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.1,7,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.1,8,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.1,9,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.1,10,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.1,11,5.40,0.00000,0.00,0.00000,5.38,0.00
3,1.1,12,51.50,0.00000,0.00,0.00000,6.88,0.00
3,1.15,1,8.90,0.00000,0.00,0.00000,56.09,1.09
3,1.15,2,6.40,0.00000,0.00,0.00000,42.22,0.00
3,1.15,3,162.90,9.25140,0.35,9.60140,57.07,30.39
3,1.15,4,101.80,0.02247,0.16,0.18247,97.00,49.51
3,1.15,5,6.00,0.00000,0.00,0.00000,26.72,0.00
3,1.15,6,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.15,7,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.15,8,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.15,9,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.15,10,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.15,11,5.40,0.00000,0.00,0.00000,5.38,0.00
3,1.15,12,51.50,0.00000,0.00,0.00000,7.20,0.00
3,1.2,1,8.90,0.00000,0.00,0.00000,58.15,1.06
3,1.2,2,6.40,0.00000,0.00,0.00000,39.97,0.00
3,1.2,3,162.90,9.05142,0.32,9.37142,59.39,29.17
3,1.2,4,101.80,0.00758,0.13,0.13758,100.90,47.63
3,1.2,5,6.00,0.00000,0.00,0.00000,23.85,0.00
3,1.2,6,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.2,7,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.2,8,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.2,9,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.2,10,0.00,0.00000,0.00,0.00000,0.00,0.00
3,1.2,11,5.40,0.00000,0.00,0.00000,5.40,0.00
3,1.2,12,51.50,0.00000,0.00,0.00000,7.52,0.00
5,0.85,1,8.90,0.00000,0.00,0.00000,43.74,1.33
5,0.85,2,6.40,0.00000,0.00,0.00000,46.51,0.00
5,0.85,3,162.90,10.33245,0.68,11.01245,51.16,38.34
5,0.85,4,101.80,0.21950,0.65,0.86950,74.35,60.71
5,0.85,5,6.00,0.00000,0.00,0.00000,43.52,0.00
5,0.85,6,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.85,7,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.85,8,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.85,9,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.85,10,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.85,11,5.40,0.00000,0.00,0.00000,5.41,0.00
5,0.85,12,51.50,0.00000,0.00,0.00000,5.27,0.00
5,0.9,1,8.90,0.00000,0.00,0.00000,45.86,1.28
5,0.9,2,6.40,0.00000,0.00,0.00000,49.12,0.00
5,0.9,3,162.90,10.11956,0.63,10.74956,49.25,36.58
5,0.9,4,101.80,0.21950,0.56,0.77950,78.28,58.64
5,0.9,5,6.00,0.00000,0.00,0.00000,40.72,0.00
5,0.9,6,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.9,7,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.9,8,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.9,9,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.9,10,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.9,11,5.40,0.00000,0.00,0.00000,5.40,0.00
5,0.9,12,51.50,0.00000,0.00,0.00000,5.59,0.00
5,0.95,1,8.90,0.00000,0.00,0.00000,47.91,1.24
5,0.95,2,6.40,0.00000,0.00,0.00000,49.81,0.00
5,0.95,3,162.90,9.90851,0.63,10.53851,48.93,35.21
5,0.95,4,101.80,0.55062,0.45,1.00062,82.02,56.48
5,0.95,5,6.00,0.00000,0.00,0.00000,37.94,0.00
5,0.95,6,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.95,7,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.95,8,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.95,9,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.95,10,0.00,0.00000,0.00,0.00000,0.00,0.00
5,0.95,11,5.40,0.00000,0.00,0.00000,5.42,0.00
5,0.95,12,51.50,0.00000,0.00,0.00000,5.91,0.00
5,1,1,8.90,0.00000,0.00,0.00000,49.94,1.19
5,1,2,6.40,0.00000,0.00,0.00000,48.47,0.00
5,1,3,162.90,9.69740,0.63,10.32740,50.43,33.94
5,1,4,101.80,0.27318,0.41,0.68318,85.76,54.84
5,1,5,6.00,0.00000,0.00,0.00000,35.10,0.00
5,1,6,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1,7,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1,8,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1,9,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1,10,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1,11,5.40,0.00000,0.00,0.00000,5.41,0.00
5,1,12,51.50,0.00000,0.00,0.00000,6.24,0.00
5,1.05,1,8.90,0.00000,0.00,0.00000,52.01,1.14
5,1.05,2,6.40,0.00000,0.00,0.00000,46.55,0.00
5,1.05,3,162.90,9.53221,0.58,10.11221,52.56,32.69
5,1.05,4,101.80,0.14871,0.37,0.51871,89.49,53.07
5,1.05,5,6.00,0.00000,0.00,0.00000,32.35,0.00
5,1.05,6,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.05,7,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.05,8,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.05,9,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.05,10,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.05,11,5.40,0.00000,0.00,0.00000,5.37,0.00
5,1.05,12,51.50,0.00000,0.00,0.00000,6.55,0.00
5,1.1,1,8.90,0.00000,0.00,0.00000,54.04,1.10
5,1.1,2,6.40,0.00000,0.00,0.00000,44.37,0.00
5,1.1,3,162.90,9.32518,0.58,9.90518,54.81,31.48
5,1.1,4,101.80,0.06510,0.32,0.38510,93.18,51.26
5,1.1,5,6.00,0.00000,0.00,0.00000,29.59,0.00
5,1.1,6,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.1,7,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.1,8,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.1,9,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.1,10,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.1,11,5.40,0.00000,0.00,0.00000,5.38,0.00
5,1.1,12,51.50,0.00000,0.00,0.00000,6.88,0.00
5,1.15,1,8.90,0.00000,0.00,0.00000,56.09,1.06
5,1.15,2,6.40,0.00000,0.00,0.00000,42.20,0.00
5,1.15,3,162.90,9.11931,0.54,9.65931,57.07,30.32
5,1.15,4,101.80,0.02247,0.27,0.29247,97.00,49.42
5,1.15,5,6.00,0.00000,0.00,0.00000,26.71,0.00
5,1.15,6,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.15,7,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.15,8,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.15,9,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.15,10,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.15,11,5.40,0.00000,0.00,0.00000,5.38,0.00
5,1.15,12,51.50,0.00000,0.00,0.00000,7.20,0.00
5,1.2,1,8.90,0.00000,0.00,0.00000,58.15,1.02
5,1.2,2,6.40,0.00000,0.00,0.00000,39.95,0.00
5,1.2,3,162.90,8.91967,0.49,9.40968,59.39,29.13
5,1.2,4,101.80,0.00758,0.22,0.22758,100.90,47.56
5,1.2,5,6.00,0.00000,0.00,0.00000,23.84,0.00
5,1.2,6,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.2,7,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.2,8,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.2,9,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.2,10,0.00,0.00000,0.00,0.00000,0.00,0.00
5,1.2,11,5.40,0.00000,0.00,0.00000,5.40,0.00
5,1.2,12,51.50,0.00000,0.00,0.00000,7.52,0.00
7.5,0.85,1,8.90,0.00000,0.00,0.00000,43.74,1.27
7.5,0.85,2,6.40,0.00000,0.00,0.00000,46.51,0.00
7.5,0.85,3,162.90,10.14125,1.02,11.16125,51.13,38.19
7.5,0.85,4,101.80,0.21943,0.96,1.17943,74.33,60.45
7.5,0.85,5,6.00,0.00000,0.00,0.00000,43.48,0.00
7.5,0.85,6,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.85,7,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.85,8,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.85,9,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.85,10,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.85,11,5.40,0.00000,0.00,0.00000,5.41,0.00
7.5,0.85,12,51.50,0.00000,0.00,0.00000,5.27,0.00
7.5,0.9,1,8.90,0.00000,0.00,0.00000,45.85,1.24
7.5,0.9,2,6.40,0.00000,0.00,0.00000,49.11,0.00
7.5,0.9,3,162.90,9.92914,0.95,10.87914,49.24,36.47
7.5,0.9,4,101.80,0.21943,0.83,1.04943,78.27,58.42
7.5,0.9,5,6.00,0.00000,0.00,0.00000,40.66,0.00
7.5,0.9,6,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.9,7,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.9,8,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.9,9,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.9,10,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.9,11,5.40,0.00000,0.00,0.00000,5.40,0.00
7.5,0.9,12,51.50,0.00000,0.00,0.00000,5.59,0.00
7.5,0.95,1,8.90,0.00000,0.00,0.00000,47.91,1.18
