event_date,burned_precip,burned_runoff,burned_eff_int,burned_peak_ro,burned_eff_dur,burned_keff,burned_sm,burned_pre_event_soil_water_mm,burned_prior30_ep_mm,burned_prior30_es_mm,burned_prior30_er_mm,burned_ksat35_precip,burned_ksat35_runoff,burned_ksat35_eff_int,burned_ksat35_peak_ro,burned_ksat35_eff_dur,burned_ksat35_keff,burned_ksat35_sm,burned_ksat35_pre_event_soil_water_mm,burned_ksat35_prior30_ep_mm,burned_ksat35_prior30_es_mm,burned_ksat35_prior30_er_mm,undisturbed_precip,undisturbed_runoff,undisturbed_eff_int,undisturbed_peak_ro,undisturbed_eff_dur,undisturbed_keff,undisturbed_sm,undisturbed_pre_event_soil_water_mm,undisturbed_prior30_ep_mm,undisturbed_prior30_es_mm,undisturbed_prior30_er_mm,undisturbed_minus_burned_peak_ro,undisturbed_minus_burned_ksat35_peak_ro,burned_ksat35_minus_burned_peak_ro
1980-02-18,55.100000,39.750000,26.065000,46.447000,0.856000,20.000000,249.578000,249.320000,6.360000,42.730000,0.000000,55.100000,37.725000,0.000000,7.397000,5.100000,32.400000,249.578000,249.600000,6.360000,42.730000,0.000000,55.100000,37.807000,0.000000,7.413000,5.100000,32.400000,248.309000,248.450000,49.960000,19.720000,0.000000,-39.034000,0.016000,-39.050000
1980-02-19,20.200000,6.250000,0.000000,0.919000,6.800000,20.000000,248.224000,249.580000,6.360000,42.720000,0.000000,20.200000,4.049000,0.000000,0.596000,6.800000,32.400000,248.132000,249.580000,6.360000,42.720000,0.000000,20.200000,2.707000,0.000000,0.398000,6.800000,32.400000,248.138000,248.310000,49.960000,19.720000,0.000000,-0.521000,-0.198000,-0.323000
1980-02-20,18.700000,3.469000,0.000000,0.754000,4.600000,20.000000,248.217000,248.220000,6.360000,42.660000,0.000000,18.700000,1.201000,0.000000,0.261000,4.600000,35.000000,248.125000,248.130000,6.360000,42.660000,0.000000,18.700000,1.109000,0.000000,0.241000,4.600000,32.400000,248.198000,248.140000,49.920000,19.700000,0.000000,-0.513000,-0.020000,-0.493000
1980-03-02,64.100000,4.696000,34.478000,12.674000,0.371000,20.000000,223.294000,169.980000,7.170000,47.880000,0.000000,64.100000,4.438000,0.000000,0.683000,6.500000,35.000000,222.711000,169.350000,7.170000,47.580000,0.000000,64.100000,7.597000,0.000000,1.169000,6.500000,35.000000,215.833000,164.980000,56.120000,22.090000,0.000000,-11.505000,0.486000,-11.991000
1980-03-03,21.400000,0.738000,29.173000,0.789000,0.935000,20.000000,234.249000,223.290000,7.130000,47.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,222.710000,7.130000,47.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,215.830000,55.790000,21.930000,0.000000,-0.789000,0.000000,-0.789000
1981-01-28,57.100000,20.835000,36.826000,26.875000,0.775000,20.000000,219.092000,186.560000,5.870000,10.730000,0.000000,57.100000,19.643000,0.000000,4.365000,4.500000,35.000000,219.350000,186.560000,5.870000,10.730000,0.000000,57.100000,20.878000,0.000000,4.639000,4.500000,35.000000,145.760000,112.760000,23.410000,6.460000,0.000000,-22.236000,0.274000,-22.510000
1981-01-29,18.900000,0.204000,24.221000,1.790000,0.114000,20.000000,230.762000,219.090000,5.740000,12.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,219.350000,5.740000,12.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,145.760000,22.520000,6.950000,0.000000,-1.790000,0.000000,-1.790000
1981-03-01,50.100000,3.587000,0.000000,1.560000,2.300000,20.000000,216.687000,174.350000,7.940000,35.760000,0.000000,50.100000,3.233000,0.000000,1.406000,2.300000,35.000000,216.639000,174.350000,7.940000,35.730000,0.000000,50.100000,6.613000,0.000000,2.875000,2.300000,35.000000,177.529000,137.360000,62.310000,18.460000,0.000000,1.315000,1.469000,-0.154000
1981-03-02,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,216.690000,8.000000,36.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,216.640000,8.000000,36.330000,0.000000,20.200000,0.319000,0.000000,0.133000,2.400000,35.000000,192.446000,177.530000,62.790000,18.690000,0.000000,0.133000,0.133000,0.000000
1981-03-05,33.800000,3.757000,0.000000,1.073000,3.500000,20.000000,248.435000,233.270000,7.900000,35.360000,0.000000,33.800000,1.490000,0.000000,0.426000,3.500000,35.000000,248.341000,232.380000,7.900000,35.330000,0.000000,33.800000,4.472000,0.000000,1.278000,3.500000,35.000000,232.992000,212.450000,61.920000,18.280000,0.000000,0.205000,0.852000,-0.647000
1981-11-27,59.100000,10.102000,68.758000,32.915000,0.307000,20.000000,197.464000,150.270000,2.920000,6.170000,0.000000,59.100000,2.510000,86.684000,5.073000,0.495000,35.000000,204.559000,150.270000,2.920000,6.170000,0.000000,59.100000,4.251000,86.684000,9.187000,0.463000,35.000000,137.234000,84.560000,4.050000,4.740000,0.000000,-23.728000,4.114000,-27.842000
1981-11-28,17.000000,0.801000,31.486000,4.799000,0.167000,20.000000,210.140000,197.460000,2.870000,5.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,204.560000,2.870000,5.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,137.230000,4.190000,4.510000,0.000000,-4.799000,0.000000,-4.799000
1982-03-16,52.800000,10.282000,39.112000,19.507000,0.527000,20.000000,240.646000,207.370000,7.670000,20.590000,0.000000,52.800000,9.019000,0.000000,1.879000,4.800000,35.000000,241.084000,207.370000,7.670000,20.590000,0.000000,52.800000,21.834000,46.100000,63.543000,0.344000,35.000000,188.182000,161.540000,59.770000,11.610000,0.000000,44.036000,61.664000,-17.628000
1982-03-17,36.600000,14.470000,27.583000,18.175000,0.796000,20.000000,248.387000,240.650000,7.590000,22.540000,0.000000,36.600000,13.043000,0.000000,7.246000,1.800000,35.000000,248.495000,241.080000,7.590000,22.540000,0.000000,36.600000,16.159000,0.000000,8.977000,1.800000,35.000000,203.189000,188.180000,59.150000,11.720000,0.000000,-9.198000,1.731000,-10.929000
1982-04-01,23.400000,0.025000,106.466000,0.131000,0.193000,20.000000,193.714000,175.930000,7.910000,57.010000,0.000000,23.400000,0.000000,0.000000,0.000000,0.000000,35.000000,193.607000,175.760000,7.910000,56.530000,0.000000,23.400000,0.001000,5.342000,0.131000,0.005000,35.000000,194.047000,173.960000,61.840000,25.030000,0.000000,0.000000,0.131000,-0.131000
1982-11-09,98.900000,30.897000,74.436000,54.991000,0.562000,20.000000,204.502000,139.180000,7.880000,4.500000,0.000000,98.900000,28.058000,94.671000,83.604000,0.336000,35.000000,206.576000,139.180000,7.880000,4.500000,0.000000,98.900000,28.708000,93.617000,90.581000,0.317000,35.000000,139.119000,72.330000,1.070000,5.630000,0.000000,35.590000,6.977000,28.613000
1982-11-29,30.600000,0.228000,92.338000,0.136000,1.682000,20.000000,184.516000,156.440000,5.640000,37.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,156.450000,5.640000,37.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,141.320000,31.630000,16.420000,0.000000,-0.136000,0.000000,-0.136000
1982-11-30,79.200000,39.721000,114.916000,115.380000,0.344000,20.000000,219.342000,184.520000,5.630000,37.530000,0.000000,79.200000,37.914000,114.916000,100.816000,0.376000,35.000000,220.440000,184.740000,5.630000,37.360000,0.000000,79.200000,45.505000,114.916000,109.362000,0.416000,35.000000,200.018000,170.440000,32.340000,16.360000,0.000000,-6.018000,8.546000,-14.564000
1982-12-22,67.200000,24.389000,41.298000,26.271000,0.928000,20.000000,216.422000,176.860000,5.420000,31.620000,0.000000,67.200000,22.835000,50.571000,85.924000,0.266000,35.000000,217.066000,176.880000,5.420000,31.550000,0.000000,67.200000,22.473000,48.191000,75.934000,0.296000,35.000000,205.598000,163.940000,42.260000,15.880000,0.000000,49.663000,-9.990000,59.653000
1983-01-22,81.800000,37.737000,36.137000,44.794000,0.842000,20.000000,225.836000,187.160000,6.260000,24.920000,0.000000,81.800000,36.692000,0.000000,6.219000,5.900000,35.000000,225.988000,187.160000,6.260000,24.870000,0.000000,81.800000,42.612000,0.000000,7.222000,5.900000,35.000000,199.862000,164.210000,48.890000,12.360000,0.000000,-37.572000,1.003000,-38.575000
1983-01-23,38.600000,14.821000,41.544000,38.888000,0.381000,20.000000,239.970000,225.840000,6.210000,24.470000,0.000000,38.600000,13.287000,54.343000,38.623000,0.344000,35.000000,240.469000,225.990000,6.210000,24.420000,0.000000,38.600000,18.003000,54.343000,56.383000,0.319000,35.000000,214.928000,199.860000,48.520000,12.190000,0.000000,17.495000,17.760000,-0.265000
1983-01-24,40.600000,17.650000,30.392000,26.425000,0.668000,20.000000,249.577000,239.970000,6.190000,24.270000,0.000000,40.600000,16.226000,35.005000,7.727000,2.100000,35.000000,249.625000,240.470000,6.190000,24.220000,0.000000,40.600000,17.378000,0.000000,8.275000,2.100000,35.000000,230.781000,214.930000,48.320000,12.090000,0.000000,-18.150000,0.548000,-18.698000
1983-01-27,87.400000,56.531000,23.987000,19.888000,2.842000,20.000000,249.567000,233.720000,6.210000,24.630000,0.000000,87.400000,52.438000,0.000000,14.566000,3.600000,35.000000,249.567000,231.690000,6.210000,24.580000,0.000000,87.400000,45.618000,0.000000,12.672000,3.600000,35.000000,248.207000,222.050000,48.530000,12.200000,0.000000,-7.216000,-1.894000,-5.322000
1983-01-28,14.100000,0.393000,0.000000,0.131000,3.006000,20.000000,247.662000,249.570000,6.260000,25.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,249.570000,6.260000,25.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,248.210000,48.930000,12.390000,0.000000,-0.131000,0.000000,-0.131000
1983-01-29,49.000000,31.934000,0.000000,6.141000,5.200000,20.000000,249.562000,247.660000,6.370000,26.250000,0.000000,49.000000,27.976000,0.000000,5.380000,5.200000,35.000000,249.467000,245.880000,6.370000,26.200000,0.000000,49.000000,28.127000,0.000000,5.409000,5.200000,35.000000,248.255000,244.850000,49.820000,12.810000,0.000000,-0.732000,0.029000,-0.761000
1983-02-26,47.300000,0.886000,0.000000,0.222000,4.000000,20.000000,215.239000,172.430000,6.890000,46.650000,0.000000,47.300000,0.623000,0.000000,0.156000,4.000000,35.000000,215.180000,172.420000,6.890000,46.650000,0.000000,47.300000,1.749000,0.000000,0.437000,4.000000,35.000000,199.640000,156.770000,53.900000,21.100000,0.000000,0.215000,0.281000,-0.066000
1983-02-27,25.800000,4.434000,0.000000,0.964000,4.600000,20.000000,229.852000,215.240000,6.870000,46.480000,0.000000,25.800000,3.289000,0.000000,0.715000,4.600000,35.000000,229.796000,215.180000,6.870000,46.480000,0.000000,25.800000,5.058000,0.000000,1.100000,4.600000,35.000000,214.814000,199.640000,53.740000,21.020000,0.000000,0.136000,0.385000,-0.249000
1983-02-28,61.400000,33.475000,30.823000,39.842000,0.840000,20.000000,246.549000,229.850000,6.820000,45.930000,0.000000,61.400000,31.638000,40.275000,144.386000,0.219000,35.000000,247.158000,229.800000,6.820000,45.930000,0.000000,61.400000,37.516000,40.768000,192.358000,0.195000,35.000000,230.584000,214.810000,53.290000,20.810000,0.000000,152.516000,47.972000,104.544000
1983-03-01,133.800000,115.603000,32.598000,46.941000,2.463000,20.000000,249.549000,246.550000,6.830000,45.970000,0.000000,133.800000,114.052000,41.404000,117.642000,0.969000,32.400000,249.549000,247.160000,6.830000,45.970000,0.000000,133.800000,103.711000,41.404000,106.976000,0.969000,35.000000,247.657000,230.580000,53.330000,20.830000,0.000000,60.035000,-10.666000,70.701000
1983-03-02,46.600000,32.207000,39.529000,53.809000,0.599000,20.000000,248.559000,249.550000,6.820000,45.950000,0.000000,46.600000,29.655000,49.587000,68.028000,0.436000,32.400000,248.813000,249.550000,6.820000,45.950000,0.000000,46.600000,28.521000,47.802000,69.633000,0.410000,32.400000,248.079000,247.660000,53.360000,20.840000,0.000000,15.824000,1.605000,14.219000
1983-03-24,48.900000,2.402000,0.000000,0.334000,7.200000,20.000000,241.281000,205.660000,7.730000,63.270000,0.000000,48.900000,2.029000,0.000000,0.282000,7.200000,35.000000,241.200000,205.620000,7.730000,62.990000,0.000000,48.900000,4.889000,0.000000,0.679000,7.200000,35.000000,240.585000,208.080000,60.440000,26.920000,0.000000,0.345000,0.397000,-0.052000
1983-12-24,52.000000,0.447000,51.112000,0.660000,0.678000,20.000000,211.943000,162.950000,5.000000,45.400000,0.000000,52.000000,0.193000,0.000000,0.131000,1.474000,35.000000,211.943000,162.950000,5.000000,45.400000,0.000000,52.000000,3.542000,0.000000,1.476000,2.400000,35.000000,206.003000,159.970000,38.890000,18.190000,0.000000,0.816000,1.345000,-0.529000
1983-12-25,58.000000,36.630000,29.000000,19.070000,1.921000,20.000000,227.842000,211.940000,5.010000,45.560000,0.000000,58.000000,35.109000,0.000000,17.555000,2.000000,35.000000,228.204000,211.940000,5.010000,45.560000,0.000000,58.000000,36.238000,0.000000,18.119000,2.000000,35.000000,222.031000,206.000000,39.060000,18.260000,0.000000,-0.951000,0.564000,-1.515000
1984-11-23,26.800000,0.200000,103.407000,0.131000,1.527000,20.000000,183.049000,159.600000,4.030000,31.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,159.600000,4.030000,31.720000,0.000000,26.800000,0.002000,10.499000,0.131000,0.019000,35.000000,130.455000,105.820000,21.930000,12.030000,0.000000,0.000000,0.131000,-0.131000
1984-12-18,24.400000,0.163000,50.944000,2.117000,0.077000,20.000000,212.363000,192.940000,5.090000,50.890000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.940000,5.090000,50.890000,0.000000,24.400000,0.003000,57.212000,0.131000,0.026000,35.000000,212.729000,191.970000,39.170000,18.980000,0.000000,-1.986000,0.131000,-2.117000
1985-11-24,56.700000,20.086000,111.962000,81.545000,0.246000,20.000000,187.898000,152.900000,7.300000,19.740000,0.000000,56.700000,11.361000,114.096000,46.011000,0.247000,35.000000,196.590000,152.900000,7.300000,19.740000,0.000000,56.700000,4.751000,119.866000,10.921000,0.435000,35.000000,136.460000,85.760000,26.550000,11.450000,0.000000,-70.624000,-35.090000,-35.534000
1985-11-25,46.400000,14.709000,60.279000,49.708000,0.296000,20.000000,215.979000,187.900000,7.130000,20.900000,0.000000,46.400000,15.627000,59.181000,46.515000,0.336000,35.000000,221.804000,196.590000,7.130000,20.900000,0.000000,46.400000,21.763000,59.181000,61.687000,0.353000,35.000000,156.824000,136.460000,25.750000,11.330000,0.000000,11.979000,15.172000,-3.193000
1985-11-29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.670000,6.590000,27.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,203.940000,6.590000,27.270000,0.000000,40.500000,2.847000,0.000000,1.139000,2.500000,35.000000,192.067000,156.800000,27.310000,12.950000,0.000000,1.139000,1.139000,0.000000
1986-01-30,67.400000,19.524000,40.349000,31.568000,0.618000,20.000000,212.562000,168.420000,6.570000,13.230000,0.000000,67.400000,18.134000,0.000000,6.975000,2.600000,35.000000,213.173000,168.420000,6.570000,13.230000,0.000000,67.400000,16.454000,0.000000,6.328000,2.600000,35.000000,157.238000,109.960000,51.450000,8.440000,0.000000,-25.240000,-0.647000,-24.593000
1986-02-13,57.100000,12.622000,39.750000,37.059000,0.341000,20.000000,224.228000,185.180000,6.570000,28.980000,0.000000,57.100000,11.993000,0.000000,1.845000,6.500000,35.000000,224.174000,185.110000,6.570000,28.950000,0.000000,57.100000,21.336000,0.000000,3.282000,6.500000,35.000000,209.726000,177.890000,51.480000,12.700000,0.000000,-33.777000,1.437000,-35.214000
1986-02-14,64.700000,40.473000,44.570000,60.388000,0.670000,20.000000,239.558000,224.230000,6.550000,30.730000,0.000000,64.700000,38.530000,53.701000,53.300000,0.723000,35.000000,240.285000,224.170000,6.550000,30.700000,0.000000,64.700000,42.324000,53.701000,58.548000,0.723000,35.000000,225.601000,209.730000,51.390000,13.340000,0.000000,-1.840000,5.248000,-7.088000
1986-02-15,64.700000,41.141000,28.279000,42.734000,0.963000,20.000000,249.585000,239.560000,6.510000,32.320000,0.000000,64.700000,40.094000,39.115000,274.730000,0.146000,35.000000,249.585000,240.280000,6.510000,32.290000,0.000000,64.700000,38.143000,39.115000,3.127000,12.200000,35.000000,241.450000,225.600000,51.170000,13.920000,0.000000,-39.607000,-271.603000,231.996000
1986-03-16,18.900000,0.467000,33.778000,0.401000,1.164000,20.000000,234.892000,227.910000,8.040000,50.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,227.830000,8.040000,50.440000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,222.980000,62.860000,21.380000,0.000000,-0.401000,0.000000,-0.401000
1987-10-31,75.700000,24.461000,83.971000,82.483000,0.297000,20.000000,216.812000,169.780000,2.890000,23.450000,0.000000,75.700000,21.313000,110.367000,63.305000,0.337000,35.000000,219.124000,169.780000,2.890000,23.450000,0.000000,75.700000,30.685000,110.367000,89.476000,0.343000,35.000000,158.563000,116.630000,16.220000,9.700000,0.000000,6.993000,26.171000,-19.178000
1987-11-04,25.800000,0.003000,64.282000,0.131000,0.019000,20.000000,217.902000,200.150000,3.600000,31.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,201.240000,3.600000,31.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,158.990000,22.140000,12.560000,0.000000,-0.131000,0.000000,-0.131000
1988-01-17,70.700000,12.581000,0.000000,4.058000,3.100000,20.000000,211.038000,155.680000,4.760000,29.620000,0.000000,70.700000,12.135000,0.000000,3.914000,3.100000,35.000000,211.038000,155.680000,4.760000,29.620000,0.000000,70.700000,13.796000,0.000000,4.450000,3.100000,35.000000,204.414000,150.300000,37.030000,16.790000,0.000000,0.392000,0.536000,-0.144000
1988-04-20,20.100000,0.714000,115.495000,0.759000,0.941000,20.000000,201.720000,186.860000,10.730000,18.080000,0.000000,20.100000,0.160000,115.495000,0.131000,1.223000,35.000000,202.272000,186.860000,10.730000,18.080000,0.000000,20.100000,0.117000,115.495000,0.131000,0.893000,35.000000,135.099000,118.400000,26.860000,8.690000,0.000000,-0.628000,0.000000,-0.628000
1989-02-08,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,171.550000,6.390000,17.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,171.550000,6.390000,17.270000,0.000000,48.600000,3.798000,0.000000,0.691000,5.500000,35.000000,188.551000,146.160000,50.130000,12.150000,0.000000,0.691000,0.691000,0.000000
1990-02-16,79.400000,19.169000,52.109000,38.919000,0.493000,20.000000,210.011000,152.300000,7.090000,28.240000,0.000000,79.400000,17.745000,50.829000,3.776000,4.700000,35.000000,210.783000,152.300000,7.090000,28.240000,0.000000,79.400000,12.212000,0.000000,2.598000,4.700000,35.000000,157.513000,92.540000,55.220000,18.130000,0.000000,-36.321000,-1.178000,-35.143000
1990-02-17,63.200000,41.595000,0.000000,8.319000,5.000000,20.000000,226.371000,210.010000,7.060000,27.920000,0.000000,63.200000,40.334000,0.000000,8.067000,5.000000,35.000000,227.143000,210.780000,7.060000,27.920000,0.000000,63.200000,42.900000,0.000000,8.580000,5.000000,35.000000,173.562000,157.510000,55.000000,18.010000,0.000000,0.261000,0.513000,-0.252000
1991-02-27,68.300000,19.736000,53.997000,27.648000,0.714000,20.000000,209.724000,164.190000,8.040000,2.360000,0.000000,68.300000,18.281000,0.000000,6.771000,2.700000,35.000000,210.428000,164.190000,8.040000,2.360000,0.000000,68.300000,18.646000,0.000000,6.906000,2.700000,35.000000,140.946000,94.630000,6.330000,0.860000,0.000000,-20.742000,0.135000,-20.877000
1991-02-28,68.000000,45.655000,24.383000,40.308000,1.133000,20.000000,226.072000,209.720000,8.040000,4.300000,0.000000,68.000000,44.313000,0.000000,12.309000,3.600000,35.000000,226.863000,210.430000,8.040000,4.300000,0.000000,68.000000,46.990000,0.000000,13.053000,3.600000,35.000000,156.843000,140.950000,6.680000,1.570000,0.000000,-27.255000,0.744000,-27.999000
1991-03-01,22.700000,0.237000,0.000000,0.131000,1.817000,20.000000,238.639000,226.070000,8.040000,6.490000,0.000000,22.700000,0.000000,0.000000,0.000000,0.000000,35.000000,238.404000,226.860000,8.040000,6.490000,0.000000,22.700000,2.581000,0.000000,0.587000,4.400000,35.000000,171.802000,156.840000,7.300000,2.380000,0.000000,0.456000,0.587000,-0.131000
1991-03-19,40.100000,11.394000,32.707000,20.439000,0.557000,20.000000,227.690000,206.620000,8.290000,40.410000,0.000000,40.100000,9.921000,41.717000,39.969000,0.248000,35.000000,228.015000,206.560000,8.290000,40.300000,0.000000,40.100000,14.842000,39.282000,60.305000,0.246000,35.000000,212.611000,193.740000,43.020000,19.920000,0.000000,39.866000,20.336000,19.530000
1991-03-26,28.600000,3.005000,28.565000,10.641000,0.282000,20.000000,248.031000,236.920000,8.090000,60.230000,0.000000,28.600000,1.218000,0.000000,0.196000,6.200000,35.000000,247.996000,236.490000,8.090000,60.120000,0.000000,28.600000,1.126000,0.000000,0.182000,6.200000,35.000000,247.797000,234.890000,58.160000,27.170000,0.000000,-10.459000,-0.014000,-10.445000
1991-03-27,23.600000,7.966000,22.950000,3.793000,2.100000,20.000000,247.336000,248.030000,8.050000,62.790000,0.000000,23.600000,5.739000,0.000000,2.733000,2.100000,35.000000,247.248000,248.000000,8.050000,62.680000,0.000000,23.600000,5.256000,0.000000,2.503000,2.100000,32.400000,247.421000,247.800000,60.130000,28.110000,0.000000,-1.290000,-0.230000,-1.060000
1991-12-28,117.400000,73.127000,37.903000,46.913000,1.559000,20.000000,214.480000,173.210000,4.740000,10.830000,0.000000,117.400000,71.581000,0.000000,14.913000,4.800000,35.000000,215.001000,173.210000,4.740000,10.830000,0.000000,117.400000,71.818000,0.000000,14.962000,4.800000,35.000000,145.961000,103.700000,11.310000,5.930000,0.000000,-31.951000,0.049000,-32.000000
1991-12-29,37.600000,16.327000,22.208000,18.490000,0.883000,20.000000,230.282000,214.480000,4.670000,12.050000,0.000000,37.600000,15.062000,0.000000,8.368000,1.800000,35.000000,230.843000,215.000000,4.670000,12.050000,0.000000,37.600000,18.072000,0.000000,10.040000,1.800000,35.000000,161.670000,145.960000,12.190000,6.370000,0.000000,-8.450000,1.672000,-10.122000
1992-01-05,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.620000,4.910000,22.990000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.700000,4.910000,22.990000,0.000000,42.400000,4.466000,0.000000,0.770000,5.800000,35.000000,207.357000,172.300000,20.430000,10.330000,0.000000,0.770000,0.770000,0.000000
