year,sim_day_index,julian,month,day_of_month,water_year,n_ofe,audit_full_physical_closure_residual_mm,audit_full_implied_unresolved_term_mm,audit_full_max_abs_ofe_closure_residual_mm,audit_full_outlier_ofe_id,audit_full_outlier_ofe_closure_residual_mm,audit_chain_max_abs_subsurface_transfer_residual_m3,audit_chain_max_abs_surface_transfer_residual_m3_geometry_sensitive,audit_outlet_ofe_id,audit_outlet_runvol_vs_qofe_residual_m3,audit_closure_reconstructed_with_storage_mm,audit_closure_reconstructed_with_enriched_storage_mm,audit_runoff_consistency_mm,audit_rain_melt_reported_mm,audit_precip_reported_mm,audit_runoff_reported_mm,ofe_up,ofe_down,audit_chain_subsurface_transfer_residual_m3,audit_chain_surface_transfer_residual_m3_geometry_sensitive,abs_chain_subsurface_transfer_residual_m3,abs_chain_surface_transfer_residual_m3_geometry_sensitive,abs_full_physical_closure_residual_mm,abs_outlet_runvol_vs_qofe_residual_m3
35,12498,80,3,21,35,1,-45.90000000000006,-45.90000000000006,45.90000000000006,1,-45.90000000000006,,,1,0.0,-6.394884621840902e-14,-6.394884621840902e-14,0.0,0.0,45.9,0.0,,,,,,,45.90000000000006,0.0
45,16101,30,1,30,45,1,-44.89000000000014,-44.89000000000014,44.89000000000008,1,-44.89000000000008,,,1,0.0,0.00999999999991985,0.00999999999991985,0.0,0.0,44.900000000000006,0.0,,,,,,,44.89000000000014,0.0
46,16744,308,11,4,47,1,44.7992799999999,44.7992799999999,44.79927999999997,1,44.79927999999997,,,1,-0.4131465600003139,-8.416785557940898e-05,-8.416785557940898e-05,0.0,76.2,31.4,24.470084167855546,,,,,,,44.7992799999999,0.4131465600003139
46,16743,307,11,3,47,1,-44.78999999999994,-44.78999999999994,44.78999999999989,1,-44.78999999999989,,,1,0.0,0.010000000000104592,0.010000000000104592,0.0,0.0,44.8,0.0,,,,,,,44.78999999999994,0.0
29,10284,57,2,26,29,1,-44.7000000000001,-44.7000000000001,44.7000000000001,1,-44.7000000000001,,,1,0.0,-9.947598300641403e-14,-9.947598300641403e-14,0.0,0.0,44.7,0.0,,,,,,,44.7000000000001,0.0
49,17584,52,2,21,49,1,-44.68999999999997,-44.68999999999997,44.68999999999992,1,-44.68999999999992,,,1,0.0,0.010000000000196962,0.010000000000196962,0.0,0.0,44.7,0.0,,,,,,,44.68999999999997,0.0
15,5152,39,2,8,15,1,44.44777900000007,44.44777900000007,44.44777899999998,1,44.44777899999998,,,1,0.010494167000160814,-0.002237150512586439,-0.002237150512586439,0.0,44.45,0.0,3.322237150512563,,,,,,,44.44777900000007,0.010494167000160814
45,16424,353,12,19,46,1,-44.16999999999989,-44.16999999999989,44.169999999999945,1,-44.169999999999945,,,1,0.0,0.01000000000006196,0.01000000000006196,0.0,9.82,54.0,0.0,,,,,,,44.16999999999989,0.0
23,8392,357,12,23,24,1,43.85000000000006,43.85000000000006,43.85,1,43.85,,,1,0.0,-0.010000000000000009,-0.010000000000000009,0.0,43.86000000000001,0.0,0.0,,,,,,,43.85000000000006,0.0
39,13890,11,1,11,39,1,41.71999999999999,41.71999999999999,41.71999999999997,1,41.71999999999997,,,1,0.0,-2.731148640577885e-14,-2.731148640577885e-14,0.0,41.72,0.0,0.0,,,,,,,41.71999999999999,0.0
35,12500,82,3,23,35,1,41.199999999999946,41.199999999999946,41.19999999999998,1,41.19999999999998,,,1,0.0,-1.687538997430238e-14,-1.687538997430238e-14,0.0,45.1,3.9000000000000004,0.0,,,,,,,41.199999999999946,0.0
40,14587,343,12,8,41,1,-40.540000000000035,-40.540000000000035,40.54000000000002,1,-40.54000000000002,,,1,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,23.16,63.70000000000001,0.0,,,,,,,40.540000000000035,0.0
31,10992,35,2,4,31,1,38.16999999999984,38.16999999999984,38.16999999999998,1,38.16999999999998,,,1,0.0,0.010000000000100151,0.010000000000100151,0.0,38.16,0.0,0.0,,,,,,,38.16999999999984,0.0
