High,High,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,Low,Undisturbed,Undisturbed,Undisturbed,Undisturbed
0.54962,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.54977,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.54986,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.54992,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.54995,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.54997,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.54998,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.54999,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.54999,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
0.55000,0.55000,0.55000,0.55000,0.65000,0.65000,0.65000,0.65000,0.80000,0.80000,0.80000,0.80000,1.00000,1.00000,1.00000,1.00000
