contrast_id,key,export_control,baseline_control
30,Avg. Ann. total channel soil loss,1190.0,1162.6
30,Avg. Ann. sediment discharge from outlet,431.7,426.9
30,Sediment Delivery Ratio for Watershed,0.33,0.335
31,Avg. Ann. water discharge from outlet,22219116.0,19187434.0
31,Avg. Ann. total hillslope soil loss,220.3,109.7
31,Avg. Ann. total channel soil loss,1426.5,1162.6
31,Avg. Ann. sediment discharge from outlet,463.9,426.9
31,Sediment Delivery Ratio for Watershed,0.282,0.335
32,Avg. Ann. water discharge from outlet,21215476.0,19187434.0
32,Avg. Ann. total hillslope soil loss,137.3,109.7
32,Avg. Ann. total channel soil loss,1331.0,1162.6
32,Avg. Ann. sediment discharge from outlet,463.2,426.9
32,Sediment Delivery Ratio for Watershed,0.315,0.335
33,Avg. Ann. water discharge from outlet,22830620.0,19187434.0
33,Avg. Ann. total hillslope soil loss,180.9,109.7
33,Avg. Ann. total channel soil loss,1422.3,1162.6
33,Avg. Ann. sediment discharge from outlet,480.2,426.9
33,Sediment Delivery Ratio for Watershed,0.3,0.335
34,Avg. Ann. water discharge from outlet,21959088.0,19187434.0
34,Avg. Ann. total hillslope soil loss,127.2,109.7
34,Avg. Ann. total channel soil loss,1354.3,1162.6
34,Avg. Ann. sediment discharge from outlet,465.9,426.9
34,Sediment Delivery Ratio for Watershed,0.314,0.335
35,Avg. Ann. water discharge from outlet,22614810.0,19187434.0
35,Avg. Ann. total hillslope soil loss,234.1,109.7
35,Avg. Ann. total channel soil loss,1411.5,1162.6
35,Avg. Ann. sediment discharge from outlet,484.0,426.9
35,Sediment Delivery Ratio for Watershed,0.294,0.335
36,Avg. Ann. water discharge from outlet,21877356.0,19187434.0
36,Avg. Ann. total hillslope soil loss,142.8,109.7
36,Avg. Ann. total channel soil loss,1352.3,1162.6
36,Avg. Ann. sediment discharge from outlet,460.5,426.9
36,Sediment Delivery Ratio for Watershed,0.308,0.335
