contrast_id,group,scenario,selected_hillslopes,treated_hillslopes,selected_area_ha,treated_area_ha,area_ha,delta_area_ha,precip_m3_yr,delta_precip_m3_yr,water_m3_yr,delta_water_m3_yr,hillslope_loss_t_yr,delta_hillslope_loss_t_yr,channel_loss_t_yr,delta_channel_loss_t_yr,outlet_sediment_t_yr,delta_outlet_sediment_t_yr,delta_local_hillslope_loss_t_yr,delta_local_hillslope_delivery_t_yr,delta_outlet_sediment_t_yr_per_treated_ha,delta_water_m3_yr_per_treated_ha,water_m3_annual_increase_years,water_m3_annual_delta_median,water_m3_annual_delta_p05,water_m3_annual_delta_p95,outlet_sediment_t_annual_increase_years,outlet_sediment_t_annual_delta_median,outlet_sediment_t_annual_delta_p05,outlet_sediment_t_annual_delta_p95
11,6,thinning_30_75,349,315,3509.7980000000002,3251.417,26992.7,0.0,151085600.0,0.0,20453026.0,1265592.0,237.0,127.3,1211.3,48.700000000000045,464.6,37.700000000000045,127.2842,127.282,0.011594944604152604,389.2432130360394,100,1124814.0,596514.5,2486172.2,39,-9.050000000000011,-89.18,272.4249999999991
12,6,thinning_65_90,349,315,3509.7980000000002,3251.417,26992.7,0.0,151085600.0,0.0,19990664.0,803230.0,165.2,55.499999999999986,1191.4,28.800000000000182,433.1,6.2000000000000455,55.4242,55.422599999999996,0.0019068609163328007,247.03998287515876,100,699350.5,369905.9,1480240.4999999995,36,-7.549999999999997,-86.165,161.15499999999983
13,7,thinning_30_75,121,89,1352.2540000000001,1073.4370000000001,26992.7,0.0,151085600.0,0.0,19804548.0,617114.0,129.0,19.299999999999997,1188.1,25.5,427.1,0.20000000000004547,19.2347,19.2347,0.0001863174084739444,574.8954060648178,100,546394.5,275109.65,1173791.5999999999,58,1.149999999999995,-23.330000000000016,18.719999999999988
14,7,thinning_65_90,121,89,1352.2540000000001,1073.4370000000001,26992.7,0.0,151085600.0,0.0,19638078.0,450644.0,116.5,6.799999999999997,1180.7,18.100000000000136,427.7,0.8000000000000114,6.735199999999999,6.735099999999999,0.0007452696338956187,419.81411112156553,100,393044.5,202297.3,865469.6,67,1.7500000000000284,-14.145000000000012,12.014999999999997
15,8,thinning_30_75,87,87,796.422,796.422,26992.7,0.0,151085600.0,0.0,19974140.0,786706.0,125.7,16.0,1189.9,27.300000000000182,433.8,6.900000000000034,15.9195,15.9179,0.008663748615683687,987.8004374565243,100,764536.5,511595.75,1146543.2,96,6.6000000000000085,1.1450000000000418,15.559999999999999
16,8,thinning_65_90,87,87,796.422,796.422,26992.7,0.0,151085600.0,0.0,19815098.0,627664.0,115.5,5.799999999999997,1182.9,20.300000000000182,432.2,5.300000000000011,5.7679,5.7678,0.006654763429438176,788.1047987122405,100,615476.0,398878.15,925507.3,94,5.150000000000013,-0.20999999999982744,11.955000000000084
17,9,thinning_30_75,41,41,267.307,267.307,26992.7,0.0,151085600.0,0.0,19348942.0,161508.0,112.4,2.700000000000003,1165.9,3.300000000000182,427.8,0.9000000000000341,2.6287999999999996,2.6287999999999996,0.003366915194888402,604.2041547733504,100,137714.5,50009.9,325483.1999999999,84,1.3000000000000114,-3.64000000000002,4.8250000000000615
18,9,thinning_65_90,41,41,267.307,267.307,26992.7,0.0,151085600.0,0.0,19308448.0,121014.0,110.4,0.7000000000000028,1165.1,2.5,427.5,0.6000000000000227,0.6502,0.6502,0.0022446101299256013,452.7154171046774,100,106578.5,29354.15,258233.99999999994,84,0.8999999999999915,-2.2550000000000003,4.315000000000006
19,10,thinning_30_75,16,14,183.59,150.381,26992.7,0.0,151085600.0,0.0,19272446.0,85012.0,111.2,1.5,1164.3,1.7000000000000455,427.7,0.8000000000000114,1.4387999999999999,1.4387999999999999,0.005319820988023829,565.3107772923441,100,75156.0,40548.65,166625.6,85,0.7000000000000313,-1.5100000000000022,3.7100000000000417
20,10,thinning_65_90,16,14,183.59,150.381,26992.7,0.0,151085600.0,0.0,19251334.0,63900.0,110.2,0.5,1163.8,1.2000000000000455,427.1,0.20000000000004547,0.4116,0.4117,0.0013299552470062406,424.92070141839724,100,56495.0,27677.6,120300.59999999999,76,0.5,-1.7150000000000432,2.5
21,11,thinning_30_75,129,129,1581.5720000000001,1581.5720000000001,26992.7,0.0,151085600.0,0.0,20233748.0,1046314.0,150.3,40.60000000000001,1208.5,45.90000000000009,435.3,8.400000000000034,40.531,40.5309,0.0053111714167929334,661.5658344988403,100,949330.0,519147.9,1880133.9999999998,57,1.6499999999999986,-28.324999999999957,55.51999999999989
22,11,thinning_65_90,129,129,1581.5720000000001,1581.5720000000001,26992.7,0.0,151085600.0,0.0,19935506.0,748072.0,122.8,13.099999999999994,1193.8,31.200000000000045,430.6,3.7000000000000455,13.1038,13.1038,0.002339444552635002,472.992693345608,100,649447.0,367327.25,1396521.6999999997,52,0.6999999999999922,-23.044999999999998,35.76500000000012
23,12,thinning_30_75,147,144,1867.337,1843.578,26992.7,0.0,151085600.0,0.0,20749296.0,1561862.0,139.2,29.499999999999986,1239.8,77.20000000000005,425.2,-1.6999999999999886,29.426699999999997,29.426499999999997,-0.0009221199211533164,847.1906260543357,100,1474615.0,899761.3,2411933.9,53,0.700000000000017,-37.845,35.37000000000003
24,12,thinning_65_90,147,144,1867.337,1843.578,26992.7,0.0,151085600.0,0.0,20384274.0,1196840.0,118.8,9.099999999999994,1219.9,57.30000000000018,424.0,-2.8999999999999773,9.038200000000002,9.0383,-0.0015730281007909496,649.1941214312603,100,1113436.5,612860.85,1925254.2999999998,46,-1.5500000000000007,-43.38999999999993,21.760000000000012
25,13,thinning_30_75,110,110,1390.6890000000003,1390.6890000000003,26992.7,0.0,151085600.0,0.0,21151896.0,1964462.0,171.5,61.8,1283.9,121.30000000000018,460.9,34.0,61.7843,61.784600000000005,0.02444831303044749,1412.5818209534982,100,1948125.5,1507447.85,2571711.5,93,16.9,-0.8150000000000105,131.86000000000007
26,13,thinning_65_90,110,110,1390.6890000000003,1390.6890000000003,26992.7,0.0,151085600.0,0.0,20792954.0,1605520.0,127.4,17.700000000000003,1256.9,94.30000000000018,444.3,17.400000000000034,17.6592,17.6592,0.012511783727346683,1154.478104018943,100,1583019.0,1253683.3,2107472.8,93,14.550000000000011,-3.8350000000000106,55.54999999999996
27,14,thinning_30_75,24,24,319.48900000000003,319.48900000000003,26992.7,0.0,151085600.0,0.0,19531450.0,344016.0,119.7,10.0,1178.0,15.400000000000091,430.0,3.1000000000000227,9.994100000000001,9.988700000000001,0.009702994469293222,1076.7694662414042,100,341368.5,213951.0,495641.8999999999,80,2.649999999999949,-3.6050000000000857,13.660000000000018
28,14,thinning_65_90,24,24,319.48900000000003,319.48900000000003,26992.7,0.0,151085600.0,0.0,19459180.0,271746.0,113.1,3.3999999999999915,1174.6,12.0,428.7,1.8000000000000114,3.3958999999999997,3.3952999999999998,0.005633996788621865,850.5644951782376,100,265819.5,144036.0,412242.6,78,1.6999999999999602,-7.150000000000028,8.230000000000045
29,15,thinning_30_75,34,32,569.6909999999999,541.699,26992.7,0.0,151085600.0,0.0,19839920.0,652486.0,139.8,30.10000000000001,1197.5,34.90000000000009,438.4,11.5,30.052400000000002,30.0525,0.021229501992804125,1204.517638024069,100,640172.0,474315.25,858778.6,79,4.449999999999989,-14.254999999999827,58.599999999999994
30,15,thinning_65_90,34,32,569.6909999999999,541.699,26992.7,0.0,151085600.0,0.0,19720436.0,533002.0,119.3,9.599999999999994,1190.0,27.40000000000009,431.7,4.800000000000011,9.5285,9.5284,0.008861009527431307,983.9449583624855,100,517456.5,357355.5,729236.6,79,3.7499999999999893,-15.454999999999956,26.015
31,16,thinning_30_75,149,149,2204.5399999999995,2204.5399999999995,26992.7,0.0,151085600.0,0.0,22219116.0,3031682.0,220.3,110.60000000000001,1426.5,263.9000000000001,463.9,37.0,110.57190000000003,110.57150000000001,0.016783546680940245,1375.1993613180077,100,2986358.0,2390537.95,3879478.8999999994,77,43.55,-117.50499999999995,167.97999999999993
32,16,thinning_65_90,149,149,2204.5399999999995,2204.5399999999995,26992.7,0.0,151085600.0,0.0,21215476.0,2028042.0,137.3,27.60000000000001,1331.0,168.4000000000001,463.2,36.30000000000001,27.581799999999998,27.582,0.016466020122111652,919.9388534569572,100,2012795.5,1605524.7,2626740.9,66,14.250000000000014,-79.34000000000013,129.65999999999988
33,17,thinning_30_75,209,208,3048.954,3025.015,26992.7,0.0,151085600.0,0.0,22830620.0,3643186.0,180.9,71.2,1422.3,259.70000000000005,480.2,53.30000000000001,71.1316,71.13289999999999,0.01761974734009584,1204.353036265936,100,3587971.5,2625971.3,4680754.399999999,93,48.35000000000004,-26.14500000000004,150.67499999999998
34,17,thinning_65_90,209,208,3048.954,3025.015,26992.7,0.0,151085600.0,0.0,21959088.0,2771654.0,127.2,17.5,1354.3,191.70000000000005,465.9,39.0,17.4488,17.4493,0.01289249805372866,916.2447128361347,100,2772081.5,1915931.15,3689019.8,92,32.750000000000014,-4.445000000000006,113.52
35,18,thinning_30_75,167,165,2607.6180000000004,2600.146,26992.7,0.0,151085600.0,0.0,22614810.0,3427376.0,234.1,124.39999999999999,1411.5,248.9000000000001,484.0,57.10000000000002,124.4051,124.40599999999999,0.021960305305932827,1318.1475194085253,100,3369591.0,2596726.5,4412023.7,95,36.10000000000002,0.23999999999999866,193.3350000000001
36,18,thinning_65_90,167,165,2607.6180000000004,2600.146,26992.7,0.0,151085600.0,0.0,21877356.0,2689922.0,142.8,33.10000000000001,1352.3,189.70000000000005,460.5,33.60000000000002,33.0417,33.042,0.01292235128335102,1034.5272919289916,100,2624656.0,2042332.05,3479526.2,85,25.94999999999999,-14.860000000000031,123.20000000000002
