contrast_id,group,scenario,topaz_id,treatment_changed
1,1,thinning_30_75,2102,True
1,1,thinning_30_75,2103,True
1,1,thinning_30_75,2111,True
1,1,thinning_30_75,2112,True
2,1,thinning_65_90,22,True
2,1,thinning_65_90,42,True
2,1,thinning_65_90,52,True
2,1,thinning_65_90,62,True
2,1,thinning_65_90,63,True
2,1,thinning_65_90,82,True
2,1,thinning_65_90,91,True
2,1,thinning_65_90,92,True
2,1,thinning_65_90,93,True
2,1,thinning_65_90,102,True
2,1,thinning_65_90,103,True
2,1,thinning_65_90,112,True
2,1,thinning_65_90,121,True
2,1,thinning_65_90,122,True
2,1,thinning_65_90,123,True
2,1,thinning_65_90,131,True
2,1,thinning_65_90,143,True
2,1,thinning_65_90,151,True
2,1,thinning_65_90,152,True
2,1,thinning_65_90,153,True
2,1,thinning_65_90,172,True
2,1,thinning_65_90,181,True
2,1,thinning_65_90,183,True
2,1,thinning_65_90,192,True
2,1,thinning_65_90,193,True
2,1,thinning_65_90,212,True
2,1,thinning_65_90,221,True
2,1,thinning_65_90,222,True
2,1,thinning_65_90,223,True
2,1,thinning_65_90,232,True
2,1,thinning_65_90,233,True
2,1,thinning_65_90,252,True
2,1,thinning_65_90,261,True
2,1,thinning_65_90,262,True
2,1,thinning_65_90,263,True
2,1,thinning_65_90,272,True
2,1,thinning_65_90,273,True
2,1,thinning_65_90,291,True
2,1,thinning_65_90,292,True
2,1,thinning_65_90,293,True
2,1,thinning_65_90,302,True
2,1,thinning_65_90,303,True
2,1,thinning_65_90,311,True
2,1,thinning_65_90,313,True
2,1,thinning_65_90,332,True
2,1,thinning_65_90,341,True
2,1,thinning_65_90,343,True
2,1,thinning_65_90,352,True
2,1,thinning_65_90,353,True
2,1,thinning_65_90,392,True
2,1,thinning_65_90,402,True
2,1,thinning_65_90,403,True
2,1,thinning_65_90,411,True
2,1,thinning_65_90,412,True
2,1,thinning_65_90,413,True
2,1,thinning_65_90,452,True
2,1,thinning_65_90,461,True
2,1,thinning_65_90,462,True
2,1,thinning_65_90,463,True
2,1,thinning_65_90,472,True
2,1,thinning_65_90,473,True
2,1,thinning_65_90,502,True
2,1,thinning_65_90,511,True
2,1,thinning_65_90,512,True
2,1,thinning_65_90,513,True
2,1,thinning_65_90,521,True
2,1,thinning_65_90,522,True
2,1,thinning_65_90,523,True
2,1,thinning_65_90,531,True
2,1,thinning_65_90,532,True
2,1,thinning_65_90,533,True
2,1,thinning_65_90,552,True
2,1,thinning_65_90,582,True
2,1,thinning_65_90,592,True
2,1,thinning_65_90,593,True
2,1,thinning_65_90,612,True
2,1,thinning_65_90,621,True
2,1,thinning_65_90,622,True
2,1,thinning_65_90,623,True
2,1,thinning_65_90,631,True
2,1,thinning_65_90,632,True
2,1,thinning_65_90,633,True
2,1,thinning_65_90,662,True
2,1,thinning_65_90,671,True
2,1,thinning_65_90,672,True
2,1,thinning_65_90,673,True
2,1,thinning_65_90,702,False
2,1,thinning_65_90,712,True
2,1,thinning_65_90,713,True
