year,channel_loss_t,hillslope_loss_t,outlet_sediment_t,water_m3,scenario
62,3288.4,203.4,1281.1,47599132.0,undisturbed
63,919.7,0.0,163.1,16582548.0,undisturbed
64,592.0,0.0,110.7,10843429.0,undisturbed
65,1444.4,0.5,389.9,23170992.0,undisturbed
66,1700.8,19.3,504.1,26089594.0,undisturbed
67,375.2,0.0,96.5,7270790.0,undisturbed
68,674.6,1147.5,457.7,13957717.0,undisturbed
69,826.6,0.0,250.4,13288617.0,undisturbed
70,3018.6,348.4,942.1,45620932.0,undisturbed
71,1016.9,0.0,79.2,16824736.0,undisturbed
72,594.7,0.0,170.4,11438984.0,undisturbed
73,1716.9,1139.0,594.2,32788416.0,undisturbed
74,1083.3,0.0,149.2,18464388.0,undisturbed
75,2136.8,66.5,807.8,32745018.0,undisturbed
76,1656.6,0.1,653.5,24842816.0,undisturbed
77,895.8,0.0,271.8,15502701.0,undisturbed
78,1584.4,5.9,657.3,25162346.0,undisturbed
79,1972.9,0.5,892.8,29404036.0,undisturbed
80,445.1,0.0,93.4,9434812.0,undisturbed
81,1159.9,0.0,708.3,18571372.0,undisturbed
82,1403.3,12.6,412.0,21864104.0,undisturbed
83,885.3,0.3,428.2,14911584.0,undisturbed
84,540.8,0.0,210.0,9508384.0,undisturbed
85,1661.5,0.8,788.4,24496708.0,undisturbed
86,371.9,0.0,86.4,7805580.0,undisturbed
87,966.6,0.0,428.9,15427361.0,undisturbed
88,248.1,0.0,43.4,5706796.0,undisturbed
89,523.1,0.2,131.4,10716910.0,undisturbed
90,1779.2,445.5,1289.1,28087270.0,undisturbed
91,502.6,0.0,83.6,9798605.0,undisturbed
92,1001.2,0.1,335.7,16505329.0,undisturbed
93,571.0,0.0,211.4,10925178.0,undisturbed
94,327.8,0.0,62.4,7116722.0,undisturbed
95,1120.1,0.0,513.5,17249562.0,undisturbed
96,1260.8,0.7,343.8,20427176.0,undisturbed
97,191.7,0.4,40.5,5064366.0,undisturbed
98,574.7,0.4,185.0,10008703.0,undisturbed
99,277.3,0.0,46.5,5933780.0,undisturbed
100,1019.5,10.9,427.5,17482070.0,undisturbed
1,1607.4,15.9,175.2,31717164.0,thinning_30_75
2,2342.2,134.8,201.4,37738716.0,thinning_30_75
3,2720.3,572.1,365.7,42341164.0,thinning_30_75
4,2044.3,18.1,286.9,32393204.0,thinning_30_75
5,1802.1,19.5,242.3,29396922.0,thinning_30_75
6,3056.0,1794.6,1163.9,48312324.0,thinning_30_75
7,2898.4,159.6,588.0,43916256.0,thinning_30_75
8,2389.1,234.5,646.8,37424060.0,thinning_30_75
9,1793.6,505.1,413.2,30023840.0,thinning_30_75
10,1862.2,198.9,241.1,30742546.0,thinning_30_75
11,3020.9,1692.3,1245.8,48225288.0,thinning_30_75
12,2631.5,114.7,295.0,40863604.0,thinning_30_75
13,4298.9,4392.6,1153.9,66786724.0,thinning_30_75
14,4400.1,464.5,1266.1,63964312.0,thinning_30_75
15,1754.8,19.0,123.8,28959164.0,thinning_30_75
16,1403.1,0.1,190.6,24620772.0,thinning_30_75
17,1794.4,53.4,392.3,28690688.0,thinning_30_75
18,2088.1,26.8,322.3,33842624.0,thinning_30_75
19,2251.7,209.9,358.2,35205312.0,thinning_30_75
20,1687.3,21.1,276.9,28103698.0,thinning_30_75
21,1427.8,10.6,395.7,24654804.0,thinning_30_75
22,1527.8,155.6,222.5,26493960.0,thinning_30_75
23,3562.9,2658.1,1471.7,55683728.0,thinning_30_75
24,2507.2,49.8,421.5,38368520.0,thinning_30_75
25,1104.5,0.2,100.4,20566682.0,thinning_30_75
26,3616.4,518.4,1168.1,53236264.0,thinning_30_75
27,2461.1,188.9,301.6,38105624.0,thinning_30_75
28,2295.1,398.5,969.6,36468136.0,thinning_30_75
29,2106.5,55.9,252.4,32980600.0,thinning_30_75
30,6365.9,19038.8,4906.9,101964816.0,thinning_30_75
31,5178.0,13352.4,912.6,82654408.0,thinning_30_75
32,3294.0,528.1,1338.6,51823164.0,thinning_30_75
33,1228.8,0.0,119.7,22276070.0,thinning_30_75
34,1325.5,0.4,125.8,23246774.0,thinning_30_75
35,1782.3,3915.9,1226.1,31755716.0,thinning_30_75
36,1792.9,215.6,273.5,30178592.0,thinning_30_75
37,3887.0,538.1,935.3,57632664.0,thinning_30_75
38,3560.0,331.6,955.0,52602848.0,thinning_30_75
39,2016.7,438.0,1010.8,33144292.0,thinning_30_75
40,2145.9,543.2,860.6,34815932.0,thinning_30_75
41,2916.8,242.6,205.4,45829352.0,thinning_30_75
42,1786.3,8.4,195.7,30945840.0,thinning_30_75
43,1761.0,0.2,288.0,28215122.0,thinning_30_75
44,2062.6,195.4,211.7,33274154.0,thinning_30_75
45,1170.9,0.2,147.2,21736490.0,thinning_30_75
46,2282.6,40.8,603.2,35327288.0,thinning_30_75
47,3234.9,729.3,938.7,49432768.0,thinning_30_75
48,1911.1,18.4,179.7,31470226.0,thinning_30_75
49,2552.3,217.4,687.7,40346376.0,thinning_30_75
50,3494.0,608.4,1631.1,52579392.0,thinning_30_75
51,1581.4,191.5,260.5,27505652.0,thinning_30_75
52,1741.3,71.1,216.7,29001352.0,thinning_30_75
53,4622.5,1118.9,918.5,67958656.0,thinning_30_75
54,3794.2,1065.1,424.0,56720260.0,thinning_30_75
55,3552.5,551.8,275.8,53631892.0,thinning_30_75
56,2695.9,4.4,255.7,41162756.0,thinning_30_75
57,2063.8,35.0,433.7,32866068.0,thinning_30_75
58,1220.6,0.8,210.3,21502424.0,thinning_30_75
59,5427.8,4795.0,5534.7,82314104.0,thinning_30_75
60,2549.8,111.7,577.6,39924412.0,thinning_30_75
61,2153.1,10.3,210.0,33786360.0,thinning_30_75
62,5137.6,1902.0,1008.2,75776296.0,thinning_30_75
63,2369.4,22.4,123.2,38416860.0,thinning_30_75
64,1581.3,0.0,121.4,26219722.0,thinning_30_75
65,3093.8,76.6,500.2,46260972.0,thinning_30_75
66,3318.5,259.2,636.6,49960376.0,thinning_30_75
67,1302.1,4.7,122.4,22712446.0,thinning_30_75
68,2107.3,2052.3,1929.1,34871492.0,thinning_30_75
69,2025.0,9.8,137.7,32275696.0,thinning_30_75
70,5327.0,2038.9,1182.4,77622088.0,thinning_30_75
71,2109.4,0.1,94.6,34647932.0,thinning_30_75
72,1614.4,1.0,248.0,27916820.0,thinning_30_75
73,3461.6,7465.6,901.2,56220168.0,thinning_30_75
74,2402.0,6.3,123.7,39291200.0,thinning_30_75
75,4178.7,1043.0,814.1,63858764.0,thinning_30_75
76,3411.0,370.1,880.0,51630884.0,thinning_30_75
77,2408.3,37.5,186.5,38327120.0,thinning_30_75
78,3413.3,391.7,519.5,51148620.0,thinning_30_75
79,3309.1,180.3,857.9,48954656.0,thinning_30_75
80,1671.7,20.7,265.2,28054522.0,thinning_30_75
81,2839.4,183.6,758.3,43431892.0,thinning_30_75
82,3029.9,414.9,751.9,46703068.0,thinning_30_75
83,2271.7,22.7,437.5,35412136.0,thinning_30_75
84,1634.7,40.1,416.1,27425924.0,thinning_30_75
85,3202.1,440.2,1482.8,47729500.0,thinning_30_75
86,1506.7,0.3,179.0,25962940.0,thinning_30_75
87,2292.3,48.4,527.3,35604340.0,thinning_30_75
88,1252.9,2.2,143.3,22288176.0,thinning_30_75
89,1566.4,30.9,238.2,27188062.0,thinning_30_75
90,3429.8,2665.7,1558.6,53951384.0,thinning_30_75
91,1725.2,0.4,143.1,29419158.0,thinning_30_75
92,2235.1,164.6,756.3,35278836.0,thinning_30_75
93,1495.2,2.0,208.0,25056790.0,thinning_30_75
94,1180.0,0.0,202.8,21003548.0,thinning_30_75
95,2435.7,33.8,627.3,38128672.0,thinning_30_75
96,2626.1,45.7,525.0,40391920.0,thinning_30_75
97,872.6,0.0,140.5,17397388.0,thinning_30_75
98,1566.0,7.3,276.8,25973486.0,thinning_30_75
99,1088.5,40.5,230.8,19376110.0,thinning_30_75
100,2648.4,218.7,567.1,40183264.0,thinning_30_75
1,1436.0,1.6,146.2,29169530.0,thinning_65_90
2,1953.2,4.0,365.8,32368110.0,thinning_65_90
3,2172.1,241.6,445.0,34885660.0,thinning_65_90
4,1559.3,0.2,201.3,25819942.0,thinning_65_90
5,1430.2,3.5,177.7,23842610.0,thinning_65_90
6,2811.1,931.0,854.0,45149012.0,thinning_65_90
7,2680.3,49.4,675.6,40902960.0,thinning_65_90
8,2064.2,18.3,560.4,32745106.0,thinning_65_90
9,1452.3,234.8,374.8,25467234.0,thinning_65_90
10,1551.3,96.8,256.7,26312408.0,thinning_65_90
11,2521.7,913.5,929.3,42276508.0,thinning_65_90
12,2164.4,16.8,261.2,34774772.0,thinning_65_90
13,3496.2,2011.8,641.2,55779164.0,thinning_65_90
14,3712.4,75.4,1042.1,54557164.0,thinning_65_90
15,1467.9,0.0,158.0,24985554.0,thinning_65_90
16,1173.7,0.0,197.7,21468372.0,thinning_65_90
17,1524.7,7.3,461.8,25025078.0,thinning_65_90
18,1578.2,3.9,211.5,27077140.0,thinning_65_90
19,1878.4,89.8,398.9,30551838.0,thinning_65_90
20,1382.1,2.5,226.0,23866174.0,thinning_65_90
21,1160.6,0.0,256.6,21049054.0,thinning_65_90
22,1216.9,32.7,236.1,22281448.0,thinning_65_90
23,3046.5,1262.8,726.4,48507656.0,thinning_65_90
24,2084.8,3.6,504.1,32250528.0,thinning_65_90
25,866.1,0.0,112.6,17509828.0,thinning_65_90
26,3075.5,112.6,1190.9,46340112.0,thinning_65_90
27,1931.4,56.4,275.4,30754564.0,thinning_65_90
28,1828.4,27.5,418.4,29910930.0,thinning_65_90
29,1716.4,3.1,280.8,27907262.0,thinning_65_90
30,5871.4,8990.6,3519.8,95151704.0,thinning_65_90
31,4774.8,5255.1,2902.2,76624056.0,thinning_65_90
32,3143.4,54.6,883.3,48555264.0,thinning_65_90
33,1007.4,0.0,90.9,19273402.0,thinning_65_90
34,1119.1,0.0,157.3,19890950.0,thinning_65_90
35,1457.4,2163.1,184.7,27362270.0,thinning_65_90
36,1433.7,93.2,228.5,25260774.0,thinning_65_90
37,3434.2,287.9,1092.6,51593696.0,thinning_65_90
38,3033.5,71.4,910.5,46317320.0,thinning_65_90
39,1721.9,71.3,560.0,28931324.0,thinning_65_90
40,1766.4,217.9,666.9,29458424.0,thinning_65_90
41,2493.1,28.3,245.8,38723412.0,thinning_65_90
42,1453.5,4.4,186.6,26384134.0,thinning_65_90
43,1332.3,0.0,218.1,22620186.0,thinning_65_90
44,1599.1,27.2,312.4,26952558.0,thinning_65_90
45,809.1,0.0,94.8,16664912.0,thinning_65_90
46,1879.3,3.4,514.5,29421140.0,thinning_65_90
47,2595.4,271.7,765.0,41145076.0,thinning_65_90
48,1584.5,0.0,174.9,26921914.0,thinning_65_90
49,2238.5,13.3,697.8,35541472.0,thinning_65_90
50,3117.6,143.8,1339.0,47279228.0,thinning_65_90
51,1244.1,120.9,322.2,23040108.0,thinning_65_90
52,1451.9,9.7,209.3,24736176.0,thinning_65_90
53,4291.2,429.4,1182.9,62730308.0,thinning_65_90
54,3244.2,629.2,639.8,49707024.0,thinning_65_90
55,3061.5,195.7,328.1,46738428.0,thinning_65_90
56,2158.2,2.6,159.1,34183164.0,thinning_65_90
57,1734.9,1.8,357.5,28772240.0,thinning_65_90
58,974.9,0.0,242.7,18165756.0,thinning_65_90
59,5168.0,673.0,2231.5,76389800.0,thinning_65_90
60,2260.7,16.9,451.5,35894792.0,thinning_65_90
61,1598.0,2.2,153.5,27644936.0,thinning_65_90
62,4752.5,746.3,1150.0,69501800.0,thinning_65_90
63,2088.7,13.4,102.2,34660916.0,thinning_65_90
64,1264.1,0.0,104.0,21530022.0,thinning_65_90
65,2716.3,8.1,436.2,41228968.0,thinning_65_90
66,2900.2,78.0,604.3,44028380.0,thinning_65_90
67,978.7,0.0,103.5,18281848.0,thinning_65_90
68,1620.7,1331.7,878.4,29309288.0,thinning_65_90
69,1659.3,0.1,198.6,27286226.0,thinning_65_90
70,4566.9,913.2,1244.8,67559440.0,thinning_65_90
71,1867.2,0.0,138.5,30861306.0,thinning_65_90
72,1317.7,0.1,282.4,23568826.0,thinning_65_90
73,3024.0,3565.5,1487.5,51706364.0,thinning_65_90
74,2120.9,0.0,130.4,35316304.0,thinning_65_90
75,3694.2,368.7,566.2,56511404.0,thinning_65_90
76,3063.3,31.1,916.3,45945056.0,thinning_65_90
77,1966.4,3.7,190.3,31910808.0,thinning_65_90
78,2918.0,43.9,534.4,44701264.0,thinning_65_90
79,3108.4,10.6,923.1,46398700.0,thinning_65_90
80,1356.6,2.8,128.9,24153372.0,thinning_65_90
81,2420.9,26.8,980.3,38068020.0,thinning_65_90
82,2725.6,76.9,827.9,41835016.0,thinning_65_90
83,1875.1,0.5,500.3,29832888.0,thinning_65_90
84,1368.3,9.7,332.0,23403708.0,thinning_65_90
85,2715.1,73.8,1269.4,41329668.0,thinning_65_90
86,1088.6,0.0,143.0,20588300.0,thinning_65_90
87,1801.3,0.5,470.7,29188588.0,thinning_65_90
88,911.1,0.0,81.4,17696804.0,thinning_65_90
89,1251.5,0.1,190.5,23363056.0,thinning_65_90
90,2978.3,946.0,1897.6,47312036.0,thinning_65_90
91,1330.8,0.0,63.9,23549734.0,thinning_65_90
92,1919.4,9.7,530.5,30822910.0,thinning_65_90
93,1221.7,0.8,274.5,21367116.0,thinning_65_90
94,903.9,0.0,154.8,16884942.0,thinning_65_90
95,2082.0,8.4,664.6,33050496.0,thinning_65_90
96,2333.8,9.1,600.7,36617940.0,thinning_65_90
97,682.9,0.0,102.0,14811812.0,thinning_65_90
98,1233.3,0.9,294.5,21379260.0,thinning_65_90
99,780.2,0.0,133.6,15191506.0,thinning_65_90
100,1999.6,63.8,473.8,32257146.0,thinning_65_90
