year,julian,month,day_of_month,Suct_mean_mm,Saturation_mean,TSW_mean_mm
1983,20,1,20,0.34828282828282847,0.9333333333333326,39.599595959595995
1983,22,1,22,0.35171717171717193,0.9440404040404046,40.03696969696971
1983,23,1,23,0.34333333333333343,0.9334343434343428,39.49818181818182
1983,24,1,24,0.3493939393939396,0.9179797979797986,38.90696969696972
1983,25,1,25,0.3574747474747477,0.926767676767678,39.290606060606045
1983,26,1,26,0.340909090909091,0.9079797979797962,38.486767676767684
1983,27,1,27,0.3531313131313133,0.8910101010101018,37.634242424242444
1983,35,2,4,0.34,0.8715151515151516,36.90646464646464
1983,41,2,10,0.34,0.9068686868686866,38.330303030303035
1983,42,2,11,0.34,0.9396969696969684,39.79595959595962
1983,43,2,12,0.34,0.9244444444444451,39.1582828282828
1983,44,2,13,0.34,0.8872727272727279,37.4550505050505
1983,45,2,14,0.34,0.9308080808080826,39.39818181818178
1983,46,2,15,0.34,0.9314141414141434,39.49909090909087
1983,47,2,16,0.34,0.9314141414141434,39.342828282828286
1983,48,2,17,0.34,0.9411111111111098,39.70262626262623
1983,50,2,19,0.34,0.921616161616163,38.91989898989902
1983,51,2,20,0.34,0.9211111111111124,38.90313131313135
1983,52,2,21,0.34,0.9297979797979817,39.22868686868683
1983,54,2,23,0.34,0.9141414141414126,38.79030303030303
1983,57,2,26,0.34,0.8940404040404046,37.86535353535353
1983,59,2,28,0.34,0.8897979797979801,37.584646464646475
1983,60,3,1,0.34,0.8918181818181821,37.80000000000001
1983,61,3,2,0.34,0.8636363636363635,36.568989898989884
1983,62,3,3,0.3367676767676768,0.8433333333333324,35.6829292929293
1983,70,3,11,0.34,0.921616161616163,38.93868686868689
1983,73,3,14,0.34,0.8254545454545459,34.87060606060606
1983,75,3,16,0.34,0.8742424242424238,37.03515151515151
1983,232,8,20,8.576161616161613,0.3131313131313125,13.174848484848473
1983,287,10,14,3.995757575757572,0.6552525252525249,27.741616161616175
1983,294,10,21,4.900303030303029,0.5392929292929298,22.841515151515157
1983,304,10,31,6.38717171717172,0.537777777777778,22.753434343434336
1983,313,11,9,6.406969696969699,0.4943434343434346,20.867474747474734
1983,319,11,15,4.281515151515148,0.669191919191919,28.30707070707071
1983,328,11,24,3.214646464646464,0.722020202020202,30.59363636363638
1983,329,11,25,2.9645454545454553,0.7274747474747476,30.82585858585857
1983,334,11,30,2.0083838383838413,0.8349494949494941,35.242929292929304
1983,342,12,8,1.1526262626262656,0.8818181818181831,37.251818181818216
1983,353,12,19,0.5357575757575779,0.9558585858585851,40.54858585858584
1983,357,12,23,0.5315151515151536,0.9481818181818172,40.10474747474749
1983,358,12,24,0.5219191919191939,0.9319191919191904,39.52898989898991
1983,362,12,28,0.430000000000001,0.9528282828282821,40.283333333333374
1983,363,12,29,0.33878787878787886,0.9585858585858571,40.49252525252523
1983,364,12,30,0.34,0.9608080808080792,40.74404040404036
1985,3,1,3,0.34,0.9423232323232316,40.01717171717175
1985,7,1,7,0.34,0.9699999999999992,40.97222222222226
1985,8,1,8,0.34,0.9525252525252529,40.42393939393941
1985,9,1,9,0.34,0.9440404040404023,39.84414141414141
1985,10,1,10,0.34,0.9420202020202016,39.82181818181818
1985,11,1,11,0.34,0.9496969696969713,40.11171717171713
1985,12,1,12,0.34,0.9485858585858601,40.02161616161615
1985,13,1,13,0.34,0.9387878787878775,39.79969696969693
1985,14,1,14,0.34,0.9474747474747491,40.09999999999995
