cokey,mukey,comppct_r,has_corestriction,reskind,reshard,resdept_r,resdepb_r,resthk_r,ksat_anchor_um_s,brockdepmin,rn,ecoregion,legacy_kslast_mm_h,legacy_fallback,candidate_a_kslast_mm_h,candidate_b_kslast_mm_h
26583253,74627,100,1,Strongly contrasting textural stratification,noncoherent,84,,,9,,1,Marine West Coast Forest,0.0324,0,0.02106,0.015795
26583254,74628,100,1,Strongly contrasting textural stratification,noncoherent,84,,,9,,1,Marine West Coast Forest,0.0324,0,0.02106,0.015795
26583255,74629,100,1,Strongly contrasting textural stratification,noncoherent,84,,,9,,1,Marine West Coast Forest,0.0324,0,0.02106,0.015795
26589292,2454632,100,1,Lithic bedrock,Indurated,140,,,9,140,1,Marine West Coast Forest,0.0324,0,0.01377,0.002754
26589293,2454633,100,1,Lithic bedrock,Indurated,140,,,9,140,1,Marine West Coast Forest,0.0324,0,0.01377,0.002754
26589316,2454640,100,1,Cemented horizon,Weakly coherent,91,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26589317,2454641,100,1,Cemented horizon,Weakly coherent,91,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26589352,2454661,100,1,Densic material,noncoherent,122,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26589353,2454662,100,1,Densic material,noncoherent,122,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26589387,2454680,100,1,Lithic bedrock,Indurated,81,,,9,81,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26589464,2454721,100,1,Lithic bedrock,Indurated,137,,,9,137,1,Marine West Coast Forest,0.0324,0,0.01377,0.002754
26589465,2454722,100,1,Lithic bedrock,Indurated,137,,,9,137,1,Marine West Coast Forest,0.0324,0,0.01377,0.002754
26589491,2454737,100,1,Lithic bedrock,Indurated,81,,,9,81,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26589492,2454738,100,1,Lithic bedrock,Indurated,81,,,9,81,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26589493,2454739,100,1,Lithic bedrock,Indurated,81,,,9,81,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26701937,1543355,100,1,Lithic bedrock,Indurated,0,150,,,0,1,Marine West Coast Forest,0.01,1,0.01,0.01
27021139,62404,100,1,Lithic bedrock,Indurated,0,,,,0,1,Marine West Coast Forest,0.01,1,0.01,0.01
27027386,1426024,100,1,Lithic bedrock,Indurated,117,,,3,117,1,Marine West Coast Forest,0.0108,0,0.00459,0.0009180000000000001
27027387,1426023,100,1,Lithic bedrock,Indurated,117,,,3,117,1,Marine West Coast Forest,0.0108,0,0.00459,0.0009180000000000001
27027393,1426018,100,1,Lithic bedrock,Indurated,0,,,,0,1,Marine West Coast Forest,0.01,1,0.01,0.01
