ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Irrigation (m^3/yr),Irrigation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr)
HighSev4.2.2_Watershed_8,HighSev4.2.2,Watershed_8,160.26,2031278.0,1267.4890802446025,0.0,0.0,1257395.0,784.5969050293273,4381.1,27337.45164108324,20.7,129.1651067016099,2074.6,12945.214027205791,0.471,1665.6,10.393111194309247
HighSev4.2.2_Watershed_9_Blackwood,HighSev4.2.2,Watershed_9_Blackwood,2671.07,37947850.0,1420.6984466899032,0.0,0.0,25607326.0,958.6916853545583,818722.3,306514.7300520016,37092204.0,13886646.1755027,6507745.9,2436381.637321373,0.172,5206319.6,1949.151313892934
LowSev4.2.2_Watershed_1,LowSev4.2.2,Watershed_1,262.83,2468360.0,939.1469771335084,0.0,0.0,1075008.0,409.01266978655406,3.2,12.175170262146635,6.0,22.82844424152494,8.9,33.86219229159533,0.96,13.5,0.05136399954343112
LowSev4.2.2_Watershed_10,LowSev4.2.2,Watershed_10,1309.41,15679924.0,1197.4800864511496,0.0,0.0,5423344.0,414.18226529505654,7361.5,5621.997693617736,963.6,735.903956743877,1256.2,959.3633773989811,0.151,1034.5,0.7900504807508725
LowSev4.2.2_Watershed_11_General,LowSev4.2.2,Watershed_11_General,1819.7,22520077.0,1237.5708633291201,0.0,0.0,12503622.0,687.125460240699,4942.2,2715.942188272792,3386.6,1861.0760015387152,358.7,197.120404462274,0.043,353.3,0.1941528823432434
LowSev4.2.2_Watershed_12_Meeks,LowSev4.2.2,Watershed_12_Meeks,1981.45,23602242.0,1191.1601100204396,0.0,0.0,8027558.0,405.13553205985517,11264.3,5684.877236367307,676.1,341.21476696358724,238.6,120.41686643619572,0.02,235.7,0.11895329178127129
LowSev4.2.2_Watershed_13,LowSev4.2.2,Watershed_13,211.44,2248775.0,1063.5523079833522,0.0,0.0,1205836.0,570.2970109723799,121.2,573.2122587968217,3.2,15.13431706394249,66.0,312.14528944381385,0.53,59.7,0.2823496027241771
LowSev4.2.2_Watershed_14,LowSev4.2.2,Watershed_14,246.15,2742996.0,1114.3595368677636,0.0,0.0,1550902.0,630.0637822465976,660.1,2681.698151533618,5.8,23.562868169815154,599.6,2435.9130611415803,0.901,488.6,1.984968515133049
LowSev4.2.2_Watershed_15,LowSev4.2.2,Watershed_15,149.32,1663920.0,1114.3316367532816,0.0,0.0,942779.0,631.3815965711224,985.2,6597.91052772569,2.9,19.421376908652558,717.6,4805.786230913474,0.726,579.6,3.881596571122422
LowSev4.2.2_Watershed_16,LowSev4.2.2,Watershed_16,295.18,2950666.0,999.6158276305982,0.0,0.0,1584588.0,536.8209228267498,903.6,3061.1830069787925,8.6,29.134765227996475,579.3,1962.531336811437,0.635,480.9,1.6291754183887797
LowSev4.2.2_Watershed_17,LowSev4.2.2,Watershed_17,386.9,4002240.0,1034.4378392349445,0.0,0.0,2107192.0,544.6347893512535,2825.6,7303.179116050659,9.4,24.295683639183252,906.4,2342.7242181442234,0.32,737.5,1.9061773067976222
LowSev4.2.2_Watershed_18,LowSev4.2.2,Watershed_18,1647.08,20149921.0,1223.3723316414503,0.0,0.0,2544810.0,154.504334944265,14466.4,8783.058503533526,77.3,46.93153945163562,803.4,487.77230007042766,0.055,656.9,0.3988270150812347
LowSev4.2.2_Watershed_19,LowSev4.2.2,Watershed_19,845.73,10009566.0,1183.5415558156858,0.0,0.0,2034852.0,240.60302933560357,10529.4,12450.072718243411,31.0,36.65472432100079,694.6,821.3023068828113,0.066,565.9,0.6691260804275596
LowSev4.2.2_Watershed_2,LowSev4.2.2,Watershed_2,110.68,1069537.0,966.3326707625587,0.0,0.0,449376.0,406.0137332851464,0.0,0.0,2.4,21.684134441633535,2.5,22.587640043368268,1.001,4.3,0.03885074087459342
LowSev4.2.2_Watershed_20,LowSev4.2.2,Watershed_20,877.52,9707518.0,1106.244643996718,0.0,0.0,5620576.0,640.5068830340049,7357.1,8383.968456559394,1183.8,1349.029081958246,1872.9,2134.310329109308,0.219,1529.0,1.7424104293919227
LowSev4.2.2_Watershed_3,LowSev4.2.2,Watershed_3,188.22,1850077.0,982.9332695781533,0.0,0.0,780851.0,414.8608011900967,1.8,9.56327701625757,5.5,29.221124216342577,7.4,39.31569440017002,1.004,10.2,0.05419190309212623
LowSev4.2.2_Watershed_4,LowSev4.2.2,Watershed_4,1345.08,14141001.0,1051.313007404764,0.0,0.0,6638715.0,493.55540190918015,540.9,402.132215184227,42.6,31.670978677848158,402.0,298.8669818895531,0.689,359.3,0.2671216581913344
LowSev4.2.2_Watershed_5,LowSev4.2.2,Watershed_5,268.63,2855137.0,1062.85113352939,0.0,0.0,1394653.0,519.1724677065108,2.8,10.423258757398653,7.2,26.802665376167965,9.3,34.62010944421695,0.926,24.6,0.09157577336857388
LowSev4.2.2_Watershed_6,LowSev4.2.2,Watershed_6,122.51,1264441.0,1032.1124806138275,0.0,0.0,626431.0,511.33050363235657,0.1,0.8162598971512529,2.9,23.671537017386335,3.0,24.487796914537586,1.002,8.0,0.06530079177210023
LowSev4.2.2_Watershed_7_Ward,LowSev4.2.2,Watershed_7_Ward,2314.23,30932032.0,1336.6014613932064,0.0,0.0,16402797.0,708.7798965530652,29879.7,12911.292308888918,32664.6,14114.673131019821,9000.9,3889.371410793223,0.144,7281.4,3.1463596963136764
LowSev4.2.2_Watershed_8,LowSev4.2.2,Watershed_8,160.26,2031278.0,1267.4890802446025,0.0,0.0,1003318.0,626.0564083364533,35.9,224.01098215399978,4.6,28.7033570448022,39.2,244.60252090353177,0.968,36.2,0.22588294022213906
LowSev4.2.2_Watershed_9_Blackwood,LowSev4.2.2,Watershed_9_Blackwood,2671.07,37947850.0,1420.6984466899032,0.0,0.0,22400033.0,838.6164720505266,101003.0,37813.68515239211,3605100.8,1349684.1340736109,571354.5,213904.72731901446,0.154,457193.1,171.16477666253596
ModSev4.2.2_Watershed_1,ModSev4.2.2,Watershed_1,262.83,2468360.0,939.1469771335084,0.0,0.0,1173019.0,446.3033139291557,95.0,361.45036715747824,6.5,24.730814594985354,46.6,177.30091694251038,0.459,44.1,0.16778906517520834
ModSev4.2.2_Watershed_10,ModSev4.2.2,Watershed_10,1309.41,15679924.0,1197.4800864511496,0.0,0.0,5864281.0,447.85674464071604,21459.4,16388.60250036276,1040.4,794.5563268953193,1286.2,982.2744594893883,0.057,1060.8,0.810135862716796
ModSev4.2.2_Watershed_11_General,ModSev4.2.2,Watershed_11_General,1819.7,22520077.0,1237.5708633291201,0.0,0.0,13316192.0,731.7795240973787,17062.3,9376.435676210363,3419.5,1879.1559048194756,635.9,349.45320657251193,0.031,579.3,0.3183491784360059
ModSev4.2.2_Watershed_12_Meeks,ModSev4.2.2,Watershed_12_Meeks,1981.45,23602242.0,1191.1601100204396,0.0,0.0,8498111.0,428.88344394256734,31747.9,16022.559236922456,562.0,283.63067450604353,507.3,256.02462842867595,0.016,453.3,0.22877185899215222
ModSev4.2.2_Watershed_13,ModSev4.2.2,Watershed_13,211.44,2248775.0,1063.5523079833522,0.0,0.0,1291321.0,610.7269201664775,639.4,3024.0257283390088,3.4,16.080211880438895,293.5,1388.1006432084753,0.457,242.2,1.1454786227771472
ModSev4.2.2_Watershed_14,ModSev4.2.2,Watershed_14,246.15,2742996.0,1114.3595368677636,0.0,0.0,1645791.0,668.6130408287629,1564.5,6355.88056063376,5.8,23.562868169815154,1367.5,5555.555555555556,0.871,1103.4,4.482632541133455
ModSev4.2.2_Watershed_15,ModSev4.2.2,Watershed_15,149.32,1663920.0,1114.3316367532816,0.0,0.0,999148.0,669.1320653629789,1893.9,12683.498526654166,2.9,19.421376908652558,1097.6,7350.656308598983,0.579,883.9,5.919501741226895
ModSev4.2.2_Watershed_16,ModSev4.2.2,Watershed_16,295.18,2950666.0,999.6158276305982,0.0,0.0,1697673.0,575.1314452198659,2739.1,9279.422725116878,7.6,25.747001829392236,1262.4,4276.712514397995,0.46,1020.0,3.4555186665763262
ModSev4.2.2_Watershed_17,ModSev4.2.2,Watershed_17,386.9,4002240.0,1034.4378392349445,0.0,0.0,2274248.0,587.8128715430344,7777.9,20103.127423106747,11.7,30.240372189196176,1490.7,3852.933574567072,0.191,1205.8,3.1165675885241666
ModSev4.2.2_Watershed_18,ModSev4.2.2,Watershed_18,1647.08,20149921.0,1223.3723316414503,0.0,0.0,2702365.0,164.0700512421983,44517.5,27028.134638268937,205.5,124.7662530053185,1240.1,752.9081768948686,0.028,1007.1,0.6114457099837288
ModSev4.2.2_Watershed_19,ModSev4.2.2,Watershed_19,845.73,10009566.0,1183.5415558156858,0.0,0.0,2126708.0,251.4641788750547,22097.8,26128.669906471332,15.6,18.44560320669717,1868.2,2208.9792250481833,0.084,1505.3,1.7798824684000802
ModSev4.2.2_Watershed_2,ModSev4.2.2,Watershed_2,110.68,1069537.0,966.3326707625587,0.0,0.0,489969.0,442.6897361763643,12.8,115.64871702204553,2.5,22.587640043368268,15.4,139.13986266714852,1.0,14.8,0.13371882905674015
ModSev4.2.2_Watershed_20,ModSev4.2.2,Watershed_20,877.52,9707518.0,1106.244643996718,0.0,0.0,5929033.0,675.65787674355,18221.4,20764.65493663962,2044.5,2329.8614276597687,3040.0,3464.308505789042,0.15,2464.3,2.808255082505242
ModSev4.2.2_Watershed_3,ModSev4.2.2,Watershed_3,188.22,1850077.0,982.9332695781533,0.0,0.0,852275.0,452.8078843906067,14.8,78.63138880034003,5.8,30.81500371905217,20.9,111.0402720221018,1.011,28.9,0.15354372542769099
ModSev4.2.2_Watershed_4,ModSev4.2.2,Watershed_4,1345.08,14141001.0,1051.313007404764,0.0,0.0,7179966.0,533.7947185297529,2017.4,1499.8364409551848,53.9,40.071965979718684,1072.2,797.1273084128826,0.518,897.4,0.6671722128051863
ModSev4.2.2_Watershed_5,ModSev4.2.2,Watershed_5,268.63,2855137.0,1062.85113352939,0.0,0.0,1489422.0,554.4511037486506,54.0,201.01999032125974,7.6,28.29170234151063,53.7,199.90321259725272,0.873,50.7,0.18873543535718276
ModSev4.2.2_Watershed_6,ModSev4.2.2,Watershed_6,122.51,1264441.0,1032.1124806138275,0.0,0.0,666928.0,544.3865806872908,7.5,61.21949228634397,3.1,25.30405681168884,10.8,88.15606889233531,1.025,12.2,0.09958370745245285
ModSev4.2.2_Watershed_7_Ward,ModSev4.2.2,Watershed_7_Ward,2314.23,30932032.0,1336.6014613932064,0.0,0.0,17482043.0,755.415105672297,94068.5,40647.86127567269,44448.8,19206.73398927505,14428.3,6234.6007095232535,0.104,11628.6,5.024824671705059
ModSev4.2.2_Watershed_8,ModSev4.2.2,Watershed_8,160.26,2031278.0,1267.4890802446025,0.0,0.0,1103710.0,688.6996131286659,344.3,2148.3838762011733,4.6,28.7033570448022,283.7,1770.2483464370398,0.813,232.2,1.4488955447397978
ModSev4.2.2_Watershed_9_Blackwood,ModSev4.2.2,Watershed_9_Blackwood,2671.07,37947850.0,1420.6984466899032,0.0,0.0,23497332.0,879.6973497512233,280439.8,104991.55769036378,20712192.4,7754267.915105182,234512.0,87797.02516220091,0.011,187722.5,70.27988783521211
SimFire4.2.2_Watershed_1,SimFire4.2.2,Watershed_1,262.83,2468360.0,939.1469771335084,0.0,0.0,1144387.0,435.4095803371,93.5,355.743256097097,6.2,23.589392382909107,44.6,169.69143552866873,0.447,42.7,0.16246242818551918
SimFire4.2.2_Watershed_10,SimFire4.2.2,Watershed_10,1309.41,15679924.0,1197.4800864511496,0.0,0.0,8351302.0,637.7912189459374,8304.5,6342.169373992867,408.4,311.8961975240757,1207.6,922.2474244125216,0.139,1023.3,0.7814970101037871
SimFire4.2.2_Watershed_11_General,SimFire4.2.2,Watershed_11_General,1819.7,22520077.0,1237.5708633291201,0.0,0.0,13048730.0,717.0813870418201,11250.2,6182.447656207067,2643.3,1452.6020772654833,611.2,335.87954058361265,0.044,558.6,0.30697367697972194
SimFire4.2.2_Watershed_12_Meeks,SimFire4.2.2,Watershed_12_Meeks,1981.45,23602242.0,1191.1601100204396,0.0,0.0,12401460.0,625.8780186227258,13107.7,6615.206035983749,1781.6,899.1395190390875,616.5,311.1357844003129,0.041,5059.1,2.5532312195614324
SimFire4.2.2_Watershed_13,SimFire4.2.2,Watershed_13,211.44,2248775.0,1063.5523079833522,0.0,0.0,1291152.0,610.6469920544836,675.7,3195.7056375331063,3.3,15.607264472190693,291.7,1379.5875898600075,0.43,240.8,1.1388573590616724
SimFire4.2.2_Watershed_14,SimFire4.2.2,Watershed_14,246.15,2742996.0,1114.3595368677636,0.0,0.0,1587876.0,645.084704448507,843.8,3427.991062360349,5.8,23.562868169815154,767.1,3116.3924436319317,0.903,622.8,2.5301645338208405
SimFire4.2.2_Watershed_15,SimFire4.2.2,Watershed_15,149.32,1663920.0,1114.3316367532816,0.0,0.0,967457.0,647.9085186177338,1001.6,6707.741762657381,2.8,18.751674256630057,738.3,4944.414679882133,0.735,596.4,3.994106616662202
SimFire4.2.2_Watershed_16,SimFire4.2.2,Watershed_16,295.18,2950666.0,999.6158276305982,0.0,0.0,1609068.0,545.114167626533,905.8,3068.636086455722,7.4,25.069449149671385,556.1,1883.9352259638185,0.609,455.0,1.5414323463649298
SimFire4.2.2_Watershed_17,SimFire4.2.2,Watershed_17,386.9,4002240.0,1034.4378392349445,0.0,0.0,2162996.0,559.0581545619023,2890.5,7470.92271904885,8.4,21.71103644352546,890.3,2301.111398294133,0.307,724.8,1.8733522874127682
SimFire4.2.2_Watershed_18,SimFire4.2.2,Watershed_18,1647.08,20149921.0,1223.3723316414503,0.0,0.0,10263361.0,623.124620540593,14515.9,8813.111688564004,118.5,71.9455035578114,1427.4,866.624571969789,0.098,7114015.0,4319.167860698934
SimFire4.2.2_Watershed_19,SimFire4.2.2,Watershed_19,845.73,10009566.0,1183.5415558156858,0.0,0.0,5599391.0,662.0778499048159,10529.4,12450.072718243411,187.1,221.2289974341693,1067.2,1261.8684450120015,0.1,903.4,1.0681896113416811
SimFire4.2.2_Watershed_2,SimFire4.2.2,Watershed_2,110.68,1069537.0,966.3326707625587,0.0,0.0,470794.0,425.3650162631008,0.6,5.421033610408384,2.5,22.587640043368268,3.1,28.00867365377665,0.997,4.9,0.04427177448500181
SimFire4.2.2_Watershed_20,SimFire4.2.2,Watershed_20,877.52,9707518.0,1106.244643996718,0.0,0.0,5798893.0,660.8274455283071,8164.6,9304.175403409608,643.2,732.974747014313,1991.4,2269.349986325098,0.226,1624.8,1.8515817303309325
SimFire4.2.2_Watershed_3,SimFire4.2.2,Watershed_3,188.22,1850077.0,982.9332695781533,0.0,0.0,811858.0,431.3346084369355,1.9,10.094570183827436,5.6,29.752417383912444,7.6,40.378280735309744,1.005,10.5,0.05578578259483583
SimFire4.2.2_Watershed_4,SimFire4.2.2,Watershed_4,1345.08,14141001.0,1051.313007404764,0.0,0.0,6799564.0,505.5137240907604,779.3,579.3707437475838,61.3,45.57349748713831,535.3,397.968894043477,0.637,466.2,0.3465964849674369
SimFire4.2.2_Watershed_5,SimFire4.2.2,Watershed_5,268.63,2855137.0,1062.85113352939,0.0,0.0,1455418.0,541.7928005062726,20.9,77.80218143915423,7.3,27.17492461750363,26.2,97.53192122994453,0.93,29.1,0.10832743922867887
SimFire4.2.2_Watershed_6,SimFire4.2.2,Watershed_6,122.51,1264441.0,1032.1124806138275,0.0,0.0,666668.0,544.1743531140315,8.0,65.30079177210024,3.1,25.30405681168884,11.5,93.86988817239408,1.043,12.8,0.10448126683536038
SimFire4.2.2_Watershed_7_Ward,SimFire4.2.2,Watershed_7_Ward,2314.23,30932032.0,1336.6014613932064,0.0,0.0,16500332.0,712.9944733237405,36321.5,15694.853147699234,32648.4,14107.672962497245,9531.8,4118.778168116393,0.138,7706.5,3.3300493036560757
SimFire4.2.2_Watershed_8,SimFire4.2.2,Watershed_8,160.26,2031278.0,1267.4890802446025,0.0,0.0,1024288.0,639.1413952327467,37.6,234.61874454012232,4.6,28.7033570448022,40.9,255.2102832896543,0.968,37.6,0.23461874454012233
SimFire4.2.2_Watershed_9_Blackwood,SimFire4.2.2,Watershed_9_Blackwood,2671.07,37947850.0,1420.6984466899032,0.0,0.0,22539082.0,843.8222135698428,142850.5,53480.627613652956,12324932.4,4614230.402048617,2639160.9,988053.8136402265,0.212,2111438.8,790.4842628609507
Thinn4.3.2_Watershed_1,Thinn4.3.2,Watershed_1,262.83,2468360.0,939.1469771335084,0.0,0.0,931071.0,354.2483734733478,0.0,0.0,5.1,19.4041776052962,5.1,19.4041776052962,0.999,9.7,0.036905984857131986
Thinn4.3.2_Watershed_10,Thinn4.3.2,Watershed_10,1309.41,15679924.0,1197.4800864511496,0.0,0.0,4998615.0,381.74559534446814,2348.7,1793.708616857974,842.7,643.5722959195363,594.8,454.25038757913865,0.186,503.0,0.3841424763824929
Thinn4.3.2_Watershed_11_General,Thinn4.3.2,Watershed_11_General,1819.7,22520077.0,1237.5708633291201,0.0,0.0,11715477.0,643.8136506017476,1441.1,791.9437269879651,837.5,460.24069901632134,181.0,99.46694510084079,0.079,206.9,0.11370006044952465
Thinn4.3.2_Watershed_12_Meeks,Thinn4.3.2,Watershed_12_Meeks,1981.45,23602242.0,1191.1601100204396,0.0,0.0,7629852.0,385.0640692422216,6023.7,3040.046430644225,140.0,70.6553281687653,150.2,75.80307350677533,0.024,162.7,0.0821115849504151
Thinn4.3.2_Watershed_13,Thinn4.3.2,Watershed_13,211.44,2248775.0,1063.5523079833522,0.0,0.0,1120244.0,529.8164964055997,9.9,46.82179341657208,3.2,15.13431706394249,12.3,58.172531214528945,0.942,16.3,0.07709042754445707
Thinn4.3.2_Watershed_14,Thinn4.3.2,Watershed_14,246.15,2742996.0,1114.3595368677636,0.0,0.0,1462985.0,594.3469429209831,221.6,900.264066626041,5.8,23.562868169815154,228.2,927.0769855778997,1.003,190.9,0.7755433678651229
Thinn4.3.2_Watershed_15,Thinn4.3.2,Watershed_15,149.32,1663920.0,1114.3316367532816,0.0,0.0,889092.0,595.4272702919903,445.6,2984.195017412269,2.9,19.421376908652558,402.1,2692.8743637824805,0.897,326.9,2.189257969461559
Thinn4.3.2_Watershed_16,Thinn4.3.2,Watershed_16,295.18,2950666.0,999.6158276305982,0.0,0.0,1507367.0,510.66027508638797,304.3,1030.8964021952706,7.2,24.391896469950538,223.4,756.8263432481875,0.717,188.1,0.6372382952774578
Thinn4.3.2_Watershed_17,Thinn4.3.2,Watershed_17,386.9,4002240.0,1034.4378392349445,0.0,0.0,2017736.0,521.5135693977772,1370.9,3543.2928405272683,8.3,21.452571723959682,505.3,1306.0222279658826,0.366,416.1,1.0754716981132078
Thinn4.3.2_Watershed_18,Thinn4.3.2,Watershed_18,1647.08,20149921.0,1223.3723316414503,0.0,0.0,2508660.0,152.3095417344634,5811.8,3528.5474901036987,36.1,21.917575345459845,446.1,270.84294630497607,0.076,371.1,0.22530781747091824
Thinn4.3.2_Watershed_19,Thinn4.3.2,Watershed_19,845.73,10009566.0,1183.5415558156858,0.0,0.0,2014260.0,238.16820971231954,6376.5,7539.640310737469,14.7,17.38143379092618,319.3,377.54366050630813,0.05,265.7,0.3141664597448358
Thinn4.3.2_Watershed_2,Thinn4.3.2,Watershed_2,110.68,1069537.0,966.3326707625587,0.0,0.0,377910.0,341.4438019515721,0.0,0.0,2.1,18.973617636429346,2.1,18.973617636429346,1.001,3.7,0.03342970726418504
Thinn4.3.2_Watershed_20,Thinn4.3.2,Watershed_20,877.52,9707518.0,1106.244643996718,0.0,0.0,5329331.0,607.3173261008296,3738.6,4260.4157170206945,2337.8,2664.0988239584285,1331.0,1516.7745464490838,0.219,1093.9,1.2465812745008662
Thinn4.3.2_Watershed_3,Thinn4.3.2,Watershed_3,188.22,1850077.0,982.9332695781533,0.0,0.0,656735.0,348.9188184039953,0.0,0.0,4.6,24.43948570821379,4.6,24.43948570821379,0.997,7.2,0.03825310806503029
Thinn4.3.2_Watershed_4,Thinn4.3.2,Watershed_4,1345.08,14141001.0,1051.313007404764,0.0,0.0,5882760.0,437.35391203497187,68.4,50.85199393344634,35.5,26.392482231540132,95.4,70.92514943349094,0.919,110.5,0.08215124750944182
Thinn4.3.2_Watershed_5,Thinn4.3.2,Watershed_5,268.63,2855137.0,1062.85113352939,0.0,0.0,1242435.0,462.5079105088784,0.1,0.3722592413356662,6.1,22.707813721475635,6.2,23.080072962811304,0.996,11.7,0.04355433123627294
Thinn4.3.2_Watershed_6,Thinn4.3.2,Watershed_6,122.51,1264441.0,1032.1124806138275,0.0,0.0,561370.0,458.22381846379886,0.0,0.0,2.4,19.59023753163007,2.4,19.59023753163007,1.001,5.1,0.04162925475471389
Thinn4.3.2_Watershed_7_Ward,Thinn4.3.2,Watershed_7_Ward,2314.23,30932032.0,1336.6014613932064,0.0,0.0,14905838.0,644.0949257420394,7257.9,3136.2051308642617,2940.6,1270.6602195978792,1460.9,631.2682836191735,0.143,1245.5,0.5381919688190024
Thinn4.3.2_Watershed_8,Thinn4.3.2,Watershed_8,160.26,2031278.0,1267.4890802446025,0.0,0.0,836174.0,521.7608885560963,0.6,3.7439161362785476,4.8,29.95132909022838,5.4,33.69524522650693,1.002,8.3,0.05179083988518658
Thinn4.3.2_Watershed_9_Blackwood,Thinn4.3.2,Watershed_9_Blackwood,2671.07,37947850.0,1420.6984466899032,0.0,0.0,20817897.0,779.384179373809,38232.2,14313.439932311769,417255.7,156212.94088136964,43041.6,16113.99177108799,0.094,34533.9,12.9288637137926
CurCond4.1.2_Watershed_1,CurCond4.1.2,Watershed_1,262.83,2468360.0,939.1469771335084,0.0,0.0,622117.0,236.69938743674618,0.0,0.0,4.9,18.643229463912036,4.9,18.643229463912036,0.999,7.9,0.03005745158467451
CurCond4.1.2_Watershed_10,CurCond4.1.2,Watershed_10,1309.41,15679924.0,1197.4800864511496,0.0,0.0,4036511.0,308.2694495994379,1881.2,1436.6775876157963,325.8,248.81435150182142,511.3,390.4812090941722,0.232,431.2,0.3293086199127851
