ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
SimFire4.2.2b_Watershed_10,SimFire4.2.2b,Watershed_10,1309.41,15380623.0,1174.6223871820132,8144438.0,621.9929586607709,9854.1,7525.603134236029,875.6,668.6981159453494,1616.5,1234.5254733047707,0.151,1353.6,1.0337480239191696,0.5939000000000001,960.0393500000001,733.1846785957034
SimFire4.2.2b_Watershed_11_General,SimFire4.2.2b,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,12748273.0,700.5700390174204,19838.1,10901.851953618729,2732.4,1501.5661922294883,619.1,340.2209155355278,0.027,563.1,0.3094466120789141,0.5999,371.39809,204.09852722976316
SimFire4.2.2b_Watershed_12_Meeks,SimFire4.2.2b,Watershed_12_Meeks,1981.45,23568024.0,1189.4331928638119,12378637.0,624.7261853693003,20446.3,10318.857402407328,2423.9,1223.2960710590728,1089.0,549.5975169698958,0.048,7868.1,3.970879911176159,0.4048,440.8272,222.47707486941383
SimFire4.2.2b_Watershed_13,SimFire4.2.2b,Watershed_13,211.44,2173747.0,1028.0680098373061,1239193.0,586.0731176693151,657.8,3111.048051456678,3.3,15.607264472190693,282.4,1335.6034808929246,0.427,233.0,1.1019674612183126,0.30720000000000003,86.75328,410.2973893303065
SimFire4.2.2b_Watershed_14,SimFire4.2.2b,Watershed_14,246.15,2690698.0,1093.1131423928498,1540378.0,625.7883404428194,787.8,3200.4875076173066,5.7,23.15661182205972,712.4,2894.1702214097095,0.898,578.8,2.35141174080845,0.0747,53.21628,216.19451553930529
SimFire4.2.2b_Watershed_15,SimFire4.2.2b,Watershed_15,149.32,1489562.0,997.5636217519422,833238.0,558.0216983659255,736.1,4929.681221537638,2.7,18.081971604607556,563.5,3773.774444146799,0.763,455.8,3.052504687918564,0.0532,29.978199999999998,200.76480042860968
SimFire4.2.2b_Watershed_16,SimFire4.2.2b,Watershed_16,295.18,2955582.0,1001.2812521173521,1605177.0,543.7959888881361,1077.6,3650.6538383359307,9.1,30.828646927298596,657.2,2226.4381055627073,0.605,535.3,1.8134697472728503,0.0677,44.49244,150.7298597465953
SimFire4.2.2b_Watershed_17,SimFire4.2.2b,Watershed_17,386.9,3754816.0,970.487464461101,1994427.0,515.4890152494185,3198.7,8267.510984750583,117.7,304.2129749289222,892.3,2306.2806926854487,0.269,725.9,1.8761953993279918,0.16210000000000002,144.64183,373.84810028431116
SimFire4.2.2b_Watershed_18,SimFire4.2.2b,Watershed_18,1647.08,20362331.0,1236.2684872623067,10457609.0,634.9180974816038,20168.7,12245.124705539502,563.5,342.12060130655465,1837.0,1115.307088908857,0.089,1829748.5,1110.9044490856547,0.32620000000000005,599.2294,363.81317240206914
SimFire4.2.2b_Watershed_19,SimFire4.2.2b,Watershed_19,845.73,10312303.0,1219.3374954181595,5872079.0,694.3207643101226,16506.5,19517.458290470953,58.5,69.1710120251144,1497.0,1770.0684615657478,0.09,1244.6,1.4716280609650834,0.2173,325.2981,384.635876698237
