ProjectName,Scenario,Watershed,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
SimFire4.2.2b_Watershed_8,SimFire4.2.2b,Watershed_8,0.018,0.25,0.128,0.194,0.41,0.065,0.371,0.565,0.028,0.014193928034629466,0.20301711732736297,0.09823450568334699,0.2022563077525762,0.4822981412020847,0.05494478320132073,0.30155879831779164,0.6434964184808879,0.023425065563965473,41.4,47.65515880078518,30.02,0.94
SimFire4.2.2b_Watershed_10,SimFire4.2.2b,Watershed_10,0.064,0.448,0.273,0.095,0.12,0.131,0.674,0.195,0.056,0.013049675189422232,0.13467824201642065,0.08750676938498189,0.1945504238842825,0.5702148895248925,0.05077409549419738,0.22395432714513674,0.7252715773606657,0.021645037704050372,1616.5,8398.827969102009,59.7,1.87
SimFire4.2.2b_Watershed_11_General,SimFire4.2.2b,Watershed_11_General,0.125,0.351,0.413,0.067,0.043,0.219,0.684,0.097,0.094,0.01897935888096265,0.15017210385014634,0.1358677957441473,0.20354171448173194,0.4914390270430117,0.06779809351666921,0.27854013299837865,0.653661773484952,0.028918998585138973,619.1,11749.423150163846,96.73,3.02
SimFire4.2.2b_Watershed_12_Meeks,SimFire4.2.2b,Watershed_12_Meeks,0.172,0.156,0.256,0.206,0.209,0.247,0.38,0.373,0.106,0.01496535172806361,0.05550350894861064,0.08361323215935894,0.2159627766470988,0.6299551305168681,0.05398805860175113,0.14393447789364314,0.8020774635046058,0.023015763404859745,1089.0,11150.42207591732,107.11,3.35
SimFire4.2.2b_Watershed_13,SimFire4.2.2b,Watershed_13,0.026,0.229,0.174,0.21,0.36,0.084,0.389,0.527,0.036,0.013451595961849304,0.12008039626899011,0.09354238809456455,0.21173976880576142,0.5611858508688347,0.054151276961572806,0.21590627643140073,0.7299424466070266,0.02308261988598614,282.4,540.2461185166412,38.47,1.2
SimFire4.2.2b_Watershed_14,SimFire4.2.2b,Watershed_14,0.01,0.044,0.069,0.183,0.695,0.042,0.117,0.841,0.018,0.009644926208634863,0.04450758263456704,0.0667727166090036,0.178880915846702,0.7001938587010924,0.04144318008195812,0.1157948712871279,0.8427619486309139,0.017660216303876163,712.4,668.420133518278,19.34,0.6
SimFire4.2.2b_Watershed_15,SimFire4.2.2b,Watershed_15,0.011,0.02,0.074,0.193,0.703,0.045,0.098,0.856,0.019,0.0085772143789496,0.015731982681591792,0.05906710690434659,0.16328174314610594,0.7533419528890061,0.03720526650723122,0.07931723131631628,0.8834775021764525,0.015853497802097022,563.5,690.7176499239947,20.53,0.64
SimFire4.2.2b_Watershed_16,SimFire4.2.2b,Watershed_16,0.018,0.014,0.119,0.262,0.586,0.07,0.135,0.796,0.03,0.011725008080194051,0.007843941036679295,0.07578605254916458,0.2120086773869292,0.6926363209470329,0.048704724229373775,0.08968803894621079,0.8616072368244154,0.020755137646079086,657.2,1003.2126723378983,31.3,0.98
SimFire4.2.2b_Watershed_17,SimFire4.2.2b,Watershed_17,0.058,0.039,0.217,0.232,0.453,0.127,0.235,0.639,0.054,0.013389436938689334,0.013409151902703134,0.08582670703883336,0.19951808339689578,0.6878566207228785,0.05125116238017585,0.10187630442961981,0.8468725331902044,0.02184823158286235,892.3,2583.4849299307984,56.45,1.77
SimFire4.2.2b_Watershed_18,SimFire4.2.2b,Watershed_18,0.054,0.202,0.234,0.196,0.314,0.123,0.407,0.47,0.053,0.01726260938082806,0.05123536423031234,0.08956610503539107,0.24622647193979497,0.5957094494136737,0.06053747826533528,0.14751057418497457,0.7919519475496902,0.025808120699031822,1837.0,13292.65398969887,55.48,1.73
