um,U' (m/s),"White (w,%)","Transported cum. White (w,%)","Black (w,%)","Remaining cum. Black (w,%)"
2.01100000,61.30167856,0.00769048,0.88957143,0.00073333,0.98876667
100000.00000000,63.92576286,0.00000000,0.88957143,0.00000000,0.98876667
1.83200000,65.89441197,0.00700000,0.89657143,0.00100000,0.98976667
1.66800000,70.86238639,0.00661905,0.90319048,0.00076667,0.99053333
1.52000000,76.15413904,0.00640476,0.90959524,0.00070000,0.99123333
1.38500000,81.84760760,0.00657143,0.91616667,0.00053333,0.99176667
1.26100000,88.02081879,0.00661905,0.92278571,0.00050000,0.99226667
1.14900000,94.60284355,0.00697619,0.92976190,0.00073333,0.99300000
1.04700000,101.67373893,0.00719048,0.93695238,0.00053333,0.99353333
0.95300000,109.36758288,0.00728571,0.94423810,0.00053333,0.99406667
0.86800000,117.58543472,0.00783333,0.95207143,0.00083333,0.99490000
0.59800000,156.99011612,0.00666667,0.95873810,0.00070000,0.99560000
0.59800000,156.99011612,0.00733333,0.96607143,0.00086667,0.99646667
0.59800000,156.99011612,0.00771429,0.97378571,0.00076667,0.99723333
0.59800000,156.99011612,0.00780952,0.98159524,0.00070000,0.99793333
0.54500000,168.71062171,0.00607143,0.98766667,0.00060000,0.99853333
0.49600000,181.50504195,0.00495238,0.99261905,0.00043333,0.99896667
0.45200000,195.07167723,0.00345238,0.99607143,0.00056000,0.99952667
0.41200000,209.61546306,0.00250000,0.99857143,0.00032667,0.99985333
0.37500000,225.49662993,0.00142857,1.00000000,0.00014667,1.00000000
