reach,scenario,window,flux,value_mm
172,high_severity,annual_mean_100y,Es,126.040003
172,high_severity,annual_mean_100y,Er,0.000000
173,burned,day203,Q,4.236983
173,burned,day203,latqcc,0.032954
173,burned,day203,Dp,0.022319
173,burned,day203,Ep,5.342976
173,burned,day203,Es,3.621725
173,burned,day203,Er,0.000000
173,burned,prior7,Q,0.000000
173,burned,prior7,latqcc,0.000000
173,burned,prior7,Dp,0.156234
173,burned,prior7,Ep,13.470656
173,burned,prior7,Es,8.279336
173,burned,prior7,Er,0.000000
173,burned,prior30,Q,0.000902
173,burned,prior30,latqcc,0.007605
173,burned,prior30,Dp,0.734763
173,burned,prior30,Ep,47.975748
173,burned,prior30,Es,28.201198
173,burned,prior30,Er,0.000000
173,burned,year34,Q,4.237885
173,burned,year34,latqcc,8.906361
173,burned,year34,Dp,22.903889
173,burned,year34,Ep,325.950736
173,burned,year34,Es,128.767689
173,burned,year34,Er,0.000000
173,burned,annual_mean_100y,Q,0.220396
173,burned,annual_mean_100y,latqcc,2.141957
173,burned,annual_mean_100y,Dp,4.971062
173,burned,annual_mean_100y,Ep,211.756071
173,burned,annual_mean_100y,Es,109.996609
173,burned,annual_mean_100y,Er,0.000000
173,undisturbed,day203,Q,10.854929
173,undisturbed,day203,latqcc,0.264337
173,undisturbed,day203,Dp,0.000003
173,undisturbed,day203,Ep,7.317070
173,undisturbed,day203,Es,0.255723
173,undisturbed,day203,Er,0.000000
173,undisturbed,prior7,Q,0.000000
173,undisturbed,prior7,latqcc,0.000000
173,undisturbed,prior7,Dp,0.000019
173,undisturbed,prior7,Ep,14.646154
173,undisturbed,prior7,Es,0.592313
173,undisturbed,prior7,Er,0.000000
173,undisturbed,prior30,Q,0.000000
173,undisturbed,prior30,latqcc,0.000000
173,undisturbed,prior30,Dp,0.000083
173,undisturbed,prior30,Ep,53.740563
173,undisturbed,prior30,Es,2.311377
173,undisturbed,prior30,Er,0.000000
173,undisturbed,year34,Q,10.854929
173,undisturbed,year34,latqcc,0.487519
173,undisturbed,year34,Dp,1.321973
173,undisturbed,year34,Ep,466.740525
173,undisturbed,year34,Es,9.886838
173,undisturbed,year34,Er,0.000000
173,undisturbed,annual_mean_100y,Q,0.538506
173,undisturbed,annual_mean_100y,latqcc,0.424738
173,undisturbed,annual_mean_100y,Dp,0.216449
173,undisturbed,annual_mean_100y,Ep,318.249839
173,undisturbed,annual_mean_100y,Es,10.402240
173,undisturbed,annual_mean_100y,Er,0.000000
173,high_severity,day203,Q,40.140570
173,high_severity,day203,latqcc,0.011813
173,high_severity,day203,Dp,0.049042
173,high_severity,day203,Ep,2.234421
173,high_severity,day203,Es,5.389292
173,high_severity,day203,Er,0.000000
173,high_severity,prior7,Q,4.671605
173,high_severity,prior7,latqcc,0.006314
173,high_severity,prior7,Dp,0.343295
173,high_severity,prior7,Ep,6.336960
173,high_severity,prior7,Es,10.038090
173,high_severity,prior7,Er,0.000000
173,high_severity,prior30,Q,21.199805
173,high_severity,prior30,latqcc,0.066723
173,high_severity,prior30,Dp,1.471976
173,high_severity,prior30,Ep,25.971147
173,high_severity,prior30,Es,26.709906
173,high_severity,prior30,Er,0.000000
173,high_severity,year34,Q,81.001851
173,high_severity,year34,latqcc,15.236372
173,high_severity,year34,Dp,26.018567
173,high_severity,year34,Ep,199.202366
173,high_severity,year34,Es,144.344651
173,high_severity,year34,Er,0.000000
173,high_severity,annual_mean_100y,Q,21.524090
173,high_severity,annual_mean_100y,latqcc,7.875134
173,high_severity,annual_mean_100y,Dp,15.021268
173,high_severity,annual_mean_100y,Ep,155.397399
173,high_severity,annual_mean_100y,Es,128.451105
173,high_severity,annual_mean_100y,Er,0.000000
