"model","assessment_id","attempt_id","view","selected_window_minutes","min_probability","year_filter","sort","descending","offset","limit","intensity_unit","rainfall_unit","event_id","date_label","date_semantics","return_interval_years","duration_minutes","peak_intensity","window_rainfall","total_event_rainfall","probability","target_probability","reason"
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:568","Simulation 2 / 7 / 23","simulation_labels",,30,0.9650900619469032,0.4825450309734516,1.09055177,0.7043099369498103,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:569","Simulation 2 / 7 / 24","simulation_labels",,30,0.16656580769230767,0.08328290384615383,0.12992132999999997,0.055349162652321045,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:570","Simulation 2 / 7 / 25","simulation_labels",,30,0.09186356666666672,0.04593178333333336,0.08267721,0.039781318455467576,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:571","Simulation 2 / 7 / 26","simulation_labels",,30,0.375524489953114,0.187762244976557,0.29921275999999997,0.1338185500636861,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:572","Simulation 2 / 7 / 27","simulation_labels",,30,0.05574584644775676,0.02787292322387838,0.047244119999999994,0.033851125262500385,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:573","Simulation 2 / 7 / 28","simulation_labels",,30,0.42305672922378074,0.21152836461189037,0.37007894,0.16150594727630438,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:574","Simulation 2 / 7 / 29","simulation_labels",,30,0.14353295568337374,0.07176647784168687,0.12598432,0.05001973307818904,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:578","Simulation 2 / 8 / 2","simulation_labels",,30,0.5949529032790413,0.29747645163952063,0.38976399,0.2995404653485294,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:580","Simulation 2 / 8 / 4","simulation_labels",,30,0.1435698114902696,0.0717849057451348,0.10236226,0.05002785955860087,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:581","Simulation 2 / 8 / 5","simulation_labels",,30,0.03399723667791012,0.01699861833895506,0.03543309,0.030701629798474954,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:582","Simulation 2 / 8 / 6","simulation_labels",,30,0.1765090767222157,0.08825453836110785,0.24803162999999998,0.05781146848386253,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:583","Simulation 2 / 8 / 7","simulation_labels",,30,0.2324024703702261,0.11620123518511305,0.30314977,0.07366696782268242,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:584","Simulation 2 / 8 / 8","simulation_labels",,30,0.07993570930850265,0.039967854654251324,0.14566937,0.037720271932020155,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:585","Simulation 2 / 8 / 9","simulation_labels",,30,0.16446497996307555,0.08223248998153777,0.12204730999999999,0.05484170676338195,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:586","Simulation 2 / 8 / 10","simulation_labels",,30,0.18102749950929337,0.09051374975464668,0.25196864,0.05896405812101551,,
