Code,LndcvrID,WEPP_Type,New_WEPPman,ManName,Albedo,iniSatLev,interErod,rillErod,critSh,effHC,soilDepth,Sand,Clay,OM,CEC,Comment
2106,106,Volcanic,Tahoe_Low_Severity_Fire.rot,LowF,None,None,1500000,0.0002,1.5,None,None,None,None,None,None,
2107,107,Volcanic,Tahoe_Young_Forest.rot,YForst,None,None,500000,3.00E-05,1.5,None,None,None,None,None,None,
2110,110,Volcanic,Tahoe_Low_Severity_Fire.rot,PrescrF,None,None,1500000,0.0002,1.5,None,None,None,None,None,None,
2111,111,Volcanic,Tahoe_Skid_Trail.rot,Skid,None,None,600000,0.0008,1.5,None,None,None,None,None,None,
2112,112,Volcanic,Tahoe_Young_Forest.rot,Yr1_Recov_Fire,None,None,700000,3.00E-05,1.5,None,None,None,None,None,None,
2113,113,Volcanic,Tahoe_Young_Forest.rot,Yr1_Recov_Thinn,None,None,700000,3.00E-05,1.5,None,None,None,None,None,None,
2114,114,Volcanic,Tahoe_Young_Forest.rot,Yr2_Recov_Fire,None,None,700000,3.00E-05,1.5,None,None,None,None,None,None,
2115,115,Volcanic,Cable_Thinning_93_Cover.man,Cable_Thinning,None,None,500000,3.00E-05,1.5,None,None,None,None,None,None,
2116,116,Volcanic,Forward_Thinning_90_Cover.man,Forward_Thinning,None,None,500000,0.00003,1.5,None,None,None,None,None,None,
2117,117,Volcanic,Skidder_Thinning_85_Cover.man,Skidder_Thinning,None,None,500000,0.00003,1.5,None,None,None,None,None,None,
2118,118,Volcanic,Tahoe_Moderate_Severity_Fire.rot,ModF,None,None,1500000,0.0002,1.5,None,None,None,None,None,None,
2119,119,Volcanic,Tahoe_Shrub_High_Severity_Fire.rot,HighFShrub,None,None,800000,5.00E-05,1.5,None,None,None,None,None,None,
2120,120,Volcanic,Tahoe_Shrub_Moderate_Severity_Fire.rot,ModFShrub,None,None,700000,4.00E-05,1.5,None,None,None,None,None,None,
2121,121,Volcanic,Tahoe_Shrub_Low_Severity_Fire.rot,LowFShrub,None,None,700000,4.00E-05,1.5,None,None,None,None,None,None,
2122,122,Volcanic,Tahoe_Shrub_Low_Severity_Fire.rot,PrescrFShrub,None,None,700000,4.00E-05,1.5,None,None,None,None,None,None,
2123,123,Volcanic,Tahoe_Thin_96_cover.rot,Thinning_96_Cover,None,None,500000,0.00003,1.5,None,None,None,None,None,None,
2124,124,Volcanic,Tahoe_Thinning_75_Cover.rot,Thinning_75_Cover,None,None,500000,0.00003,1.5,None,None,None,None,None,None,
3100,100,Alluvial,Tahoe_Bare_Slope.rot,Bare,None,None,600000,0.0006,1,None,None,None,None,None,None,
3101,101,Alluvial,Tahoe_Sod_Grass.rot,Sod_G,None,None,600000,6.00E-05,1,None,None,None,None,None,None,
3102,102,Alluvial,Tahoe_Old_Forest.rot,OForst,None,None,300000,1.00E-05,1,None,None,None,None,None,None,
3103,103,Alluvial,Tahoe_Bunch_Grass.rot,BnchG,None,None,500000,5.00E-05,1,None,None,None,None,None,None,
3104,104,Alluvial,Tahoe_Shrub.rot,Shrub,None,None,350000,3.00E-05,1,None,None,None,None,None,None,
3105,105,Alluvial,Tahoe_High_Severity_Fire.rot,HighF,None,None,1500000,0.0003,1,None,None,None,None,None,None,
3106,106,Alluvial,Tahoe_Low_Severity_Fire.rot,LowF,None,None,1000000,0.0002,1,None,None,None,None,None,None,
3107,107,Alluvial,Tahoe_Young_Forest.rot,YForst,None,None,600000,2.00E-05,1,None,None,None,None,None,None,
3110,110,Alluvial,Tahoe_Low_Severity_Fire.rot,PrescrF,None,None,1000000,0.0002,1,None,None,None,None,None,None,
3111,111,Alluvial,Tahoe_Skid_Trail.rot,Skid,None,None,2500000,0.0006,1,None,None,None,None,None,None,
3112,112,Alluvial,Tahoe_Young_Forest.rot,Yr1_Recov_Fire,None,None,600000,2.00E-05,1,None,None,None,None,None,None,
3113,113,Alluvial,Tahoe_Young_Forest.rot,Yr1_Recov_Thinn,None,None,600000,2.00E-05,1,None,None,None,None,None,None,
3114,114,Alluvial,Tahoe_Young_Forest.rot,Yr2_Recov_Fire,None,None,600000,2.00E-05,1,None,None,None,None,None,None,
3115,115,Alluvial,Cable_Thinning_93_Cover.man,Cable_Thinning,None,None,600000,2.00E-05,1,None,None,None,None,None,None,
3116,116,Alluvial,Forward_Thinning_90_Cover.man,Forward_Thinning,None,None,600000,0.00002,1,None,None,None,None,None,None,
3117,117,Alluvial,Skidder_Thinning_85_Cover.man,Skidder_Thinning,None,None,600000,0.00002,1,None,None,None,None,None,None,
3118,118,Alluvial,Tahoe_Moderate_Severity_Fire.rot,ModF,None,None,1000000,0.0002,1,None,None,None,None,None,None,
3119,119,Alluvial,Tahoe_Shrub_High_Severity_Fire.rot,HighFShrub,None,None,450000,3.50E-05,1,None,None,None,None,None,None,
3120,120,Alluvial,Tahoe_Shrub_Moderate_Severity_Fire.rot,ModFShrub,None,None,450000,3.00E-05,1,None,None,None,None,None,None,
3121,121,Alluvial,Tahoe_Shrub_Low_Severity_Fire.rot,LowFShrub,None,None,450000,3.00E-05,1,None,None,None,None,None,None,
3122,122,Alluvial,Tahoe_Shrub_Low_Severity_Fire.rot,PrescrShrub,None,None,400000,3.00E-05,1,None,None,None,None,None,None,
3123,123,Alluvial,Tahoe_Thin_96_cover.rot,Thinning_96_Cover,None,None,600000,0.00002,1,None,None,None,None,None,None,
3124,124,Alluvial,Tahoe_Thinning_75_Cover.rot,Thinning_75_Cover,None,None,600000,0.00002,1,None,None,None,None,None,None,
