nlcd_class,nlcd_label,hsg,burn_severity,hydrophobic,cn_arc_ii,source,notes
43,Mixed Forest,A,moderate,true,90,RMRS_GTR_334_Table_4_06_seed,Seed CN for moderate burn with water repellency; user calibration expected.
43,Mixed Forest,A,unburned,false,55,RMRS_GTR_334_Table_4_14,
43,Mixed Forest,B,high,false,71,RMRS_GTR_334_Table_4_14,
43,Mixed Forest,B,high,true,95,RMRS_GTR_334_Table_4_06_seed,Seed CN for high burn with water repellency; user calibration expected.
43,Mixed Forest,B,low,false,60,RMRS_GTR_334_Table_4_14,
43,Mixed Forest,B,moderate,false,65,RMRS_GTR_334_Table_4_14,
43,Mixed Forest,B,moderate,true,90,RMRS_GTR_334_Table_4_06_seed,Seed CN for moderate burn with water repellency; user calibration expected.
43,Mixed Forest,B,unburned,false,55,RMRS_GTR_334_Table_4_14,
43,Mixed Forest,C,high,false,83,RMRS_GTR_334_Table_4_14,
43,Mixed Forest,C,high,true,95,RMRS_GTR_334_Table_4_06_seed,Seed CN for high burn with water repellency; user calibration expected.
43,Mixed Forest,C,low,false,78,RMRS_GTR_334_Table_4_14,
43,Mixed Forest,C,moderate,false,80,RMRS_GTR_334_Table_4_14,
43,Mixed Forest,C,moderate,true,90,RMRS_GTR_334_Table_4_06_seed,Seed CN for moderate burn with water repellency; user calibration expected.
43,Mixed Forest,C,unburned,false,75,RMRS_GTR_334_Table_4_14,
43,Mixed Forest,D,high,false,87,RMRS_GTR_334_Table_4_14,
43,Mixed Forest,D,high,true,95,RMRS_GTR_334_Table_4_06_seed,Seed CN for high burn with water repellency; user calibration expected.
43,Mixed Forest,D,low,false,82,RMRS_GTR_334_Table_4_14,
43,Mixed Forest,D,moderate,false,85,RMRS_GTR_334_Table_4_14,
43,Mixed Forest,D,moderate,true,90,RMRS_GTR_334_Table_4_06_seed,Seed CN for moderate burn with water repellency; user calibration expected.
43,Mixed Forest,D,unburned,false,80,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,A,high,false,73,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,A,high,true,95,RMRS_GTR_334_Table_4_06_seed,Seed CN for high burn with water repellency; user calibration expected.
52,Shrub/Scrub,A,low,false,65,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,A,moderate,false,68,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,A,moderate,true,90,RMRS_GTR_334_Table_4_06_seed,Seed CN for moderate burn with water repellency; user calibration expected.
52,Shrub/Scrub,A,unburned,false,63,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,B,high,false,88,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,B,high,true,95,RMRS_GTR_334_Table_4_06_seed,Seed CN for high burn with water repellency; user calibration expected.
52,Shrub/Scrub,B,low,false,79,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,B,moderate,false,82,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,B,moderate,true,90,RMRS_GTR_334_Table_4_06_seed,Seed CN for moderate burn with water repellency; user calibration expected.
52,Shrub/Scrub,B,unburned,false,77,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,C,high,false,91,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,C,high,true,95,RMRS_GTR_334_Table_4_06_seed,Seed CN for high burn with water repellency; user calibration expected.
52,Shrub/Scrub,C,low,false,86,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,C,moderate,false,88,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,C,moderate,true,90,RMRS_GTR_334_Table_4_06_seed,Seed CN for moderate burn with water repellency; user calibration expected.
52,Shrub/Scrub,C,unburned,false,85,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,D,high,false,91,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,D,high,true,95,RMRS_GTR_334_Table_4_06_seed,Seed CN for high burn with water repellency; user calibration expected.
52,Shrub/Scrub,D,low,false,89,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,D,moderate,false,90,RMRS_GTR_334_Table_4_14,
52,Shrub/Scrub,D,moderate,true,90,RMRS_GTR_334_Table_4_06_seed,Seed CN for moderate burn with water repellency; user calibration expected.
52,Shrub/Scrub,D,unburned,false,88,RMRS_GTR_334_Table_4_14,
71,Grassland/Herbaceous,A,unburned,false,30,NEH_TR55_seed,No burn-severity adjustment in v1 seed table.
71,Grassland/Herbaceous,B,unburned,false,58,NEH_TR55_seed,No burn-severity adjustment in v1 seed table.
71,Grassland/Herbaceous,C,unburned,false,71,NEH_TR55_seed,No burn-severity adjustment in v1 seed table.
71,Grassland/Herbaceous,D,unburned,false,78,NEH_TR55_seed,No burn-severity adjustment in v1 seed table.
81,Pasture/Hay,A,unburned,false,39,NEH_TR55_seed,No burn-severity adjustment in v1 seed table.
81,Pasture/Hay,B,unburned,false,61,NEH_TR55_seed,No burn-severity adjustment in v1 seed table.
81,Pasture/Hay,C,unburned,false,74,NEH_TR55_seed,No burn-severity adjustment in v1 seed table.
81,Pasture/Hay,D,unburned,false,80,NEH_TR55_seed,No burn-severity adjustment in v1 seed table.
82,Cultivated Crops,A,unburned,false,67,NEH_TR55_seed,No burn-severity adjustment in v1 seed table.
82,Cultivated Crops,B,unburned,false,78,NEH_TR55_seed,No burn-severity adjustment in v1 seed table.
82,Cultivated Crops,C,unburned,false,85,NEH_TR55_seed,No burn-severity adjustment in v1 seed table.
82,Cultivated Crops,D,unburned,false,89,NEH_TR55_seed,No burn-severity adjustment in v1 seed table.
90,Woody Wetlands,A,unburned,false,30,NEH_TR55_seed,
90,Woody Wetlands,B,unburned,false,30,NEH_TR55_seed,
90,Woody Wetlands,C,unburned,false,30,NEH_TR55_seed,
90,Woody Wetlands,D,unburned,false,30,NEH_TR55_seed,
95,Emergent Herbaceous Wetlands,A,unburned,false,30,NEH_TR55_seed,
95,Emergent Herbaceous Wetlands,B,unburned,false,30,NEH_TR55_seed,
95,Emergent Herbaceous Wetlands,C,unburned,false,30,NEH_TR55_seed,
95,Emergent Herbaceous Wetlands,D,unburned,false,30,NEH_TR55_seed,
