Latitude: 39.637893121733924  Longitude: -107.21442401398961
X & Y on Lambert Conformal Conic: -590975.44 -277756.44
Tile: 11557
Elevation: 2904 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,150,52455.77,2.87,446.63,84.87,15.56,2.88,558.02
2021,151,52527.91,0.00,614.85,81.54,15.06,1.92,420.94
2021,152,52597.09,0.00,593.38,77.43,16.37,3.79,484.89
2021,153,52663.25,0.00,582.79,72.47,18.35,5.82,540.28
2021,154,52726.35,0.00,616.61,66.97,21.17,7.10,540.05
2021,155,52786.36,0.00,633.58,60.70,24.09,8.93,574.18
2021,156,52843.22,0.00,617.10,54.44,23.35,8.91,593.26
2021,157,52896.89,0.00,603.73,48.54,21.98,8.03,579.91
2021,158,52947.35,0.00,592.31,42.23,22.72,9.04,626.29
2021,159,52994.56,0.00,594.78,36.43,21.57,7.80,531.22
2021,160,53038.47,0.00,649.90,31.04,23.61,6.85,439.14
2021,161,53079.06,0.00,608.99,25.42,22.39,7.38,497.87
2021,162,53116.31,0.00,645.78,21.14,21.03,4.18,381.40
2021,163,53150.17,0.00,642.46,15.46,24.50,7.53,399.84
2021,164,53180.64,0.00,640.18,9.01,26.60,9.34,428.19
2021,165,53207.68,0.00,626.19,2.21,26.92,10.20,455.35
2021,166,53231.27,0.00,551.19,0.00,27.47,11.13,546.85
2021,167,53251.40,0.00,517.48,0.00,27.49,12.71,655.26
2021,168,53268.05,0.00,521.15,0.00,27.49,12.52,641.46
2021,169,53281.22,0.54,496.88,0.00,24.91,11.22,639.41
2021,170,53290.88,0.00,463.28,0.00,21.86,9.71,581.61
2021,171,53297.04,0.00,513.07,0.00,24.02,9.73,461.99
2021,172,53299.68,0.00,512.48,0.00,22.27,8.04,423.93
2021,173,53298.81,0.00,487.75,0.00,25.18,11.73,555.28
2021,174,53294.42,0.00,442.26,0.00,20.86,9.29,562.15
2021,175,53286.53,8.03,346.13,0.00,18.21,5.99,557.30
2021,176,53275.13,3.02,294.67,0.00,15.09,5.19,644.28
2021,177,53260.24,7.21,264.25,0.00,13.87,5.25,715.74
2021,178,53241.86,4.88,355.45,0.00,16.20,3.75,557.77
2021,179,53220.01,0.00,523.51,0.00,18.50,4.11,419.06
2021,180,53194.70,4.63,359.15,0.00,18.87,6.04,657.91
2021,181,53165.96,0.68,483.66,0.00,19.42,6.59,557.88
2021,182,53133.81,0.00,451.17,0.00,20.53,8.80,684.87
2021,183,53098.27,0.00,498.82,0.00,22.85,9.21,627.04
2021,184,53059.36,0.00,479.41,0.00,23.44,10.55,708.00
2021,185,53017.12,0.00,504.93,0.00,26.08,12.02,723.07
2021,186,52971.57,7.20,391.78,0.00,25.24,10.04,802.40
2021,187,52922.75,0.00,500.73,0.00,23.39,9.59,687.06
2021,188,52870.69,0.00,528.65,0.00,26.02,10.71,686.20
2021,189,52815.43,0.00,492.27,0.00,27.32,13.50,872.19
2021,190,52757.01,0.00,513.12,0.00,28.19,13.44,830.34
2021,191,52695.46,0.00,472.51,0.00,24.94,12.17,848.27
2021,192,52630.84,0.00,495.65,0.00,24.40,10.86,750.55
2021,193,52563.18,0.00,515.23,0.00,26.59,12.10,771.17
2021,194,52492.53,2.28,374.29,0.00,24.05,10.23,886.87
2021,195,52418.93,3.41,271.04,0.00,16.78,8.10,973.35
2021,196,52342.43,0.00,553.02,0.00,23.44,7.70,558.47
2021,197,52263.09,0.00,485.33,0.00,22.36,9.77,732.02
2021,198,52180.95,0.00,491.06,0.00,24.25,11.36,791.86
2021,199,52096.06,0.00,549.29,0.00,26.79,10.95,678.54
2021,200,52008.48,0.00,494.73,0.00,26.63,13.28,876.42
2021,201,51918.25,6.07,388.15,0.00,26.17,11.44,946.60
2021,202,51825.44,0.00,506.11,0.00,24.37,10.65,779.30
2021,203,51730.09,10.71,339.75,0.00,23.48,11.58,1095.52
2021,204,51632.26,0.00,446.60,0.00,22.86,11.40,979.17
2021,205,51532.01,0.00,426.98,0.00,22.71,11.91,1043.81
2021,206,51429.38,3.42,329.10,0.00,23.21,11.71,1184.29
2021,207,51324.44,0.00,525.19,0.00,25.18,10.12,809.69
2021,208,51217.24,0.00,525.79,0.00,27.21,11.84,858.97
2021,209,51107.84,15.44,360.16,0.00,25.25,11.75,1115.20
2021,210,50996.29,10.81,388.04,0.00,26.61,11.00,1085.82
2021,211,50882.64,17.09,365.01,0.00,23.70,9.78,1086.48
2021,212,50766.97,13.26,308.85,0.00,20.37,9.48,1185.51
2021,213,50649.30,11.61,297.48,0.00,19.32,9.07,1153.02
2021,214,50529.72,8.20,303.83,0.00,19.60,9.09,1154.59
2021,215,50408.26,0.00,286.50,0.00,15.88,9.08,1153.53
2021,216,50284.98,0.00,466.96,0.00,19.94,7.63,944.20
2021,217,50159.93,0.00,512.16,0.00,23.62,8.97,972.86
2021,218,50033.18,0.00,459.94,0.00,23.02,10.69,1149.41
2021,219,49904.77,0.00,422.92,0.00,18.15,7.54,987.96
2021,220,49774.75,0.00,510.20,0.00,22.81,8.45,939.19
2021,221,49643.18,0.00,486.14,0.00,24.24,10.80,1081.46
2021,222,49510.10,0.00,499.58,0.00,23.75,9.76,973.31
2021,223,49375.57,0.00,518.63,0.00,24.77,9.67,943.55
2021,224,49239.63,0.00,535.31,0.00,27.16,10.63,975.65
2021,225,49102.33,0.00,498.53,0.00,26.89,12.14,1125.11
2021,226,48963.73,0.00,507.54,0.00,26.83,11.60,1077.22
2021,227,48823.87,0.00,446.72,0.00,24.12,11.80,1183.93
2021,228,48682.79,0.00,492.34,0.00,23.53,9.34,951.23
2021,229,48540.54,0.00,497.81,0.00,24.63,10.03,985.34
2021,230,48397.16,13.97,354.07,0.00,22.06,8.54,1056.36
2021,231,48252.70,30.41,280.02,0.00,10.50,1.36,674.00
2021,232,48107.21,0.00,483.42,0.00,13.84,0.72,631.10
2021,233,47960.71,2.60,359.72,0.00,18.14,4.60,847.73
2021,234,47813.27,0.00,400.95,0.00,20.49,9.82,1212.59
2021,235,47664.90,0.00,446.77,0.00,21.70,9.20,1123.75
