Date,GCCC2_CinnamonCreek 15-minute Intensity (mm/h),GCDC2_Deadman 15-minute Intensity (mm/h),GCEC2_EastForkDeadHorse 15-minute Intensity (mm/h),GCFC2_CoffeePot 15-minute Intensity (mm/h),GCIC2_Windy_Point 15-minute Intensity (mm/h),GCNC2_NoName 15-minute Intensity (mm/h),GCTC2_CinnamonCreekComplex 15-minute Intensity (mm/h),USGS_gc1 15-minute Intensity (mm/h),USGS_gc2 15-minute Intensity (mm/h),USGS_gc3 15-minute Intensity (mm/h),Bair Ranch ﻿15-minute Intensity (mm/h) ,Max 15 min Rainfall (mm/hr),GCCC2_CinnamonCreek 15-minute Accumulation (in),GCDC2_Deadman 15-minute Accumulation (in),GCEC2_EastForkDeadHorse 15-minute Accumulation (in),GCFC2_CoffeePot 15-minute Accumulation (in),GCIC2_Windy_Point 15-minute Accumulation (in),GCNC2_NoName 15-minute Accumulation (in),GCTC2_CinnamonCreekComplex 15-minute Accumulation (in),USGS_gc1 15-minute Accumulation (in),USGS_gc2 15-minute Accumulation (in),USGS_gc3 15-minute Accumulation (in),Bair Ranch ﻿15-minute Accumulation (in),Max 15 min Accumulation of Rainfall (in),"Debris Flow (1 = debris flow, 0 = no debris flow)"
8/17/21,n/a,n/a,n/a,3.048,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.048,n/a,n/a,n/a,0.03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,0
8/18/21,n/a,31.496,14.224,n/a,27.432,34.544,20.336,n/a,n/a,n/a,n/a,34.544,n/a,0.31,0.14,n/a,0.27,0.34,0.20015748,n/a,n/a,n/a,n/a,0.34,0
8/19/21,8.128,n/a,n/a,8.128,n/a,n/a,n/a,11.2,8.8,5.76,n/a,11.2,0.08,n/a,n/a,0.08,n/a,n/a,n/a,0.11023622,0.086614173,0.056692913,n/a,0.11023622,0
8/20/21,n/a,n/a,n/a,n/a,15.24,n/a,n/a,n/a,n/a,n/a,n/a,15.24,n/a,n/a,n/a,n/a,0.15,n/a,n/a,n/a,n/a,n/a,n/a,0.15,0
8/21/21,n/a,1.016,20.32,7.112,4.064,4.064,2.032,n/a,n/a,3.782,n/a,20.32,n/a,0.01,0.2,0.07,0.04,0.04,0.02,n/a,n/a,0.037224409,n/a,0.2,0
8/26/21,1.016,4.064,3.048,1.016,1.016,1.016,1.016,n/a,n/a,n/a,n/a,4.064,0.01,0.04,0.03,0.01,0.01,0.01,0.01,n/a,n/a,n/a,n/a,0.04,0
9/1/21,4.064,7.12,10.16,5.08,5.08,9.144,3.048,4.533,3.914,5.267,n/a,10.16,0.04,0.07007874,0.1,0.05,0.05,0.09,0.03,0.044616142,0.038523622,0.051840551,n/a,0.1,0
9/2/21,n/a,n/a,5.08,n/a,1.016,1.016,n/a,n/a,n/a,3.56,n/a,5.08,n/a,n/a,0.05,n/a,0.01,0.01,n/a,n/a,n/a,0.03503937,n/a,0.05,0
9/3/21,5.08,4.064,19.304,45.72,8.128,52.832,22.352,4.8,5.6,34.8,n/a,52.832,0.05,0.04,0.19,0.45,0.08,0.52,0.22,0.047244094,0.05511811,0.342519685,n/a,0.52,0
9/12/21,3.048,4.064,9.144,5.08,3.048,8.12,1.016,2.4,1.156,3.229,n/a,9.144,0.03,0.04,0.09,0.05,0.03,0.07992126,0.01,0.023622047,0.011377953,0.031781496,n/a,0.09,0
9/14/21,n/a,n/a,1.016,3.048,6.096,n/a,n/a,3.203,n/a,n/a,n/a,6.096,n/a,n/a,0.01,0.03,0.06,n/a,n/a,0.031525591,n/a,n/a,n/a,0.06,0
9/18/21,6.096,13.005,10.16,5.08,5.08,n/a,5.08,4.8,6.667,5.6,n/a,13.005,0.06,0.128001969,0.1,0.05,0.05,n/a,0.05,0.047244094,0.065620079,0.05511811,n/a,0.128001969,0
9/19/21,n/a,1.016,12.192,6.096,3.048,n/a,n/a,n/a,n/a,4.025,n/a,12.192,n/a,0.01,0.12,0.06,0.03,n/a,n/a,n/a,n/a,0.039616142,n/a,0.12,0
9/20/21,n/a,1.016,n/a,n/a,n/a,n/a,3.048,0.808,n/a,n/a,n/a,3.048,n/a,0.01,n/a,n/a,n/a,n/a,0.03,0.007952756,n/a,n/a,n/a,0.03,0
9/28/21,n/a,n/a,n/a,18.288,n/a,n/a,n/a,3.84,n/a,n/a,n/a,18.288,n/a,n/a,n/a,0.18,n/a,n/a,n/a,0.037795276,n/a,n/a,n/a,0.18,0
9/29/21,10.16,21.539,14.224,n/a,8.128,n/a,8.136,11.2,10,6.933,n/a,21.539,0.1,0.211998031,0.14,n/a,0.08,n/a,0.08007874,0.11023622,0.098425197,0.068238189,n/a,0.211998031,0
