,Year,State,Fire Name,Fire_ID,Fire_SegID,Site Name,ObservationDate_mmddyyyy,ObservationLatitude_DD,ObservationLongitude_DD,DebrisFlowResponse,SourceOfObservation,StormDate_mmddyyyy,GaugeName,GaugeLatitude_DD,GaugeLongitude_DD,GaugeDist_km,StormAccum_mm,StormDuration_hr,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,Peak_I15_in in 15min,Peak_I30_in in 30min,Peak_I60_in in 60min
49,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1602,128.8,6182021,39.615658,-107.137498,0,,6182021,,,,,,,,,,,,
50,2020,CO,Grizzly Creek Fire,grz2020,no segment available,129,6182021,39.616874,-107.131676,0,,6182021,,,,,,,,,,,,
51,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1543,129.2,6182021,39.618159,-107.129525,0,,6182021,,,,,,,,,,,,
52,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7499,119.9,6242021,39.566897,-107.272522,0,,6242021,TT394,39.54375,-107.29845,3.5,4.29,19.38,,,2.032,,,0.08
53,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7482,120,6242021,39.56660135,-107.2701978,0,,6242021,TT394,39.54375,-107.29845,3.5,4.29,19.38,,,2.032,,,0.08
54,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7688,120.23,6242021,39.564371,-107.267852,0,,6242021,TT394,39.54375,-107.29845,3.5,4.29,19.38,,,2.032,,,0.08
55,2020,CO,Grizzly Creek Fire,grz2020,grz2020_8292,121.92,6242021,39.559567,-107.239327,0,,6242021,,,,,,,,,,,,
56,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7713,122.66,6242021,39.567466,-107.229297,0,,6242021,,,,,,,,,,,,
57,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,6242021,39.576728,-107.221868,0,,6242021,,,,,,,,,,,,
58,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6730,123.99,6242021,39.575775,-107.210453,0,,6242021,USGS_gc_1,39.562758,-107.171371,3.66,17.468,19.958,30.4,21.201,15,0.299212598,0.41734252,0.590551181
59,2020,CO,Grizzly Creek Fire,grz2020,grz2020_5872,124.48,6242021,39.580585,-107.203615,0,,6242021,,,,,,,,,,,,
60,2020,CO,Grizzly Creek Fire,grz2020,no segment available,124.6,6242021,39.577953,-107.204888,0,,6242021,USGS_gc_1,39.562758,-107.171371,3.34,17.468,19.958,30.4,21.201,15,0.299212598,0.41734252,0.590551181
61,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4984,125.14,6242021,39.587694,-107.194739,0,,6242021,,,,,,,,,,,,
62,2020,CO,Grizzly Creek Fire,grz2020,no segment available,125.57,6242021,39.590132,-107.187256,0,,6242021,USGS_gc_2,39.577192,-107.14883,3.6,17.192,20.077,30.4,21,15.2,0.299212598,0.413385827,0.598425197
63,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4083,126,6242021,39.593441,-107.177952,0,,6242021,,,,,,,,,,,,
65,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.64,6242021,39.599788,-107.171554,0,,6242021,,,,,,,,,,,,
66,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.82,6242021,39.567466,-107.229297,0,,6242021,,,,,,,,,,,,
67,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2970,127,6242021,39.60235705,-107.1631228,0,,6242021,USGS_gc_3,39.650605,-107.168258,5.448,6.044,30.481,8,6.533,4.32,0.078740157,0.128602362,0.17007874
68,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2703,127.3,6242021,39.603097,-107.159339,0,,6242021,,,,,,,,,,,,
69,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2213,127.8,6242021,39.6085,-107.1543,0,,6242021,,,,,,,,,,,,
70,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.85,6242021,39.608744,-107.153603,0,,6242021,,,,,,,,,,,,
71,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.9,6242021,39.609181,-107.152192,0,,6242021,,,,,,,,,,,,
72,2020,CO,Grizzly Creek Fire,grz2020,no segment available,128,6242021,39.610049,-107.148402,0,,6242021,,,,,,,,,,,,
73,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2089,128.2,6242021,39.610562,-107.146508,0,,6242021,,,,,,,,,,,,
74,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1762,128.3,6242021,39.613418,-107.142133,0,,6242021,USGS_gc_3,39.650605,-107.168258,4.71,6.044,30.481,8,6.533,4.32,0.078740157,0.128602362,0.17007874
75,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1602,128.8,6242021,39.615658,-107.137498,0,,6242021,USGS_gc_3,39.650605,-107.168258,4.69,6.044,30.481,8,6.533,4.32,0.078740157,0.128602362,0.17007874
76,2020,CO,Grizzly Creek Fire,grz2020,no segment available,129,6242021,39.616874,-107.131676,0,,6242021,USGS_gc_3,39.650605,-107.168258,4.89,6.044,30.481,8,6.533,4.32,0.078740157,0.128602362,0.17007874
77,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1543,129.2,6242021,39.618159,-107.129525,0,,6242021,USGS_gc_3,39.650605,-107.168258,4.94,6.044,30.481,8,6.533,4.32,0.078740157,0.128602362,0.17007874
78,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7499,119.9,6252021,39.566897,-107.272522,0,,6252021,TT394,39.54375,-107.29845,3.5,1.766,23.46,,,1.524,,,0.06
79,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7482,120,6252021,39.56660135,-107.2701978,0,,6252021,TT394,39.54375,-107.29845,3.5,1.766,23.46,,,1.524,,,0.06
80,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7688,120.23,6252021,39.564371,-107.267852,0,,6252021,TT394,39.54375,-107.29845,3.5,1.766,23.46,,,1.524,,,0.06
81,2020,CO,Grizzly Creek Fire,grz2020,grz2020_8292,121.92,6252021,39.559567,-107.239327,0,,6252021,,,,,,,,,,,,
82,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7713,122.66,6252021,39.567466,-107.229297,0,,6252021,,,,,,,,,,,,
83,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,6252021,39.576728,-107.221868,0,,6252021,,,,,,,,,,,,
84,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6730,123.99,6252021,39.575775,-107.210453,0,,6252021,USGS_gc_1,39.562758,-107.171371,3.66,2.383,22.797,3.223,2.118,1.574,0.031722441,0.041692913,0.061968504
85,2020,CO,Grizzly Creek Fire,grz2020,grz2020_5872,124.48,6252021,39.580585,-107.203615,0,,6252021,,,,,,,,,,,,
86,2020,CO,Grizzly Creek Fire,grz2020,no segment available,124.6,6252021,39.577953,-107.204888,0,,6252021,USGS_gc_1,39.562758,-107.171371,3.34,2.383,22.797,3.223,2.118,1.574,0.031722441,0.041692913,0.061968504
87,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4984,125.14,6252021,39.587694,-107.194739,0,,6252021,,,,,,,,,,,,
88,2020,CO,Grizzly Creek Fire,grz2020,no segment available,125.57,6252021,39.590132,-107.187256,0,,6252021,USGS_gc_1,39.562758,-107.171371,3.34,2.383,22.797,3.223,2.118,1.574,0.031722441,0.041692913,0.061968504
89,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4083,126,6252021,39.593441,-107.177952,0,,6252021,,,,,,,,,,,,
91,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.64,6252021,39.599788,-107.171554,0,,6252021,,,,,,,,,,,,
92,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.82,6252021,39.567466,-107.229297,0,,6252021,,,,,,,,,,,,
93,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2970,127,6252021,39.60235705,-107.1631228,0,,6252021,USGS_gc_3,39.650605,-107.168258,5.448,0.841,18.105,1.71,1.062,0.617,0.016830709,0.020905512,0.024291339
94,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2703,127.3,6252021,39.603097,-107.159339,0,,6252021,,,,,,,,,,,,
95,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2213,127.8,6252021,39.6085,-107.1543,0,,6252021,,,,,,,,,,,,
96,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.85,6252021,39.608744,-107.153603,0,,6252021,,,,,,,,,,,,
97,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.9,6252021,39.609181,-107.152192,0,,6252021,,,,,,,,,,,,
98,2020,CO,Grizzly Creek Fire,grz2020,no segment available,128,6252021,39.610049,-107.148402,0,,6252021,,,,,,,,,,,,
99,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2089,128.2,6252021,39.610562,-107.146508,0,,6252021,,,,,,,,,,,,
100,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1762,128.3,6252021,39.613418,-107.142133,0,,6252021,USGS_gc_3,39.650605,-107.168258,4.71,0.841,18.105,1.71,1.062,0.617,0.016830709,0.020905512,0.024291339
101,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1602,128.8,6252021,39.615658,-107.137498,0,,6252021,USGS_gc_3,39.650605,-107.168258,4.69,0.841,18.105,1.71,1.062,0.617,0.016830709,0.020905512,0.024291339
102,2020,CO,Grizzly Creek Fire,grz2020,no segment available,129,6252021,39.616874,-107.131676,0,,6252021,USGS_gc_3,39.650605,-107.168258,4.89,0.841,18.105,1.71,1.062,0.617,0.016830709,0.020905512,0.024291339
103,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1543,129.2,6252021,39.618159,-107.129525,0,,6252021,USGS_gc_3,39.650605,-107.168258,4.94,0.841,18.105,1.71,1.062,0.617,0.016830709,0.020905512,0.024291339
104,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7688,120.23,6262021,39.564371,-107.267852,1,CDOT,6262021,TT394,39.54375,-107.29845,3.5,9.1,,,,3,,,0.118110236
105,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7482,120,6272021,39.56660135,-107.2701978,1,CDOT,6272021,TT394,39.54375,-107.29845,3.5,5.3,,,,4.3,,,0.169291339
106,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7499,119.9,6272021,39.566897,-107.272522,1,CDOT,6272021,TT394,39.54375,-107.29845,3.5,5.3,,,,4.3,,,0.169291339
107,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7499,119.9,6292021,39.566897,-107.272522,0,,6292021,TT394,39.54375,-107.29845,3.5,7.278,150.96,,,3.81,,,0.15
108,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7482,120,6292021,39.56660135,-107.2701978,0,,6292021,TT394,39.54375,-107.29845,3.5,7.278,150.96,,,3.81,,,0.15
109,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7688,120.23,6292021,39.564371,-107.267852,0,,6292021,TT394,39.54375,-107.29845,3.5,7.278,150.96,,,3.81,,,0.15
110,2020,CO,Grizzly Creek Fire,grz2020,grz2020_8292,121.92,6292021,39.559567,-107.239327,0,,6292021,,,,,,,,,,,,
111,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7713,122.66,6292021,39.567466,-107.229297,0,,6292021,,,,,,,,,,,,
112,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,6292021,39.576728,-107.221868,0,,6292021,,,,,,,,,,,,
113,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6730,123.99,6292021,39.575775,-107.210453,0,,6292021,USGS_gc_1,39.562758,-107.171371,3.66,10.03,148.869,9.867,5.41,3.971,0.097116142,0.106496063,0.156338583
114,2020,CO,Grizzly Creek Fire,grz2020,grz2020_5872,124.48,6292021,39.580585,-107.203615,0,,6292021,,,,,,,,,,,,
