Unnamed: 0,Year,State,Fire Name,Fire_ID,Fire_SegID,Site Name,ObservationDate_mmddyyyy,ObservationLatitude_DD,ObservationLongitude_DD,DebrisFlowResponse,SourceOfObservation,StormDate_mmddyyyy,GaugeName,GaugeLatitude_DD,GaugeLongitude_DD,GaugeDist_km,StormAccum_mm,StormDuration_hr,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,Peak_I15_in in 15min,Peak_I30_in in 30min,Peak_I60_in in 60min
247,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.85,7142021,39.608744,-107.153603,1,Jason/Francis,7142021,East Fork Deadhorse,39.628533,-107.197311,4.34,8.0,,24.384,13.716,7.366,0.24,0.27,0.29
248,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.9,7142021,39.609181,-107.152192,1,Jason/Francis,7142021,East Fork Deadhorse,39.628533,-107.197311,4.43,8.0,,24.384,13.716,7.366,0.24,0.27,0.29
249,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2089,128.2,7142021,39.610562,-107.146508,1,Jason/Francis,7142021,East Fork Deadhorse,39.628533,-107.197311,4.8,8.0,,24.384,13.716,7.366,0.24,0.27,0.29
280,2020,CO,Grizzly Creek Fire,grz2020,grz2020_8292,121.92,7172021,39.559567,-107.239327,0,,7172021,Deadmans,39.542664,-107.201314,3.7,1.674,78.88,7.112,3.556,1.778,0.07,0.07,0.07
281,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7713,122.66,7172021,39.567466,-107.229297,0,,7172021,Deadmans,39.542664,-107.201314,3.6,1.674,78.88,7.112,3.556,1.778,0.07,0.07,0.07
283,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6730,123.99,7172021,39.575775,-107.210453,0,,7172021,Deadmans,39.542664,-107.201314,3.76,1.674,78.88,7.112,3.556,1.778,0.07,0.07,0.07
285,2020,CO,Grizzly Creek Fire,grz2020,no segment available,124.6,7172021,39.577953,-107.204888,0,,7172021,Deadmans,39.542664,-107.201314,3.93,1.674,78.88,7.112,3.556,1.778,0.07,0.07,0.07
310,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1543,129.2,7202021,39.618159,-107.129525,1,Andrew Knapp CDOT,7202021,East Fork Deadhorse,39.628533,-107.197311,6.01,2.847,,5.08,2.54,1.27,0.05,0.05,0.05
316,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,7212021,39.576728,-107.221868,0,,7212021,East Fork Deadhorse,39.628533,-107.197311,6.13,0.969,16.235,3.048,1.524,1.016,0.03,0.03,0.04
344,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,7252021,39.576728,-107.221868,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,6.13,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
346,2020,CO,Grizzly Creek Fire,grz2020,grz2020_5872,124.48,7252021,39.580585,-107.203615,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,5.35,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
348,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4984,125.14,7252021,39.587694,-107.194739,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,4.54,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
350,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4083,126.0,7252021,39.593441,-107.177952,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,4.24,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
352,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.64,7252021,39.599788,-107.171554,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,3.89,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
353,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.82,7252021,39.567466,-107.229297,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,3.95,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
354,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2970,127.0,7252021,39.60235705,-107.1631228,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,4.05,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
355,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2703,127.3,7252021,39.603097,-107.159339,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,4.32,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
356,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2213,127.8,7252021,39.6085,-107.1543,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,4.29,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
357,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.85,7252021,39.608744,-107.153603,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,4.34,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
358,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.9,7252021,39.609181,-107.152192,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,4.43,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
359,2020,CO,Grizzly Creek Fire,grz2020,no segment available,128.0,7252021,39.610049,-107.148402,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,4.67,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
360,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2089,128.2,7252021,39.610562,-107.146508,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,4.8,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
361,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1762,128.3,7252021,39.613418,-107.142133,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,5.03,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
363,2020,CO,Grizzly Creek Fire,grz2020,no segment available,129.0,7252021,39.616874,-107.131676,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,5.78,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
364,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1543,129.2,7252021,39.618159,-107.129525,0,,7252021,East Fork Deadhorse,39.628533,-107.197311,6.01,9.355,80.155,32.512,17.272,8.636,0.32,0.34,0.34
368,2020,CO,Grizzly Creek Fire,grz2020,grz2020_8292,121.92,7262021,39.559567,-107.239327,0,,7262021,Deadmans,39.542664,-107.201314,3.7,2.805,44.2,5.08,4.064,2.794,0.05,0.08,0.11
369,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7713,122.66,7262021,39.567466,-107.229297,0,,7262021,Deadmans,39.542664,-107.201314,3.6,2.805,44.2,5.08,4.064,2.794,0.05,0.08,0.11
394,2020,CO,Grizzly Creek Fire,grz2020,grz2020_8292,121.92,7282021,39.559567,-107.239327,0,,7282021,Deadmans,39.542664,-107.201314,3.7,0.51,23.8,2.032,1.016,0.508,0.02,0.02,0.02
395,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7713,122.66,7282021,39.567466,-107.229297,0,,7282021,Deadmans,39.542664,-107.201314,3.6,0.51,23.8,2.032,1.016,0.508,0.02,0.02,0.02
396,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,7282021,39.576728,-107.221868,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,6.13,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
397,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6730,123.99,7282021,39.575775,-107.210453,0,,7282021,Deadmans,39.542664,-107.201314,3.76,0.51,23.8,2.032,1.016,0.508,0.02,0.02,0.02
398,2020,CO,Grizzly Creek Fire,grz2020,grz2020_5872,124.48,7282021,39.580585,-107.203615,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,5.35,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
399,2020,CO,Grizzly Creek Fire,grz2020,no segment available,124.6,7282021,39.577953,-107.204888,0,,7282021,Deadmans,39.542664,-107.201314,3.93,0.51,23.8,2.032,1.016,0.508,0.02,0.02,0.02
400,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4984,125.14,7282021,39.587694,-107.194739,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,4.54,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
402,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4083,126.0,7282021,39.593441,-107.177952,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,4.24,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
404,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.64,7282021,39.599788,-107.171554,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,3.89,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
405,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.82,7282021,39.567466,-107.229297,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,3.95,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
406,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2970,127.0,7282021,39.60235705,-107.1631228,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,4.05,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
407,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2703,127.3,7282021,39.603097,-107.159339,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,4.32,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
408,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2213,127.8,7282021,39.6085,-107.1543,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,4.29,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
409,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.85,7282021,39.608744,-107.153603,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,4.34,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
410,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.9,7282021,39.609181,-107.152192,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,4.43,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
411,2020,CO,Grizzly Creek Fire,grz2020,no segment available,128.0,7282021,39.610049,-107.148402,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,4.67,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
412,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2089,128.2,7282021,39.610562,-107.146508,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,4.8,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
413,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1762,128.3,7282021,39.613418,-107.142133,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,5.03,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
415,2020,CO,Grizzly Creek Fire,grz2020,no segment available,129.0,7282021,39.616874,-107.131676,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,5.78,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
416,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1543,129.2,7282021,39.618159,-107.129525,0,,7282021,East Fork Deadhorse,39.628533,-107.197311,6.01,7.88,23.545,28.651,15.24,7.874,0.281998031,0.3,0.31
417,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,7292021,39.576728,-107.221868,1,Andrew Knapp CDOT,7292021,East Fork Deadhorse,39.628533,-107.197311,6.13,25.153,,52.832,36.83,22.606,0.52,0.725,0.89
418,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4984,125.14,7292021,39.587694,-107.194739,1,Andrew Knapp CDOT,7292021,East Fork Deadhorse,39.628533,-107.197311,4.5,25.153,,52.832,36.83,22.606,0.52,0.725,0.89
419,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4083,126.0,7292021,39.593441,-107.177952,1,Andrew Knapp CDOT,7292021,East Fork Deadhorse,39.628533,-107.197311,4.2,25.153,,52.832,36.83,22.606,0.52,0.725,0.89
420,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2970,127.0,7292021,39.601577,-107.16548,1,Andrew Knapp CDOT,7292021,East Fork Deadhorse,39.628533,-107.197311,4.1,25.153,,52.832,36.83,22.606,0.52,0.725,0.89
421,2020,CO,Grizzly Creek Fire,grz2020,no segment available,128.0,7292021,39.610049,-107.148402,1,Andrew Knapp CDOT,7292021,East Fork Deadhorse,39.628533,-107.197311,4.7,25.153,,52.832,36.83,22.606,0.52,0.725,0.89
423,2020,CO,Grizzly Creek Fire,grz2020,no segment available,124.6,7292021,39.577953,-107.204888,1,Andrew Knapp CDOT,7292021,Deadmans,39.542664,-107.201314,3.9,51.058,,67.056,50.8,39.878,0.66,1.0,1.57
428,2020,CO,Grizzly Creek Fire,grz2020,grz2020_8292,121.92,7302021,39.559567,-107.239327,0,,7302021,Deadmans,39.542664,-107.201314,3.7,7.65,22.1,6.096,5.588,3.302,0.06,0.11,0.13
429,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7713,122.66,7302021,39.567466,-107.229297,0,,7302021,Deadmans,39.542664,-107.201314,3.6,7.65,22.1,6.096,5.588,3.302,0.06,0.11,0.13
431,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6730,123.99,7302021,39.575775,-107.210453,0,,7302021,Deadmans,39.542664,-107.201314,3.76,7.65,22.1,6.096,5.588,3.302,0.06,0.11,0.13
433,2020,CO,Grizzly Creek Fire,grz2020,no segment available,124.6,7302021,39.577953,-107.204888,0,,7302021,Deadmans,39.542664,-107.201314,3.93,7.65,22.1,6.096,5.588,3.302,0.06,0.11,0.13
451,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,7312021,39.576728,-107.221868,1,Andrew Knapp CDOT,7312021,East Fork Deadhorse,39.628533,-107.197311,6.13,36.547,,77.216,54.051,30.48,0.76,1.063996063,1.2
452,2020,CO,Grizzly Creek Fire,grz2020,grz2020_5872,124.48,7312021,39.580585,-107.203615,1,Andrew Knapp CDOT,7312021,East Fork Deadhorse,39.628533,-107.197311,5.4,36.547,,77.216,54.051,30.48,0.76,1.063996063,1.2
453,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7713,122.66,7312021,39.567466,-107.229297,1,Andrew Knapp CDOT,7312021,Deadmans,39.542664,-107.201314,3.6,43.905,,37.998,32.512,21.336,0.373996063,0.64,0.84
454,2020,CO,Grizzly Creek Fire,grz2020,grz2020_8292,121.92,7312021,39.559567,-107.239327,1,Andrew Knapp CDOT,7312021,Deadmans,39.542664,-107.201314,3.7,43.905,,37.998,32.512,21.336,0.373996063,0.64,0.84
455,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6730,123.99,7312021,39.575775,-107.210453,1,Andrew Knapp CDOT,7312021,Deadmans,39.542664,-107.201314,3.8,43.905,,37.998,32.512,21.336,0.373996063,0.64,0.84
461,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,8012021,39.576728,-107.221868,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,6.13,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
463,2020,CO,Grizzly Creek Fire,grz2020,grz2020_5872,124.48,8012021,39.580585,-107.203615,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,5.35,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
465,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4984,125.14,8012021,39.587694,-107.194739,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,4.54,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
467,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4083,126.0,8012021,39.593441,-107.177952,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,4.24,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
469,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.64,8012021,39.599788,-107.171554,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,3.89,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
470,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.82,8012021,39.567466,-107.229297,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,3.95,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
471,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2970,127.0,8012021,39.60235705,-107.1631228,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,4.05,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
472,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2703,127.3,8012021,39.603097,-107.159339,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,4.32,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
473,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2213,127.8,8012021,39.6085,-107.1543,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,4.29,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
474,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.85,8012021,39.608744,-107.153603,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,4.34,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
475,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.9,8012021,39.609181,-107.152192,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,4.43,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
476,2020,CO,Grizzly Creek Fire,grz2020,no segment available,128.0,8012021,39.610049,-107.148402,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,4.67,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
477,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2089,128.2,8012021,39.610562,-107.146508,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,4.8,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
478,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1762,128.3,8012021,39.613418,-107.142133,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,5.03,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
480,2020,CO,Grizzly Creek Fire,grz2020,no segment available,129.0,8012021,39.616874,-107.131676,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,5.78,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
481,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1543,129.2,8012021,39.618159,-107.129525,0,,8012021,East Fork Deadhorse,39.628533,-107.197311,6.01,3.005,30.175,5.08,4.572,2.54,0.05,0.09,0.1
485,2020,CO,Grizzly Creek Fire,grz2020,grz2020_8292,121.92,8022021,39.559567,-107.239327,0,,8022021,Deadmans,39.542664,-107.201314,3.7,0.51,18.7,2.032,1.016,0.508,0.02,0.02,0.02
486,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7713,122.66,8022021,39.567466,-107.229297,0,,8022021,Deadmans,39.542664,-107.201314,3.6,0.51,18.7,2.032,1.016,0.508,0.02,0.02,0.02
487,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,8022021,39.576728,-107.221868,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,6.13,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
489,2020,CO,Grizzly Creek Fire,grz2020,grz2020_5872,124.48,8022021,39.580585,-107.203615,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,5.35,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
491,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4984,125.14,8022021,39.587694,-107.194739,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,4.54,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
493,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4083,126.0,8022021,39.593441,-107.177952,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,4.24,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
495,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.64,8022021,39.599788,-107.171554,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,3.89,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
496,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.82,8022021,39.567466,-107.229297,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,3.95,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
497,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2970,127.0,8022021,39.60235705,-107.1631228,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,4.05,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
498,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2703,127.3,8022021,39.603097,-107.159339,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,4.32,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
499,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2213,127.8,8022021,39.6085,-107.1543,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,4.29,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
500,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.85,8022021,39.608744,-107.153603,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,4.34,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
501,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.9,8022021,39.609181,-107.152192,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,4.43,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
502,2020,CO,Grizzly Creek Fire,grz2020,no segment available,128.0,8022021,39.610049,-107.148402,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,4.67,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
503,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2089,128.2,8022021,39.610562,-107.146508,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,4.8,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
504,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1762,128.3,8022021,39.613418,-107.142133,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,5.03,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
506,2020,CO,Grizzly Creek Fire,grz2020,no segment available,129.0,8022021,39.616874,-107.131676,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,5.78,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
507,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1543,129.2,8022021,39.618159,-107.129525,0,,8022021,East Fork Deadhorse,39.628533,-107.197311,6.01,22.048,13.685,78.232,42.672,22.098,0.77,0.84,0.87
508,2020,CO,Grizzly Creek Fire,grz2020,no segment available,129.0,8032021,39.616874,-107.131676,1,Andrew Knapp CDOT,8032021,East Fork Deadhorse,39.628533,-107.197311,5.78,26.939,,33.782,18.796,11.43,0.3325,0.37,0.45
