sim_day_index,year,month,day_of_month,julian,disturbed_class,area_m2,peakro_area_weighted_mean,peakro_max,runvol_sum_m3,runoff_area_weighted_mean,date,classification,landuse_group,severity_group,flash_index,teff_proxy
338,1980,12,3,338,forest high sev fire,265.86,0.11705907142857139,0.59536,3335.236,0.01675692857142857,1980-12-03,"('forest', 'high')",forest,high,6.9857116672421204,0.14314933791059095
339,1980,12,4,339,forest high sev fire,265.86,0.09548519999999999,0.49062,6083.214000000001,0.030393571428571416,1980-12-04,"('forest', 'high')",forest,high,3.1416248736809957,0.3183066216394941
389,1981,1,23,23,forest high sev fire,265.86,0.001071292857142857,0.0063432,51.538799999999995,0.0010306999999999998,1981-01-23,"('forest', 'high')",forest,high,1.0393837752429003,0.962108533747608
393,1981,1,27,27,forest high sev fire,265.86,0.09427634285714284,0.47572,4730.442,0.02416271428571428,1981-01-27,"('forest', 'high')",forest,high,3.901728164409155,0.2562966864585328
394,1981,1,28,28,forest high sev fire,265.86,0.13881728571428567,0.7049,6115.167,0.03228828571428571,1981-01-28,"('forest', 'high')",forest,high,4.299308019715244,0.23259557012763954
395,1981,1,29,29,forest high sev fire,265.86,0.003637814285714285,0.019935,81.07600000000001,0.0024864571428571424,1981-01-29,"('forest', 'high')",forest,high,1.4630512720336453,0.6835030453922488
405,1981,2,8,39,forest high sev fire,265.86,8.57785714285714e-05,0.0012009,7.5436,0.0005986928571428571,1981-02-08,"('forest', 'high')",forest,high,0.1432764236372096,6.979515363477393
406,1981,2,9,40,forest high sev fire,265.86,5.283357142857142e-05,0.00073967,4.9939,0.0003963428571428571,1981-02-09,"('forest', 'high')",forest,high,0.13330269607843137,7.501723741668583
422,1981,2,25,56,forest high sev fire,265.86,9.856428571428571e-05,0.0013799,3.3273,0.00026407142857142856,1981-02-25,"('forest', 'high')",forest,high,0.3732485799296727,2.679179650699326
423,1981,2,26,57,forest high sev fire,265.86,8.510714285714286e-05,0.0011915,1.9834,0.00015741428571428568,1981-02-26,"('forest', 'high')",forest,high,0.5406570469189583,1.8496013428451528
424,1981,2,27,58,forest high sev fire,265.86,5.514857142857142e-05,0.00077208,4.4065,0.0003497214285714285,1981-02-27,"('forest', 'high')",forest,high,0.1576928575805233,6.341441301419541
425,1981,2,28,59,forest high sev fire,265.86,0.00010405,0.0014567,15.068,0.0011958571428571426,1981-02-28,"('forest', 'high')",forest,high,0.08700872058296501,11.493100844374268
426,1981,3,1,60,forest high sev fire,265.86,0.052879821428571415,0.26502,4616.7880000000005,0.025146571428571428,1981-03-01,"('forest', 'high')",forest,high,2.1028640655357727,0.4755419127604036
427,1981,3,2,61,forest high sev fire,265.86,0.0001460642857142857,0.0020449,15.973,0.001267642857142857,1981-03-02,"('forest', 'high')",forest,high,0.11522510846903702,8.678663993349307
429,1981,3,4,63,forest high sev fire,265.86,0.0009053214285714285,0.0039467,53.7068,0.0021526357142857143,1981-03-04,"('forest', 'high')",forest,high,0.42056415888827314,2.3777584914592294
430,1981,3,5,64,forest high sev fire,265.86,0.10494907142857143,0.75374,3755.527,0.01102988571428571,1981-03-05,"('forest', 'high')",forest,high,9.51497360418189,0.10509750647763162
443,1981,3,18,77,forest high sev fire,265.86,7.179999999999998e-05,0.0010052,3.3241,0.0002638214285714286,1981-03-18,"('forest', 'high')",forest,high,0.2721537836740219,3.6743931555909284
444,1981,3,19,78,forest high sev fire,265.86,0.0921280714285714,0.46703,5008.202,0.025925571428571423,1981-03-19,"('forest', 'high')",forest,high,3.5535599160233415,0.2814079468565886
445,1981,3,20,79,forest high sev fire,265.86,4.56e-05,0.0006384,11.951,0.00018974999999999998,1981-03-20,"('forest', 'high')",forest,high,0.24031620553359684,4.161184210526316
458,1981,4,2,92,forest high sev fire,265.86,0.0001504071428571428,0.0021057,1.8012,0.00014295,1981-04-02,"('forest', 'high')",forest,high,1.0521660920401734,0.9504202877902839
473,1981,4,17,107,forest high sev fire,265.86,0.00011772142857142857,0.0016481,1.505,0.00011944285714285714,1981-04-17,"('forest', 'high')",forest,high,0.9855878483434996,1.0146228990959287
474,1981,4,18,108,forest high sev fire,265.86,0.00013207142857142855,0.001849,6.1421,0.0004874642857142857,1981-04-18,"('forest', 'high')",forest,high,0.27093559967763203,3.6909140075716604
640,1981,10,1,274,forest high sev fire,265.86,0.008870992857142858,0.022774,248.5692,0.001820785714285714,1981-10-01,"('forest', 'high')",forest,high,4.872068573221923,0.20525162669019972
667,1981,10,28,301,forest high sev fire,265.86,0.00019712857142857143,0.0027598,3.6855,0.00029249999999999995,1981-10-28,"('forest', 'high')",forest,high,0.6739438339438341,1.4838031741430537
696,1981,11,26,330,forest high sev fire,265.86,0.050630949999999994,0.21385,1195.1876,0.006424799999999999,1981-11-26,"('forest', 'high')",forest,high,7.880548810857926,0.12689471558404491
697,1981,11,27,331,forest high sev fire,265.86,0.29872464285714284,1.54,9671.882000000001,0.049959428571428564,1981-11-27,"('forest', 'high')",forest,high,5.979344668245091,0.16724240790312148
698,1981,11,28,332,forest high sev fire,265.86,0.04813484285714285,0.19563,874.3251999999999,0.005795392857142857,1981-11-28,"('forest', 'high')",forest,high,8.305708352077696,0.12039912282133615
729,1981,12,29,363,forest high sev fire,265.86,3.8713571428571426e-05,0.00054199,2.2247,0.00017656428571428568,1981-12-29,"('forest', 'high')",forest,high,0.21926048788381408,4.560785254340486
730,1981,12,30,364,forest high sev fire,265.86,0.02148645714285714,0.093566,694.528,0.003992714285714285,1981-12-30,"('forest', 'high')",forest,high,5.381416150846184,0.18582469223138562
732,1982,1,1,1,forest high sev fire,265.86,0.0012945571428571428,0.0065481,55.1999,0.0017456428571428568,1982-01-01,"('forest', 'high')",forest,high,0.7415933548835878,1.348447897240093
735,1982,1,4,4,forest high sev fire,265.86,8.395714285714285e-05,0.0011754,4.7358,0.00037585714285714284,1982-01-04,"('forest', 'high')",forest,high,0.22337514253135687,4.476773864216438
736,1982,1,5,5,forest high sev fire,265.86,8.092857142857141e-05,0.001133,9.4527,0.0007502142857142856,1982-01-05,"('forest', 'high')",forest,high,0.10787394077882509,9.270079435127979
750,1982,1,19,19,forest high sev fire,265.86,0.0001820642857142857,0.0025489,2.631,0.00020880714285714284,1982-01-19,"('forest', 'high')",forest,high,0.8719255635754114,1.1468868923849502
751,1982,1,20,20,forest high sev fire,265.86,0.02704770714285713,0.1384,4491.475,0.023085921428571424,1982-01-20,"('forest', 'high')",forest,high,1.1716104651288708,0.8535260052410043
752,1982,1,21,21,forest high sev fire,265.86,0.0,0.0,0.0,0.0,1982-01-21,"('forest', 'high')",forest,high,,
771,1982,2,9,40,forest high sev fire,265.86,0.00015723571428571424,0.0022013,4.9515,0.0003929785714285714,1982-02-09,"('forest', 'high')",forest,high,0.40011269244051834,2.4992958706219057
772,1982,2,10,41,forest high sev fire,265.86,0.00013640714285714285,0.0019097,3.4223,0.0002716071428571428,1982-02-10,"('forest', 'high')",forest,high,0.5022222222222222,1.991150442477876
791,1982,3,1,60,forest high sev fire,265.86,0.00012680714285714286,0.0017753,5.3773,0.00042676428571428567,1982-03-01,"('forest', 'high')",forest,high,0.29713625788742537,3.36545935898158
800,1982,3,10,69,forest high sev fire,265.86,0.027942949999999994,0.1243,1057.2716,0.005632121428571428,1982-03-10,"('forest', 'high')",forest,high,4.961354323478719,0.20155786803366962
801,1982,3,11,70,forest high sev fire,265.86,0.00018263571428571424,0.0025569,11.478,0.0009109999999999999,1982-03-11,"('forest', 'high')",forest,high,0.2004782813235063,4.988071492823342
804,1982,3,14,73,forest high sev fire,265.86,0.02609802142857142,0.13076,2006.1802,0.010980192857142856,1982-03-14,"('forest', 'high')",forest,high,2.376827235014737,0.4207289386743331
805,1982,3,15,74,forest high sev fire,265.86,0.00017489285714285713,0.0024485,5.1615,0.00040964285714285706,1982-03-15,"('forest', 'high')",forest,high,0.4269398430688754,2.3422503573616495
806,1982,3,16,75,forest high sev fire,265.86,0.11407692857142855,0.52679,4244.475,0.023832357142857138,1982-03-16,"('forest', 'high')",forest,high,4.786640611653424,0.2089147862000392
807,1982,3,17,76,forest high sev fire,265.86,0.09177161428571427,0.51458,3910.1559999999995,0.017463285714285712,1982-03-17,"('forest', 'high')",forest,high,5.255117266428344,0.19029071080646942
808,1982,3,18,77,forest high sev fire,265.86,6.794428571428571e-05,0.00095122,8.9034,0.0001413642857142857,1982-03-18,"('forest', 'high')",forest,high,0.48063261078267905,2.0805912407224403
816,1982,3,26,85,forest high sev fire,265.86,5.0914999999999996e-05,0.00071281,4.5563,0.00036160714285714285,1982-03-26,"('forest', 'high')",forest,high,0.14080197530864197,7.10217308960312
818,1982,3,28,87,forest high sev fire,265.86,5.1462857142857135e-05,0.00072048,1.357,0.00010769999999999999,1982-03-28,"('forest', 'high')",forest,high,0.4778352566653402,2.092771485676216
819,1982,3,29,88,forest high sev fire,265.86,6.348e-05,0.00088872,3.1724,0.00025177857142857137,1982-03-29,"('forest', 'high')",forest,high,0.25212630145536047,3.9662660905572054
821,1982,3,31,90,forest high sev fire,265.86,9.744999999999998e-05,0.0013643,4.6618,0.0003699857142857142,1982-03-31,"('forest', 'high')",forest,high,0.2633885478203792,3.7966722861540716
822,1982,4,1,91,forest high sev fire,265.86,0.05555187857142857,0.15384,675.7000000000002,0.00671085,1982-04-01,"('forest', 'high')",forest,high,8.277919871764169,0.12080329545239758
831,1982,4,10,100,forest high sev fire,265.86,0.11454878571428571,0.48632,2533.3610000000003,0.01311977857142857,1982-04-10,"('forest', 'high')",forest,high,8.730999924323637,0.11453441858521914
832,1982,4,11,101,forest high sev fire,265.86,0.0014358714285714284,0.0095466,22.0597,0.0008597499999999998,1982-04-11,"('forest', 'high')",forest,high,1.6701034353840403,0.5987653092696321
861,1982,5,10,130,forest high sev fire,265.86,6.0215714285714274e-05,0.00084302,0.95142,7.550714285714284e-05,1982-05-10,"('forest', 'high')",forest,high,0.7974836817708826,1.253944153163626
983,1982,9,9,252,forest high sev fire,265.86,0.0001178285714285714,0.0016496,2.8076,0.0002228285714285714,1982-09-09,"('forest', 'high')",forest,high,0.5287857417617643,1.8911251212415134
991,1982,9,17,260,forest high sev fire,265.86,0.010400421428571428,0.046561,188.075,0.0015864071428571425,1982-09-17,"('forest', 'high')",forest,high,6.555959783337912,0.15253296741409514
999,1982,9,25,268,forest high sev fire,265.86,0.04372162857142858,0.1594,1143.9923000000001,0.006488842857142856,1982-09-25,"('forest', 'high')",forest,high,6.737970010061228,0.14841265225383704
1000,1982,9,26,269,forest high sev fire,265.86,0.007137799999999999,0.024651,116.1885,0.0015856642857142854,1982-09-26,"('forest', 'high')",forest,high,4.501457253156631,0.22215028239993914
1044,1982,11,9,313,forest high sev fire,265.86,0.4102794285714285,2.1303,17696.678,0.0913372857142857,1982-11-09,"('forest', 'high')",forest,high,4.491916147528548,0.2226221432361777
1045,1982,11,10,314,forest high sev fire,265.86,0.0009975,0.0063485,23.3188,0.0010939857142857141,1982-11-10,"('forest', 'high')",forest,high,0.9118034970422702,1.0967275331185105
1053,1982,11,18,322,forest high sev fire,265.86,0.022039535714285713,0.044034,528.7256000000001,0.0039074857142857135,1982-11-18,"('forest', 'high')",forest,high,5.6403368625787875,0.1772943752055964
1054,1982,11,19,323,forest high sev fire,265.86,0.01676835714285714,0.056893,264.6981,0.0033123428571428565,1982-11-19,"('forest', 'high')",forest,high,5.062385708863817,0.19753532376031385
1064,1982,11,29,333,forest high sev fire,265.86,0.18086457142857143,0.70374,3074.693,0.016710499999999996,1982-11-29,"('forest', 'high')",forest,high,10.823408720778641,0.09239233459605133
1065,1982,11,30,334,forest high sev fire,265.86,0.5225084285714285,2.6501,11403.746000000001,0.06033978571428571,1982-11-30,"('forest', 'high')",forest,high,8.65943460663836,0.11548098062122852
1086,1982,12,21,355,forest high sev fire,265.86,0.08009295714285714,0.3807,2762.931,0.014272978571428568,1982-12-21,"('forest', 'high')",forest,high,5.61150966086266,0.17820516410663537
1087,1982,12,22,356,forest high sev fire,265.86,0.177504,0.90759,9244.475999999999,0.04753035714285715,1982-12-22,"('forest', 'high')",forest,high,3.734539579967689,0.2677706256921374
1088,1982,12,23,357,forest high sev fire,265.86,8.104999999999999e-05,0.0011347,2.109,0.0001673785714285714,1982-12-23,"('forest', 'high')",forest,high,0.48423163914138184,2.065127346435181
1114,1983,1,18,18,forest high sev fire,265.86,8.492142857142856e-05,0.0011889,3.6364,0.00028859999999999997,1983-01-18,"('forest', 'high')",forest,high,0.2942530442530442,3.3984355286399195
1115,1983,1,19,19,forest high sev fire,265.86,0.043062714285714274,0.22613,2085.5179,0.011091385714285711,1983-01-19,"('forest', 'high')",forest,high,3.8825368980045005,0.2575635534884338
1117,1983,1,21,21,forest high sev fire,265.86,0.0002359428571428571,0.0033032,10.264,0.0008145714285714284,1983-01-21,"('forest', 'high')",forest,high,0.2896527534198527,3.452409784451441
1118,1983,1,22,22,forest high sev fire,265.86,0.12339821428571425,0.6531,9038.099999999999,0.0464712857142857,1983-01-22,"('forest', 'high')",forest,high,2.6553647567314993,0.3765960956832554
1119,1983,1,23,23,forest high sev fire,265.86,0.19963164285714283,1.033,4188.969999999999,0.02101407142857142,1983-01-23,"('forest', 'high')",forest,high,9.499903126136571,0.10526423130029126
1120,1983,1,24,24,forest high sev fire,265.86,0.10422607142857143,0.5844,4498.1,0.020849921428571425,1983-01-24,"('forest', 'high')",forest,high,4.998871184509432,0.2000451628157199
1122,1983,1,26,26,forest high sev fire,265.86,0.001544842857142857,0.0082115,231.885,0.0012686071428571427,1983-01-26,"('forest', 'high')",forest,high,1.2177472481067537,0.8211884703945848
1123,1983,1,27,27,forest high sev fire,265.86,0.08946587857142856,0.52046,14884.405999999997,0.06593942857142857,1983-01-27,"('forest', 'high')",forest,high,1.3567888061770974,0.7370343825415324
1124,1983,1,28,28,forest high sev fire,265.86,0.05700621928571428,0.37552,1403.0573000000002,0.00419222857142857,1983-01-28,"('forest', 'high')",forest,high,13.598070409192522,0.07353984572134466
1125,1983,1,29,29,forest high sev fire,265.86,0.04124443571428571,0.17339,7758.164500000001,0.03183709999999999,1983-01-29,"('forest', 'high')",forest,high,1.2954834364400565,0.7719126095104429
1128,1983,2,1,32,forest high sev fire,265.86,0.0007397357142857142,0.0032853,184.1597,0.0019428142857142853,1983-02-01,"('forest', 'high')",forest,high,0.3807547225306441,2.626362697102247
1129,1983,2,2,33,forest high sev fire,265.86,0.04720900714285713,0.31373,1255.3627,0.003954914285714284,1983-02-02,"('forest', 'high')",forest,high,11.93679653523284,0.08377457025830874
1131,1983,2,4,35,forest high sev fire,265.86,6.817714285714284e-05,0.00095448,6.185,9.820714285714285e-05,1983-02-04,"('forest', 'high')",forest,high,0.6942177612917302,1.440470203671109
1133,1983,2,6,37,forest high sev fire,265.86,0.0,0.0,0.0,0.0,1983-02-06,"('forest', 'high')",forest,high,,
1134,1983,2,7,38,forest high sev fire,265.86,8.930714285714284e-05,0.0012503,17.104,0.00027157142857142853,1983-02-07,"('forest', 'high')",forest,high,0.3288532351394003,3.040870191154123
1135,1983,2,8,39,forest high sev fire,265.86,0.008222171428571427,0.074242,719.9491,0.003543114285714285,1983-02-08,"('forest', 'high')",forest,high,2.320605762484981,0.43092196708551095
1151,1983,2,24,55,forest high sev fire,265.86,6.27392857142857e-05,0.00087835,4.1067,0.00032592857142857136,1983-02-24,"('forest', 'high')",forest,high,0.19249397326320403,5.19496783742244
1152,1983,2,25,56,forest high sev fire,265.86,0.00010143571428571428,0.0014201,11.917,0.0009458571428571427,1983-02-25,"('forest', 'high')",forest,high,0.10724210844283343,9.324695443982817
1153,1983,2,26,57,forest high sev fire,265.86,0.11300349999999999,0.54904,4269.295,0.023120928571428567,1983-02-26,"('forest', 'high')",forest,high,4.887498339475986,0.20460365007657788
1154,1983,2,27,58,forest high sev fire,265.86,0.006743014285714285,0.044422,251.06060000000002,0.004833657142857142,1983-02-27,"('forest', 'high')",forest,high,1.3950129449455604,0.7168392262044739
1155,1983,2,28,59,forest high sev fire,265.86,0.13664085714285712,0.73468,9642.748,0.040894571428571426,1983-02-28,"('forest', 'high')",forest,high,3.341295736073946,0.29928509147023585
1156,1983,3,1,60,forest high sev fire,265.86,0.16324599999999997,0.84843,25298.190000000002,0.12282871428571428,1983-03-01,"('forest', 'high')",forest,high,1.3290540485530953,0.7524148480557826
1157,1983,3,2,61,forest high sev fire,265.86,0.22701071428571423,1.2032,8021.783,0.03818721428571428,1983-03-02,"('forest', 'high')",forest,high,5.944678566685558,0.16821767380394256
1158,1983,3,3,62,forest high sev fire,265.86,0.0034240285714285707,0.02263,483.19900000000007,0.0014784214285714283,1983-03-03,"('forest', 'high')",forest,high,2.3160030727754988,0.43177835632212686
1161,1983,3,6,65,forest high sev fire,265.86,0.0003072571428571428,0.0043016,3.7554,0.0002980428571428571,1983-03-06,"('forest', 'high')",forest,high,1.0309159756506734,0.9700111586386462
1168,1983,3,13,72,forest high sev fire,265.86,0.00012534285714285712,0.0017548,2.3662,0.00018779285714285712,1983-03-13,"('forest', 'high')",forest,high,0.6674527404815336,1.4982334169136085
1171,1983,3,16,75,forest high sev fire,265.86,0.0001816,0.0025424,3.9736,0.0003153714285714285,1983-03-16,"('forest', 'high')",forest,high,0.5758289545207466,1.7366268093140336
1172,1983,3,17,76,forest high sev fire,265.86,0.03633834999999999,0.0964,916.6610000000001,0.006060621428571426,1983-03-17,"('forest', 'high')",forest,high,5.9958125463324725,0.16678306606027593
1173,1983,3,18,77,forest high sev fire,265.86,0.00014859285714285714,0.0020803,4.4181,0.0003506428571428571,1983-03-18,"('forest', 'high')",forest,high,0.42377266245671225,2.3597558044512805
1176,1983,3,21,80,forest high sev fire,265.86,0.08938397857142855,0.41598,2837.588,0.01634788571428571,1983-03-21,"('forest', 'high')",forest,high,5.467617044405917,0.18289503304243482
1177,1983,3,22,81,forest high sev fire,265.86,0.00017596571428571428,0.00097431,36.4205,0.0006556071428571427,1983-03-22,"('forest', 'high')",forest,high,0.26840115487280064,3.7257663830616345
1178,1983,3,23,82,forest high sev fire,265.86,0.00030719285714285715,0.0016609,69.7185,0.0012324785714285713,1983-03-23,"('forest', 'high')",forest,high,0.24924803097127163,4.012067802915804
1179,1983,3,24,83,forest high sev fire,265.86,0.07520384285714285,0.41815,4589.85,0.021116121428571426,1983-03-24,"('forest', 'high')",forest,high,3.5614420532450324,0.28078513844942193
1203,1983,4,17,107,forest high sev fire,265.86,7.869285714285714e-05,0.0011017,2.139,0.00016976428571428565,1983-04-17,"('forest', 'high')",forest,high,0.46354188580805333,2.157302350912226
1204,1983,4,18,108,forest high sev fire,265.86,0.1699185,0.82486,4538.421,0.023569071428571425,1983-04-18,"('forest', 'high')",forest,high,7.20938457482112,0.1387080949312254
1205,1983,4,19,109,forest high sev fire,265.86,0.002225021428571428,0.010527,38.7849,0.001260042857142857,1983-04-19,"('forest', 'high')",forest,high,1.7658299604321848,0.5663059424788847
1206,1983,4,20,110,forest high sev fire,265.86,0.02098563571428571,0.085595,382.25260000000003,0.0034769142857142853,1983-04-20,"('forest', 'high')",forest,high,6.035706948690135,0.16568067477448012
1207,1983,4,21,111,forest high sev fire,265.86,0.00019967142857142854,0.0027954,1.8604,0.00014765,1983-04-21,"('forest', 'high')",forest,high,1.352329350297518,0.7394648350862132
1214,1983,4,28,118,forest high sev fire,265.86,0.008466021428571427,0.028113,115.2636,0.0020619142857142853,1983-04-28,"('forest', 'high')",forest,high,4.105903667881442,0.24355174424147621
1215,1983,4,29,119,forest high sev fire,265.86,0.08313564285714285,0.3379,1790.5720000000001,0.009650414285714285,1983-04-29,"('forest', 'high')",forest,high,8.614722684000244,0.11608034717789087
1216,1983,4,30,120,forest high sev fire,265.86,0.00017885714285714282,0.002504,3.1041,0.00024635714285714284,1983-04-30,"('forest', 'high')",forest,high,0.7260075384169323,1.3773961661341854
1217,1983,5,1,121,forest high sev fire,265.86,9.990714285714284e-05,0.0013987,2.3863,0.00018938571428571427,1983-05-01,"('forest', 'high')",forest,high,0.5275326242739684,1.8956173589761922
1313,1983,8,5,217,forest high sev fire,265.86,0.00014026428571428572,0.0019637,1.4355,0.00011392857142857141,1983-08-05,"('forest', 'high')",forest,high,1.2311598746081507,0.8122421958547638
1322,1983,8,14,226,forest high sev fire,265.86,0.0010019357142857141,0.0066329,20.180699999999998,0.0006079857142857142,1983-08-14,"('forest', 'high')",forest,high,1.6479593035550646,0.6068111013680662
1323,1983,8,15,227,forest high sev fire,265.86,0.0003231785714285714,0.0045245,3.6725,0.0002914714285714285,1983-08-15,"('forest', 'high')",forest,high,1.1087830221045925,0.9018897115703393
1324,1983,8,16,228,forest high sev fire,265.86,0.0002914071428571428,0.0040797,3.266,0.0002592071428571428,1983-08-16,"('forest', 'high')",forest,high,1.1242249717545263,0.8895016790450277
1325,1983,8,17,229,forest high sev fire,265.86,8.170714285714285e-05,0.0011439,0.99278,7.879285714285714e-05,1983-08-17,"('forest', 'high')",forest,high,1.0369866739189555,0.9643325465512721
